,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_quarter_key,fiscal_quarter_number
0,0.34,2002-05-15,2002-03,35.65,1990166000,FY2002.FQ1,1
1,0.34,2002-08-12,2002-06,33.92,1993369000,FY2002.FQ2,2
2,0.34,2002-11-14,2002-09,18.99,1995862000,FY2002.FQ3,3
3,0.34,2003-03-19,2002-12,24.0,1998707000,FY2002.FQ4,4
4,0.34,2003-05-14,2003-03,23.71,2030038000,FY2003.FQ1,1
5,0.34,2003-08-12,2003-06,34.18,2035112000,FY2003.FQ2,2
6,0.34,2003-11-12,2003-09,34.33,2039170000,FY2003.FQ3,3
7,0.34,2004-02-18,2003-12,36.73,2042620000,FY2003.FQ4,4
8,0.34,2004-05-10,2004-03,41.95,2081686000,FY2004.FQ1,1
9,0.34,2004-08-09,2004-06,38.77,2087505000,FY2004.FQ2,2
10,0.34,2004-11-09,2004-09,39.73,3564070000,FY2004.FQ3,3
11,0.34,2005-03-02,2004-12,39.01,3556191000,FY2004.FQ4,4
12,0.34,2005-05-05,2005-03,34.6,3525298000,FY2005.FQ1,1
13,0.34,2005-08-08,2005-06,35.32,3513944000,FY2005.FQ2,2
14,0.34,2005-11-09,2005-09,33.93,3503407000,FY2005.FQ3,3
15,0.34,2006-03-09,2005-12,39.69,3486689000,FY2005.FQ4,4
16,0.34,2006-05-08,2006-03,41.64,3472950000,FY2006.FQ1,1
17,0.34,2006-08-09,2006-06,42.0,3470582000,FY2006.FQ2,2
18,0.34,2006-11-08,2006-09,46.96,3467530000,FY2006.FQ3,3
19,0.34,2007-03-01,2006-12,48.3,3461684000,FY2006.FQ4,4
20,0.34,2007-05-10,2007-03,48.38,3416115000,FY2007.FQ1,1
21,0.38,2007-08-09,2007-06,48.45,3383896000,FY2007.FQ2,2
22,0.38,2007-11-09,2007-09,45.82,3359044000,FY2007.FQ3,3
23,0.38,2008-02-29,2007-12,43.65,3367383000,FY2007.FQ4,4
