,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_year_key,fiscal_year_number
0,0,2013-02-01,2010-12,0.0,2517000000,-293000000,781000000,-324000000,698000000,-3000000,1152000000,500000000,500000000,0,250000000,160000000,-90000000,0,121000000,0,0,0,-22000000,-22000000,0,0,0,0,0,-9000000,-293000000,-293000000,0,-93000000,139000000,23000000,0,606000000,3000000,154000000,-38000000,-209000000,20000000,FY2010,2010
1,0,2012-05-18,2011-12,0.0,2138085000,-606000000,1198000000,-3023000000,1549000000,3000000,-273000000,998000000,998000000,0,170000000,-261000000,-431000000,0,461000000,0,0,0,-24000000,-24000000,0,0,-2399000000,-3028000000,629000000,6000000,-606000000,-606000000,0,35000000,323000000,-30000000,0,1000000000,4000000,233000000,-24000000,-174000000,217000000,FY2011,2011
2,0,2013-02-01,2012-12,26.62,2372000000,-1235000000,6283000000,-7024000000,1612000000,1000000,872000000,6760000000,6760000000,0,1701000000,1335000000,-366000000,0,-1812000000,0,0,0,-911000000,-911000000,0,0,-4874000000,-10307000000,5433000000,-4000000,-1235000000,-1235000000,0,-499000000,649000000,-186000000,0,53000000,23000000,136000000,-465000000,-170000000,1572000000,FY2012,2012
3,0,2014-01-31,2013-12,54.65,2547000000,-1362000000,-667000000,-2624000000,4222000000,8000000,939000000,1478000000,1478000000,0,0,-1891000000,-1891000000,0,-254000000,0,0,0,-368000000,-368000000,0,0,-882000000,-7433000000,6551000000,-12000000,-1362000000,-1362000000,0,676000000,1011000000,-37000000,0,1500000000,166000000,699000000,355000000,-378000000,906000000,FY2013,2013
4,0,2015-01-29,2014-12,78.02,2778000000,-1831000000,-298000000,-5913000000,7326000000,-123000000,992000000,0,0,0,0,-243000000,-243000000,0,-55000000,0,0,0,-4975000000,-4975000000,0,0,1243000000,-9104000000,10347000000,-350000000,-1831000000,-1831000000,0,-262000000,1243000000,-210000000,0,2940000000,1829000000,471000000,-123000000,-610000000,1786000000,FY2014,2014
5,0,2016-01-28,2015-12,104.66,2834000000,-2523000000,-139000000,-9434000000,10320000000,-155000000,592000000,0,0,0,0,-119000000,-119000000,0,-20000000,0,0,0,-313000000,-313000000,0,0,-6700000000,-15938000000,9238000000,102000000,-2523000000,-2523000000,0,784000000,1945000000,-795000000,0,3688000000,1738000000,1901000000,-144000000,-973000000,2960000000,FY2015,2015
6,0,2017-02-03,2016-12,115.05,2892000000,-4491000000,-310000000,-11792000000,16108000000,-63000000,3943000000,0,0,0,0,-312000000,-312000000,0,2000000,0,0,0,-123000000,-123000000,0,0,-7186000000,-22341000000,15155000000,8000000,-4491000000,-4491000000,0,758000000,2342000000,-457000000,0,10217000000,30000000,2406000000,-159000000,-1489000000,3218000000,FY2016,2016
7,0,2018-02-01,2017-12,176.46,2906000000,-6733000000,-5235000000,-20118000000,24216000000,232000000,-905000000,0,-1976000000,-1976000000,0,0,0,0,-3259000000,0,0,0,-122000000,-122000000,0,0,-13250000000,-25682000000,12432000000,-13000000,-6733000000,-6733000000,0,1887000000,3025000000,-377000000,0,15934000000,24000000,3688000000,-192000000,-1609000000,3723000000,FY2017,2017
8,0,2019-01-31,2018-12,131.09,2854000000,-13915000000,-15572000000,-11603000000,29274000000,-179000000,1920000000,0,-12879000000,-12879000000,500000000,500000000,0,0,-3193000000,0,0,0,-137000000,-137000000,0,0,2449000000,-14681000000,17130000000,0,-13915000000,-13915000000,0,-1527000000,4315000000,286000000,0,22112000000,-64000000,1055000000,-690000000,-1892000000,4152000000,FY2018,2018
9,0,2020-01-30,2019-12,205.25,2852000000,-15102000000,-7299000000,-19864000000,36314000000,4000000,9155000000,0,-4202000000,-4202000000,0,-775000000,-775000000,0,-2322000000,0,0,0,-508000000,-508000000,0,0,-4254000000,-23971000000,19717000000,0,-15102000000,-15102000000,0,7250000000,5741000000,-37000000,0,18485000000,39000000,9164000000,47000000,-1961000000,4836000000,FY2019,2019
10,0,2021-01-28,2020-12,273.16,2849000000,-15115000000,-10292000000,-30059000000,38747000000,279000000,-1325000000,0,-6272000000,-6272000000,0,-604000000,-604000000,0,-3416000000,0,0,0,-388000000,-388000000,0,0,-14520000000,-40291000000,25771000000,-36000000,-15115000000,-15163000000,48000000,-2723000000,6862000000,-1192000000,0,29146000000,118000000,-1346000000,135000000,-1512000000,6536000000,FY2020,2020
11,0,2022-02-03,2021-12,336.35,2741000000,-18567000000,-50728000000,-7570000000,57683000000,-474000000,-1089000000,0,-44537000000,-44537000000,0,-677000000,-677000000,0,-5514000000,0,0,0,-851000000,-851000000,0,0,12179000000,-30407000000,42586000000,-331000000,-18567000000,-18690000000,123000000,700000000,7967000000,609000000,0,39370000000,-127000000,5560000000,-1750000000,-3110000000,9164000000,FY2021,2021
12,0,2023-02-02,2022-12,120.34,2614000000,-30941000000,-22136000000,-28970000000,50475000000,-638000000,-1269000000,0,-27956000000,-27956000000,9921000000,9071000000,-850000000,0,-3251000000,0,0,0,-1312000000,-1312000000,0,0,3532000000,-9626000000,13158000000,-249000000,-30941000000,-31186000000,245000000,5683000000,8686000000,-3286000000,0,23200000000,4200000000,5290000000,162000000,231000000,11992000000,FY2022,2022
13,0,2024-02-02,2023-12,353.96,2561000000,-26824000000,-19500000000,-24495000000,71113000000,113000000,27231000000,0,-19774000000,-19774000000,8455000000,7397000000,-1058000000,0,-7123000000,0,0,0,-629000000,-629000000,0,0,3202000000,-2982000000,6184000000,-244000000,-26824000000,-27045000000,221000000,3836000000,11178000000,131000000,0,39098000000,2843000000,5676000000,559000000,-2399000000,14027000000,FY2023,2023
14,2,2025-01-30,2024-12,585.51,2534488000,-37256000000,-40781000000,-47150000000,91328000000,-786000000,2611000000,0,-30125000000,-30125000000,10432000000,8463000000,-1969000000,-5072000000,-14047000000,0,0,0,-270000000,-270000000,0,0,-9753000000,-25542000000,15789000000,129000000,-37256000000,-37256000000,0,1048000000,15498000000,-4738000000,0,62360000000,470000000,3231000000,-698000000,-1485000000,16690000000,FY2024,2024
