,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_year_key,fiscal_year_number
0,0,2013-02-01,2010-12,0.0,2517000000,1.3829,NA,1547000000,0.6146,0.0,0.0,0.0,0.0,5.7737,0.1227,NA,0.1697,NA,0,0,1171000000,0.0,0.5932,0.4652,-1535000000,-0.9922,-2.533,-3.7901,-1.5228,-0.7776,-1.0578,0.0,0.0,0.723,405000000,0.0,0.0,0.2051,NA,0.1609,0.7502,NA,0.0,0.3988,0,-1535000000,0.0,0.3069,774000000,0.0,NA,0.41,0.5227,0.0,0.0,0.0,0.0,0.4004,0.5106,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7842,0.0,NA,0.0,0.0,NA,0.0,0.24186133190719,0.0,NA,0.0,0.0,0,0.0,0.5764,1451000000,0.0,0.0,0.0,0.0,FY2010,2010
1,0,2012-05-18,2011-12,0.0,2138085000,1.2923,NA,4284000000,1.702,-1.0682,-0.1529,0.0,1.2191,5.1212,0.0628,NA,0.0812,NA,0,0,2079000000,0.7754,0.5602,0.8259,-3908000000,-0.9122,-3.908,-4.1442,-2.3056,-1.053,-0.948,0.0,0.7922,0.7738,943000000,0.0,1.3283,0.2541,NA,0.3746,0.7682,NA,0.925,0.41,0,-1512000000,0.6501,0.2694,1317000000,0.7015,NA,0.6976,0.4731,0.0,0.0,1.5696,0.6815,0.6734,0.4567,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8799,1.4743,0.2145,NA,0.4371,0.2832,NA,0.2555,0.24186133190719,0.4415,NA,0.4517,0.0,-378915000,-0.1505,1.6376,4122000000,0.0,1.1173,0.0,1.2659,FY2011,2011
2,0,2013-02-01,2012-12,26.62,2372000000,1.2848,NA,11755000000,5.427,-1.0379,0.5767,0.0,0.0406,10.71,0.1318,NA,0.1693,NA,0,0,1187000000,-0.429,0.2332,0.548,55016640000,4.6802,1038.0498,145.9327,111.3697,10.8108,5.3069,0.0,-0.9637,0.7783,377000000,0.0,-0.6002,0.074,NA,0.174,0.7319,NA,0.3065,0.8927,63142640000,-884000000,-0.947,0.0104,403500000,-0.6936,NA,0.2483,0.1057,0.0,0.0,0.621,-0.7085,0.228,0.097,NA,5.3715,1191.3705,167.4871,127.8191,12.4076,6.0907,0.0,0.3713,2.3494,0.0049,NA,0.0552,0.0063,NA,0.0055,0.24186133190719,0.0069,NA,0.06,-0.1394,233915000,0.1094,4.7862,10367000000,0.0,1.3855,0.0,1.3994,FY2012,2012
3,0,2014-01-31,2013-12,54.65,2547000000,1.1567,NA,15470000000,6.1462,-0.1028,0.3938,0.0,1.6191,11.8818,0.0132,NA,0.0153,NA,0,0,3815000000,2.2139,0.4846,1.5156,127744550000,8.2575,85.163,44.6659,46.385,16.2277,9.2918,0.0,59.0,0.8644,2860000000,0.0,6.5862,0.3633,NA,1.1362,0.7618,NA,0.6099,0.4553,139193550000,-3323000000,27.3018,0.1905,2103000000,4.2118,NA,1.114,0.3561,0.0,0.0,0.2053,4.5748,1.0941,0.3498,NA,8.9976,92.7957,48.669,50.5423,17.6821,10.1246,0.0,0.5468,3.1275,0.0909,NA,0.1818,0.1101,NA,0.1018,0.24186133190719,0.1263,NA,0.2021,0.162,175000000,0.0737,5.462,13748000000,0.0,0.1848,0.0,0.316,FY2013,2013
4,0,2015-01-29,2014-12,78.02,2778000000,1.1072,NA,36096000000,13.5495,-0.3443,0.2985,0.0,0.7351,9.403,0.0029,NA,0.0032,NA,0,0,6237000000,0.6348,0.5003,2.3412,205540560000,5.6942,69.9117,37.405,41.8616,16.488,14.4889,0.0,0.8333,0.9031,5495000000,0.0,0.9213,0.4407,NA,2.0626,0.8272,NA,0.7196,0.4012,216739560000,-4315000000,0.96,0.2358,3745500000,0.781,NA,1.8746,0.4006,0.0,0.0,0.3764,0.7828,1.843,0.3938,NA,6.0045,73.7209,39.443,44.1424,17.3864,15.2784,0.0,0.5835,4.6794,0.1016,NA,0.1804,0.114,NA,0.1132,0.24186133190719,0.1327,NA,0.315,0.0584,231000000,0.0906,5.325,14186000000,0.0,1.2333,0.0,1.3332,FY2014,2014
5,0,2016-01-28,2015-12,104.66,2834000000,1.1173,NA,44218000000,15.4987,-0.3779,0.1371,0.0,0.4086,11.2477,0.0062,NA,0.0069,NA,0,0,8170000000,0.3099,0.4557,2.8636,278172440000,6.2909,75.4263,35.6768,44.9099,15.516,12.1229,0.0,0.1727,0.8949,7797000000,0.0,0.4189,0.4349,NA,2.7329,0.84,NA,0.4603,0.4045,296606440000,-4706000000,0.2544,0.2057,4668750000,0.2464,NA,2.1819,0.3472,0.0,0.0,0.4335,0.2615,2.171,0.3454,NA,6.7078,80.4247,38.041,47.886,16.5443,12.9262,0.0,0.4381,6.2839,0.0825,NA,0.1443,0.0918,NA,0.0913,0.24186133190719,0.1031,NA,0.2892,0.0709,56000000,0.0201,8.0427,22946000000,0.0,0.2362,0.0,0.225,FY2015,2015
6,0,2017-02-03,2016-12,115.05,2892000000,1.0974,NA,59194000000,20.2372,-0.78,0.8143,0.0,0.5608,11.9655,0.0,NA,0.0,NA,0,0,14769000000,0.8077,0.5343,5.0492,303275600000,5.1234,29.6834,26.1061,24.2271,10.9731,7.8697,0.0,1.7054,0.9112,11617000000,0.0,0.4899,0.4203,NA,3.9716,0.8629,NA,0.5834,0.1838,332724600000,-8903000000,1.7703,0.3696,9320250000,0.9963,NA,4.2485,0.4496,0.0,0.0,0.5106,1.0209,4.2796,0.4529,NA,5.6209,32.5657,28.6411,26.5796,12.0386,8.6338,0.0,0.5416,9.4488,0.1786,NA,0.2264,0.1975,NA,0.197,0.24186133190719,0.2272,NA,0.3663,0.0252,58000000,0.0204,13.175,38537000000,0.0,0.3148,0.0,0.3386,FY2016,2016
7,0,2018-02-01,2017-12,176.46,2906000000,1.1368,NA,74347000000,25.1512,-0.4992,-0.0925,0.0,0.5033,12.9156,0.0,NA,0.0,NA,0,0,23228000000,0.5727,0.5713,7.8579,471081760000,6.3362,29.5645,26.9451,22.8747,11.5878,8.6848,0.0,0.5444,0.8795,17483000000,0.0,0.5049,0.43,NA,5.9144,0.8658,NA,0.4759,0.2262,512792760000,-8079000000,0.5595,0.3919,15152250000,0.6257,NA,6.8345,0.4969,0.0,0.0,0.5971,0.6451,6.9668,0.5065,NA,6.8972,32.1822,29.3309,24.9001,12.6138,9.4537,0.0,0.4709,13.7527,0.2131,NA,0.2828,0.2386,NA,0.2386,0.24186133190719,0.2734,NA,0.3957,0.0105,14000000,0.0048,18.3497,54242000000,0.0,0.3011,0.0,0.2559,FY2017,2017
8,0,2019-01-31,2018-12,131.09,2854000000,1.1569,NA,84127000000,28.8007,-1.0666,0.2401,0.0,0.2088,7.1939,0.0051,NA,0.0059,NA,0,0,29228000000,0.2583,0.5234,10.0061,333016860000,3.9585,15.0604,21.6821,13.131,5.9639,5.1604,0.0,0.4044,0.8643,15359000000,0.0,-0.1214,0.275,NA,5.2581,0.8324,NA,0.3205,0.1281,374130860000,-9519000000,0.3877,0.396,18684750000,0.2331,NA,8.5289,0.4461,0.0,0.0,0.7989,0.2314,8.6823,0.4541,NA,4.4472,16.9198,24.359,14.7522,6.7002,5.7976,0.0,0.3735,19.116,0.2431,NA,0.2903,0.279,NA,0.2781,0.24186133190719,0.3139,NA,0.3778,-0.0118,-52000000,-0.0178,22.0924,64532000000,0.0,0.1515,0.0,0.1315,FY2018,2018
9,0,2020-01-30,2019-12,205.25,2852000000,1.3198,1.1568,101054000000,35.1369,-0.0853,0.9042,0.0,0.2404,4.3994,0.0714,0.0097,0.0942,0.0111,0,0,34727000000,0.1881,0.4912,12.0747,530518000000,5.2498,28.6999,25.0102,21.3815,7.5041,6.5138,0.0,-0.1505,0.7576,21212000000,0.0,0.381,0.3,0.3316,7.3755,0.8193,0.8233,0.2461,0.2549,585373000000,-19079000000,-0.164,0.2614,21739500000,0.1634,0.428,10.0785,0.41,0.0,0.0,0.8143,-0.0216,8.6272,0.3509,0.4233,5.7926,31.6674,27.5963,23.5923,8.28,7.1873,0.0,0.2661,24.5817,0.1602,0.1309,0.2771,0.1996,0.1558,0.1893,0.24186133190719,0.2225,0.1513,0.3411,-0.0154,-2000000,-0.0007,28.3188,81445000000,0.0,0.3702,0.0,0.2012,FY2019,2019
