,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,da_income_statement_supplemental,eps_basic,eps_diluted,gross_profit,income_allocated_to_minority_interest,income_tax,interest_expense,interest_income,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income_normal,operating_income,other_income_statement_items,other_nonoperating_income,other_opex,preferred_dividends,pretax_income,revenue,rnd,sga,shares_basic,shares_diluted,special_charges,total_opex,fiscal_year_key,fiscal_year_number
0,0,2013-02-01,2010-12,0.0,2517000000,493000000,139000000,0.15,0.15,1481000000,0,-402000000,-22000000,1000000,606000000,606000000,606000000,0,-21000000,1032000000,0,-3000000,0,0,1008000000,1974000000,144000000,305000000,2420000000,2517000000,0,449000000,FY2010,2010
1,0,2012-05-18,2011-12,0.0,2138085000,860000000,323000000,0.27,0.27,2851000000,0,-695000000,-42000000,4000000,1000000000,1000000000,1000000000,0,-38000000,1756000000,0,-23000000,0,0,1695000000,3711000000,388000000,707000000,2420000000,2517000000,0,1095000000,FY2011,2011
2,0,2013-02-01,2012-12,26.62,2372000000,1364000000,649000000,0.02,0.01,3725000000,0,-441000000,-49000000,14000000,53000000,53000000,53000000,0,-35000000,538000000,0,-9000000,0,0,494000000,5089000000,1399000000,1788000000,2006000000,2166000000,0,3187000000,FY2012,2012
3,0,2014-01-31,2013-12,54.65,2547000000,1875000000,1011000000,0.62,0.6,5997000000,0,-1254000000,-55000000,19000000,1500000000,1500000000,1500000000,0,-36000000,2804000000,0,-14000000,0,0,2754000000,7872000000,1415000000,1778000000,2420000000,2517000000,0,3193000000,FY2013,2013
4,0,2015-01-29,2014-12,78.02,2778000000,2153000000,1243000000,1.12,1.1,10313000000,0,-1970000000,-24000000,27000000,2940000000,2940000000,2940000000,0,3000000,4994000000,0,-87000000,0,0,4910000000,12466000000,2666000000,2653000000,2614000000,2664000000,0,5319000000,FY2014,2014
5,0,2016-01-28,2015-12,104.66,2834000000,2867000000,1945000000,1.31,1.29,15061000000,0,-2506000000,-17000000,52000000,3688000000,3688000000,3688000000,0,35000000,6225000000,0,-66000000,0,0,6194000000,17928000000,4816000000,4020000000,2803000000,2853000000,0,8836000000,FY2015,2015
6,0,2017-02-03,2016-12,115.05,2892000000,3789000000,2342000000,3.56,3.49,23849000000,0,-2301000000,-9000000,176000000,10217000000,10217000000,10217000000,0,167000000,12427000000,0,-76000000,0,0,12518000000,27638000000,5919000000,5503000000,2863000000,2925000000,0,11422000000,FY2016,2016
7,0,2018-02-01,2017-12,176.46,2906000000,5454000000,3025000000,5.49,5.39,35199000000,0,-4660000000,-1000000,398000000,15934000000,15934000000,15934000000,0,397000000,20203000000,0,-6000000,0,0,20594000000,40653000000,7754000000,7242000000,2901000000,2956000000,0,14996000000,FY2017,2017
8,0,2019-01-31,2018-12,131.09,2854000000,9355000000,4315000000,7.65,7.57,46483000000,0,-3249000000,9000000,652000000,22112000000,22112000000,22112000000,0,661000000,24913000000,0,-213000000,0,0,25361000000,55838000000,10273000000,11297000000,2890000000,2921000000,0,21570000000,FY2018,2018
9,0,2020-01-30,2019-12,205.25,2852000000,12770000000,5741000000,6.48,6.43,57927000000,0,-6327000000,27000000,904000000,18485000000,18485000000,18485000000,0,931000000,28986000000,0,-5105000000,0,0,24812000000,70697000000,13600000000,15341000000,2854000000,2876000000,0,28941000000,FY2019,2019
10,0,2021-01-28,2020-12,273.16,2849000000,16692000000,6862000000,10.22,10.09,69273000000,0,-4034000000,-34000000,672000000,29146000000,29146000000,29146000000,0,638000000,32671000000,0,-129000000,0,0,33180000000,85965000000,18447000000,18155000000,2851000000,2888000000,0,36602000000,FY2020,2020
11,0,2022-02-03,2021-12,336.35,2741000000,22649000000,7967000000,13.99,13.77,95280000000,0,-7914000000,187000000,484000000,39370000000,39370000000,39370000000,0,671000000,46753000000,0,-140000000,0,0,47284000000,117929000000,24655000000,23872000000,2815000000,2859000000,0,48527000000,FY2021,2021
12,0,2023-02-02,2022-12,120.34,2614000000,25249000000,8686000000,8.63,8.59,91360000000,0,-5619000000,-505000000,461000000,23200000000,23200000000,23200000000,0,-44000000,28944000000,0,-81000000,0,0,28819000000,116609000000,35338000000,27078000000,2687000000,2702000000,0,62416000000,FY2022,2022
13,0,2024-02-02,2023-12,353.96,2561000000,25959000000,11178000000,15.19,14.87,108943000000,0,-8330000000,-596000000,1639000000,39098000000,39098000000,39098000000,0,1043000000,46751000000,0,-366000000,0,0,47428000000,134902000000,38483000000,23709000000,2574000000,2629000000,0,62192000000,FY2023,2023
14,2,2025-01-30,2024-12,585.51,2534488000,30161000000,15498000000,24.61,23.86,134340000000,0,-8303000000,-544000000,2517000000,62360000000,62360000000,62360000000,0,1973000000,69380000000,0,-690000000,0,0,70663000000,164501000000,43873000000,21087000000,2534000000,2614000000,0,64960000000,FY2024,2024
