,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_year_key,fiscal_year_number
0,0,2013-02-01,2010-12,0.0,2517000000,FY2010,2010
1,0,2012-05-18,2011-12,0.0,2138085000,FY2011,2011
2,0,2013-02-01,2012-12,26.62,2372000000,FY2012,2012
3,0,2014-01-31,2013-12,54.65,2547000000,FY2013,2013
4,0,2015-01-29,2014-12,78.02,2778000000,FY2014,2014
5,0,2016-01-28,2015-12,104.66,2834000000,FY2015,2015
6,0,2017-02-03,2016-12,115.05,2892000000,FY2016,2016
7,0,2018-02-01,2017-12,176.46,2906000000,FY2017,2017
8,0,2019-01-31,2018-12,131.09,2854000000,FY2018,2018
9,0,2020-01-30,2019-12,205.25,2852000000,FY2019,2019
10,0,2021-01-28,2020-12,273.16,2849000000,FY2020,2020
11,0,2022-02-03,2021-12,336.35,2741000000,FY2021,2021
12,0,2023-02-02,2022-12,120.34,2614000000,FY2022,2022
13,0,2024-02-02,2023-12,353.96,2561000000,FY2023,2023
14,2,2025-01-30,2024-12,585.51,2534488000,FY2024,2024
