,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_quarter_key,fiscal_quarter_number
0,0.0,2012-05-18,2011-03,0.0,2556000000,-153000000,798000000,-153000000,345000000,1000000,991000000,998000000,998000000,0,0,-279000000,-279000000,0,79000000,0,0,0,-1000000,-1000000,0,0,0,0,0,1000000,-153000000,-153000000,0,53000000,51000000,69000000,0,233000000,-68000000,52000000,-26000000,27000000,7000000,FY2011.FQ1,1
1,0.0,2012-07-31,2011-06,0.0,2556000000,-132000000,255000000,-2032000000,129000000,3000000,-1645000000,0,0,0,0,-53000000,-53000000,0,308000000,0,0,0,-3000000,-3000000,0,0,-1893000000,-1893000000,0,-4000000,-132000000,-132000000,0,-236000000,72000000,272000000,0,240000000,-283000000,19000000,-200000000,-55000000,64000000,FY2011.FQ2,2
2,0.0,2012-10-24,2011-09,0.0,2556000000,-136000000,14000000,-795000000,565000000,-9000000,-225000000,0,0,0,0,-46000000,-46000000,0,60000000,0,0,0,-1000000,-1000000,0,0,-851000000,-851000000,0,193000000,-136000000,-136000000,0,186000000,97000000,35000000,0,227000000,-50000000,117000000,113000000,-44000000,70000000,FY2011.FQ3,3
3,0.0,2012-05-18,2011-12,0.0,2138085000,-185000000,131000000,-43000000,510000000,8000000,606000000,0,0,0,170000000,117000000,-53000000,0,14000000,0,0,0,-19000000,-19000000,0,0,-284000000,-284000000,0,445000000,-185000000,-185000000,0,32000000,103000000,-406000000,0,302000000,403000000,45000000,89000000,-102000000,76000000,FY2011.FQ4,4
4,0.0,2012-05-18,2012-03,0.0,2138085000,-453000000,50000000,-720000000,441000000,-1000000,-230000000,0,0,0,62000000,-9000000,-71000000,0,59000000,0,0,0,-25000000,-25000000,0,0,-241000000,-877000000,636000000,-1000000,-453000000,-453000000,0,46000000,110000000,-24000000,0,205000000,1000000,14000000,-33000000,65000000,103000000,FY2012.FQ1,1
5,0.0,2012-07-31,2012-06,31.1,2142000000,-413000000,7040000000,-6450000000,240000000,-14000000,816000000,0,0,0,20000000,-52000000,-72000000,0,7092000000,0,0,0,-550000000,-550000000,0,0,-5485000000,-6083000000,598000000,-2000000,-413000000,-413000000,0,-504000000,139000000,-350000000,0,-157000000,6000000,142000000,26000000,-672000000,1106000000,FY2012.FQ2,2
6,0.0,2012-10-24,2012-09,21.66,2166000000,-171000000,507000000,-389000000,250000000,12000000,380000000,0,0,0,123000000,35000000,-88000000,0,472000000,0,0,0,-336000000,-336000000,0,0,117000000,-1633000000,1750000000,1000000,-171000000,-171000000,0,6000000,176000000,-60000000,0,-59000000,8000000,25000000,31000000,-50000000,179000000,FY2012.FQ3,3
7,0.0,2013-02-01,2012-12,26.62,2372000000,-198000000,-1314000000,535000000,681000000,4000000,-94000000,0,0,0,1496000000,1361000000,-135000000,0,-2675000000,0,0,0,0,0,0,0,735000000,-1714000000,2449000000,-2000000,-198000000,-198000000,0,-47000000,224000000,248000000,0,64000000,8000000,-45000000,-489000000,487000000,184000000,FY2012.FQ4,4
8,0.0,2013-05-02,2013-03,25.58,2411000000,-327000000,-444000000,-326000000,719000000,-8000000,-59000000,0,0,0,0,-109000000,-109000000,0,-335000000,0,0,0,-99000000,-99000000,0,0,94000000,-1508000000,1602000000,6000000,-327000000,-327000000,0,90000000,233000000,-7000000,0,219000000,14000000,37000000,-1000000,54000000,170000000,FY2013.FQ1,1
9,0.0,2013-07-25,2013-06,24.88,2431000000,-268000000,-149000000,-498000000,1322000000,1000000,676000000,0,0,0,0,-91000000,-91000000,0,-58000000,0,0,0,-122000000,-122000000,0,0,-105000000,-1952000000,1847000000,-3000000,-268000000,-268000000,0,445000000,230000000,26000000,0,333000000,64000000,132000000,429000000,-116000000,224000000,FY2013.FQ2,2
