,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_quarter_key,fiscal_quarter_number
0,0.0,2012-05-18,2011-03,0.0,2556000000,0.0,NA,0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,NA,0.0,NA,0,0.0,439000000,0.0,0.6005,0.1717,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192000000,0.0,0.0,0.2626,NA,0.0751,0.7715,NA,0.0,0.4145,0,0,0.0,0.3187,291000000,0.0,NA,0.1517,0.5307,0.0,0.0,-1.0,0.0,0.1557,0.5444,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2859,0.6234,NA,1.1933,0.8621,NA,0.737,0.27239330817128,2.5053,NA,1.2391,0.0154,39000000,0.0154,0.0,0,0.0,-1.0,0.0,-1.0,FY2011.FQ1,1
1,0.0,2012-07-31,2011-06,0.0,2556000000,0.0,NA,0,0.0,0.1372,0.0,0.0,-0.626,0.0,0.0,NA,0.0,NA,0,0.0,479000000,0.0911,0.5351,0.1874,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333,0.0,-3000000,0.0,-1.0156,-0.0033,NA,-0.0011,0.7653,NA,0.2145,0.3984,0,0,0.03,0.2681,305250000,0.0489,NA,0.1592,0.4547,0.0,0.0,0.0,0.0025,0.1561,0.4458,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2243,0.3501,0.0,NA,0.0,0.0,NA,0.0,0.27239330817128,0.0,NA,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,FY2011.FQ2,2
2,0.0,2012-10-24,2011-09,0.0,2556000000,0.0,NA,0,0.0,-0.0303,0.0,0.0,3.3798,0.0,0.0,NA,0.0,NA,0,0.0,511000000,0.0668,0.5356,0.1999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0483,0.0,429000000,0.0,144.0,0.4496,NA,0.1678,0.7526,NA,0.0481,0.401,0,0,-0.0541,0.2379,310500000,0.0171,NA,0.1619,0.4339,0.0,0.0,0.0,-0.0501,0.1482,0.3972,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0659,0.3732,0.0,NA,0.0,0.0,NA,0.0,0.27239330817128,0.0,NA,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,FY2011.FQ3,3
3,0.0,2012-05-18,2011-12,0.0,2138085000,1.2923,NA,4284000000,1.676,0.0,-0.1529,0.0,0.0,5.1212,0.0628,NA,0.0812,NA,0,0.0,650000000,0.0,0.5747,0.2543,-3908000000,-0.9122,-3.9001,-4.1442,-2.3056,-1.053,-0.948,0.0,0.0,0.7738,325000000,0.0,0.0,0.2873,NA,0.1271,0.7816,NA,0.0,0.4181,0,-1512000000,0.0,0.267,410250000,0.0,NA,0.214,0.4836,0.0,0.0,1.5696,0.0,0.203,0.4588,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4424,0.3165,NA,0.6465,0.409,NA,0.3783,0.27239330817128,0.5294,NA,0.6664,0.0154,-417915000,-0.1635,1.6126,4122000000,0.0,1.1173,0.0,1.2659,FY2011.FQ4,4
4,0.0,2012-05-18,2012-03,0.0,2138085000,1.2835,NA,5597000000,2.6177,-1.9607,0.0,0.0,0.2782,4.8306,0.0562,NA,0.0721,NA,0,0.0,491000000,0.1184,0.464,0.2296,-3910000000,-0.6985,-4.0143,-5.2909,-2.3287,-0.9683,-0.723,0.0,0.0666,0.779,-12000000,0.0,-1.0625,-0.0113,NA,-0.0056,0.7381,NA,0.3847,0.4633,0,-1282000000,-0.1201,0.1937,285750000,-0.018,NA,0.1781,0.3601,0.0,0.0,0.0,-0.0402,0.1786,0.361,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4473,0.4948,0.1441,NA,0.3021,0.1855,NA,0.1724,0.27239330817128,0.229,NA,0.3115,-0.1635,0,0.0,2.5293,5408000000,0.0,0.0,0.0,0.0,FY2012.FQ1,1
5,0.0,2012-07-31,2012-06,31.1,2142000000,1.1216,NA,13309000000,7.083,-2.1287,0.0,0.0,0.8604,11.5735,0.0263,NA,0.0296,NA,0,0.0,-604000000,-2.2609,-0.5101,-0.3214,56428200000,4.2398,97.7958,99.1708,109.5693,13.0409,4.5142,0.0,-2.2903,0.8915,-173000000,0.0,-56.6666,-0.1461,NA,-0.092,0.69,NA,0.1927,0.0,66616200000,-2098000000,-1.6541,-0.1326,-557250000,-2.8255,NA,-0.3954,-0.6275,0.0,0.0,0.0,-2.9172,-0.4071,-0.6461,NA,5.0053,115.4526,117.0759,129.3518,15.3954,5.3292,0.0,0.3229,0.6301,0.0521,NA,0.0597,0.061,NA,0.0585,0.27239330817128,0.0706,NA,0.0629,-0.2648,3915000,0.0018,6.6524,12500000000,0.0,0.0,0.0,0.0,FY2012.FQ2,2
6,0.0,2012-10-24,2012-09,21.66,2166000000,1.1315,NA,14174000000,5.857,-0.2573,0.0,0.0,-0.5575,11.375,0.033,NA,0.0373,NA,0,0.0,553000000,0.0821,0.4381,0.2285,36463560000,2.5725,125.3043,166.5002,71.7786,7.867,2.8596,0.0,-1.3389,0.8837,79000000,0.0,-0.8158,0.0625,NA,0.0326,0.7448,NA,0.3091,1.1586,46915560000,-2478000000,-1.2599,-0.0467,282750000,-0.0893,NA,0.1557,0.2987,0.0,0.0,0.0,-0.0184,0.1537,0.2947,NA,3.3099,161.2218,214.2263,92.3534,10.122,3.6793,0.0,0.3228,0.5214,0.0187,NA,0.0389,0.0211,NA,0.0204,0.27239330817128,0.0244,NA,0.0422,-0.0532,24000000,0.0112,5.269,12751000000,0.0,0.0,0.0,0.0,FY2012.FQ3,3
7,0.0,2013-02-01,2012-12,26.62,2372000000,1.2848,NA,11755000000,3.9027,-0.0702,0.5767,0.0,0.3352,10.71,0.1318,NA,0.1693,NA,0,0.0,747000000,0.1492,0.4712,0.248,55016640000,4.6802,1038.0498,145.9327,111.3697,10.8108,5.3069,0.0,-0.7857,0.7783,483000000,0.0,0.4861,0.3047,NA,0.1603,0.7495,NA,0.3438,0.8732,63142640000,-884000000,-0.788,0.0403,392250000,-0.0438,NA,0.1736,0.3299,0.0,0.0,0.621,-0.0269,0.1676,0.3186,NA,5.3715,1191.3705,167.4871,127.8191,12.4076,6.0907,0.0,0.4014,0.5262,0.0034,NA,0.037,0.004,NA,0.0037,0.27239330817128,0.0044,NA,0.041,0.1784,206000000,0.0951,3.4418,10367000000,0.0,1.3855,0.0,1.3994,FY2012.FQ4,4
8,0.0,2013-05-02,2013-03,25.58,2411000000,1.2823,1.2069,11824000000,4.7314,0.2781,0.8135,0.0,0.6303,10.3875,0.1266,0.0446,0.1623,0.0547,0,0.0,606000000,0.2342,0.4156,0.2424,53701380000,4.5417,801.5131,68.7597,115.4868,9.7834,5.2021,0.0,0.4062,0.7797,392000000,0.0,33.6666,0.2688,0.1626,0.1568,0.7167,0.7471,0.338,0.3796,61673380000,-825000000,0.0682,0.1502,279750000,-0.0209,0.345,0.1492,0.2558,0.0,0.0,0.3654,-0.0759,0.1412,0.2421,0.3398,5.2159,920.4982,78.9671,132.6309,11.2358,5.9743,0.0,0.378,0.5834,0.0044,0.0116,0.0376,0.0056,0.0134,0.0048,0.27239330817128,0.0058,0.0126,0.0419,0.1688,39000000,0.0164,4.1308,10323000000,0.0,1.1106,0.0,1.1125,FY2013.FQ1,1
9,0.0,2013-07-25,2013-06,24.88,2431000000,1.2733,1.2024,12349000000,4.9356,0.351,0.4304,0.0,4.5083,10.575,0.1177,0.0446,0.1498,0.0547,0,0.0,792000000,2.3112,0.4368,0.3165,51731280000,4.1891,92.8748,25.7625,29.1443,8.4555,4.8265,0.0,2.625,0.7853,1054000000,0.0,7.0924,0.5813,0.2657,0.4212,0.7435,0.7471,0.6499,0.3889,60483280000,-1501000000,3.121,0.1836,421500000,1.7563,0.345,0.2246,0.3099,0.0,0.0,0.2242,1.7124,0.2178,0.3006,0.3398,4.8978,108.5875,30.1211,34.075,9.8861,5.6431,0.0,0.5312,0.7246,0.036,0.0274,0.1276,0.046,0.0336,0.0398,0.27239330817128,0.0492,0.0301,0.1432,0.3315,20000000,0.0082,4.2837,10718000000,0.1805,0.0533,0.1903,-0.0721,FY2013.FQ2,2
