,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,da_income_statement_supplemental,eps_basic,eps_diluted,gross_profit,income_allocated_to_minority_interest,income_tax,interest_expense,interest_income,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income_normal,operating_income,other_income_statement_items,other_nonoperating_income,other_opex,preferred_dividends,pretax_income,revenue,rnd,sga,shares_basic,shares_diluted,special_charges,total_opex,fiscal_quarter_key,fiscal_quarter_number
0,0.0,2012-05-18,2011-03,0.0,2556000000,167000000,51000000,0.06,0.06,564000000,0,-165000000,-7000000,0,233000000,233000000,233000000,0,-7000000,388000000,0,17000000,0,0,398000000,731000000,57000000,119000000,2456000000,2556000000,0,176000000,FY2011.FQ1,1
1,0.0,2012-07-31,2011-06,0.0,2556000000,210000000,72000000,0.06,0.06,685000000,0,-159000000,-9000000,0,240000000,240000000,240000000,0,-9000000,407000000,0,1000000,0,0,399000000,895000000,99000000,179000000,2456000000,2556000000,0,278000000,FY2011.FQ2,2
2,0.0,2012-10-24,2011-09,0.0,2556000000,236000000,97000000,0.06,0.05,718000000,0,-152000000,-10000000,0,227000000,227000000,227000000,0,-10000000,414000000,0,-25000000,0,0,379000000,954000000,108000000,196000000,2456000000,2556000000,0,304000000,FY2011.FQ3,3
3,0.0,2012-05-18,2011-12,0.0,2138085000,247000000,103000000,0.15,0.14,884000000,0,-217000000,-12000000,0,302000000,302000000,302000000,0,-12000000,547000000,0,-16000000,0,0,519000000,1131000000,124000000,213000000,2456000000,2556000000,0,337000000,FY2011.FQ4,4
4,0.0,2012-05-18,2012-03,0.0,2138085000,277000000,110000000,0.06,0.06,781000000,0,-177000000,-13000000,0,205000000,205000000,205000000,0,-13000000,381000000,0,14000000,0,0,382000000,1058000000,153000000,247000000,2138085000,2138085000,0,400000000,FY2012.FQ1,1
5,0.0,2012-07-31,2012-06,31.1,2142000000,367000000,139000000,-0.08,-0.08,817000000,0,608000000,-10000000,0,-157000000,-157000000,-157000000,0,-10000000,-743000000,0,-12000000,0,0,-765000000,1184000000,705000000,855000000,1879000000,1879000000,0,1560000000,FY2012.FQ2,2
6,0.0,2012-10-24,2012-09,21.66,2166000000,322000000,176000000,-0.02,-0.02,940000000,0,-431000000,-11000000,0,-59000000,-59000000,-59000000,0,-11000000,377000000,0,6000000,0,0,372000000,1262000000,244000000,319000000,2420000000,2420000000,0,563000000,FY2012.FQ3,3
7,0.0,2013-02-01,2012-12,26.62,2372000000,397000000,224000000,0.03,0.03,1188000000,0,-441000000,0,0,64000000,64000000,64000000,0,0,523000000,0,-2000000,0,0,505000000,1585000000,297000000,368000000,2372000000,3012000000,0,665000000,FY2012.FQ4,4
8,0.0,2013-05-02,2013-03,25.58,2411000000,413000000,233000000,0.09,0.09,1045000000,0,-134000000,-20000000,0,219000000,219000000,219000000,0,-20000000,373000000,0,0,0,0,353000000,1458000000,293000000,379000000,2386000000,2499000000,0,672000000,FY2013.FQ1,1
9,0.0,2013-07-25,2013-06,24.88,2431000000,465000000,230000000,0.14,0.13,1348000000,0,-212000000,-17000000,0,333000000,333000000,333000000,0,-17000000,562000000,0,0,0,0,545000000,1813000000,344000000,442000000,2407000000,2502000000,0,786000000,FY2013.FQ2,2
