,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_quarter_key,fiscal_quarter_number
0,0.0,2012-05-18,2011-03,0.0,2556000000,FY2011.FQ1,1
1,0.0,2012-07-31,2011-06,0.0,2556000000,FY2011.FQ2,2
2,0.0,2012-10-24,2011-09,0.0,2556000000,FY2011.FQ3,3
3,0.0,2012-05-18,2011-12,0.0,2138085000,FY2011.FQ4,4
4,0.0,2012-05-18,2012-03,0.0,2138085000,FY2012.FQ1,1
5,0.0,2012-07-31,2012-06,31.1,2142000000,FY2012.FQ2,2
6,0.0,2012-10-24,2012-09,21.66,2166000000,FY2012.FQ3,3
7,0.0,2013-02-01,2012-12,26.62,2372000000,FY2012.FQ4,4
8,0.0,2013-05-02,2013-03,25.58,2411000000,FY2013.FQ1,1
9,0.0,2013-07-25,2013-06,24.88,2431000000,FY2013.FQ2,2
10,0.0,2013-11-01,2013-09,50.23,2453000000,FY2013.FQ3,3
11,0.0,2014-01-31,2013-12,54.65,2547000000,FY2013.FQ4,4
12,0.0,2014-04-25,2014-03,60.24,2564000000,FY2014.FQ1,1
13,0.0,2014-07-24,2014-06,67.29,2575000000,FY2014.FQ2,2
14,0.0,2014-10-30,2014-09,79.04,2608000000,FY2014.FQ3,3
15,0.0,2015-01-29,2014-12,78.02,2778000000,FY2014.FQ4,4
16,0.0,2015-04-23,2015-03,82.22,2806000000,FY2015.FQ1,1
17,0.0,2015-07-31,2015-06,85.77,2800000000,FY2015.FQ2,2
18,0.0,2015-11-05,2015-09,89.9,2814000000,FY2015.FQ3,3
19,0.0,2016-01-28,2015-12,104.66,2834000000,FY2015.FQ4,4
20,0.0,2016-04-28,2016-03,114.1,2850000000,FY2016.FQ1,1
21,0.0,2016-07-28,2016-06,114.28,2862000000,FY2016.FQ2,2
22,0.0,2016-11-03,2016-09,128.27,2877000000,FY2016.FQ3,3
23,0.0,2017-02-03,2016-12,115.05,2892000000,FY2016.FQ4,4
24,0.0,2017-05-04,2017-03,142.05,2893000000,FY2017.FQ1,1
25,0.0,2017-07-27,2017-06,150.98,2900000000,FY2017.FQ2,2
26,0.0,2017-11-02,2017-09,168.73,2906000000,FY2017.FQ3,3
27,0.0,2018-02-01,2017-12,176.46,2906000000,FY2017.FQ4,4
28,0.0,2018-04-26,2018-03,159.79,2902000000,FY2018.FQ1,1
29,0.0,2018-07-26,2018-06,194.32,2891000000,FY2018.FQ2,2
30,0.0,2018-10-31,2018-09,164.46,2873000000,FY2018.FQ3,3
31,0.0,2019-01-31,2018-12,131.09,2854000000,FY2018.FQ4,4
32,0.0,2019-04-25,2019-03,166.69,2856000000,FY2019.FQ1,1
33,0.0,2019-07-25,2019-06,193.0,2854000000,FY2019.FQ2,2
34,0.0,2019-10-31,2019-09,178.08,2854000000,FY2019.FQ3,3
35,0.0,2020-01-30,2019-12,205.25,2852000000,FY2019.FQ4,4
36,0.0,2020-04-30,2020-03,166.8,2851000000,FY2020.FQ1,1
37,0.0,2020-07-31,2020-06,227.07,2850000000,FY2020.FQ2,2
38,0.0,2020-10-30,2020-09,261.9,2850000000,FY2020.FQ3,3
39,0.0,2021-01-28,2020-12,273.16,2849000000,FY2020.FQ4,4
40,0.0,2021-04-29,2021-03,294.53,2841000000,FY2021.FQ1,1
41,0.0,2021-07-29,2021-06,347.71,2826000000,FY2021.FQ2,2
42,0.0,2021-10-26,2021-09,339.39,2793000000,FY2021.FQ3,3
43,0.0,2022-02-03,2021-12,336.35,2741000000,FY2021.FQ4,4
44,0.0,2022-04-28,2022-03,222.36,2714000000,FY2022.FQ1,1
45,0.0,2022-07-28,2022-06,161.25,2697000000,FY2022.FQ2,2
46,0.0,2022-10-27,2022-09,135.68,2665000000,FY2022.FQ3,3
47,0.0,2023-02-02,2022-12,120.34,2614000000,FY2022.FQ4,4
48,0.0,2023-04-27,2023-03,211.94,2566000000,FY2023.FQ1,1
49,0.0,2023-07-27,2023-06,286.98,2573000000,FY2023.FQ2,2
50,0.0,2023-10-26,2023-09,300.21,2571000000,FY2023.FQ3,3
51,0.0,2024-02-02,2023-12,353.96,2561000000,FY2023.FQ4,4
52,0.5,2024-04-25,2024-03,485.58,2537000000,FY2024.FQ1,1
53,0.5,2024-08-01,2024-06,504.22,2533088000,FY2024.FQ2,2
54,0.5,2024-10-31,2024-09,572.44,2524000000,FY2024.FQ3,3
55,0.5,2025-01-30,2024-12,585.51,2534488000,FY2024.FQ4,4
56,0.525,2025-05-01,2025-03,576.36,2524450000,FY2025.FQ1,1
