,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,accounts_payable,accumulated_depreciation,aoci,apic,cash_and_equiv,common_stock,current_accrued_liabilities,current_capital_leases,current_deferred_revenue,current_deferred_tax_liability,equity_and_other_investments,goodwill,intangible_assets,inventories,lt_debt,minority_interest_liability,noncurrent_capital_leases,noncurrent_deferred_revenue,other_current_assets,other_current_liabilities,other_equity,other_lt_assets,other_lt_liabilities,pension_liabilities,ppe_gross,ppe_net,preferred_stock,receivables,retained_earnings,st_debt,st_investments,tax_payable,total_assets,total_current_assets,total_current_liabilities,total_equity,total_liabilities,total_liabilities_and_equity,total_noncurrent_assets,total_noncurrent_liabilities,treasury_stock,fiscal_year_key,fiscal_year_number
0,0.0,2001-09-18,2001-06,36.5,10766000000,1188000000,-2966000000,0,0,3922000000,28390000000,742000000,0,4395000000,0,0,0,1912000000,83000000,0,0,0,409000000,3856000000,2929000000,0,15399000000,1878000000,0,5275000000,2309000000,0,3671000000,18899000000,0,27678000000,0,58830000000,39210000000,9254000000,47289000000,11541000000,58830000000,19620000000,2287000000,0,FY2001,2001
1,0.0,2002-09-06,2002-06,27.35,10718000000,1208000000,-3623000000,0,0,3016000000,31647000000,1145000000,0,5920000000,0,0,0,1669000000,673000000,0,0,0,398000000,4122000000,4471000000,0,15133000000,2324000000,0,5891000000,2268000000,0,5129000000,20533000000,0,35636000000,0,67646000000,48576000000,12744000000,52180000000,15466000000,67646000000,19070000000,2722000000,0,FY2002,2002
2,0.08,2003-09-05,2003-06,25.64,10771000000,1573000000,-3855000000,0,0,6438000000,49234000000,1416000000,0,7225000000,0,0,0,3512000000,640000000,0,0,0,0,4089000000,3760000000,0,17024000000,2846000000,0,6078000000,2223000000,0,5196000000,15678000000,0,42610000000,0,81732000000,58973000000,13974000000,64912000000,16820000000,81732000000,22759000000,2846000000,0,FY2003,2003
3,0.16,2004-09-01,2004-06,28.8,10862000000,1717000000,-4163000000,0,0,14304000000,56396000000,1339000000,0,6514000000,0,0,0,3684000000,421000000,0,0,0,0,3663000000,5399000000,0,17792000000,4574000000,0,6489000000,2326000000,0,5890000000,18429000000,0,46288000000,0,94368000000,70566000000,14969000000,74825000000,19543000000,94368000000,23802000000,4574000000,0,FY2004,2004
4,0.32,2005-08-26,2005-06,24.84,10710000000,2086000000,-4029000000,1426000000,0,4851000000,60413000000,1662000000,0,7502000000,0,0,0,3808000000,491000000,0,0,0,0,3315000000,5627000000,0,15924000000,5823000000,0,6375000000,2346000000,0,7180000000,-13724000000,0,32900000000,0,70815000000,48737000000,16877000000,48115000000,22700000000,70815000000,22078000000,5823000000,0,FY2005,2005
5,0.34,2006-08-25,2006-06,23.3,10062000000,2909000000,-4179000000,1229000000,0,6714000000,59005000000,1938000000,0,9138000000,1557000000,0,3866000000,539000000,1478000000,0,0,0,0,4055000000,6900000000,0,13138000000,7051000000,0,7223000000,3044000000,0,9316000000,-20130000000,0,27447000000,0,69597000000,49010000000,22442000000,40104000000,29493000000,69597000000,20587000000,7051000000,0,FY2006,2006
6,0.39,2007-08-03,2007-06,29.47,9375492000,3247000000,-5016000000,1654000000,0,6111000000,60557000000,0,0,10779000000,0,10117000000,4760000000,878000000,1127000000,0,0,0,1867000000,4292000000,8688000000,0,2898000000,6453000000,0,9366000000,4350000000,0,11338000000,-31114000000,0,17300000000,1040000000,63171000000,40168000000,23754000000,31097000000,32074000000,63171000000,23003000000,8320000000,0,FY2007,2007
7,0.43,2008-07-31,2008-06,27.51,9151000000,4034000000,-6302000000,1140000000,0,10339000000,62849000000,0,0,13397000000,0,6588000000,12108000000,1973000000,985000000,0,0,0,1900000000,5006000000,9207000000,0,2640000000,4721000000,0,12544000000,6242000000,0,13589000000,-27703000000,0,13323000000,3248000000,72793000000,43242000000,29886000000,36286000000,36507000000,72793000000,29551000000,6621000000,0,FY2008,2008
8,0.5,2009-07-30,2009-06,23.77,8908000000,3324000000,-7547000000,0,0,6076000000,62382000000,0,0,13003000000,0,4933000000,12503000000,1759000000,717000000,3746000000,0,0,1281000000,5924000000,7982000000,0,1878000000,6269000000,0,15082000000,7535000000,0,11192000000,-22824000000,2000000000,25371000000,725000000,77888000000,49280000000,27034000000,39558000000,38330000000,77888000000,28608000000,11296000000,0,FY2009,2009
9,0.52,2010-07-30,2010-06,23.01,8668000000,4025000000,-8629000000,1055000000,0,5505000000,62856000000,0,0,13652000000,0,7754000000,12394000000,1158000000,740000000,4939000000,0,0,1407000000,5134000000,6396000000,0,1501000000,7445000000,0,16259000000,7630000000,0,13014000000,-17736000000,1000000000,31283000000,1074000000,86113000000,55676000000,26147000000,46175000000,39938000000,86113000000,30437000000,13791000000,0,FY2010,2010
10,0.61,2011-07-28,2011-06,26.0,8376000000,4197000000,-9829000000,0,0,9610000000,63415000000,0,0,15722000000,0,10865000000,12581000000,744000000,1372000000,11921000000,0,0,2854000000,5787000000,8275000000,0,1434000000,8072000000,0,17991000000,8162000000,0,14987000000,-6332000000,0,43162000000,580000000,108704000000,74918000000,28774000000,57083000000,51621000000,108704000000,33786000000,22847000000,0,FY2011,2011
11,0.76,2012-07-26,2012-06,30.59,8381000000,4175000000,-10962000000,1422000000,0,6938000000,65797000000,0,0,18653000000,0,9776000000,13452000000,3170000000,1137000000,10713000000,0,0,3299000000,5127000000,7840000000,0,1520000000,8208000000,0,19231000000,8269000000,0,15780000000,-856000000,1231000000,56102000000,789000000,121271000000,85084000000,32688000000,66363000000,54908000000,121271000000,36187000000,22220000000,0,FY2012,2012
12,0.89,2013-07-30,2013-06,34.55,8328000000,4828000000,-12513000000,1743000000,0,3804000000,67306000000,0,0,20639000000,0,10844000000,14655000000,3083000000,1938000000,12601000000,0,0,3469000000,5020000000,8359000000,0,2392000000,10000000000,0,22504000000,9991000000,0,17486000000,9895000000,2999000000,73218000000,592000000,142431000000,101466000000,37417000000,78944000000,63487000000,142431000000,40965000000,26070000000,0,FY2013,2013
13,1.07,2014-07-31,2014-06,41.7,8239000000,7432000000,-14793000000,3708000000,0,8669000000,68366000000,0,0,23150000000,0,14597000000,20127000000,6981000000,2660000000,20645000000,0,0,4736000000,6333000000,12261000000,0,3422000000,11594000000,0,27804000000,13011000000,0,19544000000,17710000000,2000000000,77040000000,782000000,172384000000,114246000000,45625000000,89784000000,82600000000,172384000000,58138000000,36975000000,0,FY2014,2014
14,1.21,2015-07-31,2015-06,44.15,8027000000,6591000000,-17606000000,2522000000,0,5595000000,68465000000,0,0,23223000000,0,12053000000,16939000000,4835000000,2902000000,27808000000,0,0,3390000000,5461000000,11743000000,0,3117000000,13544000000,0,32337000000,14731000000,0,17908000000,9096000000,7484000000,90931000000,606000000,174472000000,122797000000,49647000000,80083000000,94389000000,174472000000,51675000000,44742000000,0,FY2015,2015
15,1.39,2016-07-28,2016-06,51.17,7808000000,6898000000,-19800000000,1537000000,0,6510000000,68178000000,0,0,27468000000,0,10431000000,17872000000,3733000000,2251000000,40557000000,0,0,7917000000,5892000000,11507000000,0,3416000000,13640000000,0,38156000000,18356000000,0,18277000000,2282000000,12904000000,106730000000,580000000,193468000000,139660000000,59357000000,71997000000,121471000000,193468000000,53808000000,62114000000,0,FY2016,2016
16,1.53,2017-08-02,2017-06,68.93,7708000000,7390000000,-24179000000,627000000,0,7663000000,69315000000,0,0,24013000000,0,6023000000,35122000000,10106000000,2181000000,76073000000,0,5372000000,8377000000,5103000000,13503000000,0,6076000000,17034000000,0,54468000000,30289000000,0,22431000000,17769000000,10121000000,125318000000,718000000,250312000000,162696000000,55745000000,87711000000,162601000000,250312000000,87616000000,106856000000,0,FY2017,2017
17,1.65,2018-08-03,2018-06,98.61,7677000000,8617000000,-29223000000,-2187000000,0,11946000000,71223000000,0,0,28905000000,0,1862000000,35683000000,8053000000,2662000000,72242000000,0,5568000000,4356000000,6855000000,14847000000,0,7442000000,35476000000,0,65369000000,36146000000,0,26481000000,13682000000,3998000000,121718000000,2121000000,258848000000,169662000000,58488000000,82718000000,176130000000,258848000000,89186000000,117642000000,0,FY2018,2018
