,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_year_key,fiscal_year_number
0,0.0,2001-09-18,2001-06,36.5,10766000000,-1103000000,-5586000000,-8734000000,13422000000,-26000000,-924000000,1620000000,-5821000000,-7441000000,0,0,0,0,235000000,0,0,0,0,0,0,0,-7631000000,-66346000000,58715000000,0,-1103000000,-1103000000,0,298000000,1536000000,-420000000,0,7346000000,4662000000,716000000,0,-418000000,0,FY2001,2001
1,0.0,2002-09-06,2002-06,27.35,10718000000,-770000000,-4572000000,-10845000000,14509000000,2000000,-906000000,1497000000,-4572000000,-6069000000,0,0,0,0,0,0,0,0,0,0,0,0,-10075000000,-89386000000,79311000000,0,-770000000,-770000000,0,1992000000,1084000000,-416000000,0,7829000000,4020000000,3615000000,0,-1623000000,0,FY2002,2002
2,0.08,2003-09-05,2003-06,25.64,10771000000,-891000000,-5223000000,-7495000000,15797000000,61000000,3140000000,2120000000,-4366000000,-6486000000,0,0,0,-857000000,0,0,0,0,0,0,0,0,-5541000000,-91869000000,86328000000,-1063000000,-891000000,-891000000,0,634000000,1393000000,-1348000000,0,7531000000,7587000000,447000000,0,187000000,0,FY2003,2003
3,0.16,2004-09-01,2004-06,28.8,10862000000,-1109000000,-2364000000,-3342000000,14626000000,27000000,8947000000,2748000000,-635000000,-3383000000,0,0,0,-1729000000,0,0,0,0,0,0,0,0,-2229000000,-95005000000,92776000000,-4000000,-1109000000,-1109000000,0,1320000000,1186000000,-1479000000,0,8168000000,5431000000,2007000000,0,-687000000,0,FY2004,2004
4,0.32,2005-08-26,2005-06,24.84,10710000000,-812000000,-41078000000,15027000000,16605000000,-7000000,-9453000000,3109000000,-4948000000,-8057000000,0,0,0,-36112000000,-18000000,0,0,0,0,0,0,0,16046000000,-68045000000,84091000000,-207000000,-812000000,-812000000,0,174000000,855000000,-179000000,0,12254000000,3501000000,1417000000,0,-1243000000,0,FY2005,2005
5,0.34,2006-08-25,2006-06,23.3,10062000000,-1578000000,-20562000000,8003000000,14404000000,18000000,1863000000,2101000000,-17106000000,-19207000000,0,0,0,-3545000000,89000000,0,0,0,-649000000,-649000000,0,0,7113000000,-51117000000,58230000000,3117000000,-1578000000,-1578000000,0,-2397000000,903000000,219000000,0,12599000000,1365000000,-326000000,0,-2071000000,1715000000,FY2006,2006
6,0.39,2007-08-03,2007-06,29.47,9375492000,-2264000000,-24544000000,6089000000,17796000000,56000000,-603000000,6782000000,-20793000000,-27575000000,0,0,0,-3805000000,54000000,0,0,0,-1150000000,-1150000000,0,0,9879000000,-36308000000,46187000000,-376000000,-2264000000,-2264000000,0,-961000000,1440000000,421000000,0,14065000000,1281000000,803000000,0,-1764000000,1550000000,FY2007,2007
7,0.43,2008-07-31,2008-06,27.51,9151000000,-3182000000,-12934000000,-4587000000,21612000000,137000000,4228000000,3494000000,-9039000000,-12533000000,0,0,0,-4015000000,120000000,0,0,0,-8053000000,-8053000000,0,0,6775000000,-20954000000,27729000000,-127000000,-3182000000,-3182000000,0,22097000000,2056000000,935000000,0,17681000000,-22636000000,23666000000,0,-1569000000,1479000000,FY2008,2008
8,0.5,2009-07-30,2009-06,23.77,8908000000,-3119000000,-7463000000,-15770000000,19037000000,-67000000,-4263000000,579000000,-8774000000,-9353000000,5974000000,5746000000,-228000000,-4468000000,33000000,0,0,0,-868000000,-868000000,0,0,-11783000000,-37780000000,25997000000,0,-3119000000,-3119000000,0,-178000000,2562000000,762000000,255000000,14569000000,-386000000,-2648000000,0,2215000000,1708000000,FY2009,2009
9,0.52,2010-07-30,2010-06,23.01,8668000000,-1977000000,-13291000000,-11314000000,24073000000,-39000000,-571000000,2311000000,-8958000000,-11269000000,4167000000,190000000,-3977000000,-4578000000,55000000,0,0,0,-245000000,-245000000,0,0,-7590000000,-30168000000,22578000000,-1502000000,-1977000000,-1977000000,0,30035000000,2673000000,-220000000,-44000000,18760000000,-29066000000,32317000000,0,-2238000000,1891000000,FY2010,2010
