,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_year_key,fiscal_year_number
0,0.0,2001-09-18,2001-06,36.5,10766000000,1.244,1.2908,47289000000,4.2419,-0.2548,-0.1906,0.3744,0.1746,4.237,0.0,0.0,0.0,0.0,0.0,0.0,13256000000,0.0815,0.524,1.189,361359000000,7.6415,49.1912,29.3334,31.3543,14.2852,7.9634,0.282,-0.2235,0.8038,12319000000,0.4531,0.168,0.4869,0.3614,1.105,0.8634,0.8792,0.0945,0.33,392959000000,-3922000000,-0.2202,0.2904,8790000000,0.0648,0.3896,1.0513,0.4633,0.0,1.8963,0.2133,-0.1926,1.0338,0.4556,0.4174,8.3097,53.4929,31.8986,34.0962,15.5344,8.6598,0.2994,0.1019,2.2691,0.1323,0.2518,0.2548,0.1657,0.3365,0.1657,0.29295235247787,0.1839,0.3361,0.2602,0.0073,200000000,0.0189,4.0704,45377000000,0.43,0.128,0.4269,0.1431,FY2001,2001
1,0.0,2002-09-06,2002-06,27.35,10718000000,1.2963,1.3086,52180000000,4.6983,0.3019,-0.231,0.3194,0.0809,3.8116,0.0,0.0,0.0,0.0,0.0,0.0,12994000000,-0.0197,0.458,1.1699,254485300000,4.877,32.5054,18.5228,22.1041,8.9718,5.0382,0.2422,0.0606,0.7713,13739000000,0.3698,0.1152,0.4843,0.4156,1.237,0.8169,0.8792,0.061,0.3199,293137300000,-3016000000,0.0657,0.276,8932500000,0.0162,0.4139,1.0723,0.4198,0.0,1.5457,-0.0177,-0.001,1.0366,0.4058,0.4255,5.6178,37.4424,21.3361,25.4614,10.3344,5.8034,0.2624,0.1213,2.554,0.1238,0.2471,0.2279,0.1574,0.3128,0.1574,0.29295235247787,0.1692,0.3128,0.236,-0.0037,-48000000,-0.0044,4.548,50511000000,0.3831,0.1498,0.3729,0.1034,FY2002,2002
2,0.08,2003-09-05,2003-06,25.64,10771000000,1.2591,1.3086,64912000000,5.965,-0.1571,1.1346,0.3084,0.0887,4.2201,0.0,0.0,0.0,0.0,0.0,0.0,10938000000,-0.1582,0.3398,1.0051,227120440000,3.4988,30.158,15.2368,20.5464,7.0562,3.699,0.213,-0.0142,0.7942,14906000000,0.3335,0.0849,0.4631,0.4612,1.3697,0.8117,0.878,0.1274,0.3187,276168440000,-6438000000,-0.038,0.2339,7158750000,-0.1985,0.4139,0.8771,0.2965,0.1159,1.721,-0.0198,-0.0398,1.0158,0.3434,0.4255,4.2545,36.6708,18.5273,24.9835,8.5801,4.4978,0.2397,0.1347,2.9578,0.1008,0.2377,0.1556,0.1286,0.2975,0.1286,0.29295235247787,0.1399,0.2938,0.1624,-0.0201,53000000,0.0049,5.6423,61400000000,0.3589,0.2082,0.3494,0.244,FY2003,2003
3,0.16,2004-09-01,2004-06,28.8,10862000000,1.2611,1.3086,74825000000,6.8684,-0.2446,1.2218,0.2482,-0.0741,4.7141,0.0,0.0,0.0,0.0,0.0,1.0,10220000000,-0.0656,0.2774,0.9381,252233600000,3.3709,30.8807,18.6604,20.6816,6.8476,3.5455,0.2031,0.0869,0.7929,13517000000,0.2623,-0.0931,0.3669,0.4612,1.2407,0.8176,0.867,0.1527,0.3302,312825600000,-14304000000,0.0845,0.2217,6775500000,-0.0535,0.4139,0.8292,0.2452,0.2133,1.8853,0.0463,0.1033,1.1195,0.331,0.4255,4.1807,38.2989,23.1431,25.6498,8.4926,4.3972,0.2299,0.1444,3.3812,0.0927,0.2193,0.1227,0.1169,0.2834,0.1169,0.29295235247787,0.1372,0.2797,0.129,0.0011,91000000,0.0084,6.5302,71141000000,0.3321,0.1546,0.326,0.1527,FY2004,2004
4,0.32,2005-08-26,2005-06,24.84,10710000000,1.4717,1.3156,48115000000,4.4117,0.2678,-0.6608,0.2363,0.1353,2.8877,0.0,0.0,0.0,0.0,0.0,1.0,15416000000,0.5084,0.3874,1.4135,228285400000,4.7445,18.6294,14.4548,13.7289,5.7375,5.1523,0.2268,0.4933,0.6794,15793000000,0.2658,0.1683,0.3969,0.4612,1.4481,0.8484,0.8641,0.1207,0.263,266036400000,-4851000000,0.5002,0.3079,10920750000,0.6117,0.4139,1.3351,0.3659,0.2857,0.9571,0.0085,0.3633,1.5246,0.4179,0.4315,5.5291,21.7101,16.8452,15.9993,6.6863,6.0043,0.2095,0.0801,3.6482,0.1483,0.1779,0.2184,0.1993,0.2346,0.1993,0.29295235247787,0.2361,0.2346,0.2314,0.0011,-152000000,-0.0139,4.0626,44307000000,0.2566,-0.2495,0.2431,-0.3569,FY2005,2005
5,0.34,2006-08-25,2006-06,23.3,10062000000,1.7354,1.3156,40104000000,3.8081,-0.9433,0.384,0.145,-0.1325,2.1838,0.0,0.0,0.0,0.0,0.0,0.0625,17375000000,0.127,0.3923,1.6498,200283600000,4.9941,15.8967,15.6154,10.9672,4.5229,5.6103,0.1876,0.0714,0.5762,12826000000,0.148,-0.1878,0.2896,0.4612,1.2179,0.8272,0.8559,0.0851,0.31,234444600000,-6714000000,0.0281,0.2845,12354000000,0.1312,0.4139,1.5641,0.3719,0.2833,0.9918,0.2975,0.0982,1.7341,0.4124,0.4315,5.8459,18.6081,18.2788,12.8378,5.2943,6.5672,0.1771,0.1129,4.2049,0.1794,0.1639,0.3258,0.2856,0.2346,0.2856,0.29295235247787,0.3287,0.2346,0.3546,-0.0343,-648000000,-0.0605,3.3898,35699000000,0.2129,-0.0171,0.1901,-0.1664,FY2006,2006
6,0.39,2007-08-03,2007-06,29.47,9375492000,2.0314,1.3205,31097000000,3.1455,-0.4347,-0.0898,0.1426,0.2354,1.6909,0.0,0.0,0.0,0.0,0.0,0.147,19878000000,0.144,0.3888,2.0107,252884749240,8.1321,17.9797,16.2815,12.5807,4.9466,9.933,0.1571,0.1833,0.4922,15532000000,0.1399,0.2109,0.3038,0.4612,1.5711,0.7908,0.8378,0.1036,0.3002,276295749240,-6111000000,0.1163,0.2751,13828500000,0.1193,0.3959,1.865,0.3606,0.2746,1.2502,0.429,0.1007,2.0332,0.3931,0.4151,8.8849,19.6442,17.7888,13.7453,5.4046,10.8525,0.1565,0.1544,5.1711,0.2118,0.1639,0.4259,0.395,0.2346,0.395,0.29295235247787,0.4818,0.2346,0.4818,-0.0612,-686508000,-0.0682,2.5752,25459000000,0.1594,-0.0923,0.1117,-0.2245,FY2007,2007
7,0.43,2008-07-31,2008-06,27.51,9151000000,2.006,1.3273,36286000000,3.8316,-0.4054,0.6918,0.0986,0.2144,1.4468,0.0,0.0,0.0,0.0,0.0,0.1025,24327000000,0.2238,0.4026,2.5688,228082010000,6.2856,12.8998,12.3755,9.5776,3.7749,10.2716,0.161,0.3169,0.4984,18430000000,0.0928,0.1865,0.305,0.4281,1.9461,0.808,0.8224,0.2075,0.2575,251744010000,-10339000000,0.257,0.2926,16703250000,0.2078,0.3702,2.3517,0.3686,0.2299,0.8839,0.4349,0.1847,2.5146,0.3941,0.4091,6.9377,14.2381,13.6594,10.5712,4.1665,11.3372,0.1475,0.1818,6.3801,0.26,0.1639,0.541,0.5247,0.2346,0.5247,0.29295235247787,0.6942,0.2346,0.7114,-0.042,-224492000,-0.0239,2.3447,22205000000,0.1252,0.1523,0.0811,0.1668,FY2008,2008
8,0.5,2009-07-30,2009-06,23.77,8908000000,1.9689,1.384,39558000000,4.3972,0.0197,-0.4123,0.0377,-0.1191,1.8228,0.0737,0.0,0.1452,0.0,0.0,0.1627,22925000000,-0.0576,0.3923,2.5483,184042160000,4.6524,12.6324,11.5618,9.2852,3.1494,7.2755,0.0859,-0.1336,0.5078,15918000000,0.0233,-0.1362,0.2723,0.3819,1.7694,0.7919,0.8173,-0.052,0.2649,211743160000,-330000000,-0.176,0.2493,15272250000,-0.0856,0.3672,2.2635,0.3484,0.3086,1.6901,0.2071,-0.1676,2.2033,0.3391,0.4,5.3527,14.5338,13.3021,10.6827,3.6234,8.3706,0.1145,-0.0328,6.4958,0.1933,0.1639,0.4252,0.3841,0.2346,0.3571,0.29295235247787,0.447,0.2346,0.604,-0.05,-243000000,-0.0265,2.8119,25296000000,0.0726,0.0699,0.0335,0.0901,FY2009,2009
9,0.52,2010-07-30,2010-06,23.01,8668000000,1.8649,1.6035,46175000000,5.1725,0.3661,-0.0939,0.0773,0.2645,2.1293,0.0689,0.0,0.1286,0.0,0.0,0.04,26771000000,0.1677,0.4284,2.9988,167601680000,3.6297,8.9339,7.5851,6.7005,2.6823,5.1375,0.0946,0.2962,0.5362,22096000000,0.0767,0.3881,0.3536,0.3602,2.4751,0.8016,0.8143,0.0822,0.2499,199450680000,434000000,0.2876,0.3002,18073500000,0.1834,0.3672,2.6994,0.3856,0.2476,1.1231,0.0126,0.2619,2.8019,0.4003,0.3972,4.3194,10.6316,9.0265,7.9738,3.192,6.1138,0.1053,0.0692,6.9994,0.2287,0.1639,0.4234,0.4376,0.2424,0.3851,0.29295235247787,0.4371,0.2424,0.5603,-0.0076,-240000000,-0.0269,3.6544,32623000000,0.0514,0.1056,0.011,0.1672,FY2010,2010
