,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,da_income_statement_supplemental,eps_basic,eps_diluted,gross_profit,income_allocated_to_minority_interest,income_tax,interest_expense,interest_income,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income_normal,operating_income,other_income_statement_items,other_nonoperating_income,other_opex,preferred_dividends,pretax_income,revenue,rnd,sga,shares_basic,shares_diluted,special_charges,total_opex,fiscal_year_key,fiscal_year_number
0,0.0,2001-09-18,2001-06,36.5,10766000000,3455000000,1536000000,0.69,0.66,21841000000,0,-3804000000,0,0,7346000000,7346000000,7721000000,0,0,11720000000,-375000000,-195000000,0,0,11525000000,25296000000,4379000000,5742000000,10682000000,11148000000,0,10121000000,FY2001,2001
1,0.0,2002-09-06,2002-06,27.35,10718000000,5191000000,1084000000,0.72,0.7,23174000000,0,-3684000000,0,0,7829000000,7829000000,7829000000,0,0,11910000000,0,-397000000,0,0,11513000000,28365000000,4307000000,6957000000,10811000000,11106000000,0,11264000000,FY2002,2002
2,0.08,2003-09-05,2003-06,25.64,10771000000,6059000000,1393000000,0.7,0.69,26128000000,0,-3523000000,0,0,7531000000,7531000000,7531000000,0,0,9545000000,0,1509000000,0,0,11054000000,32187000000,6595000000,9988000000,10723000000,10882000000,0,16583000000,FY2003,2003
3,0.16,2004-09-01,2004-06,28.8,10862000000,6716000000,1186000000,0.76,0.75,30119000000,0,-4028000000,0,0,8168000000,8168000000,8168000000,0,0,9034000000,0,3162000000,0,0,12196000000,36835000000,7779000000,13306000000,10803000000,10894000000,0,21085000000,FY2004,2004
4,0.32,2005-08-26,2005-06,24.84,10710000000,6031000000,855000000,1.13,1.12,33757000000,0,-4374000000,0,0,12254000000,12254000000,12254000000,0,0,14561000000,0,2067000000,0,0,16628000000,39788000000,6097000000,13099000000,10839000000,10906000000,0,19196000000,FY2005,2005
5,0.34,2006-08-25,2006-06,23.3,10062000000,7650000000,903000000,1.21,1.2,36632000000,0,-5663000000,0,1510000000,12599000000,12599000000,12599000000,0,1510000000,16472000000,0,280000000,0,0,18262000000,44282000000,6584000000,13576000000,10438000000,10531000000,0,20160000000,FY2006,2006
6,0.39,2007-08-03,2007-06,29.47,9375492000,10693000000,1440000000,1.44,1.42,40429000000,0,-6036000000,0,1319000000,14065000000,14065000000,14065000000,0,1319000000,18438000000,0,344000000,0,0,20101000000,51122000000,7121000000,14870000000,9742000000,9886000000,0,21991000000,FY2007,2007
7,0.43,2008-07-31,2008-06,27.51,9151000000,11598000000,2056000000,1.9,1.87,48822000000,0,-6133000000,-994000000,888000000,17681000000,17681000000,17681000000,0,-106000000,22271000000,0,1649000000,0,0,23814000000,60420000000,8164000000,18387000000,9328000000,9470000000,0,26551000000,FY2008,2008
8,0.5,2009-07-30,2009-06,23.77,8908000000,12155000000,2562000000,1.63,1.62,46282000000,0,-5252000000,-38000000,744000000,14569000000,14569000000,14569000000,0,706000000,20363000000,0,-1248000000,0,0,19821000000,58437000000,9010000000,16909000000,8945000000,8996000000,0,25919000000,FY2009,2009
9,0.52,2010-07-30,2010-06,23.01,8668000000,12395000000,2673000000,2.13,2.1,50089000000,0,-6253000000,-151000000,0,18760000000,18760000000,18760000000,0,-151000000,24098000000,0,1066000000,0,0,25013000000,62484000000,8714000000,17277000000,8813000000,8927000000,0,25991000000,FY2010,2010
10,0.61,2011-07-28,2011-06,26.0,8376000000,15577000000,2766000000,2.73,2.69,54366000000,0,-4921000000,-295000000,900000000,23150000000,23150000000,23150000000,0,605000000,27161000000,0,305000000,0,0,28071000000,69943000000,9043000000,18162000000,8490000000,8593000000,0,27205000000,FY2011,2011
11,0.76,2012-07-26,2012-06,30.59,8381000000,17530000000,2967000000,2.02,2.0,56193000000,0,-5289000000,-380000000,800000000,16978000000,16978000000,16978000000,0,420000000,27956000000,0,-6109000000,0,0,22267000000,73723000000,9811000000,18426000000,8396000000,8506000000,0,28237000000,FY2012,2012
12,0.89,2013-07-30,2013-06,34.55,8328000000,20385000000,3755000000,2.61,2.58,57464000000,0,-5189000000,-429000000,677000000,21863000000,21863000000,21863000000,0,248000000,26764000000,0,40000000,0,0,27052000000,77849000000,10411000000,20289000000,8375000000,8470000000,0,30700000000,FY2013,2013
13,1.07,2014-07-31,2014-06,41.7,8239000000,27078000000,5212000000,2.66,2.63,59755000000,0,-5746000000,-597000000,883000000,22074000000,22074000000,22074000000,0,286000000,27886000000,0,-352000000,0,0,27820000000,86833000000,11381000000,20488000000,8299000000,8399000000,0,31869000000,FY2014,2014
14,1.21,2015-07-31,2015-06,44.15,8027000000,33038000000,5957000000,1.49,1.48,60542000000,0,-6314000000,-781000000,766000000,12193000000,12193000000,12193000000,0,-15000000,28172000000,0,-9650000000,0,0,18507000000,93580000000,12046000000,20324000000,8177000000,8254000000,0,32370000000,FY2015,2015
15,1.39,2016-07-28,2016-06,51.17,7808000000,32780000000,6622000000,2.59,2.56,58374000000,0,-5100000000,-1243000000,903000000,20539000000,20539000000,20539000000,0,-340000000,27188000000,0,-1209000000,0,0,25639000000,91154000000,11988000000,19198000000,7925000000,8013000000,0,31186000000,FY2016,2016
16,1.53,2017-08-02,2017-06,68.93,7708000000,34261000000,8778000000,3.29,3.25,62310000000,0,-4412000000,-2222000000,1387000000,25489000000,25489000000,25489000000,0,-835000000,29331000000,0,1405000000,0,0,29901000000,96571000000,13037000000,19942000000,7746000000,7832000000,0,32979000000,FY2017,2017
17,1.65,2018-08-03,2018-06,98.61,7677000000,38353000000,10261000000,2.15,2.13,72007000000,0,-19903000000,-2733000000,2214000000,16571000000,16571000000,16571000000,0,-519000000,35058000000,0,1935000000,0,0,36474000000,110360000000,14726000000,22223000000,7700000000,7794000000,0,36949000000,FY2018,2018
18,1.8,2019-08-01,2019-06,133.96,7643000000,42910000000,11682000000,5.11,5.06,82933000000,0,-4448000000,-2686000000,2762000000,39240000000,39240000000,39240000000,0,76000000,42959000000,0,653000000,0,0,43688000000,125843000000,16876000000,23098000000,7673000000,7753000000,0,39974000000,FY2019,2019
19,1.99,2020-07-31,2020-06,203.51,7571000000,46078000000,12796000000,5.82,5.76,96937000000,0,-8755000000,-2591000000,2680000000,44281000000,44281000000,44281000000,0,89000000,52959000000,0,-12000000,0,0,53036000000,143015000000,19269000000,24709000000,7610000000,7683000000,0,43978000000,FY2020,2020
20,2.19,2021-07-29,2021-06,270.9,7519000000,52232000000,11686000000,8.12,8.05,115856000000,0,-9831000000,-2346000000,2131000000,61271000000,61271000000,61271000000,0,-215000000,69916000000,0,1401000000,0,0,71102000000,168088000000,20716000000,25224000000,7547000000,7608000000,0,45940000000,FY2021,2021
