,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_year_key,fiscal_year_number
0,0.0,2001-09-18,2001-06,36.5,10766000000,FY2001,2001
1,0.0,2002-09-06,2002-06,27.35,10718000000,FY2002,2002
2,0.08,2003-09-05,2003-06,25.64,10771000000,FY2003,2003
3,0.16,2004-09-01,2004-06,28.8,10862000000,FY2004,2004
4,0.32,2005-08-26,2005-06,24.84,10710000000,FY2005,2005
5,0.34,2006-08-25,2006-06,23.3,10062000000,FY2006,2006
6,0.39,2007-08-03,2007-06,29.47,9375492000,FY2007,2007
7,0.43,2008-07-31,2008-06,27.51,9151000000,FY2008,2008
8,0.5,2009-07-30,2009-06,23.77,8908000000,FY2009,2009
9,0.52,2010-07-30,2010-06,23.01,8668000000,FY2010,2010
10,0.61,2011-07-28,2011-06,26.0,8376000000,FY2011,2011
11,0.76,2012-07-26,2012-06,30.59,8381000000,FY2012,2012
12,0.89,2013-07-30,2013-06,34.55,8328000000,FY2013,2013
13,1.07,2014-07-31,2014-06,41.7,8239000000,FY2014,2014
14,1.21,2015-07-31,2015-06,44.15,8027000000,FY2015,2015
15,1.39,2016-07-28,2016-06,51.17,7808000000,FY2016,2016
16,1.53,2017-08-02,2017-06,68.93,7708000000,FY2017,2017
17,1.65,2018-08-03,2018-06,98.61,7677000000,FY2018,2018
18,1.8,2019-08-01,2019-06,133.96,7643000000,FY2019,2019
19,1.99,2020-07-31,2020-06,203.51,7571000000,FY2020,2020
20,2.19,2021-07-29,2021-06,270.9,7519000000,FY2021,2021
21,2.42,2022-07-28,2022-06,256.83,7464000000,FY2022,2022
22,2.66,2023-07-27,2023-06,340.54,7432000000,FY2023,2023
23,2.93,2024-07-30,2024-06,446.95,7434139000,FY2024,2024
