,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_quarter_key,fiscal_quarter_number
0,0.0,2001-10-26,2001-09,25.59,10771507000,-150000000,-734000000,-3469000000,3389000000,5000000,-809000000,391000000,-734000000,-1125000000,0,0,0,0,0,0,0,0,0,0,0,0,-3319000000,-16020000000,12701000000,0,-150000000,-150000000,0,731000000,282000000,-839000000,0,1283000000,1932000000,662000000,0,69000000,0,FY2002.FQ1,1
1,0.0,2002-02-08,2001-12,33.14,10806000000,-172000000,254000000,-1680000000,3565000000,4000000,2143000000,395000000,254000000,-141000000,0,0,0,0,0,0,0,0,0,0,0,0,-1508000000,-16419000000,14911000000,0,-172000000,-172000000,0,728000000,295000000,-22000000,0,2283000000,281000000,2196000000,0,-1468000000,0,FY2002.FQ2,2
2,0.0,2002-04-30,2002-03,30.16,10830926000,-166000000,-251000000,-3996000000,4121000000,-14000000,-140000000,425000000,-251000000,-676000000,0,0,0,0,0,0,0,0,0,0,0,0,-3830000000,-27809000000,23979000000,0,-166000000,-166000000,0,955000000,148000000,144000000,0,2738000000,136000000,301000000,0,654000000,0,FY2002.FQ3,3
3,0.0,2002-09-06,2002-06,27.35,10718000000,-282000000,-3841000000,-1700000000,3434000000,7000000,-2100000000,286000000,-3841000000,-4127000000,0,0,0,0,0,0,0,0,0,0,0,0,-1418000000,-29138000000,27720000000,0,-282000000,-282000000,0,-422000000,359000000,301000000,0,1525000000,1671000000,456000000,0,-878000000,0,FY2002.FQ4,4
4,0.0,2002-11-14,2002-09,21.87,10692900000,-160000000,-2958000000,-897000000,6172000000,5000000,2322000000,539000000,-2958000000,-3497000000,0,0,0,0,0,0,0,0,0,0,0,0,133000000,-26685000000,26818000000,-870000000,-160000000,-160000000,0,2909000000,273000000,-939000000,0,2041000000,1888000000,2158000000,0,751000000,0,FY2003.FQ1,1
5,0.0,2003-01-31,2002-12,25.85,10701385000,-276000000,-571000000,-2019000000,2767000000,37000000,214000000,365000000,-571000000,-936000000,0,0,0,0,0,0,0,0,0,0,0,0,-1734000000,-19406000000,17672000000,-9000000,-276000000,-276000000,0,-275000000,275000000,-592000000,0,1865000000,1494000000,74000000,0,-349000000,0,FY2003.FQ2,2
6,0.08,2003-05-12,2003-03,24.21,10722000000,-182000000,-1211000000,-4207000000,4169000000,-3000000,-1252000000,485000000,-354000000,-839000000,0,0,0,0,-857000000,0,0,0,0,0,0,0,-4013000000,-25106000000,21093000000,-12000000,-182000000,-182000000,0,185000000,419000000,1182000000,0,4166000000,-1783000000,-638000000,0,823000000,0,FY2003.FQ3,3
7,0.0,2003-09-05,2003-06,25.64,10771000000,-273000000,-483000000,-372000000,2689000000,22000000,1856000000,731000000,-483000000,-1214000000,0,0,0,0,0,0,0,0,0,0,0,0,73000000,-20672000000,20745000000,-172000000,-273000000,-273000000,0,-2185000000,426000000,-999000000,0,-541000000,5988000000,-1147000000,0,-1038000000,0,FY2003.FQ4,4
8,0.0,2003-11-13,2003-09,27.8,10805000000,-167000000,-350000000,-3748000000,3424000000,4000000,-670000000,695000000,-350000000,-1045000000,0,0,0,0,0,0,0,0,0,0,0,0,-3577000000,-24598000000,21021000000,-4000000,-167000000,-167000000,0,-749000000,328000000,6000000,0,2614000000,1225000000,-1425000000,0,676000000,0,FY2004.FQ1,1
9,0.16,2004-02-06,2003-12,27.37,10789000000,-172000000,-2270000000,-1949000000,4574000000,26000000,381000000,189000000,-541000000,-730000000,0,0,0,0,-1729000000,0,0,0,0,0,0,0,-1777000000,-22377000000,20600000000,0,-172000000,-172000000,0,651000000,300000000,-985000000,0,1549000000,3059000000,1655000000,0,-1004000000,0,FY2004.FQ2,2
