,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_quarter_key,fiscal_quarter_number
0,0.0,2001-10-26,2001-09,25.59,10771507000,1.2651,1.2629,48505000000,4.3564,0.3877,0.1787,0.0235,0.1449,3.4467,0.0,0.0,0.0,0.0,0.0,0.0,3179000000,0.0502,0.5189,0.2855,239479864130,4.9372,37.2847,18.6467,25.0501,9.3342,5.139,-0.0411,-0.425,0.7904,3239000000,0.0208,0.193,0.5287,0.4869,0.2909,0.8556,0.8681,0.0609,0.32,275642864130,-3113000000,-0.4184,0.2094,2172750000,0.0432,0.4805,0.2601,0.4729,0.0,-10.4374,0.1459,-0.5101,0.1694,0.308,0.6009,5.6827,42.9149,21.4624,28.8329,10.7437,5.915,0.0291,0.0624,0.5502,0.1068,0.1786,0.2414,0.1341,0.2249,0.1341,0.26151804149355,0.1447,0.2249,0.2512,0.0017,5507000,0.0005,4.1853,46600000000,0.0622,0.0941,0.0654,0.0697,FY2002.FQ1,1
1,0.0,2002-02-08,2001-12,33.14,10806000000,1.2684,1.2629,51548000000,4.6389,0.3676,0.4885,-0.0461,0.2213,4.1486,0.0,0.0,0.0,0.0,0.0,0.0,3136000000,-0.0865,0.4051,0.2822,319881840000,6.2055,52.5948,23.5397,35.5424,11.9149,6.4371,0.0024,-0.1276,0.7883,3393000000,-0.0458,0.2818,0.4383,0.4748,0.3053,0.8005,0.8638,0.0898,0.3199,358110840000,-5256000000,-0.1299,0.2949,2130750000,-0.1105,0.4762,0.2556,0.367,0.0,238.1593,0.0676,-0.1429,0.3021,0.4336,0.6009,6.9471,58.8804,26.3529,39.79,13.3389,7.2064,0.0299,0.1818,0.6966,0.0959,0.1717,0.2245,0.1215,0.2136,0.1215,0.26151804149355,0.1326,0.2136,0.233,-0.0025,34493000,0.0032,4.472,49693000000,0.054,0.1334,0.0612,0.1104,FY2002.FQ2,2
2,0.0,2002-04-30,2002-03,30.16,10830926000,1.2592,1.2599,54300000000,4.8791,0.3712,0.233,0.0373,0.0396,4.0387,0.0,0.0,0.0,0.0,0.0,0.0,3446000000,-0.01,0.4756,0.3096,287967728160,5.3032,45.2139,20.8009,30.7395,10.4,5.4757,0.0225,0.1363,0.7941,3955000000,0.0382,0.0689,0.5458,0.4748,0.3553,0.8074,0.8582,0.0628,0.3199,326660728160,-5116000000,0.117,0.3779,2473500000,0.1,0.4705,0.2963,0.4552,0.0,22.7293,0.0106,0.1006,0.3617,0.5556,0.5846,6.0158,51.2891,23.5958,34.8698,11.7974,6.2114,0.0301,0.1315,0.651,0.0952,0.1671,0.2136,0.1203,0.2074,0.1203,0.26151804149355,0.1334,0.2074,0.2207,0.0002,24926000,0.0023,4.7254,52590000000,0.0559,0.1472,0.0565,0.1291,FY2002.FQ3,3
3,0.0,2002-09-06,2002-06,27.35,10718000000,1.2963,1.2599,52180000000,4.7225,0.1242,-0.231,0.0161,-0.0405,3.8116,0.0,0.0,0.0,0.0,0.0,0.0,3233000000,-0.0247,0.4457,0.2926,254485300000,4.877,32.5054,18.5228,22.1041,8.9718,5.0382,-0.0512,25.0,0.7713,3152000000,0.0157,-0.0322,0.4345,0.4748,0.2852,0.8113,0.8563,0.0306,0.3201,293137300000,-3016000000,22.4615,0.2102,2155500000,0.0447,0.4617,0.2601,0.3962,0.0,-7.3059,-0.0177,21.8877,0.203,0.3092,0.5634,5.6178,37.4424,21.3361,25.4614,10.3344,5.8034,0.0172,0.1027,0.6564,0.1151,0.1446,0.2137,0.147,0.1795,0.147,0.26151804149355,0.1592,0.1795,0.2204,-0.0083,-112926000,-0.0104,4.5715,50511000000,0.0413,0.1498,0.0419,0.1034,FY2002.FQ4,4
4,0.0,2002-11-14,2002-09,21.87,10692900000,1.3124,1.2599,53516000000,4.8949,-0.0666,0.7147,0.0764,0.8211,3.6376,0.0,0.0,0.0,0.0,0.0,0.0,3301000000,0.0383,0.4261,0.3019,193378723000,3.6134,22.5199,11.7114,15.2591,6.4491,3.8661,-0.0122,0.6521,0.7619,6012000000,0.083,0.8561,0.7761,0.483,0.5498,0.8264,0.841,0.2212,0.3301,233853723000,-5338000000,0.5908,0.2634,2271000000,0.0452,0.4473,0.2769,0.3909,0.0,-22.1675,-0.0318,0.6147,0.2786,0.3933,0.4946,4.3697,27.2334,14.1626,18.4529,7.799,4.6752,0.0319,0.2644,0.7084,0.1245,0.1243,0.2162,0.1624,0.1582,0.1624,0.26151804149355,0.1764,0.1582,0.2267,-0.018,-25100000,-0.0023,4.575,50019000000,0.0327,0.1445,0.03,0.1033,FY2003.FQ1,1
5,0.0,2003-01-31,2002-12,25.85,10701385000,1.2964,1.2622,55812000000,5.1458,-0.6046,0.0563,0.0029,-0.2238,3.8871,0.0,0.0,0.0,0.0,0.0,0.0,2508000000,-0.2002,0.2936,0.2312,233206802250,4.1784,28.5477,14.9395,19.5774,7.5753,4.4464,-0.0232,-0.1707,0.7713,2491000000,0.0026,-0.2658,0.2916,0.483,0.2296,0.7497,0.841,0.0334,0.2815,276630802250,-5552000000,-0.183,0.2183,1674750000,-0.214,0.4367,0.2058,0.2614,0.0,-14.5898,0.0075,-0.2266,0.2393,0.3039,0.4135,4.9564,33.8634,17.7213,23.2228,8.9858,5.2743,0.0393,0.1033,0.7874,0.1145,0.1195,0.1984,0.1494,0.1517,0.1494,0.26151804149355,0.1659,0.1517,0.211,-0.0239,8485000,0.0007,4.8356,52448000000,0.0332,0.1066,0.0304,0.0827,FY2003.FQ2,2
6,0.08,2003-05-12,2003-03,24.21,10722000000,1.2779,1.2668,58282000000,5.378,-0.0963,-0.1594,0.0348,0.0116,4.154,0.0,0.0,0.0,0.0,0.0,0.0,3163000000,-0.0821,0.4037,0.2918,213401620000,3.6615,28.1792,13.6428,19.2548,6.8016,3.8853,0.0,-0.2,0.7824,3987000000,0.0391,0.008,0.5088,0.502,0.3679,0.8373,0.8319,0.1215,0.3299,259579620000,-4300000000,-0.2176,0.2733,2058000000,-0.1679,0.4072,0.2532,0.3502,0.4,0.0,0.0119,-0.2059,0.295,0.408,0.4007,4.4538,34.2769,16.595,23.4214,8.2734,4.726,0.0311,0.0814,0.7229,0.1031,0.1148,0.1812,0.1327,0.1482,0.1327,0.26151804149355,0.1452,0.1482,0.1919,-0.0262,20615000,0.0019,5.0682,54925000000,0.0287,0.0892,0.0254,0.0733,FY2003.FQ3,3
7,0.0,2003-09-05,2003-06,25.64,10771000000,1.2591,1.2668,64912000000,6.045,0.0319,1.1346,-0.0081,-0.2169,4.2201,0.0,0.0,0.0,0.0,0.0,-1.0,1966000000,-0.3918,0.2437,0.183,227120440000,3.4988,30.158,15.2368,20.5464,7.0562,3.699,-0.0504,0.0769,0.7942,2416000000,-0.009,-0.2335,0.2995,0.502,0.2249,0.8383,0.8319,0.1488,0.3301,276168440000,-6438000000,-0.0275,0.1838,1155000000,-0.4641,0.3935,0.1434,0.1909,0.0,-7.265,-0.0198,-0.0129,0.2061,0.2745,0.3513,4.2545,36.6708,18.5273,24.9835,8.5801,4.4978,0.021,0.1119,0.751,0.0964,0.1107,0.1478,0.1222,0.1405,0.1222,0.26151804149355,0.1339,0.1405,0.1562,-0.0281,49000000,0.0045,5.718,61400000000,0.0354,0.2082,0.034,0.244,FY2003.FQ4,4
8,0.0,2003-11-13,2003-09,27.8,10805000000,1.2639,1.2668,66680000000,6.1258,-0.0437,0.0805,-0.0145,-0.4452,4.0343,0.0,0.0,0.0,0.0,0.0,0.0,3476000000,0.053,0.4231,0.3193,248757000000,3.7306,30.6955,20.4721,20.8899,7.6174,3.9376,0.0087,0.2631,0.7911,3257000000,-0.0126,-0.4582,0.3964,0.4667,0.2992,0.8198,0.8231,0.052,0.3299,300379000000,-5768000000,0.2807,0.3181,2361000000,0.0396,0.387,0.2892,0.3832,0.0,42.4134,0.0018,0.2802,0.3583,0.4748,0.3513,4.5047,37.0655,24.7205,25.2249,9.1982,4.7547,0.0252,0.0605,0.7547,0.0976,0.105,0.1411,0.1231,0.1334,0.1231,0.26151804149355,0.1357,0.1334,0.1487,-0.0043,34000000,0.0031,5.8037,63174000000,0.0352,0.1999,0.0332,0.2459,FY2004.FQ1,1
9,0.16,2004-02-06,2003-12,27.37,10789000000,1.2393,1.2668,69343000000,6.3623,0.3768,0.1075,0.0248,0.653,4.4805,0.0,0.0,0.0,0.0,0.0,0.0,1775000000,-0.2922,0.1748,0.1628,242517930000,3.4973,31.1399,17.2463,20.8635,7.077,3.6807,0.3954,-0.1764,0.8069,4402000000,0.0305,0.7671,0.4335,0.4364,0.4038,0.7691,0.8156,0.2193,0.33,295294930000,-6149000000,-0.1694,0.1525,1106250000,-0.3394,0.3751,0.1353,0.1452,1.1428,0.9588,-0.035,-0.1093,0.2121,0.2277,0.3513,4.2584,37.9166,20.9994,25.4038,8.6172,4.4817,0.0443,0.1887,0.9315,0.0915,0.1003,0.1261,0.1145,0.1279,0.1145,0.26151804149355,0.1255,0.1279,0.1327,0.0048,-16000000,-0.0014,6.0453,65888000000,0.0386,0.1876,0.039,0.2424,FY2004.FQ2,2
