,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,da_income_statement_supplemental,eps_basic,eps_diluted,gross_profit,income_allocated_to_minority_interest,income_tax,interest_expense,interest_income,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income_normal,operating_income,other_income_statement_items,other_nonoperating_income,other_opex,preferred_dividends,pretax_income,revenue,rnd,sga,shares_basic,shares_diluted,special_charges,total_opex,fiscal_quarter_key,fiscal_quarter_number
0,0.0,2001-10-26,2001-09,25.59,10771507000,884000000,282000000,0.12,0.11,5242000000,0,-604000000,0,0,1283000000,1283000000,1283000000,0,0,2897000000,0,-1010000000,0,0,1887000000,6126000000,1013000000,1332000000,10796000000,11134000000,0,2345000000,FY2002.FQ1,1
1,0.0,2002-02-08,2001-12,33.14,10806000000,1544000000,295000000,0.21,0.2,6197000000,0,-1074000000,0,0,2283000000,2283000000,2283000000,0,0,2841000000,0,516000000,0,0,3357000000,7741000000,1044000000,2312000000,10790000000,11112000000,0,3356000000,FY2002.FQ2,2
2,0.0,2002-04-30,2002-03,30.16,10830926000,1395000000,148000000,0.25,0.25,5850000000,0,-1288000000,0,0,2738000000,2738000000,2738000000,0,0,3298000000,0,728000000,0,0,4026000000,7245000000,1066000000,1486000000,10830000000,11129000000,0,2552000000,FY2002.FQ3,3
3,0.0,2002-09-06,2002-06,27.35,10718000000,1368000000,359000000,0.14,0.13,5885000000,0,-718000000,0,0,1525000000,1525000000,1525000000,0,0,2874000000,0,-631000000,0,0,2243000000,7253000000,1184000000,1827000000,10829000000,11049000000,0,3011000000,FY2002.FQ4,4
4,0.0,2002-11-14,2002-09,21.87,10692900000,1344000000,273000000,0.19,0.19,6402000000,0,-1006000000,0,0,2041000000,2041000000,2041000000,0,0,3028000000,0,19000000,0,0,3047000000,7746000000,1707000000,1667000000,10739000000,10933000000,0,3374000000,FY2003.FQ1,1
5,0.0,2003-01-31,2002-12,25.85,10701385000,2137000000,275000000,0.17,0.17,6404000000,0,-731000000,0,0,1865000000,1865000000,1865000000,0,0,2233000000,0,363000000,0,0,2596000000,8541000000,1515000000,2656000000,10703000000,10846000000,0,4171000000,FY2003.FQ2,2
6,0.08,2003-05-12,2003-03,24.21,10722000000,1274000000,419000000,0.2,0.2,6561000000,0,-1055000000,0,0,2142000000,2142000000,2142000000,0,0,2744000000,0,453000000,0,0,3197000000,7835000000,1692000000,2125000000,10715000000,10837000000,0,3817000000,FY2003.FQ3,3
7,0.0,2003-09-05,2003-06,25.64,10771000000,1304000000,426000000,0.14,0.14,6761000000,0,-731000000,0,0,1483000000,1483000000,1483000000,0,0,1540000000,0,674000000,0,0,2214000000,8065000000,1681000000,3540000000,10732000000,10738000000,0,5221000000,FY2003.FQ4,4
8,0.0,2003-11-13,2003-09,27.8,10805000000,1480000000,328000000,0.24,0.24,6735000000,0,-1287000000,0,0,2614000000,2614000000,2614000000,0,0,3148000000,0,753000000,0,0,3901000000,8215000000,1611000000,1976000000,10811000000,10885000000,0,3587000000,FY2004.FQ1,1
9,0.16,2004-02-06,2003-12,27.37,10789000000,2344000000,300000000,0.14,0.14,7809000000,0,-763000000,0,0,1549000000,1549000000,1549000000,0,0,1475000000,0,837000000,0,0,2312000000,10153000000,2971000000,3363000000,10810000000,10899000000,0,6334000000,FY2004.FQ2,2
