,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_quarter_key,fiscal_quarter_number
0,0.0,2001-10-26,2001-09,25.59,10771507000,FY2002.FQ1,1
1,0.0,2002-02-08,2001-12,33.14,10806000000,FY2002.FQ2,2
2,0.0,2002-04-30,2002-03,30.16,10830926000,FY2002.FQ3,3
3,0.0,2002-09-06,2002-06,27.35,10718000000,FY2002.FQ4,4
4,0.0,2002-11-14,2002-09,21.87,10692900000,FY2003.FQ1,1
5,0.0,2003-01-31,2002-12,25.85,10701385000,FY2003.FQ2,2
6,0.08,2003-05-12,2003-03,24.21,10722000000,FY2003.FQ3,3
7,0.0,2003-09-05,2003-06,25.64,10771000000,FY2003.FQ4,4
8,0.0,2003-11-13,2003-09,27.8,10805000000,FY2004.FQ1,1
9,0.16,2004-02-06,2003-12,27.37,10789000000,FY2004.FQ2,2
10,0.0,2004-05-03,2004-03,24.93,10777000000,FY2004.FQ3,3
11,0.0,2004-09-01,2004-06,28.8,10862000000,FY2004.FQ4,4
12,0.08,2004-11-09,2004-09,27.79,10865000000,FY2005.FQ1,1
13,0.08,2005-01-27,2004-12,26.72,10880222000,FY2005.FQ2,2
14,0.08,2005-04-28,2005-03,24.17,10804353000,FY2005.FQ3,3
15,0.08,2005-08-26,2005-06,24.84,10710000000,FY2005.FQ4,4
16,0.08,2005-10-27,2005-09,25.73,10644674000,FY2006.FQ1,1
17,0.08,2006-01-26,2005-12,26.15,10384000000,FY2006.FQ2,2
18,0.09,2006-04-27,2006-03,27.21,10225000000,FY2006.FQ3,3
19,0.09,2006-08-25,2006-06,23.3,10062000000,FY2006.FQ4,4
20,0.09,2006-10-26,2006-09,27.35,9820000000,FY2007.FQ1,1
21,0.1,2007-01-25,2006-12,29.86,9777000000,FY2007.FQ2,2
22,0.1,2007-04-26,2007-03,27.87,9566808000,FY2007.FQ3,3
23,0.1,2007-08-03,2007-06,29.47,9375492000,FY2007.FQ4,4
24,0.1,2007-10-25,2007-09,29.46,9355439000,FY2008.FQ1,1
25,0.11,2008-01-24,2007-12,35.6,9329000000,FY2008.FQ2,2
26,0.11,2008-04-24,2008-03,28.38,9313293000,FY2008.FQ3,3
27,0.11,2008-07-31,2008-06,27.51,9151000000,FY2008.FQ4,4
28,0.11,2008-10-23,2008-09,26.69,8895573000,FY2009.FQ1,1
29,0.13,2009-01-22,2008-12,19.44,8890563000,FY2009.FQ2,2
30,0.13,2009-04-23,2009-03,18.37,8899720000,FY2009.FQ3,3
31,0.13,2009-07-30,2009-06,23.77,8908000000,FY2009.FQ4,4
32,0.13,2009-10-23,2009-09,25.72,8900000000,FY2010.FQ1,1
33,0.13,2010-01-28,2009-12,30.48,8811000000,FY2010.FQ2,2
34,0.13,2010-04-22,2010-03,29.29,8762000000,FY2010.FQ3,3
35,0.13,2010-07-30,2010-06,23.01,8668000000,FY2010.FQ4,4
36,0.13,2010-10-28,2010-09,24.49,8562000000,FY2011.FQ1,1
37,0.16,2011-01-27,2010-12,27.91,8403000000,FY2011.FQ2,2
38,0.16,2011-04-28,2011-03,25.39,8431000000,FY2011.FQ3,3
39,0.16,2011-07-28,2011-06,26.0,8376000000,FY2011.FQ4,4
40,0.16,2011-10-20,2011-09,24.89,8410000000,FY2012.FQ1,1
41,0.2,2012-01-19,2011-12,25.96,8382000000,FY2012.FQ2,2
42,0.2,2012-04-19,2012-03,32.26,8400000000,FY2012.FQ3,3
43,0.2,2012-07-26,2012-06,30.59,8381000000,FY2012.FQ4,4
44,0.2,2012-10-18,2012-09,29.76,8422000000,FY2013.FQ1,1
45,0.23,2013-01-24,2012-12,26.71,8374000000,FY2013.FQ2,2
46,0.23,2013-04-18,2013-03,28.61,8349000000,FY2013.FQ3,3
47,0.23,2013-07-30,2013-06,34.55,8328000000,FY2013.FQ4,4
48,0.23,2013-10-24,2013-09,33.28,8346000000,FY2014.FQ1,1
49,0.28,2014-01-23,2013-12,37.41,8300000000,FY2014.FQ2,2
50,0.28,2014-04-24,2014-03,40.99,8260000000,FY2014.FQ3,3
51,0.28,2014-07-31,2014-06,41.7,8239000000,FY2014.FQ4,4
52,0.28,2014-10-23,2014-09,46.36,8255000000,FY2015.FQ1,1
53,0.31,2015-01-26,2014-12,46.45,8218000000,FY2015.FQ2,2
54,0.31,2015-04-23,2015-03,40.66,8113000000,FY2015.FQ3,3
55,0.31,2015-07-31,2015-06,44.15,8027000000,FY2015.FQ4,4
56,0.31,2015-10-22,2015-09,44.26,7986000000,FY2016.FQ1,1
