,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_year_key,fiscal_year_number
0,0.0,2001-10-15,2001-08,37.61,598400000,-1464900000,360900000,-1382600000,789100000,0,-232600000,598400000,598400000,0,0,-51200000,-51200000,0,-186300000,0,0,0,0,0,0,0,466300000,-2976600000,3442900000,-384000000,-1464900000,-1488600000,23700000,-765800000,1114400000,0,-482800000,-625000000,1065500000,-888800000,0,605800000,0,FY2001,2001
1,0.0,2002-10-15,2002-08,17.25,602900000,-1007800000,-135100000,-513900000,578100000,0,-70900000,71800000,71800000,0,0,-84600000,-84600000,0,-122300000,0,0,0,0,0,0,0,570700000,-1867900000,2438600000,-76800000,-1007800000,-1012300000,4500000,-119700000,1177400000,11400000,-378900000,-907000000,416000000,20200000,0,239000000,0,FY2002,2002
2,0.0,2003-10-15,2003-08,14.36,609900000,-821500000,406000000,-518100000,284200000,0,172100000,53500000,53500000,0,561500000,561500000,0,0,-209000000,0,0,0,0,0,0,0,413100000,-758000000,1171100000,-109700000,-821500000,-821500000,0,-163000000,1209900000,70500000,-196200000,-1273200000,440000000,137000000,0,-103800000,0,FY2003,2003
3,0.0,2004-10-15,2004-08,11.51,611500000,-988000000,70000000,-1313000000,1159000000,0,-84000000,487000000,419000000,-68000000,0,-43000000,-43000000,0,-306000000,0,0,0,0,0,0,0,-394000000,-1799000000,1405000000,69000000,-988000000,-1081000000,93000000,-234000000,1218000000,58000000,-161000000,157000000,-40000000,58000000,0,-131000000,0,FY2004,2004
4,0.0,2005-11-04,2005-08,11.91,616200000,-1018000000,-116000000,-1084000000,1238000000,0,38000000,41000000,41000000,0,0,-79000000,-79000000,0,-78000000,0,0,0,0,0,0,0,-13000000,-1849000000,1836000000,-53000000,-1018000000,-1065000000,47000000,-191000000,1265000000,-10000000,-193000000,188000000,-14000000,24000000,0,-22000000,0,FY2005,2005
5,0.0,2006-11-08,2006-08,17.28,749400000,-1310000000,644000000,-1756000000,2019000000,0,907000000,113000000,113000000,0,0,-415000000,-415000000,0,946000000,0,0,0,0,0,0,0,-858000000,-3080000000,2222000000,412000000,-1310000000,-1365000000,55000000,305000000,1281000000,-24000000,-12000000,408000000,49000000,379000000,0,-62000000,0,FY2006,2006
6,0.0,-,2007-08,11.45,757900000,-3479000000,2215000000,-2391000000,937000000,0,761000000,69000000,69000000,0,1107000000,1107000000,0,0,1039000000,0,0,0,0,0,0,0,1230000000,-1466000000,2696000000,-142000000,-3479000000,-3603000000,124000000,-591000000,1718000000,-11000000,-591000000,-320000000,141000000,-1000000,-4000000,5000000,0,FY2007,2007
7,0.0,2009-10-28,2008-08,4.24,761100000,-2342000000,125000000,-2092000000,1018000000,0,-949000000,4000000,4000000,0,837000000,139000000,-698000000,0,-18000000,0,0,0,0,0,0,0,204000000,-367000000,571000000,46000000,-2342000000,-2529000000,187000000,-168000000,2060000000,0,-40000000,-1619000000,745000000,-64000000,-38000000,-26000000,0,FY2008,2008
8,0.0,2009-10-28,2009-08,7.37,848700000,-462000000,-290000000,-674000000,1206000000,0,242000000,276000000,276000000,0,716000000,287000000,-429000000,0,-853000000,0,0,0,0,0,0,0,-299000000,-470000000,171000000,87000000,-462000000,-488000000,26000000,-105000000,2186000000,0,-356000000,-1993000000,1072000000,125000000,0,126000000,46000000,FY2009,2009
9,0.0,2010-10-26,2010-08,6.46,994500000,-522000000,-1220000000,-448000000,3096000000,0,1428000000,8000000,-13000000,-21000000,200000000,-640000000,-840000000,0,-567000000,0,0,0,0,518000000,518000000,0,-165000000,-168000000,3000000,-279000000,-522000000,-616000000,94000000,-544000000,1922000000,0,-121000000,1900000000,-275000000,240000000,-147000000,-516000000,93000000,FY2010,2010
