,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_year_key,fiscal_year_number
0,0.0,2001-10-15,2001-08,37.61,598400000,1.1721,1.4656,7134800000,12.0438,-0.5006,-0.3314,0.2475,-0.6058,4.5672,0.0635,0.1133,0.0744,0.1628,0,0.0,64300000,-0.9809,0.0163,0.1085,21272524000,2.9815,-34.036,-31.4775,-22.1704,5.4047,3.0667,0.0,-1.4101,0.8531,-675800000,0.0,-1.6586,-0.1717,0.066,-1.1407,0.0094,0.4242,-0.9885,0.0,22505824000,62100000,-1.4155,-0.1587,-787575000,-1.4388,0.1532,-1.7726,-0.2668,0.0,0.0,0.1276,-1.4035,-1.6196,-0.2437,0.1791,3.1543,-36.0093,-33.3024,-23.4557,5.718,3.2445,0.2491,-0.3813,6.6439,-0.0704,0.0982,-0.1333,-0.0921,0.1489,-0.081,0.050630784341808,-0.0876,0.123,-0.135,-0.0214,31100000,0.0548,11.7089,6936400000,0.2804,-0.1095,0.3058,0.0794,FY2001,2001
1,0.0,2002-10-15,2002-08,17.25,602900000,1.198,1.4656,6306400000,10.4844,0.312,-0.1511,0.1823,-0.2673,2.8149,0.06,0.1025,0.0719,0.1496,0,0.0,152100000,1.3654,0.0587,0.2528,9775125000,1.55,-10.7774,-22.7487,-9.7898,3.7756,1.632,0.0,-0.438,0.8346,-429700000,0.0,0.3641,-0.1659,0.0243,-0.7143,-0.0427,0.405,-3.9811,0.0,10400025000,55700000,-0.4512,-0.3503,-768975000,0.0236,0.1532,-1.7045,-0.396,0.0,0.0,-0.0009,-0.0406,-1.66,-0.3856,0.1791,1.6491,-11.4664,-24.2029,-10.4156,4.017,1.7364,0.1772,-0.3422,4.3042,-0.1139,0.0982,-0.1398,-0.1349,0.1489,-0.1257,0.050630784341808,-0.1337,0.123,-0.1449,0.0153,4500000,0.0075,9.9574,5989400000,0.2642,-0.0965,0.2856,-0.1161,FY2002,2002
2,0.0,2003-10-15,2003-08,14.36,609900000,1.4399,1.4606,4971000000,8.1827,0.1848,0.4321,0.0099,-0.5083,2.0513,0.1517,0.116,0.2184,0.1719,0,0.0,132600000,-0.1282,0.0428,0.2182,8833464000,1.7769,-6.938,-16.4404,-7.3599,2.8575,1.8869,0.0,-0.3973,0.6944,-537300000,0.0,-0.2504,-0.1738,-0.0347,-0.8844,-0.0066,0.3457,0.8128,0.0,8758164000,515700000,-0.4037,-0.4118,-807975000,-0.0507,0.0492,-1.7733,-0.3484,0.0,0.0,-0.0402,-0.202,-1.9756,-0.3882,0.0646,1.7618,-6.8788,-16.3003,-7.2972,2.8331,1.8708,0.1407,0.194,5.0885,-0.173,0.0307,-0.1638,-0.2257,0.0481,-0.1986,0.050630784341808,-0.2149,0.0371,-0.1717,0.0099,7000000,0.0116,7.706,4681400000,0.2217,-0.0525,0.2276,-0.2117,FY2003,2003
3,0.0,2004-10-15,2004-08,11.51,611500000,1.382,1.4516,5615000000,8.5834,-0.2026,-0.1478,0.0759,3.0781,2.715,0.1416,0.1347,0.1957,0.1937,0,0.0,1444000000,9.8898,0.3278,2.2073,6835365000,1.2173,43.5373,39.9728,29.4627,1.552,1.2802,-0.1285,1.1137,0.7235,171000000,-0.0566,1.3182,0.0388,-0.0347,0.2614,0.2983,0.2957,64.4782,0.3232,7038365000,613000000,1.1233,0.0356,169500000,1.2097,0.0218,0.3454,0.0513,0.0,-3.4877,0.0448,1.1933,0.3546,0.0526,0.01,1.2534,44.8303,41.16,30.3377,1.5981,1.3182,0.1045,0.4246,6.7322,0.021,0.0046,0.0344,0.0296,0.0044,0.0245,0.050630784341808,0.0268,0.0052,0.036,0.0768,1600000,0.0026,8.1615,5339000000,0.1763,0.084,0.1826,0.1295,FY2004,2004
4,0.0,2005-11-04,2005-08,11.91,616200000,1.3692,1.4304,5847000000,9.0193,-0.0303,0.0802,0.0176,0.0681,2.9887,0.1457,0.1436,0.1995,0.1976,0,0.0,1482000000,0.0263,0.3036,2.286,7067942000,1.2088,37.5954,32.127,35.5172,1.4483,1.265,-0.1735,0.2083,0.7303,220000000,-0.0333,0.2865,0.045,-0.0347,0.3393,0.2348,0.2685,-0.1278,0.0552,7338942000,642000000,0.1974,0.0385,162750000,-0.0398,0.0184,0.3347,0.0444,0.0,-2.2498,-0.0061,-0.1422,0.3069,0.0407,0.004,1.2551,39.0369,33.3588,36.8791,1.5038,1.3135,0.0515,0.108,7.5276,0.0238,0.0046,0.0309,0.0328,0.0044,0.0273,0.050630784341808,0.0295,0.0052,0.0321,-0.009,4700000,0.0076,8.6182,5587000000,0.1117,0.0317,0.1191,0.0413,FY2005,2005
5,0.0,2006-11-08,2006-08,17.28,749400000,1.2622,1.4014,9682000000,13.3526,-0.2868,1.7257,0.0665,0.6308,3.071,0.0467,0.1436,0.0703,0.1976,0,0.0,1630000000,0.0998,0.3091,2.2479,10275632000,1.0613,25.1853,14.4931,23.7312,1.949,1.1687,-0.0846,0.9655,0.7922,709000000,0.0,2.2227,0.1344,0.0243,0.9777,0.2276,0.2393,0.0471,0.0415,12949632000,-860000000,1.1702,0.0773,261750000,0.6082,0.0184,0.4813,0.0661,0.0,-3.7506,0.257,1.1758,0.5971,0.0821,0.004,1.3374,31.7392,18.2646,29.9067,2.4563,1.4728,0.0373,0.0803,7.2707,0.0403,0.0046,0.0389,0.0584,0.0044,0.0433,0.050630784341808,0.0483,0.0052,0.0416,0.1185,133200000,0.2161,12.1252,8792000000,0.1253,0.5264,0.1424,0.6558,FY2006,2006
6,0.0,-,2007-08,11.45,757900000,1.4304,1.4014,10359000000,13.4689,-1.6557,0.5317,0.0498,-0.5359,2.5834,0.1626,0.1436,0.3108,0.1976,0,0.0,1457000000,-0.1061,0.2561,1.8944,8048955000,0.777,-25.1529,-3.1663,-47.9104,1.415,0.8523,0.0,-1.7368,0.699,-2542000000,0.0,-4.5853,-0.4469,-0.0692,-3.3051,0.1895,0.2312,-0.1016,0.0,8677955000,218000000,-1.7843,-0.0562,-195750000,-1.7478,-0.0267,-0.3393,-0.0458,0.0,0.0,0.406,-1.3879,-0.2184,-0.0295,-0.031,0.8377,-27.1186,-3.4138,-51.6544,1.5256,0.9189,0.049,0.0789,7.3956,-0.0236,-0.0177,-0.0218,-0.0403,-0.0305,-0.0235,0.050630784341808,-0.0271,-0.0187,-0.0235,0.0606,8500000,0.0113,12.2779,9443000000,0.1181,0.2125,0.1311,0.0699,FY2007,2007
7,0.0,2009-10-28,2008-08,4.24,761100000,1.4851,1.4014,9043000000,11.7061,0.3268,-0.4329,0.1992,0.0864,2.3648,0.2029,0.1436,0.4412,0.1976,0,0.0,961000000,-0.3404,0.1645,1.244,4316064000,0.4772,-2.6658,-3.2598,-2.6791,0.7389,0.4972,0.0,-4.0,0.6733,-1324000000,0.0,0.4791,-0.2266,-0.0692,-1.7139,-0.0094,0.2085,-1.051,0.0,3227064000,1483000000,-4.0593,-0.2771,-824250000,-3.2107,-0.0267,-1.4226,-0.1881,0.0,0.0,0.0642,-8.5892,-2.0854,-0.2758,-0.031,0.3568,-1.9932,-2.4373,-2.0031,0.5524,0.3718,0.068,0.0268,7.5611,-0.1146,-0.0177,-0.0868,-0.2324,-0.0305,-0.1078,0.050630784341808,-0.1218,-0.0187,-0.0914,0.0044,3200000,0.0042,11.2349,8679000000,0.1106,-0.0936,0.1222,-0.127,FY2008,2008
8,0.0,2009-10-28,2009-08,7.37,848700000,1.6513,1.4014,6939000000,8.6661,0.8027,0.1946,0.0427,0.1846,1.7674,0.2446,0.1436,0.5659,0.1976,0,0.0,638000000,-0.3361,0.1328,0.7968,7148919000,1.0302,-3.7985,9.6087,-3.8601,1.4884,1.0839,0.0,-0.119,0.6055,744000000,0.2651,1.5619,0.1549,-0.0635,0.9291,-0.0916,0.0994,-7.0,0.0,6254919000,1318000000,-0.1624,-0.3918,-1161000000,-0.4085,-0.117,-1.9333,-0.3222,0.0,0.0,-0.1954,-0.1495,-2.3129,-0.3855,-0.1366,0.9014,-3.3235,8.4071,-3.3773,1.3022,0.9484,0.0643,-0.1777,5.9985,-0.1512,-0.047,-0.1401,-0.3381,-0.0662,-0.1427,0.050630784341808,-0.1592,-0.0522,-0.1447,0.0365,87600000,0.115,8.2365,6595000000,0.051,-0.1467,0.0531,-0.2326,FY2009,2009
9,0.0,2010-10-26,2010-08,6.46,994500000,1.4968,1.4062,9816000000,9.3423,-0.1298,0.9616,0.0445,1.5671,2.3438,0.1606,0.1487,0.2942,0.209,0,0.0,3484000000,4.4608,0.4107,3.3158,5159470000,0.5256,2.7889,2.0044,2.6872,0.6082,0.5435,-0.0319,1.7872,0.668,2574000000,0.0963,2.4596,0.3034,-0.0635,2.4497,0.3199,0.0994,7.1681,0.0,6424470000,-553000000,1.9829,0.2181,1171500000,2.009,-0.117,1.4866,0.1841,0.0,-1.0865,-0.0688,2.0367,1.8273,0.2263,-0.1366,0.6544,3.4726,2.4959,3.346,0.7574,0.6767,0.0291,0.7659,8.0727,0.1414,-0.047,0.1376,0.2852,-0.0662,0.1439,0.050630784341808,0.1736,-0.0522,0.1418,0.3122,145800000,0.1717,9.0349,9493000000,0.0457,0.2822,0.0403,0.4146,FY2010,2010
