,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,da_income_statement_supplemental,eps_basic,eps_diluted,gross_profit,income_allocated_to_minority_interest,income_tax,interest_expense,interest_income,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income_normal,operating_income,other_income_statement_items,other_nonoperating_income,other_opex,preferred_dividends,pretax_income,revenue,rnd,sga,shares_basic,shares_diluted,special_charges,total_opex,fiscal_year_key,fiscal_year_number
0,0.0,2001-10-15,2001-08,37.61,598400000,3898800000,1114400000,-1.05,-1.05,37100000,-7700000,446000000,0,0,-625000000,-625000000,-513500000,-103800000,0,-1050100000,0,90600000,73600000,0,-959500000,3935900000,489500000,524100000,592400000,592400000,0,1087200000,FY2001,2001
1,0.0,2002-10-15,2002-08,17.25,602900000,2699600000,1177400000,-1.51,-1.51,-110600000,0,91500000,0,0,-907000000,-907000000,-907000000,0,0,-1025300000,0,26800000,21100000,0,-998500000,2589000000,561300000,332300000,601500000,601500000,0,914700000,FY2002,2002
2,0.0,2003-10-15,2003-08,14.36,609900000,3112000000,1209900000,-2.11,-2.11,-20700000,0,-73000000,0,0,-1273200000,-1273200000,-1273200000,0,0,-1077300000,0,-122900000,0,0,-1200200000,3091300000,656400000,400200000,607500000,607500000,0,1056600000,FY2003,2003
3,0.0,2004-10-15,2004-08,11.51,611500000,3090000000,1218000000,0.25,0.24,1314000000,0,-75000000,0,0,157000000,157000000,157000000,0,0,226000000,0,6000000,0,0,232000000,4404000000,755000000,333000000,640300000,654167000,0,1088000000,FY2004,2004
4,0.0,2005-11-04,2005-08,11.91,616200000,3734000000,1265000000,0.3,0.29,1146000000,0,-11000000,0,0,188000000,188000000,188000000,0,0,217000000,0,-18000000,-1000000,0,199000000,4880000000,604000000,326000000,647100000,648276000,0,929000000,FY2005,2005
5,0.0,2006-11-08,2006-08,17.28,749400000,4072000000,1281000000,0.59,0.57,1200000000,-7000000,-18000000,0,0,408000000,408000000,415000000,0,0,349000000,0,84000000,-265000000,0,433000000,5272000000,656000000,460000000,691700000,725100000,0,851000000,FY2006,2006
6,0.0,-,2007-08,11.45,757900000,4610000000,1718000000,-0.42,-0.42,1078000000,-122000000,-30000000,0,0,-320000000,-320000000,-198000000,0,0,-261000000,0,93000000,-76000000,0,-168000000,5688000000,805000000,610000000,769100000,769100000,0,1339000000,FY2007,2007
7,0.0,2009-10-28,2008-08,4.24,761100000,5896000000,2060000000,-2.1,-2.1,-55000000,10000000,-18000000,-82000000,79000000,-1619000000,-1619000000,-1629000000,0,-3000000,-1099000000,0,-509000000,-91000000,0,-1611000000,5841000000,680000000,455000000,772500000,772500000,0,1044000000,FY2008,2008
8,0.0,2009-10-28,2009-08,7.37,848700000,5243000000,2186000000,-2.35,-2.35,-440000000,111000000,-1000000,-182000000,22000000,-1882000000,-1882000000,-1853000000,0,-160000000,-1548000000,-140000000,-144000000,107000000,0,-1852000000,4803000000,647000000,354000000,800700000,800700000,0,1108000000,FY2009,2009
9,0.0,2010-10-26,2010-08,6.46,994500000,5768000000,1922000000,2.09,1.85,2714000000,-50000000,19000000,-178000000,18000000,1850000000,1850000000,1939000000,0,-160000000,1562000000,-39000000,518000000,0,0,1920000000,8482000000,624000000,528000000,887500000,1050700000,0,1152000000,FY2010,2010
10,0.0,2011-10-25,2011-08,5.91,984300000,7030000000,2105000000,0.17,0.17,1758000000,-23000000,-203000000,-124000000,23000000,167000000,167000000,348000000,0,-101000000,669000000,-158000000,-17000000,-294000000,0,551000000,8788000000,791000000,592000000,988000000,1007500000,0,1089000000,FY2011,2011
11,0.0,2012-10-29,2012-08,6.21,1017700000,7266000000,2141000000,-1.04,-1.04,968000000,-1000000,17000000,-179000000,8000000,-1032000000,-1032000000,-737000000,0,-171000000,-597000000,-294000000,14000000,27000000,0,-754000000,8234000000,918000000,620000000,991000000,991000000,0,1565000000,FY2012,2012
12,0.0,2013-10-28,2013-08,13.57,1044400000,7226000000,1804000000,1.16,1.13,1847000000,-4000000,-8000000,-231000000,14000000,1190000000,1190000000,1277000000,0,-217000000,359000000,-83000000,1143000000,-5000000,0,1285000000,9073000000,931000000,562000000,1022000000,1057000000,0,1488000000,FY2013,2013
13,0.0,2014-10-27,2014-08,32.6,1073000000,10921000000,2103000000,2.87,2.54,5437000000,-34000000,-128000000,-352000000,23000000,3045000000,3045000000,2605000000,0,-329000000,3370000000,474000000,-308000000,-11000000,0,2733000000,16358000000,1371000000,707000000,1060000000,1198000000,0,2067000000,FY2014,2014
14,0.0,2015-10-27,2015-08,16.41,1084000000,10977000000,2667000000,2.71,2.47,5215000000,0,-157000000,-371000000,35000000,2899000000,2899000000,2452000000,0,-336000000,2984000000,447000000,-39000000,-28000000,0,2609000000,16192000000,1540000000,719000000,1070000000,1170000000,0,2231000000,FY2015,2015
15,0.0,2016-10-28,2016-08,16.49,1040000000,9894000000,2980000000,-0.27,-0.27,2505000000,-1000000,-19000000,-437000000,42000000,-276000000,-276000000,-300000000,0,-395000000,231000000,25000000,-117000000,-2000000,0,-281000000,12399000000,1617000000,659000000,1036000000,1036000000,0,2274000000,FY2016,2016
