,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_year_key,fiscal_year_number
0,0.0,2001-10-15,2001-08,37.61,598400000,FY2001,2001
1,0.0,2002-10-15,2002-08,17.25,602900000,FY2002,2002
2,0.0,2003-10-15,2003-08,14.36,609900000,FY2003,2003
3,0.0,2004-10-15,2004-08,11.51,611500000,FY2004,2004
4,0.0,2005-11-04,2005-08,11.91,616200000,FY2005,2005
5,0.0,2006-11-08,2006-08,17.28,749400000,FY2006,2006
6,0.0,-,2007-08,11.45,757900000,FY2007,2007
7,0.0,2009-10-28,2008-08,4.24,761100000,FY2008,2008
8,0.0,2009-10-28,2009-08,7.37,848700000,FY2009,2009
9,0.0,2010-10-26,2010-08,6.46,994500000,FY2010,2010
10,0.0,2011-10-25,2011-08,5.91,984300000,FY2011,2011
11,0.0,2012-10-29,2012-08,6.21,1017700000,FY2012,2012
12,0.0,2013-10-28,2013-08,13.57,1044400000,FY2013,2013
13,0.0,2014-10-27,2014-08,32.6,1073000000,FY2014,2014
14,0.0,2015-10-27,2015-08,16.41,1084000000,FY2015,2015
15,0.0,2016-10-28,2016-08,16.49,1040000000,FY2016,2016
16,0.0,2017-10-26,2017-08,31.97,1112000000,FY2017,2017
17,0.0,2018-10-15,2018-08,52.52,1161000000,FY2018,2018
18,0.0,2019-10-17,2019-08,45.27,1106000000,FY2019,2019
19,0.0,2020-10-19,2020-08,45.51,1113000000,FY2020,2020
20,0.0,2021-10-08,2021-08,73.7,1119000000,FY2021,2021
21,0.415,2022-10-07,2022-08,56.53,1094000000,FY2022,2022
22,0.46,2023-10-06,2023-08,69.94,1098000000,FY2023,2023
23,0.46,2024-10-04,2024-08,96.24,1108841000,FY2024,2024
