,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_quarter_key,fiscal_quarter_number
0,0.0,2002-01-14,2001-11,27.16,599900000,-182100000,-29800000,-478700000,397300000,0,-111200000,23300000,23300000,0,0,-53100000,-53100000,0,0,0,0,0,0,0,0,0,-249300000,-769700000,520400000,-47300000,-182100000,-182600000,500000,336200000,297600000,-164500000,-131800000,-265900000,193900000,-28900000,0,496900000,0,FY2002.FQ1,1
1,0.0,2002-04-11,2002-02,32.15,601100000,-140000000,-12500000,413800000,-81300000,0,320000000,20100000,20100000,0,7400000,7400000,0,0,-40000000,0,0,0,0,0,0,0,560700000,-340900000,901600000,-6900000,-140000000,-140400000,400000,-325200000,290900000,-34200000,-100400000,-30400000,17600000,-58400000,0,-166400000,0,FY2002.FQ2,2
2,0.0,2002-06-28,2002-05,23.58,602100000,-151000000,-47300000,-473700000,176800000,0,-344200000,16200000,16200000,0,0,-29100000,-29100000,0,-34400000,0,0,0,0,0,0,0,-57300000,-697300000,640000000,-265400000,-151000000,-152200000,1200000,-191900000,293400000,76100000,-114200000,-24200000,23400000,61700000,0,-139400000,0,FY2002.FQ3,3
3,0.0,2002-10-15,2002-08,17.25,602900000,-534700000,-45500000,24700000,85300000,0,64500000,12200000,12200000,0,0,-9800000,-9800000,0,-47900000,0,0,0,0,0,0,0,316600000,-60000000,376600000,242800000,-534700000,-537100000,2400000,61200000,295500000,134000000,-32500000,-586500000,181100000,45800000,0,47900000,0,FY2002.FQ4,4
4,0.0,2003-01-13,2002-11,15.81,606500000,-326400000,-37500000,-59100000,99700000,0,3100000,28700000,28700000,0,0,-90800000,-90800000,0,24600000,0,0,0,0,0,0,0,274700000,-122800000,397500000,-7400000,-326400000,-326400000,0,-2700000,299900000,20500000,-119400000,-315900000,97900000,22600000,0,94100000,0,FY2003.FQ1,1
5,0.0,2003-04-14,2003-02,8.01,607600000,-214500000,536900000,-48700000,25600000,0,513800000,8900000,8900000,0,509000000,509000000,0,0,19000000,0,0,0,0,0,0,0,180200000,-196900000,377100000,-14400000,-214500000,-219300000,4800000,1200000,310200000,16500000,-5800000,-619200000,316900000,46100000,0,-39100000,0,FY2003.FQ2,2
6,0.0,2003-07-11,2003-05,11.32,608700000,-124100000,-68900000,-213400000,47000000,0,-235300000,7400000,7400000,0,156500000,156500000,0,0,-232800000,0,0,0,0,0,0,0,-33500000,-265100000,231600000,-55800000,-124100000,-128300000,4200000,-57100000,301000000,26000000,-79200000,-214900000,-8000000,34000000,0,-11900000,0,FY2003.FQ3,3
7,0.0,2003-10-15,2003-08,14.36,609900000,-156500000,-24500000,-196900000,111900000,0,-109500000,8500000,8500000,0,0,-13200000,-13200000,0,-19800000,0,0,0,0,0,0,0,-8300000,-173200000,164900000,-32100000,-156500000,-147500000,-9000000,-104400000,298800000,7500000,8200000,-123200000,33200000,34300000,0,-146900000,0,FY2003.FQ4,4
8,0.0,2004-01-15,2003-11,13.01,609100000,-238600000,266100000,-603300000,255200000,0,-82000000,457900000,390400000,-67500000,0,-31700000,-31700000,0,-92600000,0,0,0,0,0,0,0,-332800000,-474900000,142100000,-31900000,-238600000,-260600000,22000000,-43900000,312500000,11400000,10800000,1100000,-25900000,26500000,0,-81200000,0,FY2004.FQ1,1
9,0.0,2004-04-19,2004-02,15.04,609500000,-160000000,-52100000,-158100000,231100000,0,20900000,-445500000,-445500000,0,41000000,41000000,0,0,352400000,0,0,0,0,0,0,0,-19100000,-584600000,565500000,21000000,-160000000,-207900000,47900000,-38000000,295600000,14300000,-38100000,-28300000,-12500000,-13000000,0,13100000,0,FY2004.FQ2,2
