,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_quarter_key,fiscal_quarter_number
0,0.0,2002-01-14,2001-11,27.16,599900000,1.162,1.3452,6903300000,11.5208,0.6279,-0.3706,0.0787,-0.3531,3.9215,0.061,0.0838,0.0709,0.1139,0.0,0.0,-154400000,-1.1958,-0.3642,-0.2576,16339884000,2.3669,-13.1444,-27.9171,-8.3188,5.8603,2.4835,0.0,-1.7586,0.8605,215200000.0,0.0,0.7257,0.5076,0.0032,0.3591,-0.5015,0.2353,-1.2788,0.0,16293284000,132200000,-1.7549,-0.6272,-339000000,-1.8687,0.0981,-0.7543,-1.0662,0.0,0.0,0.0137,-1.7889,-0.7394,-1.0452,0.1707,2.3602,-13.1069,-27.8374,-8.2951,5.8436,2.4764,-0.0687,-0.7302,0.7074,-0.1517,0.0675,-0.2656,-0.1771,0.0963,-0.165,0.044453151027316,-0.1746,0.0774,-0.275,-0.0167,1500000.0,0.0025,10.9799,6579200000,0.0168,-0.1815,0.0537,-0.103,FY2002.FQ1,1
1,0.0,2002-04-11,2002-02,32.15,601100000,1.1884,1.2409,6896800000,11.485,0.6541,0.13,0.0,-3.5566,5.2863,0.0562,0.0626,0.0669,0.0751,0.0,0.0,231900000,0.003,0.359,0.3861,18225365000,2.6425,-15.3774,-42.0326,-9.0511,7.6952,2.7698,0.0,0.6666,0.8414,-221300000.0,0.0,0.4067,-0.3426,0.0032,-0.3685,0.2213,0.2527,-0.281,0.0,19325365000,-216500000,0.6557,-0.047,-44250000,-0.439,0.0981,-0.0982,-0.0913,0.0,0.0,-0.0346,-38.0,-0.0844,-0.0784,0.1122,2.802,-16.3055,-44.5695,-9.5974,8.1596,2.937,0.0,-0.3939,1.0756,-0.1461,0.0675,-0.2689,-0.1717,0.0963,-0.1606,0.044453151027316,-0.1728,0.0774,-0.2808,0.0112,1200000.0,0.002,10.9572,6579800000,0.0164,-0.1009,0.0525,-0.0937,FY2002.FQ2,2
2,0.0,2002-06-28,2002-05,23.58,602100000,1.1679,1.2031,6893800000,11.4457,0.5439,-0.4641,-0.107,-0.1124,3.5051,0.0556,0.0614,0.0649,0.0727,0.0,0.0,246700000,1.9931,0.3198,0.4095,13306018000,1.9301,-14.8504,-48.2276,-8.5613,5.7321,2.0244,0.0,0.9245,0.8561,25800000.0,-0.2247,1.1956,0.0334,-0.0196,0.0428,0.2181,0.2197,1.5453,0.0,14197518000,118100000,0.9227,-0.0313,-35025000,0.9114,-0.0495,-0.0775,-0.0605,0.0,0.0,-0.02,0.9193,-0.0669,-0.0522,-0.0267,2.0594,-15.8454,-51.4589,-9.1349,6.1161,2.1601,-0.0694,-0.0575,1.2804,-0.1098,0.0675,-0.2053,-0.1293,0.0963,-0.1213,0.044453151027316,-0.1303,0.0774,-0.2144,0.01,1000000.0,0.0016,10.9123,6572500000,0.0068,-0.0822,0.0428,-0.0505,FY2002.FQ3,3
3,0.0,2002-10-15,2002-08,17.25,602900000,1.198,1.1979,6306400000,10.4427,-1.2325,-0.1511,-0.0516,2.5204,2.8149,0.06,0.0605,0.0719,0.0714,0.0,0.0,-172100000,0.7565,-0.23,-0.2849,9775125000,1.55,-10.7774,-22.7487,-9.7898,3.7756,1.632,0.0,-0.0103,0.8346,-449400000.0,0.0,-0.5202,-0.6008,-0.0638,-0.7441,-0.2796,0.2023,0.662,0.0,10400025000,55700000,-0.0191,-0.784,-350700000,0.5334,-0.0759,-0.7743,-0.6251,0.0,0.0,-0.0009,0.5447,-0.769,-0.6208,-0.0653,1.6491,-11.4664,-24.2029,-10.4156,4.017,1.7364,-0.0428,0.5573,1.2386,-0.1157,0.0013,-0.1426,-0.1368,0.0025,-0.128,0.044453151027316,-0.135,0.0023,-0.1492,0.0107,800000.0,0.0013,9.9178,5989400000,-0.0023,-0.0965,0.0251,-0.1161,FY2002.FQ4,4
4,0.0,2003-01-13,2002-11,15.81,606500000,1.2271,1.1979,6018000000,9.9438,-0.7924,0.1212,-0.1362,-0.749,1.9376,0.059,0.0595,0.0724,0.0714,0.0,0.0,3300000,1.0213,0.0048,0.0054,9270965000,1.5405,-9.6875,-10.6367,-10.9083,3.2527,1.6249,0.0,-0.1818,0.8148,-226700000.0,0.0,-2.0534,-0.3309,-0.246,-0.3745,-0.0544,0.066,0.8245,0.0,9588765000,34700000,-0.188,-0.4611,-222450000,0.3438,-0.2621,-0.49,-0.4329,0.0,0.0,0.0682,0.3353,-0.4866,-0.4298,-0.2541,1.5933,-10.0196,-11.0013,-11.2822,3.3642,1.6806,-0.0786,0.6161,1.132,-0.1281,-0.0912,-0.129,-0.1553,-0.1083,-0.1448,0.044453151027316,-0.1541,-0.1006,-0.1353,0.01,3600000.0,0.0059,9.4271,5705300000,-0.0105,-0.0793,0.0037,-0.1282,FY2003.FQ1,1
5,0.0,2003-04-14,2003-02,8.01,607600000,1.3852,1.1979,5296100000,8.7221,-0.5321,0.3499,-0.2977,1.3148,2.4357,0.1553,0.0595,0.2151,0.0714,0.0,0.0,-290400000,-2.2522,-0.3699,-0.4782,4691576000,0.8858,-3.035,-5.5905,-3.3492,1.5694,0.9377,0.0,-19.4,0.7218,-188900000.0,0.0,0.1464,-0.2406,-0.2857,-0.3111,-0.2852,-0.167,-2.5657,0.0,4866876000,224500000,-19.3684,-0.7887,-450450000,-9.1796,-0.529,-0.9891,-0.765,0.0,0.0,0.0504,-10.8658,-0.9907,-0.7663,-0.5202,0.9189,-3.1484,-5.7994,-3.4743,1.628,0.9727,-0.1021,0.2153,1.2928,-0.21,-0.1127,-0.2143,-0.2732,-0.1331,-0.2398,0.044453151027316,-0.2671,-0.1247,-0.2247,0.0111,1100000.0,0.0018,8.2394,5003000000,-0.0243,-0.1049,-0.0219,-0.232,FY2003.FQ2,2
6,0.0,2003-07-11,2003-05,11.32,608700000,1.404,1.1979,5087200000,8.3629,0.1781,1.0371,-0.2266,-0.7341,2.1915,0.1535,0.0605,0.2155,0.0722,0.0,0.0,111900000,-0.5464,0.1527,0.1839,6889484000,1.3542,-3.9674,-7.3129,-4.4405,2.3347,1.4377,0.0,-8.0,0.7122,-77100000.0,0.0,-3.9883,-0.1052,-0.2857,-0.1267,0.0969,-0.167,-0.5778,0.0,6890484000,416700000,-7.8801,-0.2932,-141825000,-3.0492,-0.529,-0.3108,-0.258,0.0,0.0,-0.0276,-3.7394,-0.3139,-0.2606,-0.5202,1.3544,-3.968,-7.3139,-4.4411,2.3351,1.4379,-0.0734,-0.0499,1.2045,-0.2398,-0.1219,-0.2405,-0.3344,-0.146,-0.2752,0.044453151027316,-0.315,-0.1364,-0.252,0.0099,1100000.0,0.0018,7.8773,4791800000,-0.0311,-0.1204,-0.0405,-0.2682,FY2003.FQ3,3
7,0.0,2003-10-15,2003-08,14.36,609900000,1.4399,1.2032,4971000000,8.1585,0.7073,0.4321,0.134,0.3118,2.0513,0.1517,0.0614,0.2184,0.0734,0.0,0.0,199900000,2.1615,0.2249,0.328,8833464000,1.7769,-6.938,-16.4404,-7.3599,2.8575,1.8869,0.0,0.7857,0.6944,-44600000.0,0.0,0.9007,-0.0501,-0.2009,-0.0731,0.1907,-0.167,1.8102,0.0,8758164000,515700000,0.7899,-0.1386,-74175000,0.7884,-0.529,-0.1623,-0.1113,0.0,0.0,-0.0402,0.7564,-0.1856,-0.1272,-0.5202,1.7618,-6.8788,-16.3003,-7.2972,2.8331,1.8708,-0.018,0.1878,1.4582,-0.178,-0.1371,-0.1882,-0.2531,-0.1635,-0.208,0.044453151027316,-0.2316,-0.1527,-0.1973,0.0089,1200000.0,0.0019,7.6832,4681400000,-0.0238,-0.0525,-0.0416,-0.2117,FY2003.FQ4,4
8,0.0,2004-01-15,2003-11,13.01,609100000,1.391,1.2126,5429100000,8.5282,0.2689,0.2167,0.025,1.5596,2.402,0.1416,0.0623,0.197,0.0734,0.0,0.0,313100000,93.8787,0.2827,0.4918,7748391000,1.4271,-8.1033,-26.355,-8.7148,2.2053,1.5058,0.0,1.0,0.7188,16600000.0,0.0,1.0732,0.0149,-0.1729,0.026,0.2583,0.0212,8.6675,0.9337,7924391000,581500000,1.0034,0.0009,450000,1.002,-0.3455,0.0009,0.0005,0.0,0.0,-0.0694,1.0563,0.026,0.0149,-0.3452,1.4596,-8.2873,-26.9537,-8.9128,2.2554,1.54,0.0306,0.6161,1.7392,-0.13,-0.138,-0.1377,-0.1838,-0.1744,-0.1523,0.044453151027316,-0.1663,-0.1564,-0.1441,0.0518,-800000.0,-0.0013,8.0829,5145600000,-0.0157,0.0225,-0.0294,-0.0978,FY2004.FQ1,1
9,0.0,2004-04-19,2004-02,15.04,609500000,1.3922,1.3062,5405500000,8.404,0.254,-0.4435,0.0,8.0273,2.6094,0.1504,0.1013,0.2094,0.1347,0.0,0.0,288400000,1.9931,0.291,0.4483,9001880000,1.6653,-24.6424,-264.7611,-30.1772,2.4202,1.7554,0.0,0.9607,0.7182,71100000.0,0.0,1.3763,0.0717,-0.0777,0.1105,0.2504,0.1438,2.1085,0.0,9166880000,622800000,0.9542,-0.0285,-5400000,0.988,-0.1846,-0.0111,-0.0072,0.0,0.0,-0.0252,0.982,-0.0167,-0.0108,-0.1939,1.6958,-25.0941,-269.6141,-30.7304,2.4646,1.7876,0.0751,0.2624,1.5407,-0.0484,-0.138,-0.0442,-0.0674,-0.1744,-0.056,0.044453151027316,-0.0606,-0.1564,-0.0461,0.0592,400000.0,0.0006,7.9724,5127900000,-0.0104,0.0258,-0.0273,0.0206,FY2004.FQ2,2
