,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,da_income_statement_supplemental,eps_basic,eps_diluted,gross_profit,income_allocated_to_minority_interest,income_tax,interest_expense,interest_income,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income_normal,operating_income,other_income_statement_items,other_nonoperating_income,other_opex,preferred_dividends,pretax_income,revenue,rnd,sga,shares_basic,shares_diluted,special_charges,total_opex,fiscal_quarter_key,fiscal_quarter_number
0,0.0,2002-01-14,2001-11,27.16,599900000,636500000,297600000,-0.44,-0.44,-212600000,0,177200000,0,0,-265900000,-265900000,-265900000,0,0,-452000000,0,8900000,0,0,-443100000,423900000,154500000,84900000,599200000,599200000,0,239400000,FY2002.FQ1,1
1,0.0,2002-04-11,2002-02,32.15,601100000,502900000,290900000,-0.05,-0.05,143000000,0,20300000,0,0,-30400000,-30400000,-30400000,0,0,-59000000,0,8300000,-13200000,0,-50700000,645900000,135900000,79300000,600500000,600500000,0,202000000,FY2002.FQ2,2
2,0.0,2002-06-28,2002-05,23.58,602100000,603000000,293400000,-0.04,-0.04,168200000,0,16100000,0,0,-24200000,-24200000,-24200000,0,0,-46700000,0,6400000,3300000,0,-40300000,771200000,134400000,77200000,602300000,602300000,0,214900000,FY2002.FQ3,3
3,0.0,2002-10-15,2002-08,17.25,602900000,957200000,295500000,-0.98,-0.98,-209200000,0,-122100000,0,0,-586500000,-586500000,-586500000,0,0,-467600000,0,3200000,26000000,0,-464400000,748000000,136500000,95900000,603900000,603900000,0,258400000,FY2002.FQ4,4
4,0.0,2003-01-13,2002-11,15.81,606500000,722400000,299900000,-0.52,-0.52,-37300000,0,-21400000,0,0,-315900000,-315900000,-315900000,0,0,-296600000,0,2100000,0,0,-294500000,685100000,154500000,104800000,605200000,605200000,0,259300000,FY2003.FQ1,1
5,0.0,2003-04-14,2003-02,8.01,607600000,1008900000,310200000,-1.02,-1.02,-223900000,0,-17600000,0,0,-619200000,-619200000,-619200000,0,0,-600600000,0,-1000000,110200000,0,-601600000,785000000,174100000,92400000,607200000,607200000,0,376700000,FY2003.FQ2,2
6,0.0,2003-07-11,2003-05,11.32,608700000,661700000,301000000,-0.36,-0.36,71000000,0,-23900000,0,0,-214900000,-214900000,-214900000,0,0,-189100000,0,-1900000,11200000,0,-191000000,732700000,161700000,87200000,608300000,608300000,0,260100000,FY2003.FQ3,3
7,0.0,2003-10-15,2003-08,14.36,609900000,719000000,298800000,-0.21,-0.21,169500000,0,-10100000,0,0,-123200000,-123200000,-123200000,0,0,-98900000,0,-14200000,-21900000,0,-113100000,888500000,166100000,124200000,609300000,609300000,0,268400000,FY2003.FQ4,4
8,0.0,2004-01-15,2003-11,13.01,609100000,821200000,312500000,0.0,0.0,286000000,0,-15500000,0,0,1100000,1100000,1100000,0,0,600000,0,16000000,0,0,16600000,1107200000,186400000,99000000,633800000,636600000,0,285400000,FY2004.FQ1,1
9,0.0,2004-04-19,2004-02,15.04,609500000,742800000,295600000,-0.04,-0.04,248200000,0,-17500000,0,0,-28300000,-28300000,-28300000,0,0,-7200000,0,-3600000,-14300000,0,-10800000,991000000,187900000,81800000,643200000,643200000,0,255400000,FY2004.FQ2,2
