,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_quarter_key,fiscal_quarter_number
0,0.0,2002-01-14,2001-11,27.16,599900000,FY2002.FQ1,1
1,0.0,2002-04-11,2002-02,32.15,601100000,FY2002.FQ2,2
2,0.0,2002-06-28,2002-05,23.58,602100000,FY2002.FQ3,3
3,0.0,2002-10-15,2002-08,17.25,602900000,FY2002.FQ4,4
4,0.0,2003-01-13,2002-11,15.81,606500000,FY2003.FQ1,1
5,0.0,2003-04-14,2003-02,8.01,607600000,FY2003.FQ2,2
6,0.0,2003-07-11,2003-05,11.32,608700000,FY2003.FQ3,3
7,0.0,2003-10-15,2003-08,14.36,609900000,FY2003.FQ4,4
8,0.0,2004-01-15,2003-11,13.01,609100000,FY2004.FQ1,1
9,0.0,2004-04-19,2004-02,15.04,609500000,FY2004.FQ2,2
10,0.0,2004-07-19,2004-05,15.03,610600000,FY2004.FQ3,3
11,0.0,2004-10-15,2004-08,11.51,611500000,FY2004.FQ4,4
12,0.0,2005-01-11,2004-11,11.08,612700000,FY2005.FQ1,1
13,0.0,2005-04-12,2005-02,11.5,613800000,FY2005.FQ2,2
14,0.0,2005-07-07,2005-05,10.98,614900000,FY2005.FQ3,3
15,0.0,2005-11-04,2005-08,11.91,616200000,FY2005.FQ4,4
16,0.0,2006-01-10,2005-11,14.26,618400000,FY2006.FQ1,1
17,0.0,2006-04-11,2006-02,15.51,675600000,FY2006.FQ2,2
18,0.0,2006-07-11,2006-05,16.56,678500000,FY2006.FQ3,3
19,0.0,2006-11-08,2006-08,17.28,749400000,FY2006.FQ4,4
20,0.0,2007-01-16,2006-11,14.6,754500000,FY2007.FQ1,1
21,0.0,2007-04-10,2007-02,11.86,755800000,FY2007.FQ2,2
22,0.0,2007-07-10,2007-05,12.18,756871000,FY2007.FQ3,3
23,0.0,-,2007-08,11.45,757900000,FY2007.FQ4,4
24,0.0,2008-01-08,2007-11,8.32,760500000,FY2008.FQ1,1
25,0.0,2008-04-08,2008-02,7.52,760800000,FY2008.FQ2,2
26,0.0,2009-07-14,2008-05,8.07,760800000,FY2008.FQ3,3
27,0.0,2009-10-28,2008-08,4.24,761100000,FY2008.FQ4,4
28,0.0,2009-01-13,2008-11,2.74,763800000,FY2009.FQ1,1
29,0.0,2009-04-07,2009-02,3.22,777448000,FY2009.FQ2,2
30,0.0,2009-07-14,2009-05,5.06,846800000,FY2009.FQ3,3
31,0.0,2009-10-28,2009-08,7.37,848700000,FY2009.FQ4,4
32,0.0,2010-01-12,2009-11,7.52,849800000,FY2010.FQ1,1
33,0.0,2010-04-09,2010-02,9.06,855500000,FY2010.FQ2,2
34,0.0,2010-07-13,2010-05,9.09,993900000,FY2010.FQ3,3
35,0.0,2010-10-26,2010-08,6.46,994500000,FY2010.FQ4,4
36,0.0,2011-01-11,2010-11,7.27,996800000,FY2011.FQ1,1
37,0.0,2011-04-12,2011-02,11.13,1000900000,FY2011.FQ2,2
38,0.0,2011-07-12,2011-05,10.2,1003900000,FY2011.FQ3,3
39,0.0,2011-10-25,2011-08,5.91,984300000,FY2011.FQ4,4
40,0.0,2012-01-10,2011-11,5.99,987700000,FY2012.FQ1,1
41,0.0,2012-04-09,2012-02,8.55,989400000,FY2012.FQ2,2
42,0.0,2012-07-09,2012-05,5.84,994600000,FY2012.FQ3,3
43,0.0,2012-10-29,2012-08,6.21,1017700000,FY2012.FQ4,4
44,0.0,2013-01-07,2012-11,5.97,1021000000,FY2013.FQ1,1
45,0.0,2013-04-08,2013-02,8.38,1026600000,FY2013.FQ2,2
46,0.0,2013-07-08,2013-05,11.68,1034700000,FY2013.FQ3,3
47,0.0,2013-10-28,2013-08,13.57,1044400000,FY2013.FQ4,4
48,0.0,2014-01-07,2013-11,21.1,1058000000,FY2014.FQ1,1
49,0.0,2014-04-07,2014-02,24.19,1070000000,FY2014.FQ2,2
50,0.0,2014-07-03,2014-05,28.59,1070000000,FY2014.FQ3,3
51,0.0,2014-10-27,2014-08,32.6,1073000000,FY2014.FQ4,4
52,0.0,2015-01-09,2014-11,35.95,1075000000,FY2015.FQ1,1
53,0.0,2015-04-10,2015-02,30.67,1081000000,FY2015.FQ2,2
54,0.0,2015-07-10,2015-05,27.93,1083000000,FY2015.FQ3,3
55,0.0,2015-10-27,2015-08,16.41,1084000000,FY2015.FQ4,4
56,0.0,2016-01-08,2015-11,15.93,1035000000,FY2016.FQ1,1
57,0.0,2016-04-08,2016-02,10.63,1037000000,FY2016.FQ2,2
58,0.0,2016-07-06,2016-05,12.72,1037000000,FY2016.FQ3,3
59,0.0,2016-10-28,2016-08,16.49,1040000000,FY2016.FQ4,4
60,0.0,2017-01-09,2016-11,19.53,1044000000,FY2017.FQ1,1
61,0.0,2017-03-28,2017-02,23.44,1106000000,FY2017.FQ2,2
62,0.0,2017-06-30,2017-05,30.77,1109632000,FY2017.FQ3,3
63,0.0,2017-10-26,2017-08,31.97,1112000000,FY2017.FQ4,4
64,0.0,2017-12-20,2017-11,43.74,1158000000,FY2018.FQ1,1
65,0.0,2018-03-23,2018-02,48.81,1158000000,FY2018.FQ2,2
66,0.0,2018-06-22,2018-05,57.59,1160000000,FY2018.FQ3,3
67,0.0,2018-10-15,2018-08,52.52,1161000000,FY2018.FQ4,4
68,0.0,2018-12-19,2018-11,38.56,1120000000,FY2019.FQ1,1
69,0.0,2019-03-21,2019-02,40.88,1106000000,FY2019.FQ2,2
70,0.0,2019-06-26,2019-05,32.61,1104000000,FY2019.FQ3,3
71,0.0,2019-10-17,2019-08,45.27,1106000000,FY2019.FQ4,4
72,0.0,2019-12-20,2019-11,47.51,1108000000,FY2020.FQ1,1
73,0.0,2020-03-26,2020-02,52.56,1112000000,FY2020.FQ2,2
74,0.0,2020-06-30,2020-05,47.91,1112000000,FY2020.FQ3,3
75,0.0,2020-10-19,2020-08,45.51,1113000000,FY2020.FQ4,4
