,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,accounts_payable,accumulated_depreciation,aoci,apic,cash_and_equiv,common_stock,current_accrued_liabilities,current_capital_leases,current_deferred_revenue,current_deferred_tax_liability,equity_and_other_investments,goodwill,intangible_assets,inventories,lt_debt,minority_interest_liability,noncurrent_capital_leases,noncurrent_deferred_revenue,other_current_assets,other_current_liabilities,other_equity,other_lt_assets,other_lt_liabilities,pension_liabilities,ppe_gross,ppe_net,preferred_stock,receivables,retained_earnings,st_debt,st_investments,tax_payable,total_assets,total_current_assets,total_current_liabilities,total_equity,total_liabilities,total_liabilities_and_equity,total_noncurrent_assets,total_noncurrent_liabilities,treasury_stock,fiscal_year_key,fiscal_year_number
0,0,2003-03-31,2001-12,0.0,289073000,13715000,-41391000,-5725000,52479000,16131000,0,4544000,0,4937000,0,0,0,7917000,0,2799000,0,1057000,0,3421000,0,1999.0,2323000.0,102070000.0,0,53229000,11838000,6000,0,-137266000,3012000,0,0,41630000,19552000,26208000,-90504000,132134000,41630000,22078000,105926000.0,0,FY2001,2001
1,0,2003-03-31,2002-12,0.786,314241000,20350000,-15904000,-10625000,259172000,59814000,0,9102000,0,9743000,0,0,0,6094000,0,0,0,460000,0,3465000,0,21999.999999963,11741000.0,288000.0,0,21524000,5620000,0,0,-159213000,1231000,43796000,0,130530000,107075000,40426000,89356000,41174000,130530000,23455000,748000.0,0,FY2002,2002
2,0,2004-02-27,2003-12,3.906,355946000,32654000,-19553000,-4886000,270836000,89894000,0,11625000,0,18324000,0,0,0,2948000,0,0,0,44000,0,3755000,0,50999.999999988,24346000.0,241000.00000001,0,29325000,9772000,0,0,-153293000,416000,45297000,0,176012000,138946000,63019000,112708000,63304000,176012000,37066000,285000.0,0,FY2003,2003
3,0,2005-03-15,2004-12,1.761,369124000,49775000,-23477000,-4915000,292843000,174461000,0,13131000,0,31936000,0,0,0,961000,0,0,0,0,0,12885000,0,52999.999999969,44758000.0,600000.00000001,0,42205000,18728000,0,0,-131698000,68000,0,0,251793000,187346000,94910000,156283000,95510000,251793000,64447000,600000.00000001,0,FY2004,2004
4,0,2006-03-16,2005-12,3.866,383290000,63491000,-32410000,0,315868000,212256000,0,25563000,0,48533000,0,0,0,57489000,0,0,0,0,0,31435000,0,55000.000000007,23288000.0,842000.00000001,0,72623000,40213000,0,0,-89671000,0,0,0,364681000,243691000,137587000,226252000,138429000,364681000,120990000,842000.00000001,0,FY2005,2005
5,0,2007-02-28,2006-12,3.694,480287000,93864000,-45343000,0,454731000,400430000,0,29905000,0,69678000,0,0,0,104908000,0,0,0,0,0,27988000,0,69000.000000017,19950000.0,1121000.0,0,100846000,55503000,0,0,-40589000,0,0,0,608779000,428418000,193447000,414211000,194568000,608779000,180361000,1121000.0,0,FY2006,2006
6,0,2008-02-28,2007-12,3.803,454390000,104445000,-66231000,1611000,402710000,177439000,0,36466000,0,71665000,0,0,0,132455000,0,0,0,35652000,0,31390000,0,65000.0,57179000.0,4629000.0,0,143557000,77326000,0,0,25426000,823000,207703000,0,683492000,416532000,213399000,429812000,253680000,683492000,266960000,40281000.0,0,FY2007,2007
7,0,2009-02-25,2008-12,4.27,412037000,100344000,-98838000,84000,338577000,139881000,0,31394000,1152000,83127000,0,0,0,98547000,18691000,0,0,37988000,0,42963000,0,61999.999999955,33004000.0,14264000.0,0,223786000,124948000,0,0,108452000,0,157390000,0,615424000,358925000,216017000,347155000,268269000,615424000,256499000,52252000.0,-100020000,FY2008,2008
8,0,2010-02-22,2009-12,7.87,374081000,92542000,-134294000,273000,0,134224000,0,26960000,1410000,100097000,0,0,0,0,0,200000000,0,36572000,0,90771000,6427000,52999.999999997,137068000.0,16583000.0,0,265947000,131653000,0,0,198817000,0,186018000,0,679734000,411013000,227436000,199143000,480591000,679734000,268721000,253155000.0,0,FY2009,2009
9,0,2011-02-18,2010-12,25.1,369474000,222824000,-136579000,750000,51622000,194499000,0,24058000,2083000,127183000,0,0,0,0,0,200000000,0,0,0,286844000,12431000,52999.999999997,216266000.0,103324000.0,0,265149000,128570000,0,0,237739000,0,155888000,0,982067000,637231000,388579000,290164000,691903000,982067000,344836000,303324000.0,0,FY2010,2010
