,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_year_key,fiscal_year_number
0,0,2003-03-31,2001-12,0.0,289073000,-12084000,9059000,-12670000,4847000,0,1236000,125000,113000,-12000,8946000,8946000,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-586000.0,-12084000,-12084000,0,6937000,29797000,0,0,-39182000,7295000,6952000,-15000,0,0,FY2001,2001
1,0,2003-03-31,2002-12,0.786,314241000,-24833000,70870000,-67301000,40114000,0,43683000,88020000,88014000,-6000,0,-17144000,-17144000,0,0.0,0,0,0,0,0,0,0,-43022000,-43022000,0,554000.0,-24833000,-26821000,1988000,16003000,26477000,0,0,-20948000,18582000,16047000,-44000,0,0,FY2002,2002
2,0,2004-02-27,2003-12,3.906,355946000,-62659000,4965000,-64677000,89792000,0,30080000,6299000,6299000,0,0,-1334000,-1334000,0,0.0,0,0,0,0,0,0,0,-1679000,-1679000,0,-339000.0,-62659000,-64492000,1833000,23071000,50991000,0,0,6512000,9218000,23361000,-290000,0,0,FY2003,2003
3,0,2005-03-15,2004-12,1.761,369124000,-110190000,5775000,-66255000,145269000,-222000,84567000,6035000,6035000,0,0,-436000,-436000,0,176000.0,0,0,0,0,0,0,0,44427000,-586000,45013000,-491999.99999999,-110190000,-115807000,5617000,21518000,88204000,0,0,21595000,13952000,30648000,-9130000,0,0,FY2004,2004
4,0,2006-03-16,2005-12,3.866,383290000,-133799000,13314000,-133248000,157507000,222000,37795000,13393000,13393000,0,0,-79000,-79000,0,0.0,0,0,0,0,0,0,0,0,0,0,551000.00000002,-133799000,-139580000,5781000,32633000,107002000,-34905000,0,42027000,10750000,37517000,-4884000,0,0,FY2005,2005
5,0,2007-02-28,2006-12,3.694,480287000,-184537000,126181000,-185869000,247862000,0,188174000,112964000,112964000,0,0,0,0,0,13217000.0,0,0,0,0,0,0,0,0,0,0,-1332000.0,-184537000,-197446000,12909000,35127000,157136000,16150000,0,49082000,-9633000,42191000,-7064000,0,0,FY2006,2006
6,0,2008-02-28,2007-12,3.803,454390000,-23151000,-64001000,-450813000,291823000,0,-222991000,9611000,-90249000,-99860000,0,0,0,0,26248000.0,0,0,0,0,0,0,0,-204508000,-405340000,200832000,-223154000.0,-23151000,-44806000,21655000,30000000,224986000,-661000,0,66952000,-29454000,34303000,-4303000,0,0,FY2007,2007
7,0,2009-02-25,2008-12,4.27,412037000,-43790000,-176635000,-144960000,284037000,0,-37558000,18872000,-181032000,-199904000,0,-823000,-823000,0,5220000.0,0,0,0,-6000000,12368000,18368000,-1062000,50374000,-256959000,307333000,-162850000.0,-43790000,-43790000,0,-26585000,242211000,-5905000,0,83026000,-20974000,-22404000,-4181000,0,12264000,FY2008,2008
8,0,2010-02-22,2009-12,7.87,374081000,-34768000,-84641000,-246079000,325063000,0,-5657000,35274000,-289061000,-324335000,212895000,191737000,-21158000,0,12683000.0,0,0,0,0,7483000,7483000,-200000,-25621000,-228000000,202379000,-192973000.0,-34768000,-45932000,11164000,18567000,38044000,6328000,0,115860000,133646000,24210000,-5643000,0,12618000,FY2009,2009
9,0,2011-02-18,2010-12,25.1,369474000,-20918000,-100045000,-116081000,276401000,0,60275000,49776000,-160483000,-210259000,0,-1776000,-1776000,0,62214000.0,0,0,0,0,0,0,-123901000,29313000,-107362000,136675000,-575000.00000002,-20918000,-33837000,12919000,59140000,338695000,-962000,0,160853000,-309321000,94616000,-35476000,0,27996000,FY2010,2010
10,0,2012-02-10,2011-12,9.899,387790000,-49682000,261656000,-265814000,317712000,0,313554000,219561000,19895000,-199666000,198060000,195977000,-2083000,0,45784000.0,0,0,0,0,0,0,-85154000,-134652000,-223750000,89098000,3674000.0,-49682000,-49682000,0,115593000,839619000,-18597000,0,226126000,-906611000,109382000,6211000,0,61582000,FY2011,2011
