,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_year_key,fiscal_year_number
0,0,2003-03-31,2001-12,0.0,289073000,-0.4599,NA,-90510000,-0.8851,0.0,0.0829,0.0,0.0,0.746,0.1649,NA,-0.0758,NA,0,0,-7323000,0.8747,-0.0964,-0.0716,-13332000,0.1472,0.3402,1.8421,0.0,-0.1756,0.1354,0.0,0.4796,-2.174,-7237000,0.0,0.0,-0.0953,NA,-0.0707,0.3425,NA,1.357,0.0,0,-10320000,0.3276,-0.5161,-27840000,0.3651,NA,-0.363,-0.4889,0,0.0,0.0,1.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1148,0.7423,-0.8326,NA,-1.0467,0.4784,NA,0.5059,0.16116938284134,0.4215,NA,-1.1783,1.5827,249481000,6.3012,-0.9625,-98427000,0.0,-0.2068,0.0,-0.2352,FY2001,2001
1,0,2003-03-31,2002-12,0.786,314241000,1.4607,NA,89356000,0.2263,-1.055,2.708,0.0,7.276,2.6486,0.0129,NA,0.0189,NA,0,0,15804000,3.1581,0.1034,0.04,143383426,1.6046,-6.8447,9.3831,0.0,0.9383,1.722,0.0,0.9308,0.6845,15281000,0.0,3.1115,0.1,NA,0.0387,0.4886,NA,1.8713,0.0,246993426,-58583000,0.4653,-0.137,-8004750,0.7124,NA,-0.027,-0.0698,0,0.0,-0.5252,0.0,0.0,0.0,NA,2.7641,-11.7907,16.1634,0.0,1.6163,2.9664,0.0,1.0129,0.3869,-0.2433,NA,-0.1944,36.4947,NA,-5.6532,0.16116938284134,0.6113,NA,-0.2229,2.8614,25168000,0.087,0.2108,83262000,0.0,2.1354,0.0,1.9873,FY2002,2002
2,0,2004-02-27,2003-12,3.906,355946000,1.5616,NA,112708000,0.128,-1.5232,0.5028,0.0,1.2384,2.2048,0.0026,NA,0.004,NA,0,0,55463000,2.5094,0.2037,0.0629,1255134076,11.1361,192.7417,46.2585,0.0,4.6103,11.4352,0.0,1.132,0.6403,27133000,0.0,0.7756,0.0996,NA,0.0308,0.455,NA,0.659,0.0,1390325076,-89478000,1.3108,0.0239,3354000,1.419,NA,0.005,0.0164,0,0.0,0.7387,0.0,0.0,0.0,NA,12.3356,213.502,51.2411,0.0,5.1069,12.6669,0.0,0.7816,0.3092,0.0424,NA,0.0436,0.0644,NA,0.0637,0.16116938284134,0.2389,NA,0.0457,1.2296,41705000,0.1327,0.1246,109760000,0.0,0.3484,0.0,0.2613,FY2003,2003
3,0,2005-03-15,2004-12,1.761,369124000,1.6111,NA,156283000,0.345,-0.7585,0.9407,0.0,0.6178,1.9739,0.0002,NA,0.0004,NA,0,0,107558000,0.9392,0.2148,0.2374,475566364,3.0429,22.022,13.557,21.839,0.9499,3.0618,0.0,5.7142,0.6206,35079000,0.0,0.2928,0.07,NA,0.0774,0.3373,NA,0.3633,0.0083,650027364,-174393000,2.3161,0.0431,14515500,3.3278,NA,0.0427,0.0386,0,0.0,0.9164,0.0,0.048,0.0434,NA,4.1592,30.1008,18.5303,29.8506,1.2984,4.185,0.0,0.8388,1.1051,0.1009,NA,0.1431,0.1605,NA,0.1602,0.16116938284134,8.3636,NA,0.1452,-0.4854,13178000,0.037,0.3428,155322000,0.0,0.4305,0.0,0.3866,FY2004,2004
4,0,2006-03-16,2005-12,3.866,383290000,1.6118,NA,226252000,0.4933,-0.2142,0.2166,0.0,0.0842,1.7711,0.0,NA,0.0,NA,0,0,109991000,0.0226,0.1612,0.2398,1269543140,5.6111,30.2077,53.5491,152.3147,1.8609,7.5226,0.0,0.9361,0.6204,23708000,0.0,-0.3241,0.0347,NA,0.0516,0.3172,NA,0.2814,0.0,1481799140,-212256000,0.9461,0.0616,2241750,-0.8455,NA,0.0065,0.0043,0,0.0,1.1472,-0.6172,0.0181,0.0122,NA,6.5493,35.2582,62.502,177.7803,2.172,8.7803,0.0,0.3627,1.4875,0.1363,NA,0.0155,0.2197,NA,0.2196,0.16116938284134,-20.4312,NA,0.0183,0.0124,14166000,0.0383,0.3679,168763000,0.0,0.4483,0.0,0.4477,FY2005,2005
5,0,2007-02-28,2006-12,3.694,480287000,1.4697,NA,414211000,0.8566,-0.3792,0.8865,0.0,0.5736,2.2146,0.0,NA,0.0,NA,0,0,221550000,1.0142,0.2222,0.4581,1373750178,3.3165,27.9888,21.6936,17.1038,1.3783,4.4414,0.0,0.1098,0.6803,63325000,0.0,1.671,0.0635,NA,0.1309,0.3709,NA,0.7079,0.3889,1774180178,-400430000,0.1678,0.0492,48310500,20.5503,NA,0.1332,0.0646,0,0.0,0.3802,8.6362,0.1661,0.0805,NA,4.2832,36.1472,28.017,22.0894,1.7801,5.736,0.0,0.4609,2.0612,0.1008,NA,0.2005,0.1532,NA,0.1532,0.16116938284134,3.534,NA,0.2683,0.0542,96997000,0.253,0.6396,309303000,0.0,0.6693,0.0,0.8307,FY2006,2006
6,0,2008-02-28,2007-12,3.803,454390000,1.5902,NA,429812000,0.8911,0.8745,-0.5568,0.0,0.1773,1.9518,0.0533,NA,0.0848,NA,0,0,316147000,0.4269,0.2622,0.6554,1342903170,3.1243,20.0577,4.9982,12.0438,1.1141,4.5161,0.0,0.3762,0.6288,268672000,0.0,3.2427,0.2229,NA,0.557,0.3477,NA,0.1338,0.3995,1728045170,-176616000,0.364,0.0555,68370750,0.4152,NA,0.189,0.0756,0,0.0,0.3931,0.3882,0.2311,0.0925,NA,4.0204,25.8102,6.4318,15.498,1.4336,5.8113,0.0,0.2093,2.499,0.1036,NA,0.2057,0.1586,NA,0.152,0.16116938284134,0.4424,NA,0.2809,-0.0025,-25897000,-0.0539,0.6165,297357000,0.0,0.1227,0.0,0.0376,FY2007,2007
7,0,2009-02-25,2008-12,4.27,412037000,1.7727,NA,347155000,0.7892,-0.8914,-0.2116,0.0,-0.0266,1.6615,0.0617,NA,0.1094,NA,0,0,363717000,0.1504,0.2665,0.8269,1462126990,4.2117,17.6104,6.0859,11.1188,1.0714,5.8812,0.0,0.3597,0.564,240247000,0.0,-0.1057,0.176,NA,0.5461,0.3329,NA,0.0841,0.3686,1759397990,-139881000,0.24,0.0608,91129500,0.3328,NA,0.2762,0.089,0,0.0,0.6158,0.1793,0.2989,0.0963,NA,5.068,21.1909,7.3232,13.3794,1.2892,7.0769,0.0,0.1321,3.1025,0.1278,NA,0.2792,0.2137,NA,0.195,0.16116938284134,0.3108,NA,0.3801,-0.088,-42353000,-0.0932,0.5652,248608000,0.0,-0.0995,0.0,-0.1923,FY2008,2008
8,0,2010-02-22,2009-12,7.87,374081000,3.4132,1.5759,199143000,0.487,0.206,-0.0404,0.0,0.1444,1.8071,0.348,0.0257,1.1879,0.0022,0,0,225423000,-0.3802,0.1349,0.5512,2823775470,14.1796,24.3723,9.7272,14.6924,1.6906,14.1796,0.0,0.4973,0.2929,290295000,0.0,0.2083,0.1738,0.0848,0.7099,0.3538,0.3451,0.3005,0.3971,2944017470,65776000,0.3954,0.0693,140534250,0.5421,0.0275,0.4582,0.1121,0,0.0,0.0536,0.4615,0.47,0.115,0.0278,14.7834,25.4101,10.1414,15.3181,1.7626,14.7834,0.0,0.2239,4.0846,0.1789,0.1008,0.44,0.4241,0.1871,0.2822,0.16116938284134,0.4238,0.1567,0.4975,-0.0703,-37956000,-0.0921,0.487,199143000,0.0,0.1044,0.0,-0.4263,FY2009,2009
9,0,2011-02-18,2010-12,25.1,369474000,3.3845,1.6006,290164000,0.7633,0.3983,0.449,0.0,-0.1497,1.6399,0.2036,0.0331,0.6892,0.0115,0,0,622336000,1.7607,0.2877,1.6371,9123410400,31.4422,56.7189,35.7104,34.0812,4.2186,31.4422,0.0,0.4946,0.2954,255483000,0.0,-0.1199,0.1181,0.0998,0.672,0.3723,0.3507,0.3625,0.3991,9273797400,5501000,0.3883,0.0743,212730750,0.5137,0.0516,0.7461,0.1311,0,0.0,-0.0234,0.3928,0.7042,0.1237,0.062,31.9605,57.6538,36.299,34.643,4.2882,31.9605,0.5065,0.2947,5.6892,0.1935,0.1022,0.5424,0.6574,0.2167,0.3474,0.16116938284134,0.5387,0.1776,0.5424,-0.0703,-4607000,-0.0123,0.7633,290164000,0.3403,0.4447,0.0,0.457,FY2010,2010
