,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,da_income_statement_supplemental,eps_basic,eps_diluted,gross_profit,income_allocated_to_minority_interest,income_tax,interest_expense,interest_income,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income_normal,operating_income,other_income_statement_items,other_nonoperating_income,other_opex,preferred_dividends,pretax_income,revenue,rnd,sga,shares_basic,shares_diluted,special_charges,total_opex,fiscal_year_key,fiscal_year_number
0,0,2003-03-31,2001-12,0.0,289073000,49907000,29797000,-0.76,-0.76,26005000,0,0,0,0,-39182000,-39182000,0,0,0,-37120000,-39182000,37120000,0,0,0,75912000,17734000,45391000,102256000,102256000,0,63125000,FY2001,2001
1,0,2003-03-31,2002-12,0.786,314241000,78136000,26477000,-0.05,-0.05,74670000,0,0,0,0,-20948000,-20948000,0,0,0,-10673000,-20948000,10673000,0,0,0,152806000,14625000,70718000,394856000,394856000,0,85343000,FY2002,2002
2,0,2004-02-27,2003-12,3.906,355946000,148360000,50991000,0.01,0.0,123883000,0,0,0,0,6512000,6512000,0,0,0,4472000,6512000,-4472000,0,0,0,272243000,17884000,101527000,669004000,880376000,0,119411000,FY2003,2003
3,0,2005-03-15,2004-12,1.761,369124000,331712000,88204000,0.06,0.04,168899000,0,-181000,0,0,21595000,21595000,21595000,0,0,19354000,0,2422000,-2560000,0,21776000,500611000,29467000,122638000,363916000,452991000,0,149545000,FY2004,2004
4,0,2006-03-16,2005-12,3.866,383290000,465775000,107002000,0.11,0.09,216438000,0,33692000,0,0,42027000,42027000,42027000,0,0,2989000,0,5346000,-1987000,0,8335000,682213000,35388000,180048000,374696000,458626000,0,213449000,FY2005,2005
5,0,2007-02-28,2006-12,3.694,480287000,626985000,157136000,0.11,0.1,369675000,0,-31236000,0,0,49082000,49082000,49082000,0,0,64414000,0,15904000,-4797000,0,80318000,996660000,48379000,261679000,438039000,483525000,0,305261000,FY2006,2006
6,0,2008-02-28,2007-12,3.803,454390000,786168000,224986000,0.14,0.13,419172000,0,-44549000,0,0,66952000,66952000,66952000,0,0,91161000,0,20340000,-14196000,0,111501000,1205340000,71395000,270812000,469532000,482314000,0,328011000,FY2007,2007
7,0,2009-02-25,2008-12,4.27,412037000,910234000,242211000,0.19,0.18,454427000,0,-48474000,-2458000,12452000,83026000,83026000,83026000,0,9994000,121506000,0,0,-6327000,0,131500000,1364661000,89873000,249375000,426727000,439852000,0,332921000,FY2008,2008
8,0,2010-02-22,2009-12,7.87,374081000,1079271000,38044000,0.29,0.28,590998000,0,-76332000,-6475000,6728000,115860000,115860000,115860000,0,253000,187379000,0,4560000,0,0,192192000,1670269000,114542000,289077000,395920000,408912000,0,403619000,FY2009,2009
9,0,2011-02-18,2010-12,25.1,369474000,1357355000,338695000,0.43,0.42,805270000,0,-106843000,-19629000,3684000,160853000,160853000,160853000,0,-15945000,283641000,0,0,0,0,267696000,2162625000,163329000,358300000,367703000,380128000,0,521629000,FY2010,2010
