,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_year_key,fiscal_year_number
0,0,2003-03-31,2001-12,0.0,289073000,FY2001,2001
1,0,2003-03-31,2002-12,0.786,314241000,FY2002,2002
2,0,2004-02-27,2003-12,3.906,355946000,FY2003,2003
3,0,2005-03-15,2004-12,1.761,369124000,FY2004,2004
4,0,2006-03-16,2005-12,3.866,383290000,FY2005,2005
5,0,2007-02-28,2006-12,3.694,480287000,FY2006,2006
6,0,2008-02-28,2007-12,3.803,454390000,FY2007,2007
7,0,2009-02-25,2008-12,4.27,412037000,FY2008,2008
8,0,2010-02-22,2009-12,7.87,374081000,FY2009,2009
9,0,2011-02-18,2010-12,25.1,369474000,FY2010,2010
10,0,2012-02-10,2011-12,9.899,387790000,FY2011,2011
11,0,2013-02-01,2012-12,13.227,389110000,FY2012,2012
12,0,2014-02-03,2013-12,52.596,417249000,FY2013,2013
13,0,2015-01-29,2014-12,48.801,422911000,FY2014,2014
14,0,2016-01-28,2015-12,114.38,427940000,FY2015,2015
15,0,2017-01-27,2016-12,123.8,430054000,FY2016,2016
16,0,2018-01-29,2017-12,191.96,433393000,FY2017,2017
17,0,2019-01-29,2018-12,267.66,436599000,FY2018,2018
18,0,2020-01-29,2019-12,323.57,438807000,FY2019,2019
19,0,2021-01-28,2020-12,540.73,442895000,FY2020,2020
20,0,2022-01-27,2021-12,602.44,443963000,FY2021,2021
21,0,2023-01-26,2022-12,294.88,445347000,FY2022,2022
22,0,2024-01-26,2023-12,486.88,432760000,FY2023,2023
23,0,2025-01-27,2024-12,891.32,427757000,FY2024,2024
