,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_quarter_key,fiscal_quarter_number
0,0,-,2002-03,0.0,289073000,-5798000,-1167000,-5798000,6505000,0,-460000,87000,87000,0,0,-1254000,-1254000,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,-5798000,-6256000,458000,2981000,5080000,0,0,-4508000,2952000.0,3754000,-773000,0,0,FY2002.FQ1,1
1,0,2002-08-14,2002-06,0.999,302236000,-3477000,71587000,-45615000,8116000,0,34088000,86428000,86425000,-3000,0,-14838000,-14838000,0,0.0,0,0,0,0,0,0,0,0,0,0,-42138000.0,-3477000,-4229000,752000,2297000,6255000,0,0,-13429000,12993000.0,1335000,962000,0,0,FY2002.FQ2,2
2,0,2002-11-14,2002-09,0.693,308967000,-5824000,-745000,-5767000,11074000,0,4562000,91000,91000,0,0,-836000,-836000,0,0.0,0,0,0,0,0,0,0,0,0,0,57000.0,-5824000,-6392000,568000,4690000,7047000,0,0,-1695000,1032000.0,5195000,-505000,0,0,FY2002.FQ3,3
3,0,2003-03-31,2002-12,0.786,314241000,-9734000,1195000,-10121000,14419000,0,5493000,1414000,1414000,0,0,-216000,-216000,0,-2999.9999999999,0,0,0,0,0,0,0,0,0,0,-387000.0,-9734000,-9944000,210000,6035000,8095000,0,0,-1316000,1605000.0,5763000,272000,0,0,FY2002.FQ4,4
4,0,2003-05-14,2003-03,1.454,321685000,-6582000,1142000,-7755000,12827000,0,6214000,1549000,1549000,0,0,-407000,-407000,0,0.0,0,0,0,0,0,0,0,-380000,-380000,0,-793000.0,-6582000,-6970000,388000,4369000,8762000,0,0,-4521000,4217000.0,3766000,603000,0,0,FY2003.FQ1,1
5,0,2003-07-31,2003-06,1.825,335422000,-19311000,1235000,-19654000,23620000,0,5201000,1496000,1496000,0,0,-261000,-261000,0,0.0,0,0,0,0,0,0,0,-363000,-363000,0,20000.0,-19311000,-19427000,116000,7321000,11340000,0,0,5459000,-500000.0,7719000,-398000,0,0,FY2003.FQ2,2
6,0,2003-10-31,2003-09,2.397,339186000,-14139000,437000,-14482000,21986000,0,7941000,988000,988000,0,0,-551000,-551000,0,0.0,0,0,0,0,0,0,0,-354000,-354000,0,11000.000000001,-14139000,-15063000,924000,2544000,14214000,0,0,3303000,1925000.0,2479000,65000,0,0,FY2003.FQ3,3
7,0,2004-02-27,2003-12,3.906,355946000,-22627000,2151000,-22786000,31359000,0,10724000,2266000,2266000,0,0,-115000,-115000,0,0.0,0,0,0,0,0,0,0,-582000,-582000,0,423000.0,-22627000,-23032000,405000,8837000,16675000,0,0,2271000,3576000.0,9397000,-560000,0,0,FY2003.FQ4,4
8,0,2004-04-30,2004-03,4.874,360823000,-1261000,1708000,-25214000,33800000,0,10294000,1819000,1819000,0,0,-111000,-111000,0,0.0,0,0,0,0,0,0,0,-364000,-364000,0,-23589000.0,-1261000,-1808000,547000,15503000,20005000,0,0,-5790000,4082000.0,14504000,999000,0,0,FY2004.FQ1,1
9,0,2004-08-02,2004-06,5.143,364849000,-1437000,2187000,19103000,31966000,0,53256000,0,0,0,4006000,4006000,0,0,-1819000.0,0,0,0,0,0,0,0,-222000,-222000,0,20762000.0,-1437000,-2048000,611000,2165000,22918000,0,0,2891000,3992000.0,4686000,-2521000,0,0,FY2004.FQ2,2
