,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_quarter_key,fiscal_quarter_number
0,0,-,2002-03,0.0,289073000,-0.4923,NA,-90879000,-1.5855,0.0,-0.0285,0.0,0.0,0.6754,0.1473,NA,-0.0725,NA,0,0,1026000,0.0,0.0336,0.0179,-12513000,0.1376,0.6939,-4.4246,0.0,-0.1024,0.126,0.0,0.0,-2.0311,707000,0.0,0.0,0.0231,NA,0.0123,0.5034,NA,0.0,0.0,0,-10038000.0,0.0,-0.1476,-3040500,0.0,NA,-0.0707,-0.1328,0,0.0,0.1934,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5326,-0.4175,NA,-0.8949,0.1988,NA,0.2147,0.20863116460791,0.1805,NA,-1.63,-0.4394,0,0.0,-1.7325,-99303000,0.0,0.0747,0.0,-0.004,FY2002.FQ1,1
1,0,2002-08-14,2002-06,0.999,302236000,1.3598,NA,86698000,0.6061,0.4003,2.1752,0.0,0.2476,3.1502,0.0226,NA,0.0308,NA,0,0,3713000,2.6189,0.1021,0.0259,210134764,2.4237,-11.7151,39.3069,0.0,3.1416,2.6603,0.0,-0.1898,0.7353,4639000,0.0,5.5615,0.1275,NA,0.0324,0.5024,NA,0.1886,0.0,301933764,-47849000.0,-1.9789,-0.3693,-1906500,0.3729,NA,-0.0177,-0.0699,0,0.0,-0.0909,0.0,0.0,0.0,NA,3.4825,-16.833,56.4784,0.0,4.514,3.8225,0.0,0.191,0.2542,-0.6605,NA,-0.1892,25.7383,NA,-21.094,0.20863116460791,1.7805,NA,-0.2227,1.4953,13163000,0.0455,0.5522,78988000,0.0,1.6351,0.0,1.954,FY2002.FQ2,2
2,0,2002-11-14,2002-09,0.693,308967000,1.4076,NA,87311000,0.2844,0.0,2.6469,0.0,0.0,2.9004,0.0152,NA,0.0214,NA,0,0,4772000,0.0,0.1171,0.0155,116576131,1.3351,-5.938,11.0018,0.0,1.0832,1.4497,0.0,0.0,0.7103,5250000,0.0,0.0,0.1288,NA,0.0171,0.4722,NA,0.0,0.0,214114131,-52839000.0,0.0,-0.0416,-1706250,0.0,NA,-0.0074,-0.0558,0,0.0,0.0,0.0,0.0,0.0,NA,2.4523,-10.9063,20.207,0.0,1.9895,2.6628,0.0,0.0,0.1327,-0.163,NA,-0.099,-0.2256,NA,-0.2198,0.20863116460791,-0.5271,NA,-0.1078,6.7517,6731000,0.0222,0.2619,80409000,0.0,1.3416,0.0,2.1916,FY2002.FQ3,3
3,0,2003-03-31,2002-12,0.786,314241000,1.4607,NA,89356000,0.2843,0.0,2.708,0.0,0.0,2.6486,0.0129,NA,0.0189,NA,0,0,6293000,0.0,0.1392,0.02,143383426,1.6046,-6.8447,9.3831,0.0,0.9383,1.722,0.0,0.0,0.6845,4685000,0.0,0.0,0.1036,NA,0.0149,0.4823,NA,0.0,0.0,246993426,-58583000.0,0.0,-0.0291,-1351500,0.0,NA,-0.0057,-0.0398,0,0.0,-0.5252,0.0,0.0,0.0,NA,2.7641,-11.7907,16.1634,0.0,1.6163,2.9664,0.0,0.0,0.1438,-0.1653,NA,-0.118,-0.2371,NA,-0.2324,0.20863116460791,-0.6338,NA,-0.1272,2.073,5274000,0.017,0.2649,83262000,0.0,2.1354,0.0,1.9873,FY2002.FQ4,4
4,0,2003-05-14,2003-03,1.454,321685000,1.4893,NA,91064000,0.286,-0.1352,3.2133,0.0,0.9718,2.5778,0.0097,NA,0.0144,NA,0,0,3851000,2.7534,0.0691,0.012,357397990,3.9246,-17.0506,17.1669,0.0,2.0084,4.1664,0.0,0.8227,0.6714,6245000,0.0,7.833,0.1121,NA,0.0196,0.4609,NA,0.6697,0.0,467729990,-65088000.0,-0.0028,-0.0812,-3683250,-0.2113,NA,-0.0154,-0.0882,0,0.0,0.0325,0.0,0.0,0.0,NA,5.1362,-22.3142,22.4664,0.0,2.6284,5.4527,0.0,0.8235,0.1748,-0.1575,NA,-0.1253,-0.2323,NA,-0.2285,0.20863116460791,-0.728,NA,-0.1335,4.5537,7444000,0.0236,0.2694,85779000,0.0,2.0314,0.0,2.0021,FY2003.FQ1,1
5,0,2003-07-31,2003-06,1.825,335422000,1.5311,NA,98006000,0.2271,-4.5539,0.4314,0.0,1.9103,2.3205,0.0072,NA,0.0111,NA,0,0,14188000,2.8211,0.2245,0.0328,495820150,5.059,-117.5207,24.1993,0.0,2.4212,5.3012,0.0,1.0851,0.653,4309000,0.0,-0.0711,0.0681,NA,0.0099,0.4422,NA,0.5297,0.0,612145150,-70394000.0,1.2467,0.0524,2136000,2.1203,NA,0.0066,0.045,0,0.0,0.8267,0.0,0.0,0.0,NA,6.2459,-145.0924,29.8767,0.0,2.9893,6.5449,0.0,0.7378,0.1464,-0.0295,NA,-0.0639,-0.0446,NA,-0.044,0.20863116460791,-0.1556,NA,-0.0673,2.016,13737000,0.0427,0.2168,93529000,0.0,0.2728,0.0,0.1304,FY2003.FQ2,2
6,0,2003-10-31,2003-09,2.397,339186000,1.5149,NA,104861000,0.238,-1.4277,0.4574,0.0,0.9853,2.3826,0.0034,NA,0.0053,NA,0,0,17070000,2.5771,0.2364,0.0387,688621842,6.5669,883.9818,29.8285,0.0,2.9148,6.8074,0.0,2.1666,0.66,7847000,0.0,0.4946,0.1086,NA,0.0178,0.4647,NA,0.7444,0.0,813028842,-78799000.0,2.9486,0.0457,2142000,2.2553,NA,0.0064,0.0395,0,0.0,0.934,0.0,0.0,0.0,NA,7.7533,1043.6827,35.2173,0.0,3.4414,8.0372,0.0,0.7726,0.1639,0.005,NA,-0.0098,0.0076,NA,0.0076,0.20863116460791,0.0287,NA,-0.0102,0.435,3764000,0.0112,0.2296,101157000,0.0,0.2925,0.0,0.201,FY2003.FQ3,3
7,0,2004-02-27,2003-12,3.906,355946000,1.5616,1.4342,112708000,0.3166,-1.3245,0.5028,0.0,1.1748,2.2048,0.0026,0.0141,0.004,0.0082,0,0,18208000,1.8933,0.2242,0.0511,1255134076,11.1361,287.4791,46.2585,0.0,4.6103,11.4352,0.0,2.5,0.6403,8732000,0.0,0.8638,0.1075,0.1056,0.0245,0.4523,0.4628,0.6846,0.0,1390325076,-89478000.0,2.7256,0.0279,1149750,1.8507,-0.0199,0.0043,0.0188,0,0.0,0.7387,0.0,0.0,0.0,0,12.3356,318.4436,51.2411,0.0,5.1069,12.6669,0.0,0.7966,0.228,0.026,-0.0935,0.0212,0.0401,0,0.0399,0.20863116460791,0.1763,-0.022,0.0218,0.1327,16760000,0.0494,0.3083,109760000,0.0,0.3484,0.0,0.2613,FY2003.FQ4,4
8,0,2004-04-30,2004-03,4.874,360823000,1.6845,1.475,113525000,0.3162,0.8084,0.5173,0.0,1.635,1.922,0.0018,0.0113,0.0031,0.0082,0,0,13655000,2.5458,0.136,0.038,1612449302,14.2034,520.6487,30.1804,0.0,5.0874,14.5,0.0,-0.1428,0.5936,32539000,0.0,4.2104,0.3241,0.1081,0.0906,0.4358,0.4628,0.7045,0.0,1758651302,-99828000.0,-0.2806,-0.0576,-4762500,-0.293,-0.0478,-0.0176,-0.0632,0,0.0,-0.292,0.0,0.0,0.0,0,15.4913,567.8564,32.9169,0.0,5.5487,15.8147,0.0,0.8029,0.2796,0.0168,-0.0935,0.0077,0.0273,0.0038,0.0272,0.20863116460791,0.1675,-0.022,0.0079,0.1277,4877000,0.0137,0.3097,111203000,0.138,0.4099,0.0,0.2466,FY2004.FQ1,1
9,0,2004-08-02,2004-06,5.143,364849000,1.675,1.5021,121906000,0.268,0.9255,1.1542,0.0,0.3533,1.9377,0.0012,0.0084,0.002,0.0082,0,0,25535000,0.7997,0.2122,0.0561,1722974407,14.1336,644.1025,21.6326,0.0,4.6059,14.3535,0.0,-0.25,0.597,30529000,0.0,6.0849,0.2537,0.1104,0.0671,0.4199,0.4628,0.8082,0.0,1876418407,-153191000.0,-0.1273,0.024,1962750,-0.0811,-0.0478,0.0057,0.0217,0,0.0,-0.5288,0.0,0.0,0.0,0,15.3923,701.4648,23.5591,0.0,5.0161,15.6318,0.0,0.9042,0.2645,0.0135,-0.0935,0.0055,0.0227,0.0152,0.0226,0.20863116460791,-0.3041,-0.0182,0.0056,0.0543,4026000,0.0111,0.2639,120038000,0.1723,0.3606,0.0,0.2438,FY2004.FQ2,2
