,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,da_income_statement_supplemental,eps_basic,eps_diluted,gross_profit,income_allocated_to_minority_interest,income_tax,interest_expense,interest_income,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income_normal,operating_income,other_income_statement_items,other_nonoperating_income,other_opex,preferred_dividends,pretax_income,revenue,rnd,sga,shares_basic,shares_diluted,special_charges,total_opex,fiscal_quarter_key,fiscal_quarter_number
0,0,-,2002-03,0.0,289073000,15158000,5080000,-0.07,-0.07,15369000,0,0,0,0,-4508000,-4508000,0,0,0,-4054000,-4508000.0,4054000,0,0,0,30527000,3181000,16242000,57316000,57316000,0,19423000,FY2002.FQ1,1
1,0,2002-08-14,2002-06,0.999,302236000,18092000,6255000,-0.09,-0.09,18268000,0,0,0,0,-13429000,-13429000,0,0,0,-2542000,-13429000.0,2542000,0,0,0,36360000,3518000,17292000,143024000,143024000,0,20810000,FY2002.FQ2,2
2,0,2002-11-14,2002-09,0.693,308967000,21496000,7047000,0.0,0.0,19235000,0,0,0,0,-1695000,-1695000,0,0,0,-2275000,-1695000.0,2275000,0,0,0,40731000,3966000,17544000,306908000,306908000,0,21510000,FY2002.FQ3,3
3,0,2003-03-31,2002-12,0.786,314241000,23390000,8095000,0.0,0.0,21798000,0,0,0,0,-1316000,-1316000,0,0,0,-1802000,-1316000.0,1802000,0,0,0,45188000,3960000,19640000,314241000,314241000,0,23600000,FY2002.FQ4,4
4,0,2003-05-14,2003-03,1.454,321685000,30007000,8762000,-0.01,-0.01,25662000,0,0,0,0,-4521000,-4521000,0,0,0,-4911000,-4521000.0,4911000,0,0,0,55669000,4183000,26390000,318318000,318318000,0,30573000,FY2003.FQ1,1
5,0,2003-07-31,2003-06,1.825,335422000,35241000,11340000,0.01,0.0,27946000,0,0,0,0,3313000,3313000,0,0,0,2848000,3313000.0,-2848000,0,0,0,63187000,4123000,20975000,331072000,431368000,0,25098000,FY2003.FQ2,2
6,0,2003-10-31,2003-09,2.397,339186000,38648000,14214000,0.01,0.0,33554000,0,0,0,0,3303000,3303000,0,0,0,2856000,3303000.0,-2856000,0,0,0,72202000,4738000,25960000,337204000,440440000,0,30698000,FY2003.FQ3,3
7,0,2004-02-27,2003-12,3.906,355946000,44464000,16675000,0.0,0.0,36721000,0,0,0,0,2271000,2271000,0,0,0,1533000,2271000.0,-1533000,0,0,0,81185000,4840000,30348000,355946000,355946000,0,35188000,FY2003.FQ4,4
8,0,2004-04-30,2004-03,4.874,360823000,56627000,20005000,-0.01,-0.01,43743000,0,0,0,0,-5790000,-5790000,0,0,0,-6350000,-5790000.0,6350000,0,0,0,100370000,5039000,45054000,358974000,358974000,0,50093000,FY2004.FQ1,1
9,0,2004-08-02,2004-06,5.143,364849000,69788000,22918000,0.0,0.0,50533000,0,0,0,0,2891000,2891000,0,0,0,2617000,2891000.0,-2617000,0,0,0,120321000,5652000,42264000,363286000,454825000,0,47916000,FY2004.FQ2,2
10,0,2004-11-09,2004-09,2.203,366124000,71601000,22472000,0.05,0.04,70043000,0,0,0,0,18925000,18925000,18925000,0,0,18398000,0.0,527000,0,0,18925000,141644000,7997000,43648000,365477000,451143000,0,51645000,FY2004.FQ3,3
11,0,2005-03-15,2004-12,1.761,369124000,133696000,22809000,0.01,0.01,4580000,0,0,0,0,5569000,5569000,5750000,0,0,4689000,-181000.0,1061000,-2560000,0,5750000,138276000,7287000,-4836000,367906000,451227000,0,-109000,FY2004.FQ4,4
12,0,2005-05-10,2005-03,1.55,370752000,111121000,24398000,-0.02,-0.02,41325000,0,-44000,0,0,-8814000,-8814000,-8814000,0,0,-9783000,0.0,1013000,0,0,-8770000,152446000,8566000,42542000,369712000,369712000,0,51108000,FY2005.FQ1,1
13,0,2005-08-09,2005-06,2.383,373984000,117849000,28088000,0.01,0.01,46178000,0,-13000,0,0,5684000,5684000,5684000,0,0,4454000,0.0,1243000,-116000,0,5697000,164027000,8648000,33192000,372330000,452144000,0,41724000,FY2005.FQ2,2
14,0,2005-11-09,2005-09,3.713,377734000,115649000,27040000,0.01,0.01,57091000,0,-52000,0,0,6946000,6946000,6946000,0,0,5520000,0.0,1478000,-388000,0,6998000,172740000,8955000,43004000,375851000,462084000,0,51571000,FY2005.FQ3,3
15,0,2006-03-16,2005-12,3.866,383290000,121156000,27476000,0.1,0.08,71844000,0,33801000,0,0,38211000,38211000,38211000,0,0,2798000,0.0,1612000,-788000,0,4410000,193000000,9219000,60615000,380807000,471016000,0,69046000,FY2005.FQ4,4
16,0,2006-05-09,2006-03,4.141,388572000,148265000,30902000,0.01,0.01,75861000,0,-2830000,0,0,4404000,4404000,4404000,0,0,4782000,0.0,2452000,-1387000,0,7234000,224126000,11206000,61260000,386491000,465192000,0,71079000,FY2006.FQ1,1
17,0,2006-08-09,2006-06,3.887,475557000,150579000,35775000,0.04,0.03,88772000,0,-10553000,0,0,17037000,17037000,17037000,0,0,23488000,0.0,4102000,-563000,0,27590000,239351000,12043000,53804000,408681000,484225000,0,65284000,FY2006.FQ2,2
