,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_quarter_key,fiscal_quarter_number
0,0,-,2002-03,0.0,289073000,FY2002.FQ1,1
1,0,2002-08-14,2002-06,0.999,302236000,FY2002.FQ2,2
2,0,2002-11-14,2002-09,0.693,308967000,FY2002.FQ3,3
3,0,2003-03-31,2002-12,0.786,314241000,FY2002.FQ4,4
4,0,2003-05-14,2003-03,1.454,321685000,FY2003.FQ1,1
5,0,2003-07-31,2003-06,1.825,335422000,FY2003.FQ2,2
6,0,2003-10-31,2003-09,2.397,339186000,FY2003.FQ3,3
7,0,2004-02-27,2003-12,3.906,355946000,FY2003.FQ4,4
8,0,2004-04-30,2004-03,4.874,360823000,FY2004.FQ1,1
9,0,2004-08-02,2004-06,5.143,364849000,FY2004.FQ2,2
10,0,2004-11-09,2004-09,2.203,366124000,FY2004.FQ3,3
11,0,2005-03-15,2004-12,1.761,369124000,FY2004.FQ4,4
12,0,2005-05-10,2005-03,1.55,370752000,FY2005.FQ1,1
13,0,2005-08-09,2005-06,2.383,373984000,FY2005.FQ2,2
14,0,2005-11-09,2005-09,3.713,377734000,FY2005.FQ3,3
15,0,2006-03-16,2005-12,3.866,383290000,FY2005.FQ4,4
16,0,2006-05-09,2006-03,4.141,388572000,FY2006.FQ1,1
17,0,2006-08-09,2006-06,3.887,475557000,FY2006.FQ2,2
18,0,2006-11-09,2006-09,3.254,477079000,FY2006.FQ3,3
19,0,2007-02-28,2006-12,3.694,480287000,FY2006.FQ4,4
20,0,2007-05-07,2007-03,3.313,481334000,FY2007.FQ1,1
21,0,2007-08-06,2007-06,2.77,473467000,FY2007.FQ2,2
22,0,2007-11-02,2007-09,2.964,459672000,FY2007.FQ3,3
23,0,2008-02-28,2007-12,3.803,454390000,FY2007.FQ4,4
24,0,2008-05-06,2008-03,4.95,430852000,FY2008.FQ1,1
25,0,2008-08-11,2008-06,3.724,433374000,FY2008.FQ2,2
26,0,2008-11-03,2008-09,4.411,413840000,FY2008.FQ3,3
27,0,2009-02-25,2008-12,4.27,412037000,FY2008.FQ4,4
28,0,2009-05-08,2009-03,6.131,409465000,FY2009.FQ1,1
29,0,2009-07-31,2009-06,5.906,401910000,FY2009.FQ2,2
30,0,2009-10-26,2009-09,6.596,382499000,FY2009.FQ3,3
31,0,2010-02-22,2009-12,7.87,374081000,FY2009.FQ4,4
32,0,2010-04-28,2010-03,10.534,365833000,FY2010.FQ1,1
33,0,2010-07-27,2010-06,15.521,366507000,FY2010.FQ2,2
34,0,2011-11-07,2010-09,23.166,365802000,FY2010.FQ3,3
35,0,2011-02-18,2010-12,25.1,369474000,FY2010.FQ4,4
36,0,2011-04-27,2011-03,33.969,367634000,FY2011.FQ1,1
37,0,2011-07-27,2011-06,37.527,367754000,FY2011.FQ2,2
38,0,2011-10-27,2011-09,16.181,367529000,FY2011.FQ3,3
39,0,2012-02-10,2011-12,9.899,387790000,FY2011.FQ4,4
40,0,2012-04-27,2012-03,16.434,388609000,FY2012.FQ1,1
41,0,2012-08-02,2012-06,9.784,388740000,FY2012.FQ2,2
42,0,2012-10-30,2012-09,7.777,388819000,FY2012.FQ3,3
43,0,2013-02-01,2012-12,13.227,389110000,FY2012.FQ4,4
44,0,2013-04-26,2013-03,27.04,393008000,FY2013.FQ1,1
45,0,2013-07-25,2013-06,30.156,412457000,FY2013.FQ2,2
46,0,2013-10-25,2013-09,44.173,414805000,FY2013.FQ3,3
47,0,2014-02-03,2013-12,52.596,417249000,FY2013.FQ4,4
48,0,2014-04-23,2014-03,50.29,419582000,FY2014.FQ1,1
49,0,2014-07-22,2014-06,62.943,420637000,FY2014.FQ2,2
50,0,2014-10-20,2014-09,64.454,421725000,FY2014.FQ3,3
51,0,2015-01-29,2014-12,48.801,422911000,FY2014.FQ4,4
52,0,2015-04-17,2015-03,59.527,424345000,FY2015.FQ1,1
53,0,2015-07-17,2015-06,93.849,426005000,FY2015.FQ2,2
54,0,2015-10-16,2015-09,103.26,427388000,FY2015.FQ3,3
55,0,2016-01-28,2015-12,114.38,427940000,FY2015.FQ4,4
56,0,2016-04-20,2016-03,102.23,428289000,FY2016.FQ1,1
57,0,2016-07-19,2016-06,91.48,428725000,FY2016.FQ2,2
58,0,2016-10-20,2016-09,98.55,429145000,FY2016.FQ3,3
59,0,2017-01-27,2016-12,123.8,430054000,FY2016.FQ4,4
60,0,2017-04-20,2017-03,147.81,430993000,FY2017.FQ1,1
61,0,2017-07-19,2017-06,149.41,431750000,FY2017.FQ2,2
62,0,2017-10-18,2017-09,181.35,432731000,FY2017.FQ3,3
63,0,2018-01-29,2017-12,191.96,433393000,FY2017.FQ4,4
64,0,2018-04-18,2018-03,295.35,434657000,FY2018.FQ1,1
65,0,2018-07-18,2018-06,391.43,435458000,FY2018.FQ2,2
66,0,2018-10-18,2018-09,374.13,436085000,FY2018.FQ3,3
67,0,2019-01-29,2018-12,267.66,436599000,FY2018.FQ4,4
68,0,2019-04-18,2019-03,356.56,437192000,FY2019.FQ1,1
69,0,2019-07-19,2019-06,367.32,437835000,FY2019.FQ2,2
70,0,2019-10-18,2019-09,267.62,438251000,FY2019.FQ3,3
71,0,2020-01-29,2019-12,323.57,438807000,FY2019.FQ4,4
72,0,2020-04-21,2020-03,375.5,439781000,FY2020.FQ1,1
73,0,2020-07-20,2020-06,455.04,441015000,FY2020.FQ2,2
74,0,2020-10-22,2020-09,500.03,441795000,FY2020.FQ3,3
75,0,2021-01-28,2020-12,540.73,442895000,FY2020.FQ4,4
76,0,2021-04-22,2021-03,521.66,443384000,FY2021.FQ1,1
77,0,2021-07-22,2021-06,528.21,442596000,FY2021.FQ2,2
78,0,2021-10-21,2021-09,610.34,442952000,FY2021.FQ3,3
79,0,2022-01-27,2021-12,602.44,443963000,FY2021.FQ4,4
80,0,2022-04-21,2022-03,374.59,444274000,FY2022.FQ1,1
81,0,2022-07-21,2022-06,174.87,444706000,FY2022.FQ2,2
82,0,2022-10-20,2022-09,235.44,445020000,FY2022.FQ3,3
83,0,2023-01-26,2022-12,294.88,445347000,FY2022.FQ4,4
84,0,2023-04-21,2023-03,345.48,444537000,FY2023.FQ1,1
85,0,2023-07-21,2023-06,440.49,443147000,FY2023.FQ2,2
