,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_year_key,fiscal_year_number
0,0.0,2002-05-14,2002-01,0.548,17937407000,-161075000,99091000,-601172000,160806000,0,-341275000,90375000,90375000,0,0,-2455000,-2455000,0,11171000.0,0,0,0,0,0,0,0,-457597000,-472917000,15320000,17500000.0,-161075000,-161075000,0,-98443000,43497000,-51914000,-123497000,176924000,90742000.0,106599000,-37739000,-43806000,0,FY2002,2002
1,0.0,2003-04-25,2003-01,0.086,18925340000,-63123000,26286000,-277324000,265032000,0,13994000,25487000,25487000,0,0,-4935000,-4935000,0,5734000.0,0,0,0,0,0,0,0,-217300000,-639500000,422200000,3099000.0,-63123000,-63123000,0,35402000,58216000,29768000,68831000,90799000,50847000.0,-58060000,33701000,-9070000,0,FY2003,2003
2,0.0,2004-03-29,2004-01,0.185,19687651000,-127604000,-270291000,88041000,49678000,0,-132572000,37757000,37757000,0,0,-8048000,-8048000,0,-300000000.0,0,0,0,0,0,0,0,286948000,-734642000,1021590000,-71303000.0,-127604000,-127604000,0,-180768000,82688000,55135000,-85126000,74419000,18204000.0,-51588000,-2698000,-41356000,0,FY2004,2004
3,0.0,2005-03-22,2005-01,0.191,20040725000,-67261000,13843000,-151953000,132200000,0,-5910000,42502000,17858000,-24644000,0,-4015000,-4015000,0,0.0,0,0,0,0,0,0,0,-84692000,-313760000,229068000,0.0,-67261000,-67261000,0,-96179000,102597000,8694000,-80906000,88615000,28473000.0,100608000,-5569000,-110312000,0,FY2005,2005
4,0.0,2006-03-16,2006-01,0.375,20567011000,-79600000,-61377000,-41787000,446408000,0,343244000,127497000,-61012000,-188509000,0,-856000,-856000,0,490999.99999999,0,0,0,0,0,0,0,59628000,-338058000,397686000,-21815000.0,-79600000,-79600000,0,16789000,97977000,-2691000,60916000,301176000,33157000.0,-18144000,-4568000,-21415000,0,FY2006,2006
5,0.0,2007-03-16,2007-01,0.511,21648486000,-145256000,-53630000,-540823000,587111000,0,-7342000,221160000,-53818000,-274978000,0,0,0,0,188000.00000001,0,0,0,0,0,0,0,6233000,-220834000,227067000,-401800000.0,-145256000,-145256000,0,-132870000,107562000,41766000,-91395000,448834000,121819000.0,139080000,-5294000,-175261000,0,FY2007,2007
6,0.0,-,2008-01,0.615,22284104000,-187745000,-326323000,-761318000,1270196000,0,182555000,225969000,-326543000,-552512000,0,0,0,0,219999.99999997,0,0,0,0,0,0,0,-498031000,-1251870000,753839000,-75542000.0,-187745000,-187745000,0,169949000,133192000,89516000,-3690000,797645000,79894000.0,325987000,-6293000,-146055000,0,FY2008,2008
7,0.0,2009-03-13,2009-01,0.199,21698142000,-407670000,-349274000,-209367000,249360000,0,-309281000,73547000,-350089000,-423636000,0,0,0,0,815000.00000005,0,0,0,-27948000,-27948000,0,0,226693000,-999953000,1226646000,-441999.99999998,-407670000,-407670000,0,-33333000,185023000,-23277000,-177295000,-30041000,-11718000.0,-226439000,21528000,348873000,162706000,FY2009,2009
8,0.0,2010-03-18,2010-01,0.385,22458634000,-77601000,61059000,-519333000,487807000,0,29533000,138029000,138029000,0,0,-929000,-929000,0,-76041000.0,0,0,0,0,0,0,0,-441514000,-1193948000,752434000,-217999.99999985,-77601000,-77601000,0,136415000,196664000,-21147000,204656000,-67987000,1036000.0000001,-16937000,5437000,-56741000,242826000,FY2010,2010
9,0.0,2011-03-16,2011-01,0.598,23542228000,-97890000,192021000,-649678000,675797000,0,218140000,177276000,177276000,0,0,-571000,-571000,0,15316000.0,0,0,0,0,0,0,0,-549625000,-1719700000,1170075000,-2163000.0,-97890000,-97890000,0,151699000,187000000,-2646000,-14128000,253146000,-13755000.0,126627000,12859000,26341000,100353000,FY2011,2011
