,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_year_key,fiscal_year_number
0,0.0,2002-05-14,2002-01,0.548,17937407000,1.9679,NA,763819000,0.0372,-3.4337,-0.5061,0.0,-0.3997,2.8468,0.206,NA,0.4055,NA,0.0,0.0,295259000,1.0508,0.2156,0.0143,9338322036,12.2258,52.7815,-34714.9518,36.947,6.8189,13.6785,0.0,0.8,0.5081,-269000,0.0,-1.0011,-0.0001,NA,0.0,0.3791,NA,0.9028,0.3,9829699036,-29104000,0.7967,0.1291,188821500,0.9648,NA,0.0122,0.1838,0.0,0.0,1.5407,0.7454,0.0123,0.1845,NA,12.8691,55.5588,-36541.6321,38.8911,7.1777,14.3982,0.0,0.8625,0.0667,0.1404,NA,0.2826,0.3021,NA,0.1986,0.46979472615651,0.4569,NA,0.3003,0.0739,1516178000,0.0923,0.0332,682700000,0.0,0.4781,0.0,0.8762,FY2002,2002
1,0.0,2003-04-25,2003-01,0.086,18925340000,1.7337,NA,932687000,0.0461,0.6081,0.042,0.0,0.6481,3.562,0.192,NA,0.3329,NA,0.0,0.0,202202000,-0.3151,0.1058,0.01,899166240,0.964,9.9028,4.4533,5.9722,0.4709,1.0501,0.0,-0.4444,0.5767,201909000,0.0,751.591,0.1057,NA,0.0099,0.3016,NA,0.1093,0.3969,1627579240,-41318000,-0.4867,0.0475,107989500,-0.428,NA,0.0071,0.0754,0.0,0.0,0.125,-0.4043,0.0074,0.0788,NA,1.745,17.925,8.0609,10.8103,0.8523,1.9008,0.0,0.3942,0.0945,0.0582,NA,0.1242,0.107,NA,0.0783,0.46979472615651,0.1109,NA,0.1333,-0.0156,987933000,0.055,0.0423,856216000,0.0,0.0757,0.0,0.221,FY2003,2003
2,0.0,2004-03-29,2004-01,0.185,19687651000,1.3312,NA,1051185000,0.0507,-1.0215,-0.382,0.0,-0.8125,3.1507,0.0034,NA,0.0046,NA,0.0,0.0,176345000,-0.1278,0.0967,0.0085,3038172435,2.8902,40.8252,-38.9879,35.0532,1.6666,3.367,0.0,-0.2,0.7511,-77926000,0.0,-1.3859,-0.0427,NA,-0.0037,0.2901,NA,-0.0818,0.1413,3642215435,-210407000,-0.1803,0.0408,70242750,-0.3495,NA,0.0045,0.0513,0.0,0.0,0.406,-0.4243,0.0041,0.0475,NA,3.4648,48.942,-46.7394,42.0224,1.9979,4.0365,0.0,-0.0453,0.088,0.0493,NA,0.081,0.075,NA,0.0647,0.46979472615651,0.0856,NA,0.0897,0.0256,762311000,0.0402,0.0435,902313000,0.0,-0.1346,0.0,0.127,FY2004,2004
3,0.0,2005-03-22,2005-01,0.191,20040725000,1.3821,NA,1178268000,0.0558,0.4728,-0.0275,0.0,1.6611,3.0984,0.0005,NA,0.0007,NA,0.0,0.0,197773000,0.1215,0.0983,0.0093,3157733475,2.6799,35.6342,48.6261,29.5038,1.5709,3.0285,0.0,0.0,0.7235,64939000,0.0,1.8333,0.0323,NA,0.003,0.3221,NA,0.2243,0.172,3827778475,-207656000,0.1907,0.044,71382000,0.0162,NA,0.0045,0.0473,0.0,0.0,-0.0582,0.2348,0.005,0.0532,NA,3.2486,43.1956,58.9442,35.7642,1.9043,3.6712,0.0,0.1026,0.0953,0.0585,NA,0.0835,0.0794,NA,0.0792,0.46979472615651,0.0977,NA,0.0955,0.0179,353074000,0.0179,0.0494,1042647000,0.0,0.1637,0.0,0.1208,FY2005,2005
4,0.0,2006-03-16,2006-01,0.375,20567011000,1.3066,NA,1495992000,0.0682,-0.1834,1.6461,0.0,2.3767,3.5341,0.0,NA,0.0,NA,0.0,0.0,434641000,1.1976,0.1829,0.0198,6762455125,4.5203,22.4534,18.4359,18.9537,2.8465,5.0645,0.0,2.5,0.7653,366808000,0.0,4.6485,0.1544,NA,0.0167,0.383,NA,0.4053,0.1558,7712629125,-551756000,2.3987,0.1267,252498000,2.5372,NA,0.0153,0.1417,0.0,0.0,-0.0044,2.3335,0.0162,0.1501,NA,5.1555,25.6083,21.0263,21.6168,3.2464,5.7761,0.0,0.1819,0.1083,0.1681,NA,0.2471,0.2252,NA,0.2251,0.46979472615651,0.3145,NA,0.2773,0.04,526286000,0.0262,0.0608,1335254000,0.0,0.2002,0.0,0.2696,FY2006,2006
5,0.0,2007-03-16,2007-01,0.511,21648486000,1.333,NA,2006919000,0.0854,-0.8248,-0.0133,0.0,0.3151,3.1805,0.0,NA,0.0,NA,0.0,0.0,561014000,0.2907,0.1828,0.0238,9944526346,4.9551,22.1563,22.5063,20.111,3.2405,5.9907,0.0,0.3571,0.7501,441855000,0.0,0.2045,0.1439,NA,0.0188,0.4237,NA,0.429,0.0937,11062376346,-544414000,0.4902,0.1462,340089000,0.3468,NA,0.0193,0.1477,0.0,0.0,0.464,0.3859,0.021,0.1611,NA,5.5121,24.6469,25.0362,22.3717,3.6048,6.6641,0.0,0.2917,0.1307,0.1938,NA,0.2552,0.2562,NA,0.2562,0.46979472615651,0.3729,NA,0.2978,0.0705,1081475000,0.0525,0.0707,1659983000,0.0,0.3686,0.0,0.3415,FY2007,2007
6,0.0,-,2008-01,0.615,22284104000,1.4315,1.5276,2617912000,0.1078,-0.2925,0.3353,0.0,1.1634,2.9869,0.0,0.0097,0.0,0.0153,0.0,0.0,969538000,0.7281,0.2365,0.0399,11895245960,4.5437,14.9129,10.9891,13.1972,2.9027,5.5148,0.0,0.7368,0.6985,1082451000,0.0,1.4497,0.2641,0.069,0.0446,0.4561,0.3749,0.4374,0.115,13704723960,-726969000,0.7771,0.1946,627259500,0.8443,0.1447,0.0344,0.204,0.0,0.0,0.3794,0.8228,0.0371,0.2199,0.1556,5.2349,17.1814,12.6608,15.2048,3.3443,6.3538,0.0,0.3353,0.1688,0.2483,0.1509,0.3472,0.3449,0.2407,0.3449,0.46979472615651,0.4757,0.2118,0.4172,0.0336,635618000,0.0293,0.0888,2156929000,0.0,0.4008,0.0,0.3044,FY2008,2008
7,0.0,2009-03-13,2009-01,0.199,21698142000,1.3992,1.4154,2394652000,0.1092,-1.1714,-0.4254,0.0,-0.8036,2.7844,0.0076,0.0055,0.0107,0.0076,0.0,0.0,141191000,-0.8543,0.0412,0.0064,3062540258,1.2789,-101.9453,-19.3452,-71.2981,0.8942,1.631,0.0,-1.0303,0.7146,-158310000,0.0,-1.1462,-0.0462,0.069,-0.0072,0.3428,0.3749,-0.3718,0.0,4317930258,-417688000,-1.0376,-0.0087,-32874000,-1.0524,0.1447,-0.0019,-0.0127,0.0,0.0,0.7392,-1.0476,-0.0019,-0.0125,0.1556,1.8031,-143.7345,-27.2751,-100.5245,1.2607,2.2995,0.36,-0.1642,0.1562,-0.0084,0.1509,-0.0163,-0.0119,0.2407,-0.0119,0.46979472615651,-0.0154,0.2118,-0.02,-0.0965,-585962000,-0.0262,0.0856,1877707000,0.4031,-0.1059,0.436,-0.0852,FY2009,2009
8,0.0,2010-03-18,2010-01,0.385,22458634000,1.3454,1.3906,2665140000,0.1212,0.8096,0.0707,0.4085,0.9562,3.1627,0.0068,0.0051,0.0091,0.0069,0.0,0.0,97719000,-0.3078,0.0293,0.0044,6918347090,2.5958,-101.7598,16.8655,-84.0686,2.0798,3.181,0.0,-2.0,0.7432,410206000,0.5781,3.5911,0.1233,0.1145,0.0186,0.3538,0.3624,0.0022,0.0,8646574090,-447221000,-1.2631,-0.0204,-74208750,-1.2573,0.1085,-0.0045,-0.0297,0.0,0.0,-0.0861,-0.9158,-0.0037,-0.0247,0.1145,3.2443,-127.1798,21.0786,-105.0693,2.5993,3.9757,0.244,-0.0287,0.1513,-0.0196,0.0994,-0.0368,-0.0268,0.1661,-0.0266,0.46979472615651,-0.032,0.1389,-0.0453,0.0026,760492000,0.035,0.0989,2174838000,0.3331,0.0701,0.3584,0.1129,FY2010,2010
9,0.0,2011-03-16,2011-01,0.598,23542228000,1.4129,1.3906,3181462000,0.1351,-0.2614,0.4877,0.0969,0.3853,3.4231,0.0052,0.0043,0.0073,0.0059,0.0,0.0,385747000,2.9475,0.1088,0.0163,11587689344,3.6422,45.7747,20.0511,42.7323,3.2703,4.593,0.082,4.6666,0.7077,577907000,0.0957,0.4088,0.163,0.1145,0.0245,0.3976,0.3664,0.1972,0.0664,14078252344,-665361000,4.7234,0.0714,149060250,3.0086,0.0657,0.0084,0.056,0.0,6.779,-0.0052,4.2951,0.0115,0.0765,0.0776,4.425,55.6131,24.3607,51.9168,3.9731,5.5802,0.1702,0.0651,0.1504,0.0626,0.0605,0.0625,0.0865,0.0968,0.0858,0.46979472615651,0.1058,0.0825,0.0763,0.0711,1083594000,0.0482,0.1071,2522873000,0.1602,0.2535,0.2282,0.1937,FY2011,2011
