,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,da_income_statement_supplemental,eps_basic,eps_diluted,gross_profit,income_allocated_to_minority_interest,income_tax,interest_expense,interest_income,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income_normal,operating_income,other_income_statement_items,other_nonoperating_income,other_opex,preferred_dividends,pretax_income,revenue,rnd,sga,shares_basic,shares_diluted,special_charges,total_opex,fiscal_year_key,fiscal_year_number
0,0.0,2002-05-14,2002-01,0.548,17937407000,850233000,43497000,0.01,0.0,519238000,0,-75825000,0,0,176924000,176924000,176924000,0,0,251762000,0.0,987000,16371000,0,252749000,1369471000,153920000,97185000,17153223000,20518621000,0,267476000,FY2002,2002
1,0.0,2003-04-25,2003-01,0.086,18925340000,1333435000,58216000,0.0,0.0,576012000,0,-59758000,0,0,90799000,90799000,90799000,0,0,143986000,0.0,6571000,0,0,150557000,1909447000,224873000,207153000,18412354000,20197061000,0,432026000,FY2003,2003
2,0.0,2004-03-29,2004-01,0.185,19687651000,1294067000,82688000,0.0,0.0,528878000,0,-12254000,0,0,74419000,74419000,74419000,0,0,93657000,0.0,-6984000,0,0,86673000,1822945000,269972000,165249000,19301229000,20714483000,0,435221000,FY2004,2004
3,0.0,2005-03-22,2005-01,0.191,20040725000,1362478000,102597000,0.0,0.0,647555000,0,-18413000,0,0,88615000,88615000,88615000,0,0,95176000,0.0,11852000,0,0,107028000,2010033000,348220000,204159000,19917481000,21086897000,0,552379000,FY2005,2005
4,0.0,2006-03-16,2006-01,0.375,20567011000,1465654000,97977000,0.01,0.01,910033000,0,-55612000,0,0,301176000,301176000,301176000,0,0,336664000,0.0,20124000,14158000,0,356788000,2375687000,357123000,202088000,20352624000,21931274000,0,573369000,FY2006,2006
5,0.0,2007-03-16,2007-01,0.511,21648486000,1768322000,107562000,0.02,0.01,1300449000,0,-46350000,0,0,448834000,448834000,448130000,0,0,453452000,704000.00000001,41028000,0,0,494480000,3068771000,553467000,293530000,21133673000,23478501000,0,846997000,FY2007,2007
6,0.0,-,2008-01,0.615,22284104000,2228580000,133192000,0.03,0.03,1869280000,0,-103696000,0,0,797645000,797645000,797645000,0,0,836346000,0.0,64995000,0,0,901341000,4097860000,691637000,341297000,22004320000,24269280000,0,1032934000,FY2008,2008
7,0.0,2009-03-13,2009-01,0.199,21698142000,2250590000,185023000,0.0,0.0,1174269000,0,12913000,-406000,42859000,-30041000,-30041000,-30041000,0,42453000,-43832000,0.0,-41575000,0,0,-42954000,3424859000,855879000,362222000,21925040000,21925040000,0,1218101000,FY2009,2009
8,0.0,2010-03-18,2010-01,0.385,22458634000,2149522000,196664000,0.0,0.0,1176923000,0,14307000,-3320000,23115000,-67987000,-67987000,-67987000,0,19795000,-98945000,0.0,-3144000,0,0,-82294000,3326445000,908851000,367017000,21982960000,21982960000,0,1275868000,FY2010,2010
9,0.0,2011-03-16,2011-01,0.598,23542228000,2134219000,187000000,0.01,0.01,1409090000,0,-18023000,-3127000,19057000,253146000,253146000,253146000,0,15930000,198747000,0.0,56492000,0,0,271169000,3543309000,848830000,361513000,23007080000,23547360000,0,1210343000,FY2011,2011
