,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_year_key,fiscal_year_number
0,0.0,2002-05-14,2002-01,0.548,17937407000,FY2002,2002
1,0.0,2003-04-25,2003-01,0.086,18925340000,FY2003,2003
2,0.0,2004-03-29,2004-01,0.185,19687651000,FY2004,2004
3,0.0,2005-03-22,2005-01,0.191,20040725000,FY2005,2005
4,0.0,2006-03-16,2006-01,0.375,20567011000,FY2006,2006
5,0.0,2007-03-16,2007-01,0.511,21648486000,FY2007,2007
6,0.0,-,2008-01,0.615,22284104000,FY2008,2008
7,0.0,2009-03-13,2009-01,0.199,21698142000,FY2009,2009
8,0.0,2010-03-18,2010-01,0.385,22458634000,FY2010,2010
9,0.0,2011-03-16,2011-01,0.598,23542228000,FY2011,2011
10,0.0,2012-03-13,2012-01,0.369,24487656000,FY2012,2012
11,0.002,2013-03-12,2013-01,0.307,24670245000,FY2013,2013
12,0.008,2014-03-13,2014-01,0.393,22719869000,FY2014,2014
13,0.009,2015-03-12,2015-01,0.48,21796520000,FY2015,2015
14,0.01,2016-03-17,2016-01,0.732,21520000000,FY2016,2016
15,0.012,2017-03-01,2017-01,2.73,23400000000,FY2017,2017
16,0.014,2018-02-28,2018-01,6.145,24240000000,FY2018,2018
17,0.015,2019-02-21,2019-01,3.594,24240000000,FY2019,2019
18,0.016,2020-02-20,2020-01,5.911,24499423000,FY2020,2020
19,0.016,2021-02-26,2021-01,12.99,24800000000,FY2021,2021
20,0.016,2022-03-18,2022-01,24.486,25060000000,FY2022,2022
21,0.016,2023-02-24,2023-01,19.537,24661366000,FY2023,2023
22,0.016,2024-02-21,2024-01,61.527,24640000000,FY2024,2024
23,0.034,2025-02-26,2025-01,120.07,24477000000,FY2025,2025
