,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_quarter_key,fiscal_quarter_number
0,0.0,2002-06-10,2002-04,0.29,18227774000,-21192000,14111000,-88735000,48775000,0,-25849000,14981000,14981000,0,0,-870000,-870000,0,0.0,0,0,0,0,0,0,0,-63563000,-113638000,50075000,-3980000.0,-21192000,-21192000,0,-54290000,12830000,-120000,-40050000,83245000,7110000.0,-6119000.0,-3804000,-4317000,0,FY2003.FQ1,1
1,0.0,2002-09-10,2002-07,0.092,18354089000,122154000,9846000,-70849000,668000,0,-60335000,5200000,5200000,0,0,-1088000,-1088000,0,5734000.0,0,0,0,0,0,0,0,-153908000,-153908000,0,-39095000.0,122154000,-27832000,149986000,-22496000,14069000,0,-31423000,5254000,3841000.0,-6343000.0,-1370000,16640000,0,FY2003.FQ2,2
2,0.0,2002-12-10,2002-10,0.099,18909222000,-154145000,2713000,-18258000,91264000,0,75719000,4326000,4326000,0,0,-1613000,-1613000,0,0.0,0,0,0,0,0,0,0,-131963000,-131963000,0,267850000.0,-154145000,-4159000,-149986000,83650000,16166000,0,80307000,-48636000,40084000.0,20478000.0,-134000,-17001000,0,FY2003.FQ3,3
3,0.0,2003-04-25,2003-01,0.086,18925340000,-9940000,-384000,-99482000,124325000,0,24459000,980000,980000,0,0,-1364000,-1364000,0,0.0,0,0,0,0,0,0,0,-239991000,-239991000,0,150449000.0,-9940000,-9940000,0,28538000,15151000,0,59997000,50936000,29700000.0,-66076000.0,39009000,-4392000,0,FY2003.FQ4,4
4,0.0,2003-05-22,2003-04,0.119,19074827000,-25592000,6432000,-115058000,40428000,0,-68198000,7846000,7846000,0,0,-1414000,-1414000,0,0.0,0,0,0,0,0,0,0,-89466000,-275252000,185786000,0.0,-25592000,-25592000,0,4256000,15958000,0,-20739000,19747000,467000.0,32741000.0,-6185000,-1561000,0,FY2004.FQ1,1
5,0.0,2003-09-09,2003-07,0.159,19261771000,-66271000,10648000,-33961000,18814000,0,-4499000,12038000,12038000,0,0,-1390000,-1390000,0,0.0,0,0,0,0,0,0,0,32310000,-181669000,213979000,0.0,-66271000,-66271000,0,-25830000,19610000,0,-52074000,24150000,884000.0,59059000.0,2531000,-35346000,0,FY2004.FQ2,2
6,0.0,2003-11-21,2003-10,0.147,19451005000,-23385000,-291825000,257956000,-8615000,0,-42484000,9868000,9868000,0,0,-301693000,-301693000,0,0.0,0,0,0,0,0,0,0,352644000,-183288000,535932000,-71303000.0,-23385000,-23385000,0,-47003000,22842000,0,-38894000,6356000,9190000.0,-42093000.0,141000,33843000,0,FY2004.FQ3,3
7,0.0,2004-03-29,2004-01,0.185,19687651000,-12356000,4454000,-20896000,-949000,0,-17391000,8005000,8005000,0,296449000,296449000,0,0,-300000000.0,0,0,0,0,0,0,0,-8540000,-94433000,85893000,0.0,-12356000,-12356000,0,-112191000,24278000,0,26581000,24166000,62798000.0,-101295000.0,815000,-38292000,0,FY2004.FQ4,4
8,0.0,2004-05-20,2004-04,0.171,19901769000,-18599000,13698000,-92931000,61486000,0,-17747000,15181000,15181000,0,0,-1483000,-1483000,0,0.0,0,0,0,0,0,0,0,-74332000,-149680000,75348000,0.0,-18599000,-18599000,0,16838000,23412000,0,-558000,21349000,-113000.0,27327000.0,-1750000,-8181000,0,FY2005.FQ1,1
9,0.0,2004-08-19,2004-07,0.129,19974958000,-16628000,3256000,9539000,-28891000,0,-16096000,4606000,4606000,0,0,-1350000,-1350000,0,0.0,0,0,0,0,0,0,0,26167000,-20452000,46619000,0.0,-16628000,-16628000,0,-58742000,24074000,0,-32189000,5119000,658000.0,25139000.0,-39000,-51653000,0,FY2005.FQ2,2
10,0.0,2004-11-22,2004-10,0.121,19935581000,-14057000,-14286000,-10040000,434000,0,-23892000,11036000,11036000,0,0,-678000,-678000,0,-24644000.0,0,0,0,0,0,0,0,4017000,-52651000,56668000,0.0,-14057000,-14057000,0,-49200000,24026000,0,-30566000,25879000,-271000.0,42614000.0,959000,-62207000,0,FY2005.FQ3,3
11,0.0,2005-03-22,2005-01,0.191,20040725000,-17977000,11175000,-58521000,99171000,0,51825000,11679000,11679000,0,0,-504000,-504000,0,0.0,0,0,0,0,0,0,0,-40544000,-90977000,50433000,0.0,-17977000,-17977000,0,-5075000,31085000,0,-17593000,36268000,36893000.0,5528000.0,-4739000,11729000,0,FY2005.FQ4,4
12,0.0,2005-06-02,2005-04,0.183,20264872000,-13504000,-12476000,-4611000,89579000,0,72492000,36011000,-12456000,-48467000,0,0,0,0,-20000.000000005,0,0,0,0,0,0,0,8893000,-56411000,65304000,0.0,-13504000,-13504000,0,294000,24897000,0,7759000,64444000,-55999.999999997,-54845000.0,-2050000,49430000,0,FY2006.FQ1,1
13,0.0,2005-08-25,2005-07,0.226,20232932000,-29185000,-30503000,-55678000,47347000,0,-38834000,19884000,-30158000,-50042000,0,0,0,0,-345000.0,0,0,0,0,0,0,0,-26493000,-76803000,50310000,0.0,-29185000,-29185000,0,-57103000,24770000,0,6804000,74911000,4769000.0,37047000.0,-2887000,-98067000,0,FY2006.FQ2,2
