,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_quarter_key,fiscal_quarter_number
0,0.0,2002-06-10,2002-04,0.29,18227774000,1.8416,2.2945,868651000,0.0396,0.3323,-0.5103,0.166,0.367,3.0954,0.193,0.2276,0.3555,0.4573,0.0,0.0,130021000,1.6903,0.223,0.0059,4757657460,5.477,20.3737,203.5187,14.2616,2.7799,6.0545,0.1486,3.0,0.543,27583000,0.1793,6.006,0.0473,0.0376,0.0012,0.3554,0.3834,1.1987,0.3,5286054460,-3207000.0000001,2.1236,0.1428,87893250,1.7816,0.1736,0.0053,0.201,0.0,1.5223,0.7659,2.1236,0.0054,0.204,0.1968,6.0853,22.6365,226.122,15.8455,3.0886,6.727,0.1964,1.4193,0.0266,0.1505,0.1222,0.2903,0.286,0.2717,0.2074,0.83479832820801,0.2899,0.1878,0.3131,0.1022,290367000,0.0161,0.0358,785794000,0.2608,0.4787,0.2433,0.8749,FY2003.FQ1,1
1,0.0,2002-09-10,2002-07,0.092,18354089000,1.828,2.2945,883532000,0.0436,2.389,-0.6376,-0.1866,-0.9885,3.126,0.1941,0.2276,0.3548,0.4573,0.0,0.0,20234000,-0.6351,0.0473,0.0009,1162165188,1.3153,5.6457,6.6024,3.952,0.6185,1.4471,0.0,-1.0,0.547,122822000,0.424,5.1185,0.2874,0.0517,0.006,0.2324,0.3834,-0.0287,0.2999,1688576188,58791000.0,-0.8404,0.0122,4623750,-0.8624,0.1723,0.0003,0.0144,0.0,0.0,0.5135,-0.8404,0.0003,0.0175,0.1877,1.9111,8.203,9.593,5.7421,0.8987,2.1026,0.1277,0.6441,0.021,0.128,0.1219,0.2426,0.2349,0.2568,0.1733,0.83479832820801,0.2261,0.1753,0.2606,-0.0085,126315000,0.0069,0.0396,803070000,0.2309,0.3581,0.2164,0.6747,FY2003.FQ2,2
2,0.0,2002-12-10,2002-10,0.099,18909222000,1.8534,2.1484,879277000,0.0477,-4.5961,-0.1906,0.2399,3.6891,3.0316,0.1913,0.2276,0.3547,0.4573,0.0,0.0,-33940000,-1.49,-0.0788,-0.0018,1260435978,1.4334,10.8755,24.8053,6.7616,0.6483,1.5733,0.0,-2.5,0.5395,-62881000,0.0,-2.0088,-0.1461,0.0517,-0.0034,0.2514,0.3707,-0.1893,0.0,1872012978,-16955000.0,-2.1771,-0.113,-37579500,-1.8738,0.1714,-0.0027,-0.1164,0.0,0.0,0.2767,-1.824,-0.0026,-0.113,0.1876,2.129,16.1525,36.8412,10.0424,0.9628,2.3367,0.1122,0.1789,0.0233,0.0714,0.1114,0.1513,0.1314,0.2508,0.097,0.83479832820801,0.1274,0.161,0.162,-0.0984,555133000,0.0302,0.0435,801119000,0.1378,0.3065,0.1839,0.4399,FY2003.FQ3,3
3,0.0,2003-04-25,2003-01,0.086,18925340000,1.7337,2.0053,932687000,0.0461,0.882,0.042,0.1784,1.6146,3.562,0.192,0.2276,0.3329,0.4573,0.0,0.0,85887000,-0.2972,0.1831,0.0042,899166240,0.964,9.9028,4.4533,5.9722,0.4709,1.0501,0.1161,-0.25,0.5767,114385000,0.2139,4.1158,0.2439,0.0517,0.0056,0.344,0.3605,-0.1477,0.3,1627579240,-41318000.0,-0.33,0.1086,53052000,-0.3417,0.1708,0.0034,0.1508,0.0,1.5436,0.125,-0.33,0.0035,0.1551,0.1713,1.745,17.925,8.0609,10.8103,0.8523,1.9008,0.1065,-0.0689,0.0231,0.0559,0.1051,0.1182,0.1002,0.241,0.0745,0.83479832820801,0.1028,0.1477,0.1263,-0.0511,16118000,0.0008,0.0423,856216000,0.1229,0.0757,0.1629,0.221,FY2003.FQ4,4
4,0.0,2003-05-22,2003-04,0.119,19074827000,1.7563,1.9107,960830000,0.0476,-0.2076,-0.0923,0.0862,-0.1711,3.3631,0.1839,0.2,0.323,0.3805,0.0,0.0,42306000,-0.6746,0.1044,0.002,1519566413,1.5815,55.6597,8.0331,25.3917,0.8775,1.7297,0.0,-0.75,0.5693,14836000,0.029,-0.4621,0.0366,0.0419,0.0007,0.3125,0.3497,-0.389,0.3,2269904413,27407000.0,-0.7627,0.0487,19761000,-0.7751,0.1631,0.0013,0.065,0.0,0.0,0.1343,-0.7627,0.0013,0.0696,0.1598,2.3624,83.1436,11.9997,37.9297,1.3109,2.5839,0.074,-0.3052,0.02,0.0165,0.1025,0.0421,0.0288,0.2357,0.0217,0.83479832820801,0.0289,0.1459,0.045,-0.0801,149487000,0.0078,0.0435,878478000,0.0554,0.0548,0.1026,0.1061,FY2004.FQ1,1
5,0.0,2003-09-09,2003-07,0.159,19261771000,1.7875,1.8475,995853000,0.0475,-1.5425,0.1113,-0.2163,27.1646,3.0363,0.1741,0.1936,0.3113,0.3552,0.0,0.0,44242000,1.1865,0.0962,0.0021,2351034589,2.3608,50.8914,124.5053,29.7595,1.3327,2.5644,-0.0669,0.0,0.5594,-47457000,0.0,-1.3863,-0.1032,0.0264,-0.0022,0.2826,0.3497,0.3088,0.0941,3062621589,32231000.0,3.5964,0.0525,18474000,2.9954,0.1539,0.0011,0.0535,0.0,-9.8996,0.3856,2.5524,0.0012,0.0579,0.1565,3.0753,66.2948,162.1893,38.7668,1.7361,3.3406,0.0773,0.076,0.0219,0.0266,0.1025,0.0553,0.0472,0.2321,0.0358,0.83479832820801,0.0456,0.1459,0.059,0.0342,186944000,0.0098,0.0437,916765000,0.0575,0.1021,0.0935,0.1271,FY2004.FQ2,2
6,0.0,2003-11-21,2003-10,0.147,19451005000,1.4447,1.8348,1009682000,0.0486,0.8482,-0.2812,0.0,-1.0943,2.4296,0.0057,0.1925,0.0083,0.3548,0.0,0.0,41703000,2.2287,0.0857,0.002,2247171735,2.2256,22.2076,45.1565,16.8719,1.2348,2.6246,0.0,1.0,0.6921,-32000000,0.0,0.4911,-0.0658,-0.0146,-0.0015,0.2759,0.3282,0.2396,0.0,2859297735,-226025000.0,1.1306,0.013,14145750,1.3764,0.1079,0.0009,0.0388,0.0,0.0,0.4139,1.1141,0.0002,0.0114,0.1124,2.8318,28.257,57.4571,21.4678,1.5712,3.3396,0.0727,0.1295,0.0234,0.0624,0.0873,0.1201,0.1009,0.1803,0.087,0.83479832820801,0.1113,0.1219,0.1334,0.1286,189234000,0.0098,0.0412,856170000,0.0303,-0.1048,0.081,0.1483,FY2004.FQ3,3
7,0.0,2004-03-29,2004-01,0.185,19687651000,1.3312,1.8077,1051185000,0.0496,-0.243,-0.382,0.0,-1.0076,3.1507,0.0034,0.1917,0.0046,0.3438,0.0,0.0,48094000,-0.44,0.1018,0.0022,3038172435,2.8902,40.8252,-38.9879,35.0532,1.6666,3.367,-0.0669,-0.6666,0.7511,-13305000,0.0,-1.1163,-0.0281,0.0042,-0.0006,0.2927,0.3026,-0.1434,0.0793,3642215435,-210407000.0,-0.5255,0.0511,17862000,-0.6633,0.0593,0.0011,0.0504,0.0,-7.3083,0.406,-0.6392,0.0012,0.0555,0.0638,3.4648,48.942,-46.7394,42.0224,1.9979,4.0365,0.0615,0.0067,0.0223,0.052,0.0669,0.0892,0.0722,0.1161,0.0717,0.83479832820801,0.0914,0.092,0.1042,0.0463,236646000,0.0121,0.0426,902313000,0.0164,-0.1346,0.0713,0.127,FY2004.FQ4,4
8,0.0,2004-05-20,2004-04,0.171,19901769000,1.3425,1.7719,1086103000,0.0507,0.2732,-0.2945,0.1219,0.5208,3.1151,0.0023,0.1876,0.0031,0.328,0.0,0.0,47292000,0.1178,0.1002,0.0022,2745899499,2.5282,36.1202,-55.0556,32.2477,1.4529,2.93,-0.0669,0.0,0.7448,42887000,-0.0366,1.8907,0.0908,0.0042,0.002,0.3153,0.3026,0.1759,0.2,3403202499,-193632000.0,0.0811,0.0452,17910000,-0.0936,0.052,0.0011,0.0506,0.0,-6.6848,0.2426,-0.0539,0.0012,0.0565,0.0572,3.1334,44.7666,-68.2346,39.9671,1.8007,3.6313,0.026,0.1652,0.022,0.0532,0.0592,0.0839,0.0711,0.1005,0.0708,0.83479832820801,0.0876,0.0808,0.0973,0.0628,214118000,0.0108,0.0437,937166000,0.0157,-0.1359,0.0592,0.1303,FY2005.FQ1,1
9,0.0,2004-08-19,2004-07,0.129,19974958000,1.3522,1.745,1095162000,0.0514,0.749,-0.3416,0.0,-2.5356,3.0646,0.0013,0.179,0.0018,0.3171,0.0,0.0,27873000,-0.3699,0.0611,0.0013,1963445582,1.7928,34.4524,-40.9588,30.2589,1.0409,2.0628,0.0,-1.0,0.7395,-45519000,0.0,0.0408,-0.0998,0.0042,-0.0021,0.3071,0.2999,0.0778,0.2,2576769582,-178541000.0,-0.788,0.0112,2849250,-0.8457,0.0505,0.0001,0.0083,0.0,0.0,-0.0802,-0.7599,0.0003,0.014,0.056,2.3528,45.2144,-53.7532,39.711,1.3661,2.7071,-0.0098,-0.008,0.0214,0.0387,0.0545,0.0636,0.0522,0.0862,0.0521,0.83479832820801,0.0629,0.0731,0.0733,0.0164,73189000,0.0036,0.0447,951832000,-0.0014,-0.168,0.0366,0.0997,FY2005.FQ2,2
