,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,da_income_statement_supplemental,eps_basic,eps_diluted,gross_profit,income_allocated_to_minority_interest,income_tax,interest_expense,interest_income,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income_normal,operating_income,other_income_statement_items,other_nonoperating_income,other_opex,preferred_dividends,pretax_income,revenue,rnd,sga,shares_basic,shares_diluted,special_charges,total_opex,fiscal_quarter_key,fiscal_quarter_number
0,0.0,2002-06-10,2002-04,0.29,18227774000,375740000,12830000,0.0,0.0,207165000,0,-35677000,0,0,83245000,83245000,83245000,0,0,117191000,0,1731000,0,0,118922000,582905000,52492000,37482000,18082080000,21907800000,0,89974000,FY2003.FQ1,1
1,0.0,2002-09-10,2002-07,0.092,18354089000,327983000,14069000,0.0,0.0,99302000,0,-2251000,0,0,5254000,5254000,5254000,0,0,6165000,0,1340000,0,0,7505000,427285000,57229000,35908000,18275520000,20252400000,0,93137000,FY2003.FQ2,2
2,0.0,2002-12-10,2002-10,0.099,18909222000,322106000,16166000,0.0,0.0,108198000,0,0,0,0,-48636000,-48636000,-48636000,0,0,-50106000,0,1470000,61832000,0,-48636000,430304000,57779000,38693000,18399760000,18399760000,0,158304000,FY2003.FQ3,3
3,0.0,2003-04-25,2003-01,0.086,18925340000,307606000,15151000,0.0,0.0,161347000,0,-21830000,0,0,50936000,50936000,50936000,0,0,70736000,0,2030000,-61832000,0,72766000,468953000,57373000,95070000,18910345000,20227646000,0,90611000,FY2003.FQ4,4
4,0.0,2003-05-22,2003-04,0.119,19074827000,278415000,15958000,0.0,0.0,126568000,0,-8463000,0,0,19747000,19747000,19747000,0,0,26348000,0,1862000,0,0,28210000,404983000,59310000,40910000,19034640000,20151000000,0,100220000,FY2004.FQ1,1
5,0.0,2003-09-09,2003-07,0.159,19261771000,329800000,19610000,0.0,0.0,129974000,0,-2511000,0,0,24150000,24150000,24150000,0,0,24632000,0,2029000,0,0,26661000,459774000,65620000,39722000,19209240000,20946120000,0,105342000,FY2004.FQ2,2
6,0.0,2003-11-21,2003-10,0.147,19451005000,351938000,22842000,0.0,0.0,134131000,0,803000,0,0,6356000,6356000,6356000,0,0,18861000,0,-13308000,0,0,5553000,486069000,73052000,42218000,19380150000,20767496000,0,115270000,FY2004.FQ3,3
7,0.0,2004-03-29,2004-01,0.185,19687651000,333914000,24278000,0.0,0.0,138205000,0,-2083000,0,0,24166000,24166000,24166000,0,0,23816000,0,2433000,0,0,26249000,472119000,71990000,42399000,19600240000,21165697000,0,114389000,FY2004.FQ4,4
8,0.0,2004-05-20,2004-04,0.171,19901769000,323069000,23412000,0.0,0.0,148836000,0,-5338000,0,0,21349000,21349000,21349000,0,0,23880000,0,2807000,0,0,26687000,471905000,77750000,47206000,19820520000,21417480000,0,124956000,FY2005.FQ1,1
9,0.0,2004-08-19,2004-07,0.129,19974958000,315968000,24074000,0.0,0.0,140093000,0,-1280000,0,0,5119000,5119000,5119000,0,0,3799000,0,2600000,0,0,6399000,456061000,85420000,50874000,19950240000,21290280000,0,136294000,FY2005.FQ2,2
10,0.0,2004-11-22,2004-10,0.121,19935581000,348849000,24026000,0.0,0.0,166742000,0,-6470000,0,0,25879000,25879000,25879000,0,0,28758000,0,3591000,0,0,32349000,515591000,87880000,50104000,19924678000,20733913000,0,137984000,FY2005.FQ3,3
11,0.0,2005-03-22,2005-01,0.191,20040725000,374592000,31085000,0.0,0.0,191884000,0,-5325000,0,0,36268000,36268000,36268000,0,0,38739000,0,2854000,0,0,41593000,566476000,97170000,55975000,19994483000,20913823000,0,153145000,FY2005.FQ4,4
12,0.0,2005-06-02,2005-04,0.183,20264872000,373693000,24897000,0.0,0.0,210153000,0,-16111000,0,0,64444000,64444000,64444000,0,0,76182000,0,4373000,0,0,80555000,583846000,85913000,48058000,20237640000,21659040000,0,133971000,FY2006.FQ1,1
