,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_quarter_key,fiscal_quarter_number
0,0.0,2002-06-10,2002-04,0.29,18227774000,FY2003.FQ1,1
1,0.0,2002-09-10,2002-07,0.092,18354089000,FY2003.FQ2,2
2,0.0,2002-12-10,2002-10,0.099,18909222000,FY2003.FQ3,3
3,0.0,2003-04-25,2003-01,0.086,18925340000,FY2003.FQ4,4
4,0.0,2003-05-22,2003-04,0.119,19074827000,FY2004.FQ1,1
5,0.0,2003-09-09,2003-07,0.159,19261771000,FY2004.FQ2,2
6,0.0,2003-11-21,2003-10,0.147,19451005000,FY2004.FQ3,3
7,0.0,2004-03-29,2004-01,0.185,19687651000,FY2004.FQ4,4
8,0.0,2004-05-20,2004-04,0.171,19901769000,FY2005.FQ1,1
9,0.0,2004-08-19,2004-07,0.129,19974958000,FY2005.FQ2,2
10,0.0,2004-11-22,2004-10,0.121,19935581000,FY2005.FQ3,3
11,0.0,2005-03-22,2005-01,0.191,20040725000,FY2005.FQ4,4
12,0.0,2005-06-02,2005-04,0.183,20264872000,FY2006.FQ1,1
13,0.0,2005-08-25,2005-07,0.226,20232932000,FY2006.FQ2,2
14,0.0,2005-11-23,2005-10,0.28,20530881000,FY2006.FQ3,3
15,0.0,2006-03-16,2006-01,0.375,20567011000,FY2006.FQ4,4
16,0.0,2006-05-31,2006-04,0.487,21140212000,FY2007.FQ1,1
17,0.0,2006-11-29,2006-07,0.369,21322038000,FY2007.FQ2,2
18,0.0,2006-12-07,2006-10,0.581,21322038000,FY2007.FQ3,3
19,0.0,2007-03-16,2007-01,0.511,21648486000,FY2007.FQ4,4
20,0.0,2007-05-24,2007-04,0.548,21763923000,FY2008.FQ1,1
21,0.0,-,2007-07,0.763,21941522000,FY2008.FQ2,2
22,0.0,-,2007-10,0.885,22222858000,FY2008.FQ3,3
23,0.0,-,2008-01,0.615,22284104000,FY2008.FQ4,4
24,0.0,2008-05-22,2008-04,0.514,22189347000,FY2009.FQ1,1
25,0.0,-,2008-07,0.286,22189347000,FY2009.FQ2,2
26,0.0,-,2008-10,0.219,21482523000,FY2009.FQ3,3
27,0.0,2009-03-13,2009-01,0.199,21698142000,FY2009.FQ4,4
28,0.0,2009-05-20,2009-04,0.287,21848000000,FY2010.FQ1,1
29,0.0,2009-08-20,2009-07,0.323,21912000000,FY2010.FQ2,2
30,0.0,2009-11-19,2009-10,0.299,22196000000,FY2010.FQ3,3
31,0.0,2010-03-18,2010-01,0.385,22458634000,FY2010.FQ4,4
32,0.0,2010-05-21,2010-04,0.393,22888000000,FY2011.FQ1,1
33,0.0,2010-08-30,2010-07,0.23,22960000000,FY2011.FQ2,2
34,0.0,2011-11-22,2010-10,0.301,23240000000,FY2011.FQ3,3
35,0.0,2011-03-16,2011-01,0.598,23542228000,FY2011.FQ4,4
36,0.0,2011-05-27,2011-04,0.5,24011536000,FY2012.FQ1,1
37,0.0,2011-08-25,2011-07,0.346,24149095000,FY2012.FQ2,2
38,0.0,2011-11-22,2011-10,0.37,24426137000,FY2012.FQ3,3
39,0.0,2012-03-13,2012-01,0.369,24487656000,FY2012.FQ4,4
40,0.0,2012-05-23,2012-04,0.325,24752164000,FY2013.FQ1,1
41,0.0,2012-08-22,2012-07,0.339,24779050000,FY2013.FQ2,2
42,0.0,2012-11-19,2012-10,0.299,24994032000,FY2013.FQ3,3
43,0.002,2013-03-12,2013-01,0.307,24670245000,FY2013.FQ4,4
44,0.002,2013-05-22,2013-04,0.344,23116656000,FY2014.FQ1,1
45,0.002,2013-08-21,2013-07,0.361,23143922000,FY2014.FQ2,2
46,0.002,2013-11-19,2013-10,0.38,22741425000,FY2014.FQ3,3
47,0.002,2014-03-13,2014-01,0.393,22719869000,FY2014.FQ4,4
48,0.002,2014-05-21,2014-04,0.462,22318651000,FY2015.FQ1,1
49,0.002,2014-08-20,2014-07,0.438,21676604000,FY2015.FQ2,2
50,0.002,2014-11-19,2014-10,0.489,21741476000,FY2015.FQ3,3
