,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_year_key,fiscal_year_number
0,0.22,2002-04-15,2002-01,44.41,902788000,-3131000000,1461000000,-3310000000,1992000000,0,143000000,0,-20000000,-20000000,1640000000,1640000000,0,-203000000,44000000,0,0,0,0,0,0,0,-174000000,-174000000,0,-5000000,-3131000000,-3163000000,32000000,-721000000,1079000000,49000000,-201000000,1374000000,211000000,443000000,0,-963000000,0,FY2002,2002
1,0.24,2003-04-14,2003-01,28.21,909800000,-3008000000,1804000000,-4776000000,3233000000,0,261000000,27000000,24000000,-3000000,2018000000,2018000000,0,-218000000,-20000000,0,0,0,0,0,0,0,0,0,0,-1768000000,-3008000000,-3040000000,32000000,-479000000,967000000,208000000,-370000000,1376000000,1161000000,345000000,0,-454000000,0,FY2003,2003
2,0.26,2004-04-05,2004-01,37.96,911808000,-2671000000,-338000000,-3209000000,3505000000,0,-42000000,36000000,-12000000,-48000000,0,-79000000,-79000000,-237000000,-10000000,0,0,0,0,0,0,0,0,0,0,-538000000,-2671000000,-2738000000,67000000,-315000000,1098000000,208000000,-579000000,1619000000,895000000,543000000,0,-279000000,0,FY2004,2004
3,0.3,2005-04-11,2005-01,50.77,885553000,-3012000000,-2837000000,1179000000,3195000000,0,1537000000,146000000,-1144000000,-1290000000,0,-1477000000,-1477000000,-272000000,56000000,0,0,0,0,0,0,0,0,0,0,4191000000,-3012000000,-3068000000,56000000,-182000000,1259000000,233000000,-853000000,1885000000,0,880000000,0,-209000000,0,FY2005,2005
4,0.36,2006-04-10,2006-01,54.75,874075000,-3330000000,-899000000,-4149000000,4451000000,0,-597000000,172000000,-1025000000,-1197000000,386000000,386000000,0,-318000000,58000000,0,0,0,0,0,0,0,0,0,0,-819000000,-3330000000,-3388000000,58000000,160000000,1409000000,-122000000,-454000000,2408000000,596000000,858000000,0,-244000000,0,FY2006,2006
5,0.44,2007-03-15,2007-01,61.36,859771000,-3866000000,-1004000000,-4693000000,4862000000,0,-835000000,181000000,-720000000,-901000000,101000000,101000000,0,-380000000,-5000000,0,0,0,0,0,0,0,-144000000,-144000000,0,-683000000,-3866000000,-3928000000,62000000,283000000,1496000000,-201000000,-431000000,2787000000,497000000,940000000,0,-226000000,0,FY2007,2007
6,0.52,2008-03-13,2008-01,55.42,818738000,-4274000000,3707000000,-6195000000,4125000000,0,1637000000,0,-2477000000,-2477000000,6791000000,6791000000,0,-442000000,-165000000,0,0,0,0,0,0,0,-182000000,-182000000,0,-1739000000,-4274000000,-4369000000,95000000,-868000000,1659000000,-70000000,-525000000,2849000000,555000000,259000000,0,-602000000,0,FY2008,2008
7,0.6,2009-03-13,2009-01,31.2,752673000,-3508000000,-1643000000,-4373000000,4430000000,0,-1586000000,43000000,-2772000000,-2815000000,3557000000,1602000000,-1955000000,-465000000,-8000000,0,0,0,0,0,0,0,-42000000,-42000000,0,-823000000,-3508000000,-3547000000,39000000,-1439000000,1826000000,91000000,77000000,2214000000,1666000000,-1058000000,0,-458000000,72000000,FY2009,2009
8,0.66,2010-03-12,2010-01,51.27,744600000,-1696000000,-2842000000,-1703000000,5881000000,0,1336000000,0,-423000000,-423000000,0,-1970000000,-1970000000,-496000000,47000000,0,0,0,0,0,0,0,3000000,0,3000000,-10000000,-1696000000,-1729000000,33000000,-482000000,2023000000,364000000,-474000000,2488000000,1385000000,49000000,0,-57000000,103000000,FY2010,2010
9,0.84,2011-03-11,2011-01,54.83,704000000,-2060000000,-4015000000,-1744000000,5271000000,0,-488000000,0,-2452000000,-2452000000,1011000000,-1248000000,-2259000000,-609000000,294000000,0,0,0,0,0,0,0,0,0,0,316000000,-2060000000,-2129000000,69000000,-670000000,2084000000,445000000,-417000000,2920000000,383000000,-175000000,0,-78000000,109000000,FY2011,2011
