,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_year_key,fiscal_year_number
0,0.22,2002-04-15,2002-01,44.41,902788000,3.073,3.3236,7860000000,6.9521,-0.267,0.4016,0.1638,0.0456,1.3677,0.3723,0.3744,1.1441,1.2284,0.0624,0.0476,3759000000,0.0997,0.0943,3.3248,47681815080,6.0663,34.8551,-41.8628,21.6048,1.1972,6.0663,0.1458,-0.1231,0.3254,-1139000000,0.0,-1.0123,-0.0285,0.0072,-1.0074,0.3184,0.2677,0.0926,0.3801,40092815080,8494000000,0.0822,0.0343,2010000000,0.0815,0.0606,2.3704,0.0672,0.1818,2.0089,0.1852,0.075,1.952,0.0554,0.0409,5.1008,29.3076,-35.2,18.1662,1.0066,5.1008,0.0946,0.0792,35.2261,0.0626,0.0465,0.1672,0.1902,0.1684,0.0916,0.14904535560943,0.0943,0.0696,0.1672,0.2383,3719000,0.0041,6.9521,7860000000,0.0979,0.2393,0.1309,0.2057,FY2002,2002
1,0.24,2003-04-14,2003-01,28.21,909800000,3.029,3.1168,9443000000,10.3281,0.0392,0.519,0.1263,0.6229,1.5864,0.3902,0.3744,1.1819,1.163,0.0657,0.0909,3778000000,0.005,0.1009,4.1321,35093458000,3.7163,21.6225,155.9709,15.7581,0.938,3.7163,0.161,0.471,0.3301,225000000,0.1146,1.1975,0.006,0.0081,0.246,0.3184,0.2901,-0.0607,0.3821,25665458000,10403000000,0.1864,0.0433,2108250000,0.0488,0.0632,3.0744,0.0751,0.1348,0.9821,0.131,0.009,2.4357,0.0595,0.0492,2.7179,15.8135,114.0687,11.5246,0.686,2.7179,0.0763,-0.0606,40.9165,0.0615,0.0579,0.1403,0.1875,0.1839,0.0866,0.14904535560943,0.0896,0.0848,0.1403,-0.1912,7012000,0.0077,10.3281,9443000000,0.1071,0.1841,0.1379,0.2013,FY2003,2003
2,0.26,2004-04-05,2004-01,37.96,911808000,2.8221,3.051,11132000000,10.8304,0.112,-0.0659,0.1113,0.0841,1.5578,0.3507,0.3615,0.9897,1.0952,0.0693,0.0833,4257000000,0.1267,0.1012,4.1416,44059231680,3.9578,24.3555,52.8288,16.9263,1.0484,3.9578,0.1596,-0.0112,0.3543,834000000,0.0974,2.7066,0.0198,0.0081,0.8114,0.3244,0.3134,0.1447,0.378,34612231680,10310000000,0.1146,0.043,2369250000,0.1237,0.0654,3.0734,0.0751,0.1477,1.198,-0.01,0.1688,2.5324,0.0619,0.053,3.1092,19.1333,41.5014,13.297,0.8236,3.1092,0.0812,0.1233,40.8866,0.0602,0.0609,0.1372,0.1758,0.1839,0.0846,0.14904535560943,0.0876,0.0856,0.1372,0.1241,2008000,0.0022,10.8304,11132000000,0.1129,0.0983,0.1444,0.1788,FY2004,2004
3,0.3,2005-04-11,2005-01,50.77,885553000,2.4785,3.0093,13029000000,14.2846,-0.1276,2.1709,0.136,-0.0884,1.6936,0.2953,0.3418,0.732,1.021,0.0791,0.1538,4860000000,0.1416,0.1037,5.3283,51748525810,3.9717,16.1815,282.7788,17.073,1.1048,3.9717,0.2253,0.9943,0.4034,183000000,0.0,-0.7805,0.0039,0.0081,0.2006,0.3286,0.3156,0.1289,0.378,44959525810,7293000000,0.7678,0.0682,2700750000,0.1399,0.0672,3.948,0.0768,0.0854,0.6238,0.1126,0.1644,3.3231,0.0647,0.0555,3.4507,14.0586,245.6804,14.8332,0.9598,3.4507,0.0819,0.1145,51.3529,0.1003,0.062,0.1483,0.2647,0.1889,0.143,0.14904535560943,0.1531,0.0891,0.1483,-0.1126,-26255000,-0.0287,14.2846,13029000000,0.1068,0.0279,0.1494,0.1704,FY2005,2005
4,0.36,2006-04-10,2006-01,54.75,874075000,2.4635,2.963,14205000000,15.975,-0.1055,-0.2659,0.1438,0.3931,1.5023,0.282,0.332,0.6949,0.9927,0.0952,0.2,5732000000,0.1794,0.1089,6.4462,55326606250,3.8948,22.9761,49.3546,14.3333,1.0514,3.9457,0.2343,-0.2279,0.4059,1121000000,0.0,5.1256,0.0213,0.0106,1.2606,0.3214,0.3175,0.0989,0.3761,47855606250,8224000000,-0.247,0.0457,3242250000,0.2004,0.0681,4.8616,0.0821,0.1328,0.8479,0.1291,0.2735,4.3409,0.0733,0.0565,3.3689,19.8735,42.6901,12.3978,0.9094,3.4128,0.0838,0.1234,59.1767,0.0715,0.0626,0.1704,0.1768,0.1889,0.1032,0.14904535560943,0.1126,0.0944,0.171,-0.0251,-11478000,-0.0129,15.7692,14022000000,0.1078,0.0836,0.1515,0.0902,FY2006,2006
5,0.44,2007-03-15,2007-01,61.36,859771000,2.3891,2.9304,15633000000,17.9979,-0.1609,-0.5066,0.1279,0.0923,1.3228,0.2687,0.3157,0.642,0.9361,0.1114,0.2222,6565000000,0.1453,0.1103,7.5581,60617548560,3.8775,21.7501,60.8609,13.4795,1.0189,3.9308,0.2092,0.1845,0.4185,996000000,0.1437,-0.1115,0.0167,0.0127,1.1466,0.3258,0.3184,0.1458,0.3802,52755548560,9224000000,0.1573,0.0468,3801750000,0.1725,0.0721,5.8358,0.0852,0.137,0.9044,0.1256,0.165,5.1772,0.0755,0.0584,3.3746,18.9291,52.9674,11.7312,0.8867,3.421,0.0889,0.1305,68.4895,0.077,0.0658,0.1885,0.1868,0.1889,0.112,0.14904535560943,0.1178,0.1002,0.1899,-0.0231,-14304000,-0.0163,17.7538,15421000000,0.108,0.0672,0.1507,0.1005,FY2007,2007
6,0.52,2008-03-13,2008-01,55.42,818738000,2.911,2.9177,15307000000,17.9913,-0.1055,2.0135,0.0867,-0.1515,1.6046,0.3835,0.3167,1.1164,0.9361,0.1216,0.1818,6931000000,0.0557,0.1093,8.1464,58050459960,3.7924,20.3757,-389.6004,12.5514,0.916,3.8446,0.154,0.0373,0.3435,-149000000,0.0,-1.1495,-0.0023,0.0085,-0.1751,0.3256,0.3199,0.0645,0.384,45374459960,14640000000,0.0222,0.0449,3954000000,0.04,0.0751,6.1965,0.0831,0.1561,1.0341,0.1243,0.0284,5.436,0.0729,0.0607,2.9642,15.9264,-304.5265,9.8106,0.716,3.0051,0.086,0.0651,74.4793,0.0695,0.0692,0.1691,0.1841,0.1889,0.0981,0.14904535560943,0.1039,0.1006,0.1702,-0.0204,-41033000,-0.0477,17.7468,15099000000,0.1212,0.193,0.1304,-0.0208,FY2008,2008
7,0.6,2009-03-13,2009-01,31.2,752673000,3.2165,2.9177,13712000000,17.7249,0.1792,-0.7706,0.089,0.0739,1.6636,0.4251,0.3418,1.3675,0.9927,0.1279,0.1538,6228000000,-0.1014,0.0958,8.0506,40109397600,2.9251,18.1162,43.5026,11.3431,0.6175,2.9251,0.1119,-0.1411,0.3108,922000000,0.1058,7.1879,0.0141,0.0101,1.1918,0.2953,0.3199,-0.0704,0.3738,23483397600,18190000000,-0.2228,0.034,3301500000,-0.165,0.0751,5.6902,0.0677,0.2097,0.9477,0.0689,-0.2354,4.5708,0.0544,0.0607,1.7126,10.6067,25.47,6.6412,0.3615,1.7126,0.0779,0.0249,83.9555,0.0499,0.0692,0.1264,0.1525,0.1872,0.0682,0.14904535560943,0.0715,0.1006,0.1268,-0.0907,-66065000,-0.0806,17.7249,13712000000,0.109,-0.0101,0.0989,-0.1042,FY2009,2009
8,0.66,2010-03-12,2010-01,51.27,744600000,2.9017,2.9064,15347000000,20.3325,0.5165,0.0373,0.0993,0.3275,1.6265,0.3775,0.3615,1.0955,1.0456,0.1268,0.1,6696000000,0.0751,0.1024,8.8712,51093642000,3.3292,20.536,12.2087,13.1956,0.7817,3.3292,0.1037,0.1538,0.3446,4185000000,0.2394,3.539,0.064,0.0101,5.5445,0.3025,0.3199,0.0308,0.3574,38175642000,16231000000,0.1237,0.038,3504750000,0.0615,0.0751,6.191,0.0714,0.2,1.4792,-0.0184,0.095,5.1298,0.0592,0.0607,2.4874,15.3439,9.122,9.8594,0.5841,2.4874,0.0684,0.0062,86.5885,0.0561,0.0658,0.1339,0.1712,0.1854,0.0769,0.14904535560943,0.0783,0.0948,0.1339,-0.0243,-8073000,-0.0107,20.3325,15347000000,0.1001,0.0096,0.101,0.1192,FY2010,2010
9,0.84,2011-03-11,2011-01,54.83,704000000,2.822,2.8619,15487000000,21.2325,-0.2146,0.0,0.1071,-0.1037,1.7093,0.3598,0.366,1.0154,1.0555,0.1486,0.2727,7336000000,0.0955,0.1088,10.0575,52495320000,3.3896,17.9778,16.3485,11.6786,0.7789,3.3896,0.1122,0.2121,0.3543,3211000000,0.0,-0.2327,0.0476,0.0154,4.4022,0.3087,0.3199,0.0521,0.3503,38600320000,15143000000,0.1736,0.0433,3939000000,0.1239,0.076,7.2004,0.0779,0.21,1.1772,0.0084,0.1608,6.1625,0.0667,0.0633,2.4924,13.2192,12.0212,8.5873,0.5727,2.4924,0.062,0.0311,92.391,0.0661,0.0644,0.1529,0.1894,0.1854,0.0921,0.14904535560943,0.0938,0.0918,0.1529,-0.0336,-40600000,-0.0545,21.2325,15487000000,0.0841,-0.0185,0.0903,0.0091,FY2011,2011
