,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,da_income_statement_supplemental,eps_basic,eps_diluted,gross_profit,income_allocated_to_minority_interest,income_tax,interest_expense,interest_income,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income_normal,operating_income,other_income_statement_items,other_nonoperating_income,other_opex,preferred_dividends,pretax_income,revenue,rnd,sga,shares_basic,shares_diluted,special_charges,total_opex,fiscal_year_key,fiscal_year_number
0,0.22,2002-04-15,2002-01,44.41,902788000,27143000000,1079000000,1.22,1.21,12683000000,0,-839000000,0,0,1368000000,1368000000,1368000000,0,0,2680000000,0,-473000000,1079000000,0,2207000000,39826000000,0,8924000000,1121311000,1130579000,0,10003000000,FY2002,2002
1,0.24,2003-04-14,2003-01,28.21,909800000,25498000000,967000000,1.79,1.78,11912000000,0,-851000000,0,0,1623000000,1623000000,1376000000,247000000,0,2811000000,0,-584000000,967000000,0,2227000000,37410000000,0,8134000000,908000000,914300000,0,9101000000,FY2003,2003
2,0.26,2004-04-05,2004-01,37.96,911808000,28389000000,1098000000,1.78,1.76,13636000000,0,-984000000,0,0,1809000000,1809000000,1619000000,190000000,0,3159000000,0,-556000000,1098000000,0,2603000000,42025000000,0,9379000000,1016292000,1027841000,0,10477000000,FY2004,2004
3,0.3,2005-04-11,2005-01,50.77,885553000,31445000000,1259000000,3.54,3.51,15394000000,0,-1146000000,0,0,3198000000,3198000000,1885000000,1313000000,0,3601000000,0,-570000000,1259000000,0,3031000000,46839000000,0,10534000000,903800000,912100000,0,11793000000,FY2005,2005
4,0.36,2006-04-10,2006-01,54.75,874075000,35703000000,1409000000,2.73,2.71,16917000000,0,-1452000000,0,0,2408000000,2408000000,2408000000,0,0,4323000000,0,-463000000,1409000000,0,3860000000,52620000000,0,11185000000,882000000,889200000,0,12594000000,FY2006,2006
5,0.44,2007-03-15,2007-01,61.36,859771000,40106000000,1496000000,3.23,3.21,19384000000,0,-1710000000,0,0,2787000000,2787000000,2787000000,0,0,5069000000,0,-572000000,1496000000,0,4497000000,59490000000,0,12819000000,861900000,868600000,0,14315000000,FY2007,2007
6,0.52,2008-03-13,2008-01,55.42,818738000,42732000000,1659000000,3.37,3.33,20635000000,0,-1776000000,0,0,2849000000,2849000000,2849000000,0,0,5272000000,0,-647000000,1659000000,0,4625000000,63367000000,0,13704000000,845400000,850800000,0,15363000000,FY2008,2008
7,0.6,2009-03-13,2009-01,31.2,752673000,45766000000,1826000000,2.87,2.86,19182000000,0,-1322000000,-894000000,28000000,2214000000,2214000000,2214000000,0,-866000000,4402000000,0,0,1826000000,0,3536000000,64948000000,0,12954000000,770400000,773600000,0,14780000000,FY2009,2009
8,0.66,2010-03-12,2010-01,51.27,744600000,45583000000,2023000000,3.31,3.3,19774000000,0,-1384000000,-804000000,3000000,2488000000,2488000000,2488000000,0,-801000000,4673000000,0,0,2023000000,0,3872000000,65357000000,0,13078000000,752000000,754800000,0,15101000000,FY2010,2010
9,0.84,2011-03-11,2011-01,54.83,704000000,46585000000,2084000000,4.03,4.0,20805000000,0,-1575000000,-760000000,3000000,2920000000,2920000000,2920000000,0,-757000000,5252000000,0,0,2084000000,0,4495000000,67390000000,0,13469000000,723600000,729400000,0,15553000000,FY2011,2011
10,1.1,2012-03-15,2012-01,50.81,669300000,48306000000,2131000000,4.31,4.28,21559000000,0,-1527000000,-869000000,3000000,2929000000,2929000000,2929000000,0,-866000000,5322000000,0,0,2131000000,0,4456000000,69865000000,0,14106000000,679100000,683900000,0,16237000000,FY2012,2012
11,1.32,2013-03-20,2013-01,60.41,645294000,51035000000,2044000000,4.57,4.52,22266000000,0,-1741000000,-684000000,0,2999000000,2999000000,3315000000,-316000000,-684000000,5579000000,0,161000000,2044000000,0,5056000000,73301000000,0,14643000000,656700000,663300000,0,16687000000,FY2013,2013
12,1.58,2014-03-14,2014-01,56.64,632931000,50039000000,1996000000,3.1,3.07,21240000000,0,-1427000000,-1049000000,0,1971000000,1971000000,2694000000,-723000000,-1049000000,4779000000,0,391000000,1996000000,0,4121000000,71279000000,0,14465000000,635100000,641800000,0,16461000000,FY2014,2014
13,1.9,2015-03-13,2015-01,73.61,640214000,51278000000,2129000000,-2.58,-2.58,21340000000,0,-1204000000,-882000000,0,-1636000000,-1636000000,2449000000,-4085000000,-882000000,4535000000,0,0,2129000000,0,3653000000,72618000000,0,14676000000,634700000,640100000,0,16805000000,FY2015,2015
14,2.16,2016-03-11,2016-01,72.42,602227000,52241000000,2213000000,5.35,5.31,21544000000,0,-1602000000,-607000000,0,3363000000,3363000000,3321000000,42000000,-607000000,4910000000,0,620000000,1969000000,0,4923000000,73785000000,0,14665000000,627700000,632900000,0,16634000000,FY2016,2016
15,2.32,2017-03-08,2017-01,64.48,556156000,49145000000,2318000000,4.73,4.69,21126000000,0,-1295000000,-991000000,0,2734000000,2734000000,2666000000,68000000,-991000000,4864000000,0,88000000,2045000000,0,3961000000,70271000000,0,14217000000,577600000,582500000,0,16262000000,FY2017,2017
16,2.44,2018-03-14,2018-01,75.22,541682000,51125000000,2476000000,5.32,5.29,21589000000,0,-722000000,-653000000,0,2914000000,2914000000,2908000000,6000000,-653000000,4224000000,0,59000000,2225000000,0,3630000000,72714000000,0,15140000000,546800000,550300000,0,17365000000,FY2018,2018
17,2.52,2019-03-13,2019-01,73.0,517762000,53299000000,2474000000,5.55,5.51,22057000000,0,-746000000,-461000000,0,2937000000,2937000000,2930000000,7000000,-461000000,4110000000,0,27000000,2224000000,0,3676000000,75356000000,0,15723000000,528600000,533200000,0,17947000000,FY2019,2019
18,2.6,2020-03-11,2020-01,110.74,504199000,54864000000,2604000000,6.42,6.36,23248000000,0,-921000000,-477000000,0,3281000000,3281000000,3269000000,12000000,-477000000,4658000000,0,9000000,2357000000,0,4190000000,78112000000,0,16233000000,510900000,515600000,0,18590000000,FY2020,2020
19,2.68,2021-03-10,2021-01,181.17,500877000,66177000000,2485000000,8.72,8.64,27384000000,0,-1178000000,-977000000,0,4368000000,4368000000,4368000000,0,-977000000,6539000000,0,-16000000,2230000000,0,5546000000,93561000000,0,18615000000,500600000,505400000,0,20845000000,FY2021,2021
20,3.16,2022-03-09,2022-01,220.43,471274000,74963000000,2642000000,14.23,14.1,31042000000,0,-1961000000,-421000000,0,6946000000,6946000000,6946000000,0,-421000000,8946000000,0,382000000,2344000000,0,8907000000,106005000000,0,19752000000,488100000,492700000,0,22096000000,FY2022,2022
