,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_year_key,fiscal_year_number
0,0.22,2002-04-15,2002-01,44.41,902788000,FY2002,2002
1,0.24,2003-04-14,2003-01,28.21,909800000,FY2003,2003
2,0.26,2004-04-05,2004-01,37.96,911808000,FY2004,2004
3,0.3,2005-04-11,2005-01,50.77,885553000,FY2005,2005
4,0.36,2006-04-10,2006-01,54.75,874075000,FY2006,2006
5,0.44,2007-03-15,2007-01,61.36,859771000,FY2007,2007
6,0.52,2008-03-13,2008-01,55.42,818738000,FY2008,2008
7,0.6,2009-03-13,2009-01,31.2,752673000,FY2009,2009
8,0.66,2010-03-12,2010-01,51.27,744600000,FY2010,2010
9,0.84,2011-03-11,2011-01,54.83,704000000,FY2011,2011
10,1.1,2012-03-15,2012-01,50.81,669300000,FY2012,2012
11,1.32,2013-03-20,2013-01,60.41,645294000,FY2013,2013
12,1.58,2014-03-14,2014-01,56.64,632931000,FY2014,2014
13,1.9,2015-03-13,2015-01,73.61,640214000,FY2015,2015
14,2.16,2016-03-11,2016-01,72.42,602227000,FY2016,2016
15,2.32,2017-03-08,2017-01,64.48,556156000,FY2017,2017
16,2.44,2018-03-14,2018-01,75.22,541682000,FY2018,2018
17,2.52,2019-03-13,2019-01,73.0,517762000,FY2019,2019
18,2.6,2020-03-11,2020-01,110.74,504199000,FY2020,2020
19,2.68,2021-03-10,2021-01,181.17,500877000,FY2021,2021
20,3.16,2022-03-09,2022-01,220.43,471274000,FY2022,2022
21,3.96,2023-03-08,2023-01,172.14,460347000,FY2023,2023
22,4.36,2024-03-13,2024-01,139.08,461675000,FY2024,2024
23,4.44,2025-03-12,2025-01,137.91,455567000,FY2025,2025
