,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_quarter_key,fiscal_quarter_number
0,0.06,2002-06-12,2002-04,43.65,907240000,-693000000,1266000000,-694000000,-626000000,0,-54000000,0,0,0,1303000000,1303000000,0,-54000000,17000000,0,0,0,0,0,0,0,0,0,0,-1000000,-693000000,-697000000,4000000,-1415000000,289000000,0,-116000000,345000000,155000000,-1092000000,0,-207000000,0,FY2003.FQ1,1
1,0.06,2002-09-13,2002-07,33.35,908400000,-775000000,891000000,-774000000,1193000000,0,1310000000,0,0,0,952000000,952000000,0,-55000000,-6000000,0,0,0,0,0,0,0,0,0,0,1000000,-775000000,-782000000,7000000,392000000,295000000,0,16000000,344000000,162000000,834000000,0,-458000000,0,FY2003.FQ2,2
2,0.06,2002-12-10,2002-10,30.12,908772000,-910000000,520000000,-910000000,-531000000,0,-921000000,0,0,0,594000000,594000000,0,-54000000,-20000000,0,0,0,0,0,0,0,0,0,0,0,-910000000,-914000000,4000000,-1306000000,305000000,0,-1063000000,277000000,193000000,454000000,0,-697000000,0,FY2003.FQ3,3
3,0.06,2003-04-14,2003-01,28.21,909800000,-630000000,-873000000,-2398000000,3197000000,0,-74000000,0,0,0,0,-831000000,-831000000,-55000000,13000000,0,0,0,0,0,0,0,0,0,0,-1768000000,-630000000,-647000000,17000000,1850000000,78000000,0,793000000,410000000,859000000,149000000,0,908000000,0,FY2003.FQ4,4
4,0.06,2003-06-04,2003-04,33.44,910756000,-655000000,594000000,-655000000,-245000000,0,-306000000,0,0,0,649000000,649000000,0,-55000000,0,0,0,0,0,0,0,0,0,0,0,0,-655000000,-674000000,19000000,-1040000000,317000000,0,-184000000,349000000,129000000,-1016000000,0,160000000,0,FY2004.FQ1,1
5,0.06,2003-09-10,2003-07,38.32,910938000,-750000000,33000000,-750000000,694000000,0,-23000000,0,0,0,78000000,78000000,0,-54000000,9000000,0,0,0,0,0,0,0,0,0,0,0,-750000000,-738000000,-12000000,-192000000,218000000,0,41000000,358000000,310000000,163000000,0,-396000000,0,FY2004.FQ2,2
6,0.07,2003-12-09,2003-10,39.74,911462000,-890000000,559000000,-890000000,397000000,0,66000000,0,0,0,611000000,611000000,0,-64000000,12000000,0,0,0,0,0,0,0,0,0,0,0,-890000000,-918000000,28000000,-374000000,441000000,0,-1365000000,302000000,28000000,950000000,0,41000000,0,FY2004.FQ3,3
7,0.07,2004-04-05,2004-01,37.96,911808000,-376000000,-1524000000,-914000000,2659000000,0,221000000,0,0,0,0,-1417000000,-1417000000,-64000000,-43000000,0,0,0,0,0,0,0,0,0,0,-538000000,-376000000,-408000000,32000000,1291000000,122000000,0,929000000,610000000,636000000,446000000,0,-84000000,0,FY2004.FQ4,4
8,0.07,2004-06-02,2004-04,43.37,913400000,-631000000,-139000000,-542000000,587000000,0,-94000000,48000000,33000000,-15000000,0,-108000000,-108000000,-64000000,0,0,0,0,0,0,0,0,0,0,0,89000000,-631000000,-632000000,1000000,-401000000,292000000,0,58000000,392000000,304000000,-541000000,0,82000000,0,FY2005.FQ1,1
9,0.07,2004-09-03,2004-07,43.6,903335000,-756000000,-1786000000,2360000000,547000000,0,1121000000,27000000,-445000000,-472000000,0,-1277000000,-1277000000,-64000000,0,0,0,0,0,0,0,0,0,0,0,3116000000,-756000000,-765000000,9000000,334000000,299000000,0,-441000000,360000000,-446000000,821000000,0,-46000000,0,FY2005.FQ2,2
10,0.08,2004-12-03,2004-10,50.02,895426000,-804000000,-633000000,624000000,-139000000,0,-148000000,43000000,-460000000,-503000000,0,-101000000,-101000000,-72000000,0,0,0,0,0,0,0,0,0,0,0,1428000000,-804000000,-809000000,5000000,-855000000,324000000,0,-1645000000,324000000,68000000,823000000,0,-33000000,0,FY2005.FQ3,3
11,0.08,2005-04-11,2005-01,50.77,885553000,-821000000,-279000000,-1263000000,2200000000,0,658000000,28000000,-272000000,-300000000,9000000,9000000,0,-72000000,56000000,0,0,0,0,0,0,0,0,0,0,-442000000,-821000000,-862000000,41000000,740000000,344000000,0,1175000000,809000000,307000000,-223000000,0,-212000000,0,FY2005.FQ4,4
12,0.08,2005-06-03,2005-04,46.41,883371000,-713000000,-996000000,-697000000,600000000,0,-1093000000,36000000,-414000000,-450000000,0,-511000000,-511000000,-71000000,0,0,0,0,0,0,0,0,0,0,0,16000000,-713000000,-717000000,4000000,-381000000,340000000,0,-23000000,494000000,147000000,-448000000,0,90000000,0,FY2006.FQ1,1
13,0.08,2005-09-02,2005-07,58.75,884664000,-1048000000,-73000000,-1241000000,858000000,0,-456000000,84000000,1000000,-83000000,0,-2000000,-2000000,-71000000,-1000000,0,0,0,0,0,0,0,0,0,0,-193000000,-1048000000,-1057000000,9000000,-171000000,346000000,0,-221000000,540000000,143000000,123000000,0,-73000000,0,FY2006.FQ2,2
14,0.1,2005-12-02,2005-10,55.69,879184000,-874000000,511000000,-1066000000,362000000,0,-193000000,41000000,-324000000,-365000000,923000000,923000000,0,-88000000,0,0,0,0,0,0,0,0,0,0,0,-192000000,-874000000,-883000000,9000000,-590000000,354000000,0,-1860000000,435000000,163000000,1313000000,0,-43000000,0,FY2006.FQ3,3
15,0.1,2006-04-10,2006-01,54.75,874075000,-695000000,-341000000,-1145000000,2631000000,0,1145000000,11000000,-288000000,-299000000,0,-24000000,-24000000,-88000000,59000000,0,0,0,0,0,0,0,0,0,0,-450000000,-695000000,-731000000,36000000,1302000000,369000000,0,1650000000,939000000,21000000,-130000000,0,-218000000,0,FY2006.FQ4,4
16,0.1,2006-06-02,2006-04,53.1,868300000,-879000000,-407000000,-779000000,527000000,0,-659000000,24000000,-326000000,-350000000,0,0,0,-87000000,6000000,0,0,0,0,0,0,0,0,0,0,100000000,-879000000,-884000000,5000000,-426000000,334000000,-62000000,-192000000,554000000,127000000,-333000000,0,99000000,0,FY2007.FQ1,1
17,0.1,2006-09-01,2006-07,45.92,857800000,-1005000000,135000000,-1289000000,642000000,0,-512000000,34000000,-516000000,-550000000,0,0,0,-87000000,738000000,0,0,0,0,0,0,0,0,0,0,-284000000,-1005000000,-1015000000,10000000,-456000000,370000000,-50000000,-245000000,608000000,170000000,-129000000,0,-82000000,0,FY2007.FQ2,2
18,0.12,2006-12-01,2006-10,59.18,858900000,-1100000000,669000000,-1238000000,543000000,0,-26000000,68000000,67000000,-1000000,705000000,705000000,0,-103000000,0,0,0,0,0,0,0,0,0,0,0,-138000000,-1100000000,-1105000000,5000000,-434000000,390000000,-55000000,-1524000000,506000000,136000000,1151000000,0,-61000000,0,FY2007.FQ3,3
19,0.12,2007-03-15,2007-01,61.36,859771000,-882000000,-1401000000,-1387000000,3150000000,0,362000000,55000000,55000000,0,0,-1352000000,-1352000000,-103000000,-1000000,0,0,0,0,0,0,0,0,0,0,-505000000,-882000000,-924000000,42000000,1599000000,402000000,-34000000,1530000000,1119000000,64000000,251000000,0,-182000000,0,FY2007.FQ4,4
20,0.12,2007-06-01,2007-04,59.37,851489000,-1179000000,825000000,-1131000000,462000000,0,156000000,36000000,-464000000,-500000000,1399000000,1399000000,0,-103000000,-7000000,0,0,0,0,0,0,0,0,0,0,48000000,-1179000000,-1183000000,4000000,-691000000,392000000,-27000000,-133000000,651000000,137000000,-606000000,0,48000000,0,FY2008.FQ1,1
21,0.12,2007-08-31,2007-07,60.57,847800000,-1168000000,451000000,-1606000000,741000000,0,-414000000,159000000,-281000000,-440000000,834000000,834000000,0,-102000000,0,0,0,0,0,0,0,0,0,0,0,-438000000,-1168000000,-1180000000,12000000,-494000000,404000000,-38000000,-258000000,686000000,183000000,-124000000,0,-112000000,0,FY2008.FQ2,2
22,0.14,2007-11-30,2007-10,61.36,845000000,-1018000000,1484000000,-1795000000,383000000,0,72000000,9000000,-122000000,-131000000,1741000000,1741000000,0,-119000000,-16000000,0,0,0,0,0,0,0,0,0,0,-777000000,-1018000000,-1055000000,37000000,-689000000,429000000,-7000000,-2101000000,484000000,166000000,1608000000,0,-196000000,0,FY2008.FQ3,3
23,0.14,2008-03-13,2008-01,55.42,818738000,-909000000,947000000,-1663000000,2539000000,0,1823000000,0,-1406000000,-1406000000,2817000000,2817000000,0,-118000000,-346000000,0,0,0,0,0,0,0,0,0,0,-754000000,-909000000,-951000000,42000000,1006000000,434000000,2000000,1967000000,1028000000,69000000,-619000000,0,-342000000,0,FY2008.FQ4,4
24,0.14,2008-06-02,2008-04,53.13,788600000,-948000000,-1604000000,-966000000,740000000,0,-1830000000,13000000,-1390000000,-1403000000,0,-99000000,-99000000,-115000000,0,0,0,0,0,0,0,0,-41000000,-41000000,0,23000000,-948000000,-950000000,2000000,-544000000,435000000,20000000,-56000000,602000000,227000000,-509000000,0,21000000,0,FY2009.FQ1,1
25,0.14,2008-08-29,2008-07,45.23,755000000,-991000000,1132000000,-1239000000,1014000000,0,907000000,8000000,-1404000000,-1412000000,2653000000,2653000000,0,-109000000,-8000000,0,0,0,0,0,0,0,-12000000,-12000000,0,-236000000,-991000000,-1006000000,15000000,-601000000,449000000,-6000000,-477000000,635000000,537000000,47000000,0,-171000000,0,FY2009.FQ2,2
26,0.16,2008-12-05,2008-10,40.12,752780000,-862000000,523000000,-1158000000,26000000,0,-609000000,13000000,13000000,0,631000000,631000000,0,-121000000,0,0,0,0,0,0,0,0,0,0,0,-296000000,-862000000,-871000000,9000000,-1152000000,468000000,-46000000,-1737000000,368000000,388000000,748000000,0,-163000000,0,FY2009.FQ3,3
27,0.16,2009-03-13,2009-01,31.2,752673000,-707000000,-1694000000,-1010000000,2650000000,0,-54000000,9000000,-34000000,-43000000,0,-1583000000,-1583000000,-120000000,43000000,0,0,0,0,0,0,0,0,0,0,-303000000,-707000000,-720000000,13000000,858000000,474000000,123000000,2347000000,609000000,586000000,-1344000000,0,-145000000,0,FY2009.FQ4,4
28,0.16,2009-06-05,2009-04,41.26,752280000,-534000000,-120000000,-372000000,999000000,0,507000000,0,0,0,0,-1000000,-1000000,-121000000,2000000,0,0,0,0,0,0,0,-13000000,-13000000,0,175000000,-534000000,-540000000,6000000,-412000000,472000000,69000000,-288000000,522000000,324000000,-284000000,0,160000000,24000000,FY2010.FQ1,1
29,0.16,2009-08-28,2009-07,43.62,751900000,-484000000,-866000000,-600000000,1052000000,0,-414000000,0,0,0,0,-753000000,-753000000,-120000000,7000000,0,0,0,0,0,0,0,0,0,0,-116000000,-484000000,-502000000,18000000,-417000000,478000000,-5000000,-535000000,594000000,378000000,124000000,0,-6000000,24000000,FY2010.FQ2,2
30,0.17,2009-12-04,2009-10,48.43,752200000,-397000000,-607000000,-462000000,976000000,0,-93000000,0,0,0,0,-501000000,-501000000,-128000000,22000000,0,0,0,0,0,0,0,0,0,0,-65000000,-397000000,-398000000,1000000,-735000000,537000000,387000000,-1854000000,436000000,327000000,1083000000,0,36000000,24000000,FY2010.FQ3,3
31,0.17,2010-03-12,2010-01,51.27,744600000,-281000000,-1249000000,-269000000,2854000000,0,1336000000,0,0,0,0,-715000000,-715000000,-127000000,-407000000,0,0,0,0,0,0,0,0,0,0,12000000,-281000000,-289000000,8000000,1082000000,536000000,-87000000,2203000000,936000000,356000000,-874000000,0,-247000000,31000000,FY2010.FQ4,4
32,0.17,2010-05-28,2010-04,56.87,738900000,-395000000,-1605000000,-175000000,1158000000,0,-622000000,0,-378000000,-378000000,0,-1170000000,-1170000000,-126000000,69000000,0,0,0,0,0,0,0,0,0,0,220000000,-395000000,-407000000,12000000,-241000000,516000000,109000000,-70000000,671000000,78000000,-372000000,0,201000000,25000000,FY2011.FQ1,1
33,0.17,2010-08-27,2010-07,51.32,722600000,-564000000,-158000000,-550000000,670000000,0,-38000000,0,-907000000,-907000000,997000000,828000000,-169000000,-126000000,47000000,0,0,0,0,0,0,0,0,0,0,14000000,-564000000,-584000000,20000000,-789000000,496000000,39000000,-479000000,679000000,218000000,-350000000,0,40000000,27000000,FY2011.FQ2,2
34,0.25,2011-11-23,2010-10,51.94,707900000,-612000000,-1037000000,-591000000,1024000000,0,-604000000,0,-770000000,-770000000,0,-111000000,-111000000,-180000000,24000000,0,0,0,0,0,0,0,0,0,0,21000000,-612000000,-616000000,4000000,-207000000,533000000,101000000,-1822000000,535000000,37000000,1615000000,0,0,25000000,FY2011.FQ3,3
35,0.25,2011-03-11,2011-01,54.83,704000000,-489000000,-1215000000,-428000000,2419000000,0,776000000,0,-397000000,-397000000,14000000,-795000000,-809000000,-177000000,154000000,0,0,0,0,0,0,0,0,0,0,61000000,-489000000,-522000000,33000000,567000000,539000000,196000000,1954000000,1035000000,50000000,-1068000000,0,-319000000,32000000,FY2011.FQ4,4
36,0.25,2011-05-26,2011-04,49.1,689000000,-631000000,-970000000,-370000000,1052000000,0,-288000000,0,-812000000,-812000000,0,0,0,-174000000,16000000,0,0,0,0,0,0,0,0,0,0,261000000,-631000000,-632000000,1000000,-301000000,512000000,100000000,-99000000,689000000,31000000,-351000000,0,149000000,21000000,FY2012.FQ1,1
37,0.25,2011-08-25,2011-07,51.49,675200000,-1746000000,-53000000,-1765000000,1284000000,0,-534000000,0,-681000000,-681000000,1000000000,762000000,-238000000,-172000000,38000000,0,0,0,0,0,0,0,0,0,0,-19000000,-1746000000,-1747000000,1000000,-33000000,510000000,22000000,-231000000,704000000,58000000,204000000,0,-6000000,23000000,FY2012.FQ2,2
38,0.3,2011-11-23,2011-10,54.75,671400000,-1366000000,787000000,-1469000000,639000000,0,-43000000,0,-200000000,-200000000,1211000000,1177000000,-34000000,-203000000,13000000,0,0,0,0,0,0,0,0,0,0,-103000000,-1366000000,-1371000000,5000000,-808000000,546000000,275000000,-1964000000,555000000,54000000,1179000000,0,-23000000,17000000,FY2012.FQ3,3
39,0.3,2012-03-15,2012-01,50.81,669300000,-588000000,-1904000000,-576000000,2459000000,0,-21000000,0,-149000000,-149000000,1283000000,-1570000000,-2853000000,-201000000,16000000,0,0,0,0,0,0,0,0,0,0,12000000,-588000000,-618000000,30000000,879000000,563000000,-26000000,1972000000,981000000,33000000,-786000000,0,-307000000,29000000,FY2012.FQ4,4
40,0.3,2012-05-23,2012-04,57.94,661000000,-828000000,-768000000,-659000000,1307000000,1000000,-119000000,0,-592000000,-592000000,950000000,-55000000,-1005000000,-201000000,80000000,0,0,0,0,0,0,0,0,0,0,169000000,-828000000,-829000000,1000000,-5000000,529000000,7000000,248000000,697000000,54000000,-395000000,0,142000000,25000000,FY2013.FQ1,1
41,0.3,2012-08-23,2012-07,60.65,653900000,-757000000,366000000,-768000000,1164000000,5000000,767000000,0,-538000000,-538000000,1021000000,1015000000,-6000000,-198000000,87000000,0,0,0,0,0,0,0,0,0,0,-11000000,-757000000,-774000000,17000000,-35000000,531000000,-99000000,-63000000,704000000,40000000,54000000,0,-26000000,23000000,FY2013.FQ2,2
42,0.36,2012-11-21,2012-10,63.75,654500000,-718000000,-253000000,-598000000,877000000,1000000,27000000,0,-100000000,-100000000,0,-13000000,-13000000,-236000000,96000000,0,0,0,0,0,0,0,0,0,0,120000000,-718000000,-735000000,17000000,-370000000,543000000,165000000,-1800000000,637000000,-124000000,1449000000,0,-19000000,26000000,FY2013.FQ3,3
43,0.36,2013-03-20,2013-01,60.41,645294000,23000000,-1833000000,-830000000,1977000000,1000000,-685000000,0,-645000000,-645000000,970000000,-1035000000,-2005000000,-234000000,81000000,0,0,0,0,0,0,0,0,0,0,-853000000,23000000,-8000000,31000000,391000000,441000000,-6000000,1775000000,1277000000,-154000000,-1070000000,0,-314000000,28000000,FY2013.FQ4,4
44,0.36,2013-05-30,2013-04,70.56,641253000,-882000000,-4449000000,2253000000,3230000000,1000000,1035000000,0,-540000000,-540000000,0,-3886000000,-3886000000,-232000000,209000000,0,0,0,-58000000,-58000000,0,0,0,0,0,3193000000,-882000000,-901000000,19000000,2130000000,536000000,-66000000,-175000000,498000000,103000000,-569000000,0,2874000000,29000000,FY2014.FQ1,1
45,0.36,2013-08-28,2013-07,71.25,630925000,-987000000,-699000000,-984000000,879000000,3000000,-801000000,0,-921000000,-921000000,0,299000000,299000000,-231000000,154000000,0,0,0,0,0,0,0,0,0,0,3000000,-987000000,-1016000000,29000000,-222000000,543000000,-70000000,-352000000,612000000,-10000000,144000000,0,-14000000,26000000,FY2014.FQ2,2
46,0.43,2013-11-27,2013-10,64.79,631760000,-897000000,2000000,-958000000,644000000,0,-312000000,0,0,0,270000000,241000000,-29000000,-271000000,32000000,0,0,0,-99000000,-99000000,0,0,0,0,0,38000000,-897000000,-922000000,25000000,-433000000,569000000,136000000,-1934000000,341000000,5000000,1501000000,0,0,26000000,FY2014.FQ3,3
47,0.43,2014-03-14,2014-01,56.64,632931000,947000000,-1218000000,-582000000,1767000000,22000000,-11000000,0,0,0,-107000000,-1007000000,-900000000,-272000000,61000000,0,0,0,0,0,0,0,0,0,0,-1529000000,947000000,950000000,-3000000,1049000000,348000000,58000000,1957000000,1243000000,-956000000,-908000000,0,0,25000000,FY2014.FQ4,4
48,0.43,2014-05-29,2014-04,61.75,633613000,-466000000,29000000,-538000000,520000000,9000000,20000000,0,0,0,306000000,275000000,-31000000,-272000000,26000000,0,0,0,0,0,0,0,0,0,0,-72000000,-466000000,-471000000,5000000,-237000000,511000000,-37000000,372000000,571000000,-308000000,-609000000,0,0,20000000,FY2015.FQ1,1
49,0.43,2014-08-27,2014-07,59.59,633645000,-371000000,-456000000,-444000000,994000000,-6000000,88000000,0,0,0,1796000000,-212000000,-2008000000,-273000000,29000000,0,0,0,0,0,0,0,0,0,0,-73000000,-371000000,-410000000,39000000,-32000000,538000000,-121000000,-502000000,391000000,198000000,470000000,0,0,20000000,FY2015.FQ2,2
50,0.52,2014-11-26,2014-10,61.82,634378000,-441000000,-123000000,-434000000,536000000,-2000000,-23000000,0,0,0,196000000,173000000,-23000000,-329000000,33000000,0,0,0,0,0,0,0,0,0,0,7000000,-441000000,-481000000,40000000,-305000000,535000000,-55000000,-2056000000,527000000,-187000000,1751000000,0,0,21000000,FY2015.FQ3,3
51,0.52,2015-03-13,2015-01,73.61,640214000,-413000000,-474000000,-510000000,2415000000,-1000000,1430000000,0,0,0,0,-402000000,-402000000,-331000000,259000000,0,0,0,0,0,0,0,0,0,0,-97000000,-413000000,-424000000,11000000,750000000,545000000,220000000,1674000000,960000000,-70000000,-924000000,0,0,10000000,FY2015.FQ4,4
52,0.52,2015-05-28,2015-04,78.83,638409000,-346000000,-747000000,-306000000,1611000000,0,558000000,0,-606000000,-606000000,0,-14000000,-14000000,-333000000,206000000,0,0,0,0,0,0,0,0,0,0,40000000,-346000000,-352000000,6000000,-439000000,540000000,18000000,180000000,651000000,815000000,-619000000,0,0,26000000,FY2016.FQ1,1
53,0.52,2015-08-25,2015-07,81.85,630446000,-351000000,-952000000,-326000000,1252000000,0,-26000000,0,-645000000,-645000000,0,-40000000,-40000000,-332000000,65000000,0,0,0,0,0,0,0,0,0,0,25000000,-351000000,-358000000,7000000,-70000000,550000000,-63000000,-162000000,773000000,34000000,92000000,0,0,28000000,FY2016.FQ2,2
54,0.56,2015-11-25,2015-10,77.18,618604000,-411000000,-1304000000,-437000000,976000000,0,-765000000,0,-945000000,-945000000,0,-18000000,-18000000,-352000000,11000000,0,0,0,0,0,0,0,0,0,0,-26000000,-411000000,-419000000,8000000,-17000000,561000000,-66000000,-2114000000,476000000,-8000000,2097000000,0,0,30000000,FY2016.FQ3,3
55,0.56,2016-03-11,2016-01,72.42,602227000,-302000000,-1627000000,1577000000,2119000000,0,2069000000,0,-1287000000,-1287000000,0,-13000000,-13000000,-345000000,18000000,0,0,0,0,0,0,0,0,0,0,1879000000,-302000000,-309000000,7000000,1016000000,562000000,-211000000,1780000000,1421000000,-700000000,-764000000,0,0,31000000,FY2016.FQ4,4
56,0.56,2016-05-25,2016-04,79.5,593584000,-282000000,22000000,-279000000,247000000,0,-10000000,0,-898000000,-898000000,1979000000,1116000000,-863000000,-336000000,140000000,0,0,0,0,0,0,0,0,0,0,3000000,-282000000,-285000000,3000000,-1186000000,546000000,12000000,142000000,614000000,226000000,-1328000000,0,0,35000000,FY2017.FQ1,1
57,0.56,2016-08-24,2016-07,75.33,574801000,-388000000,-3407000000,-390000000,1241000000,0,-2556000000,0,-1340000000,-1340000000,0,-1748000000,-1748000000,-330000000,11000000,0,0,0,0,0,0,0,0,0,0,-2000000,-388000000,-399000000,11000000,-157000000,570000000,-91000000,-171000000,625000000,262000000,14000000,0,0,32000000,FY2017.FQ2,2
58,0.6,2016-11-23,2016-10,68.73,563677000,-491000000,-1173000000,-469000000,1393000000,0,-249000000,0,-916000000,-916000000,87000000,73000000,-14000000,-345000000,15000000,0,0,0,0,0,0,0,0,0,0,22000000,-491000000,-500000000,9000000,-5000000,570000000,162000000,-1426000000,608000000,40000000,1421000000,0,0,18000000,FY2017.FQ3,3
59,0.6,2017-03-08,2017-01,64.48,556156000,-340000000,-947000000,-335000000,2563000000,0,1281000000,0,-552000000,-552000000,0,-113000000,-113000000,-337000000,55000000,0,0,0,0,0,0,0,0,0,0,5000000,-340000000,-363000000,23000000,1137000000,632000000,-43000000,1748000000,819000000,-10000000,-611000000,0,0,28000000,FY2017.FQ4,4
60,0.6,2017-05-22,2017-04,55.85,551658000,-473000000,-655000000,-482000000,1305000000,0,168000000,0,-317000000,-317000000,0,-10000000,-10000000,-332000000,4000000,0,0,0,0,0,0,0,0,0,0,-9000000,-473000000,-486000000,13000000,2000000,581000000,2000000,323000000,675000000,29000000,-321000000,0,0,16000000,FY2018.FQ1,1
61,0.6,2017-08-21,2017-07,56.67,546183000,-708000000,-1231000000,-779000000,1621000000,0,-389000000,0,-298000000,-298000000,0,-607000000,-607000000,-331000000,5000000,0,0,0,0,0,0,0,0,0,0,-71000000,-708000000,-717000000,9000000,309000000,585000000,-92000000,-271000000,670000000,122000000,580000000,0,0,27000000,FY2018.FQ2,2
