,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_quarter_key,fiscal_quarter_number
0,0.06,2002-06-12,2002-04,43.65,907240000,3.074,3.0286,8194000000,8.9581,0.1875,0.2125,0.0,-2.9872,1.4881,0.4094,0.3598,1.2586,1.1061,0.0183,0.0909,980000000,0.2694,0.1021,1.0713,48099026000,5.87,32.9671,-33.2175,20.4328,1.1703,5.87,0.0427,0.3571,0.3253,-1319000000,0.0,-0.3059,-0.1374,-0.0228,-1.442,0.341,0.3197,0.2016,0.3794,39601026000,9868000000,0.3582,0.0359,518250000,0.3391,0.0626,0.7554,0.072,0.1578,6.3476,0.1573,0.356,0.6078,0.0579,0.0504,4.8329,27.1425,-27.3487,16.8228,0.9635,4.8329,0.0192,0.1496,10.4886,0.0591,0.0642,0.1514,0.1817,0.1971,0.0825,0.12665024611553,0.0847,0.0951,0.1514,0.0068,4452000.0,0.0049,8.9581,8194000000,0.0363,0.2362,0.0405,0.215,FY2003.FQ1,1
1,0.06,2002-09-13,2002-07,33.35,908400000,3.2005,3.0544,8517000000,9.3285,-0.0719,1.1992,-0.045,0.1696,1.5023,0.4152,0.3676,1.3288,1.1367,0.0183,0.0,1008000000,0.249,0.1001,1.104,38275140000,4.4939,24.9837,-28.8433,15.4709,0.9067,4.4939,-0.0327,0.2666,0.3124,418000000,-0.12,0.4074,0.0415,-0.0228,0.4578,0.3404,0.3215,0.2019,0.3846,30295140000,9563000000,0.2693,0.0341,534750000,0.301,0.0626,0.7809,0.0708,0.1578,-6.043,0.1488,0.2733,0.6122,0.0555,0.0504,3.557,19.7748,-22.8297,12.2454,0.7176,3.557,-0.0081,0.1246,11.0273,0.0584,0.0632,0.1482,0.1833,0.1907,0.0799,0.12665024611553,0.0847,0.0915,0.1482,0.0045,1160000.0,0.0012,9.3285,8517000000,0.0474,0.283,0.038,0.217,FY2003.FQ2,2
2,0.06,2002-12-10,2002-10,30.12,908772000,3.2748,3.0735,8756000000,9.5798,-0.1043,0.9669,0.0,-4.1553,1.5331,0.4161,0.373,1.3628,1.1709,0.0183,0.0,898000000,0.281,0.088,0.9824,37097212640,4.2367,22.8431,-20.1505,14.1376,0.8612,4.2367,0.0144,0.5,0.3053,-1441000000,0.0,-0.5544,-0.1413,-0.0411,-1.5765,0.3392,0.3215,0.1549,0.3816,27372212640,11099000000,0.4972,0.0271,444750000,0.4119,0.0623,0.6487,0.0581,0.2,11.6942,0.1377,0.5033,0.4901,0.0439,0.0498,3.1261,16.8548,-14.8681,10.4314,0.6354,3.1261,0.0278,0.0924,11.1531,0.058,0.0606,0.1486,0.188,0.1881,0.0801,0.12665024611553,0.0856,0.0859,0.1486,0.0062,372000.0,0.0004,9.5798,8756000000,0.051,0.2017,0.039,0.2232,FY2003.FQ3,3
3,0.06,2003-04-14,2003-01,28.21,909800000,3.029,3.0735,9443000000,10.3145,0.1381,0.519,0.1561,1.5949,1.5864,0.3902,0.3819,1.1819,1.1898,0.0183,0.0,892000000,-0.3968,0.118,0.9743,35093458000,3.7163,21.6225,155.9709,15.7581,0.938,3.7163,0.099,-0.0123,0.3301,2567000000,0.3366,4.1237,0.3398,-0.033,2.8039,0.2321,0.3197,-0.572,0.3825,25665458000,10403000000,-0.0015,0.0869,610500000,-0.3193,0.0663,0.8891,0.1077,0.0833,1.5965,0.131,-0.3741,0.7252,0.0879,0.0523,2.7179,15.8135,114.0687,11.5246,0.686,2.7179,-0.0087,-0.4285,8.2512,0.0566,0.0587,0.1278,0.1783,0.1856,0.0786,0.12665024611553,0.0817,0.0821,0.1278,0.014,1028000.0,0.0011,10.3145,9443000000,0.0477,0.1841,0.0468,0.2013,FY2003.FQ4,4
4,0.06,2003-06-04,2003-04,33.44,910756000,2.9889,3.0544,9760000000,10.6655,0.0548,0.0157,0.0,0.6086,1.7632,0.4055,0.3926,1.2121,1.197,0.0087,0.0,1022000000,0.0428,0.099,1.1168,41121680640,4.2132,25.2745,63.8535,18.4071,1.0782,4.2132,0.047,0.0,0.3345,-900000000,0.0,0.3176,-0.0871,-0.027,-0.9834,0.3447,0.3235,0.0874,0.3801,30455680640,11379000000,0.0115,0.0338,528750000,0.0202,0.0695,0.7704,0.0683,0.1578,3.9805,0.1243,0.0125,0.6152,0.0545,0.055,3.1204,18.7189,47.2914,13.6328,0.7985,3.1204,0.0186,0.0758,11.2796,0.0563,0.0582,0.1251,0.1694,0.1827,0.0771,0.12665024611553,0.0793,0.0814,0.1251,0.0004,956000.0,0.001,10.6655,9760000000,0.0404,0.1581,0.0508,0.1911,FY2004.FQ1,1
5,0.06,2003-09-10,2003-07,38.32,910938000,2.9504,3.0544,10044000000,10.9399,0.0322,-0.7555,-0.0688,-0.4182,1.72,0.4,0.3975,1.1803,1.197,0.0087,0.0,903000000,-0.1041,0.0941,0.9835,45566144160,4.5366,27.7673,268.0361,20.6555,1.2098,4.5366,-0.0421,0.0263,0.3389,-56000000,0.0,-1.1339,-0.0058,-0.0465,-0.0609,0.3277,0.327,-0.0828,0.3804,34907144160,11426000000,0.0406,0.0373,513750000,-0.0392,0.0695,0.7461,0.0713,0.1538,-5.045,0.1276,-0.05,0.5783,0.0553,0.0549,3.4754,21.2718,205.3361,15.8237,0.9268,3.4754,-0.0247,-0.047,10.4498,0.0558,0.0575,0.1202,0.1657,0.1819,0.0754,0.12665024611553,0.077,0.0805,0.1202,0.0055,182000.0,0.0001,10.9399,10044000000,0.0427,0.0871,0.0441,0.1792,FY2004.FQ2,2
6,0.07,2003-12-09,2003-10,39.74,911462000,3.0612,3.0671,10265000000,11.1819,0.0219,-0.4064,0.0,1.7476,1.5453,0.397,0.3985,1.2155,1.2138,0.0244,0.1666,1004000000,0.118,0.1021,1.0936,46729499880,4.5523,28.0489,41.7974,21.3376,1.2529,4.5523,0.0165,0.1,0.3266,-493000000,0.0,0.6578,-0.0501,-0.028,-0.537,0.324,0.3258,-0.0792,0.3726,36221499880,11983000000,0.0902,0.0307,422250000,-0.0505,0.0695,0.6132,0.0572,0.2121,13.1242,0.1176,-0.0357,0.4705,0.0439,0.0549,3.5286,21.7415,32.3984,16.5394,0.9711,3.5286,0.0164,-0.036,10.7047,0.0545,0.0568,0.1159,0.164,0.18,0.0746,0.12665024611553,0.0762,0.08,0.1159,0.0043,524000.0,0.0005,11.1819,10265000000,0.0442,0.0958,0.0429,0.1723,FY2004.FQ3,3
7,0.07,2004-04-05,2004-01,37.96,911808000,2.8221,3.0671,11132000000,8.1849,0.4031,-0.0659,0.1005,-0.1682,1.5578,0.3507,0.3985,0.9897,1.2138,0.0244,0.0,1375000000,0.5414,0.1005,1.0109,44059231680,3.9578,24.3555,52.8288,16.6261,1.0147,3.9578,0.0681,-0.1944,0.3543,2283000000,0.2262,-0.1106,0.1669,-0.028,1.6785,0.3171,0.3258,1.4726,0.3781,34612231680,10310000000,0.2176,0.0584,939750000,0.5393,0.0711,0.9212,0.0916,0.1206,2.8076,-0.01,0.6927,0.8264,0.0821,0.0554,3.1092,19.1333,41.5014,13.0612,0.7971,3.1092,0.0432,0.8104,10.0554,0.0575,0.0568,0.1328,0.169,0.1783,0.0805,0.12665024611553,0.0828,0.08,0.1328,0.4855,346000.0,0.0003,8.1849,11132000000,0.0398,0.0983,0.0475,0.1788,FY2004.FQ4,4
8,0.07,2004-06-02,2004-04,43.37,913400000,2.715,3.0451,11463000000,12.4408,0.0366,0.3761,0.0,3.3959,1.5027,0.3517,0.3985,0.955,1.197,0.0244,0.0,1065000000,0.042,0.1046,1.1558,48578158000,4.2378,25.6755,28.7444,17.8793,1.1224,4.2378,0.0891,0.2368,0.3683,-44000000,0.0,0.9511,-0.0043,-0.005,-0.0477,0.335,0.3313,-0.0413,0.3777,39614158000,10326000000,0.2378,0.0424,579750000,0.0964,0.0717,0.8389,0.0759,0.1489,2.3473,0.1045,0.119,0.6837,0.0618,0.0567,3.4558,20.9377,23.4403,14.5801,0.9153,3.4558,0.0087,-0.0137,11.0484,0.0605,0.0572,0.1358,0.1674,0.1739,0.0849,0.12665024611553,0.0875,0.08,0.1358,0.0068,1592000.0,0.0017,12.4408,11463000000,0.0269,0.0668,0.0482,0.1744,FY2005.FQ1,1
9,0.07,2004-09-03,2004-07,43.6,903335000,2.5307,3.0089,12366000000,13.453,-0.008,3.0442,-0.0779,-0.2118,1.6395,0.3087,0.3985,0.7814,1.197,0.0244,0.0,1085000000,0.2015,0.1027,1.1803,46707406000,3.777,15.8652,30.3886,16.8923,1.0557,3.777,0.0769,2.923,0.3951,-209000000,0.0,-2.7321,-0.0197,-0.0128,-0.2273,0.3196,0.3313,0.0731,0.3782,39385406000,7928000000,2.9385,0.1335,589500000,0.1474,0.0717,0.855,0.0744,0.0457,1.7385,-0.0138,0.0903,0.6298,0.0548,0.0554,3.1849,13.3781,25.6248,14.2442,0.8902,3.1849,-0.0222,0.1002,11.4838,0.0943,0.0578,0.14,0.247,0.1739,0.1324,0.12665024611553,0.1399,0.08,0.14,0.0011,-10065000.0,-0.011,13.453,12366000000,0.0262,0.056,0.0463,0.2311,FY2005.FQ2,2
