,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,da_income_statement_supplemental,eps_basic,eps_diluted,gross_profit,income_allocated_to_minority_interest,income_tax,interest_expense,interest_income,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income_normal,operating_income,other_income_statement_items,other_nonoperating_income,other_opex,preferred_dividends,pretax_income,revenue,rnd,sga,shares_basic,shares_diluted,special_charges,total_opex,fiscal_quarter_key,fiscal_quarter_number
0,0.06,2002-06-12,2002-04,43.65,907240000,6322000000,289000000,0.38,0.38,3272000000,0,-211000000,0,0,345000000,345000000,345000000,0,0,691000000,0,-135000000,289000000,0,556000000,9594000000,0,2292000000,906400000,914700000,0,2581000000,FY2003.FQ1,1
1,0.06,2002-09-13,2002-07,33.35,908400000,6640000000,295000000,0.38,0.38,3428000000,0,-215000000,0,0,344000000,344000000,344000000,0,0,713000000,0,-154000000,295000000,0,559000000,10068000000,0,2420000000,907900000,913000000,0,2715000000,FY2003.FQ2,2
2,0.06,2002-12-10,2002-10,30.12,908772000,6736000000,305000000,0.31,0.3,3458000000,0,-171000000,0,0,277000000,277000000,277000000,0,0,593000000,0,-145000000,305000000,0,448000000,10194000000,0,2560000000,908500000,914000000,0,2865000000,FY2003.FQ3,3
3,0.06,2003-04-14,2003-01,28.21,909800000,5800000000,78000000,0.73,0.72,1754000000,0,-254000000,0,0,657000000,657000000,410000000,0,0,814000000,247000000,-150000000,78000000,0,664000000,7554000000,0,862000000,909200000,915500000,0,940000000,FY2003.FQ4,4
4,0.06,2003-06-04,2003-04,33.44,910756000,6764000000,317000000,0.38,0.38,3558000000,0,-214000000,0,0,349000000,349000000,349000000,0,0,705000000,0,-142000000,317000000,0,563000000,10322000000,0,2536000000,910300000,915100000,0,2853000000,FY2004.FQ1,1
5,0.06,2003-09-10,2003-07,38.32,910938000,6450000000,218000000,0.39,0.39,3144000000,0,-202000000,0,0,358000000,358000000,329000000,29000000,0,685000000,0,-154000000,274000000,0,531000000,9594000000,0,2185000000,910800000,918100000,0,2459000000,FY2004.FQ2,2
6,0.07,2003-12-09,2003-10,39.74,911462000,6643000000,441000000,0.33,0.33,3184000000,0,-161000000,0,0,302000000,302000000,271000000,31000000,0,563000000,0,-131000000,277000000,0,432000000,9827000000,0,2344000000,911300000,918000000,0,2621000000,FY2004.FQ3,3
7,0.07,2004-04-05,2004-01,37.96,911808000,9339000000,122000000,0.58,0.58,4337000000,0,-425000000,0,0,800000000,800000000,699000000,101000000,0,1253000000,0,-129000000,286000000,0,1124000000,13676000000,0,2798000000,1332769000,1360064000,0,3084000000,FY2004.FQ4,4
8,0.07,2004-06-02,2004-04,43.37,913400000,6769000000,292000000,0.47,0.47,3411000000,0,-238000000,0,0,432000000,432000000,392000000,40000000,0,773000000,0,-143000000,292000000,0,630000000,10180000000,0,2346000000,912600000,921400000,0,2638000000,FY2005.FQ1,1
9,0.07,2004-09-03,2004-07,43.6,903335000,7182000000,299000000,1.55,1.53,3374000000,0,-219000000,0,0,1410000000,1410000000,360000000,1050000000,0,786000000,0,-207000000,299000000,0,579000000,10556000000,0,2289000000,911500000,919200000,0,2588000000,FY2005.FQ2,2
10,0.08,2004-12-03,2004-10,50.02,895426000,7319000000,324000000,0.59,0.59,3590000000,0,-196000000,0,0,531000000,531000000,324000000,207000000,0,633000000,0,-113000000,324000000,0,520000000,10909000000,0,2633000000,896000000,905000000,0,2957000000,FY2005.FQ3,3
11,0.08,2005-04-11,2005-01,50.77,885553000,10348000000,344000000,0.92,0.92,4846000000,0,-493000000,0,0,825000000,825000000,779000000,16000000,0,1409000000,30000000,-137000000,344000000,0,1272000000,15194000000,0,3093000000,895100000,902800000,0,3437000000,FY2005.FQ4,4
12,0.08,2005-06-03,2005-04,46.41,883371000,7556000000,340000000,0.56,0.55,3921000000,0,-302000000,0,0,494000000,494000000,494000000,0,0,907000000,0,-111000000,340000000,0,796000000,11477000000,0,2674000000,887000000,893500000,0,3014000000,FY2006.FQ1,1
13,0.08,2005-09-02,2005-07,58.75,884664000,8015000000,346000000,0.61,0.61,3975000000,0,-329000000,0,0,540000000,540000000,540000000,0,0,979000000,0,-110000000,346000000,0,869000000,11990000000,0,2650000000,883300000,891200000,0,2996000000,FY2006.FQ2,2
14,0.1,2005-12-02,2005-10,55.69,879184000,8235000000,354000000,0.49,0.49,3971000000,0,-278000000,0,0,435000000,435000000,435000000,0,0,831000000,0,-118000000,354000000,0,713000000,12206000000,0,2786000000,881200000,887000000,0,3140000000,FY2006.FQ3,3
15,0.1,2006-04-10,2006-01,54.75,874075000,11718000000,369000000,1.07,1.06,5229000000,0,-543000000,0,0,939000000,939000000,939000000,0,0,1606000000,0,-124000000,369000000,0,1482000000,16947000000,0,3254000000,876600000,885000000,0,3623000000,FY2006.FQ4,4
16,0.1,2006-06-02,2006-04,53.1,868300000,8633000000,334000000,0.64,0.63,4230000000,0,-332000000,0,0,554000000,554000000,554000000,0,0,1017000000,0,-131000000,334000000,0,886000000,12863000000,0,2879000000,870700000,877600000,0,3213000000,FY2007.FQ1,1
17,0.1,2006-09-01,2006-07,45.92,857800000,8856000000,370000000,0.71,0.7,4491000000,0,-385000000,0,0,609000000,609000000,609000000,0,0,1134000000,0,-140000000,370000000,0,994000000,13347000000,0,2987000000,860800000,867200000,0,3357000000,FY2007.FQ2,2
18,0.12,2006-12-01,2006-10,59.18,858900000,9073000000,390000000,0.59,0.59,4497000000,0,-302000000,0,0,506000000,506000000,506000000,0,0,957000000,0,-149000000,389000000,0,808000000,13570000000,0,3151000000,857800000,864400000,0,3540000000,FY2007.FQ3,3
19,0.12,2007-03-15,2007-01,61.36,859771000,13544000000,402000000,1.3,1.29,6166000000,0,-691000000,0,0,1119000000,1119000000,1119000000,0,0,1961000000,0,-151000000,402000000,0,1810000000,19710000000,0,3803000000,858300000,865300000,0,4205000000,FY2007.FQ4,4
20,0.12,2007-06-01,2007-04,59.37,851489000,9356000000,392000000,0.76,0.75,4685000000,0,-413000000,0,0,651000000,651000000,651000000,0,0,1200000000,0,-136000000,392000000,0,1064000000,14041000000,0,3093000000,855900000,862800000,0,3485000000,FY2008.FQ1,1
21,0.12,2007-08-31,2007-07,60.57,847800000,9696000000,404000000,0.81,0.8,4924000000,0,-427000000,0,0,686000000,686000000,686000000,0,0,1267000000,0,-154000000,404000000,0,1113000000,14620000000,0,3253000000,850800000,857400000,0,3657000000,FY2008.FQ2,2
22,0.14,2007-11-30,2007-10,61.36,845000000,9993000000,429000000,0.57,0.56,4842000000,0,-298000000,0,0,483000000,483000000,483000000,0,0,958000000,0,-177000000,429000000,0,781000000,14835000000,0,3455000000,845600000,851000000,0,3884000000,FY2008.FQ3,3
23,0.14,2008-03-13,2008-01,55.42,818738000,13762000000,434000000,1.23,1.22,6109000000,0,-638000000,0,0,1028000000,1028000000,1028000000,0,0,1846000000,0,-180000000,434000000,0,1666000000,19871000000,0,3829000000,829200000,834300000,0,4263000000,FY2008.FQ4,4
24,0.14,2008-06-02,2008-04,53.13,788600000,9898000000,435000000,0.75,0.74,4904000000,0,-355000000,0,0,602000000,602000000,602000000,0,0,1158000000,0,-201000000,435000000,0,957000000,14802000000,0,3311000000,805500000,809600000,0,3746000000,FY2009.FQ1,1
25,0.14,2008-08-29,2008-07,45.23,755000000,10304000000,449000000,0.82,0.82,5168000000,0,-369000000,0,0,634000000,634000000,634000000,0,0,1220000000,0,-217000000,448000000,0,1003000000,15472000000,0,3500000000,770300000,773900000,0,3948000000,FY2009.FQ2,2
26,0.16,2008-12-05,2008-10,40.12,752780000,10130000000,468000000,0.49,0.49,4984000000,0,-264000000,0,0,369000000,369000000,369000000,0,0,867000000,0,-234000000,469000000,0,633000000,15114000000,0,3648000000,753500000,756600000,0,4117000000,FY2009.FQ3,3
27,0.16,2009-03-13,2009-01,31.2,752673000,15434000000,474000000,0.8,0.8,4126000000,0,-334000000,0,0,609000000,609000000,609000000,0,0,1157000000,0,-214000000,474000000,0,943000000,19560000000,0,2495000000,752400000,754100000,0,2969000000,FY2009.FQ4,4
28,0.16,2009-06-05,2009-04,41.26,752280000,10320000000,472000000,0.69,0.69,4513000000,0,-302000000,-203000000,1000000,522000000,522000000,522000000,0,-202000000,1026000000,0,0,472000000,0,824000000,14833000000,0,3015000000,752200000,753000000,0,3487000000,FY2010.FQ1,1
29,0.16,2009-08-28,2009-07,43.62,751900000,10302000000,478000000,0.79,0.79,4765000000,0,-363000000,-195000000,1000000,594000000,594000000,594000000,0,-194000000,1151000000,0,0,478000000,0,957000000,15067000000,0,3136000000,752000000,754400000,0,3614000000,FY2010.FQ2,2
30,0.17,2009-12-04,2009-10,48.43,752200000,10610000000,537000000,0.58,0.58,4666000000,0,-247000000,-191000000,0,436000000,436000000,436000000,0,-191000000,874000000,0,0,537000000,0,683000000,15276000000,0,3255000000,751800000,755700000,0,3792000000,FY2010.FQ3,3
31,0.17,2010-03-12,2010-01,51.27,744600000,14350000000,536000000,1.25,1.24,5831000000,0,-473000000,-216000000,0,936000000,936000000,936000000,0,-216000000,1622000000,0,3000000,536000000,0,1409000000,20181000000,0,3673000000,752000000,756300000,0,4209000000,FY2010.FQ4,4
32,0.17,2010-05-28,2010-04,56.87,738900000,10692000000,516000000,0.91,0.9,4901000000,0,-384000000,-188000000,1000000,671000000,671000000,671000000,0,-187000000,1242000000,0,0,516000000,0,1055000000,15593000000,0,3143000000,739900000,745700000,0,3659000000,FY2011.FQ1,1
33,0.17,2010-08-27,2010-07,51.32,722600000,10507000000,496000000,0.93,0.92,5025000000,0,-402000000,-186000000,1000000,679000000,679000000,679000000,0,-185000000,1266000000,0,0,496000000,0,1081000000,15532000000,0,3263000000,731100000,736600000,0,3759000000,FY2011.FQ2,2
34,0.25,2011-11-23,2010-10,51.94,707900000,10760000000,533000000,0.75,0.74,4845000000,0,-238000000,-195000000,1000000,535000000,535000000,535000000,0,-194000000,967000000,0,0,533000000,0,773000000,15605000000,0,3345000000,715400000,721000000,0,3878000000,FY2011.FQ3,3
35,0.25,2011-03-11,2011-01,54.83,704000000,14625000000,539000000,1.44,1.43,6036000000,0,-552000000,-191000000,1000000,1035000000,1035000000,1035000000,0,-190000000,1777000000,0,0,539000000,0,1587000000,20661000000,0,3720000000,708000000,714400000,0,4259000000,FY2011.FQ4,4
36,0.25,2011-05-26,2011-04,49.1,689000000,10926000000,512000000,0.99,0.99,5009000000,0,-392000000,-183000000,0,689000000,689000000,689000000,0,-183000000,1264000000,0,0,512000000,0,1081000000,15935000000,0,3233000000,693000000,697000000,0,3745000000,FY2012.FQ1,1
37,0.25,2011-08-25,2011-07,51.49,675200000,10958000000,510000000,1.03,1.03,5282000000,0,-405000000,-191000000,0,704000000,704000000,704000000,0,-191000000,1300000000,0,0,509000000,0,1109000000,16240000000,0,3473000000,680800000,685100000,0,3982000000,FY2012.FQ2,2
38,0.3,2011-11-23,2011-10,54.75,671400000,11274000000,546000000,0.82,0.82,5128000000,0,-302000000,-200000000,0,555000000,555000000,555000000,0,-200000000,1057000000,0,0,546000000,0,857000000,16402000000,0,3525000000,673200000,678300000,0,4071000000,FY2012.FQ3,3
39,0.3,2012-03-15,2012-01,50.81,669300000,15149000000,563000000,1.46,1.44,6139000000,0,-427000000,-292000000,0,981000000,981000000,981000000,0,-292000000,1700000000,0,0,563000000,0,1408000000,21288000000,0,3876000000,669800000,674900000,0,4439000000,FY2012.FQ4,4
40,0.3,2012-05-23,2012-04,57.94,661000000,11661000000,529000000,1.05,1.04,5206000000,0,-404000000,-184000000,0,697000000,697000000,697000000,0,-184000000,1285000000,0,0,529000000,0,1101000000,16867000000,0,3392000000,666300000,672400000,0,3921000000,FY2013.FQ1,1
41,0.3,2012-08-23,2012-07,60.65,653900000,11405000000,531000000,1.07,1.06,5374000000,0,-367000000,-184000000,0,704000000,704000000,704000000,0,-184000000,1255000000,0,0,531000000,0,1071000000,16779000000,0,3588000000,656700000,662900000,0,4119000000,FY2013.FQ2,2
42,0.36,2012-11-21,2012-10,63.75,654500000,11675000000,543000000,0.97,0.96,5254000000,0,-335000000,-192000000,0,637000000,637000000,637000000,0,-192000000,1008000000,0,156000000,542000000,0,972000000,16929000000,0,3704000000,654800000,662200000,0,4246000000,FY2013.FQ3,3
43,0.36,2013-03-20,2013-01,60.41,645294000,16296000000,441000000,1.48,1.47,6430000000,0,-634000000,-126000000,0,961000000,961000000,1277000000,0,-126000000,2032000000,-316000000,5000000,441000000,0,1911000000,22726000000,0,3957000000,648900000,655800000,0,4398000000,FY2013.FQ4,4
44,0.36,2013-05-30,2013-04,70.56,641253000,11563000000,536000000,0.78,0.77,5143000000,0,-281000000,-629000000,0,498000000,498000000,498000000,0,-629000000,1017000000,0,391000000,536000000,0,779000000,16706000000,0,3590000000,642100000,649500000,0,4126000000,FY2014.FQ1,1
45,0.36,2013-08-28,2013-07,71.25,630925000,11745000000,543000000,0.96,0.95,5372000000,0,-350000000,-171000000,0,611000000,611000000,611000000,0,-171000000,1132000000,0,0,542000000,0,961000000,17117000000,0,3698000000,634800000,642000000,0,4240000000,FY2014.FQ2,2
46,0.43,2013-11-27,2013-10,64.79,631760000,12133000000,569000000,0.54,0.54,5125000000,0,-197000000,-165000000,0,341000000,341000000,341000000,0,-165000000,703000000,0,0,569000000,0,538000000,17258000000,0,3853000000,631300000,637400000,0,4422000000,FY2014.FQ3,3
47,0.43,2014-03-14,2014-01,56.64,632931000,14598000000,348000000,0.82,0.81,5600000000,0,-600000000,-84000000,0,520000000,520000000,1243000000,0,-84000000,1927000000,-723000000,0,348000000,0,1843000000,20198000000,0,3325000000,632400000,638200000,0,3673000000,FY2014.FQ4,4
48,0.43,2014-05-29,2014-04,61.75,633613000,11748000000,511000000,0.66,0.66,4909000000,0,-299000000,-152000000,0,418000000,418000000,571000000,-153000000,-152000000,1022000000,0,0,511000000,0,870000000,16657000000,0,3376000000,633300000,638200000,0,3887000000,FY2015.FQ1,1
49,0.43,2014-08-27,2014-07,59.59,633645000,11798000000,538000000,0.37,0.37,5159000000,0,-199000000,-433000000,0,234000000,234000000,391000000,-157000000,-433000000,1023000000,0,0,537000000,0,590000000,16957000000,0,3599000000,633500000,638400000,0,4136000000,FY2015.FQ2,2
50,0.52,2014-11-26,2014-10,61.82,634378000,12171000000,535000000,0.55,0.55,5083000000,0,-232000000,-146000000,0,352000000,352000000,526000000,-174000000,-146000000,904000000,0,0,535000000,0,758000000,17254000000,0,3644000000,634000000,639600000,0,4179000000,FY2015.FQ3,3
51,0.52,2015-03-13,2015-01,73.61,640214000,15562000000,545000000,-4.14,-4.14,6188000000,0,-474000000,-152000000,0,-2640000000,-2640000000,960000000,-3600000000,-152000000,1586000000,0,0,545000000,0,1434000000,21750000000,0,4057000000,638000000,644300000,0,4602000000,FY2015.FQ4,4
52,0.52,2015-05-28,2015-04,78.83,638409000,11911000000,540000000,0.99,0.98,5208000000,0,-348000000,-155000000,0,635000000,635000000,651000000,-16000000,-155000000,1154000000,0,0,540000000,0,999000000,17119000000,0,3514000000,640900000,646400000,0,4054000000,FY2016.FQ1,1
