,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_quarter_key,fiscal_quarter_number
0,0.06,2002-06-12,2002-04,43.65,907240000,FY2003.FQ1,1
1,0.06,2002-09-13,2002-07,33.35,908400000,FY2003.FQ2,2
2,0.06,2002-12-10,2002-10,30.12,908772000,FY2003.FQ3,3
3,0.06,2003-04-14,2003-01,28.21,909800000,FY2003.FQ4,4
4,0.06,2003-06-04,2003-04,33.44,910756000,FY2004.FQ1,1
5,0.06,2003-09-10,2003-07,38.32,910938000,FY2004.FQ2,2
6,0.07,2003-12-09,2003-10,39.74,911462000,FY2004.FQ3,3
7,0.07,2004-04-05,2004-01,37.96,911808000,FY2004.FQ4,4
8,0.07,2004-06-02,2004-04,43.37,913400000,FY2005.FQ1,1
9,0.07,2004-09-03,2004-07,43.6,903335000,FY2005.FQ2,2
10,0.08,2004-12-03,2004-10,50.02,895426000,FY2005.FQ3,3
11,0.08,2005-04-11,2005-01,50.77,885553000,FY2005.FQ4,4
12,0.08,2005-06-03,2005-04,46.41,883371000,FY2006.FQ1,1
13,0.08,2005-09-02,2005-07,58.75,884664000,FY2006.FQ2,2
14,0.1,2005-12-02,2005-10,55.69,879184000,FY2006.FQ3,3
15,0.1,2006-04-10,2006-01,54.75,874075000,FY2006.FQ4,4
16,0.1,2006-06-02,2006-04,53.1,868300000,FY2007.FQ1,1
17,0.1,2006-09-01,2006-07,45.92,857800000,FY2007.FQ2,2
18,0.12,2006-12-01,2006-10,59.18,858900000,FY2007.FQ3,3
19,0.12,2007-03-15,2007-01,61.36,859771000,FY2007.FQ4,4
20,0.12,2007-06-01,2007-04,59.37,851489000,FY2008.FQ1,1
21,0.12,2007-08-31,2007-07,60.57,847800000,FY2008.FQ2,2
22,0.14,2007-11-30,2007-10,61.36,845000000,FY2008.FQ3,3
23,0.14,2008-03-13,2008-01,55.42,818738000,FY2008.FQ4,4
24,0.14,2008-06-02,2008-04,53.13,788600000,FY2009.FQ1,1
25,0.14,2008-08-29,2008-07,45.23,755000000,FY2009.FQ2,2
26,0.16,2008-12-05,2008-10,40.12,752780000,FY2009.FQ3,3
27,0.16,2009-03-13,2009-01,31.2,752673000,FY2009.FQ4,4
28,0.16,2009-06-05,2009-04,41.26,752280000,FY2010.FQ1,1
29,0.16,2009-08-28,2009-07,43.62,751900000,FY2010.FQ2,2
30,0.17,2009-12-04,2009-10,48.43,752200000,FY2010.FQ3,3
31,0.17,2010-03-12,2010-01,51.27,744600000,FY2010.FQ4,4
32,0.17,2010-05-28,2010-04,56.87,738900000,FY2011.FQ1,1
33,0.17,2010-08-27,2010-07,51.32,722600000,FY2011.FQ2,2
34,0.25,2011-11-23,2010-10,51.94,707900000,FY2011.FQ3,3
35,0.25,2011-03-11,2011-01,54.83,704000000,FY2011.FQ4,4
36,0.25,2011-05-26,2011-04,49.1,689000000,FY2012.FQ1,1
37,0.25,2011-08-25,2011-07,51.49,675200000,FY2012.FQ2,2
38,0.3,2011-11-23,2011-10,54.75,671400000,FY2012.FQ3,3
39,0.3,2012-03-15,2012-01,50.81,669300000,FY2012.FQ4,4
40,0.3,2012-05-23,2012-04,57.94,661000000,FY2013.FQ1,1
41,0.3,2012-08-23,2012-07,60.65,653900000,FY2013.FQ2,2
42,0.36,2012-11-21,2012-10,63.75,654500000,FY2013.FQ3,3
43,0.36,2013-03-20,2013-01,60.41,645294000,FY2013.FQ4,4
44,0.36,2013-05-30,2013-04,70.56,641253000,FY2014.FQ1,1
45,0.36,2013-08-28,2013-07,71.25,630925000,FY2014.FQ2,2
46,0.43,2013-11-27,2013-10,64.79,631760000,FY2014.FQ3,3
47,0.43,2014-03-14,2014-01,56.64,632931000,FY2014.FQ4,4
48,0.43,2014-05-29,2014-04,61.75,633613000,FY2015.FQ1,1
49,0.43,2014-08-27,2014-07,59.59,633645000,FY2015.FQ2,2
50,0.52,2014-11-26,2014-10,61.82,634378000,FY2015.FQ3,3
51,0.52,2015-03-13,2015-01,73.61,640214000,FY2015.FQ4,4
52,0.52,2015-05-28,2015-04,78.83,638409000,FY2016.FQ1,1
53,0.52,2015-08-25,2015-07,81.85,630446000,FY2016.FQ2,2
54,0.56,2015-11-25,2015-10,77.18,618604000,FY2016.FQ3,3
55,0.56,2016-03-11,2016-01,72.42,602227000,FY2016.FQ4,4
56,0.56,2016-05-25,2016-04,79.5,593584000,FY2017.FQ1,1
57,0.56,2016-08-24,2016-07,75.33,574801000,FY2017.FQ2,2
58,0.6,2016-11-23,2016-10,68.73,563677000,FY2017.FQ3,3
59,0.6,2017-03-08,2017-01,64.48,556156000,FY2017.FQ4,4
60,0.6,2017-05-22,2017-04,55.85,551658000,FY2018.FQ1,1
61,0.6,2017-08-21,2017-07,56.67,546183000,FY2018.FQ2,2
62,0.62,2017-11-20,2017-10,59.04,543913000,FY2018.FQ3,3
63,0.62,2018-03-14,2018-01,75.22,541682000,FY2018.FQ4,4
64,0.62,2018-05-29,2018-04,72.6,532917000,FY2019.FQ1,1
65,0.62,2018-08-27,2018-07,80.68,526113000,FY2019.FQ2,2
66,0.64,2018-11-27,2018-10,83.63,521811000,FY2019.FQ3,3
67,0.64,2019-03-13,2019-01,73.0,517762000,FY2019.FQ4,4
68,0.64,2019-05-31,2019-04,77.42,512312000,FY2020.FQ1,1
69,0.64,2019-08-30,2019-07,86.4,511335000,FY2020.FQ2,2
70,0.66,2019-11-27,2019-10,106.91,506678000,FY2020.FQ3,3
71,0.66,2020-03-11,2020-01,110.74,504199000,FY2020.FQ4,4
72,0.66,2020-05-29,2020-04,109.74,499920000,FY2021.FQ1,1
73,0.66,2020-08-28,2020-07,125.88,500253000,FY2021.FQ2,2
74,0.68,2020-11-25,2020-10,152.22,500755000,FY2021.FQ3,3
75,0.68,2021-03-10,2021-01,181.17,500877000,FY2021.FQ4,4
76,0.68,2021-05-28,2021-04,207.26,496093000,FY2022.FQ1,1
77,0.68,2021-08-27,2021-07,261.05,489651000,FY2022.FQ2,2
78,0.9,2021-11-24,2021-10,259.62,480905000,FY2022.FQ3,3
79,0.9,2022-03-09,2022-01,220.43,471274000,FY2022.FQ4,4
80,0.9,2022-05-27,2022-04,228.65,463684000,FY2023.FQ1,1
81,0.9,2022-08-26,2022-07,163.38,460236000,FY2023.FQ2,2
82,1.08,2022-11-23,2022-10,164.25,460298000,FY2023.FQ3,3
83,1.08,2023-03-08,2023-01,172.14,460347000,FY2023.FQ4,4
84,1.08,2023-05-26,2023-04,157.75,461553000,FY2024.FQ1,1
85,1.08,2023-08-25,2023-07,136.47,461601000,FY2024.FQ2,2
86,1.1,2023-11-22,2023-10,110.79,461651000,FY2024.FQ3,3
87,1.1,2024-03-13,2024-01,139.08,461675000,FY2024.FQ4,4
88,1.1,2024-05-31,2024-04,160.98,462636000,FY2025.FQ1,1
89,1.1,2024-08-30,2024-07,150.41,461600000,FY2025.FQ2,2
90,1.12,2024-11-27,2024-10,150.04,459245000,FY2025.FQ3,3
91,1.12,2025-03-12,2025-01,137.91,455567000,FY2025.FQ4,4
92,1.12,2025-05-30,2025-04,96.7,454365000,FY2026.FQ1,1
