,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_year_key,fiscal_year_number
0,0,2010-01-29,2007-12,0.0,1169607000,-9802000,45041000,-9762000,-53469000,0,-18190000,0,0,0,0,0,0,0,99999.999999994,44941000,44941000,0,0,0,0,0,0,0,0,39999.999999999,-9802000,-9802000,0,19210000,2895000,0,-2108000,-78157000,2385000,23261000,-1884000,-59000,198000,FY2007,2007
1,0,2010-01-29,2008-12,0.0,1169607000,-10630000,56068000,-11590000,-52412000,0,-7934000,0,0,0,55782000,55591000,-191000,0,477000.0,0,0,0,0,0,0,0,0,0,0,-960000.0,-10630000,-10630000,0,16232000,4157000,0,-18839000,-82782000,9544000,37582000,750000,-3261000,437000,FY2008,2008
2,0,2010-06-29,2009-12,0.0,1396641000,-11884000,155419000,-14244000,-80825000,0,60350000,0,0,0,25468000,25146000,-322000,0,-1549000.0,131822000,131822000,0,0,0,0,0,0,0,0,-2360000.0,-11884000,-11884000,0,-37543000,6940000,0,-7925000,-55740000,4084000,-27408000,-2042000,-168000,1434000,FY2009,2009
3,0,2011-03-03,2010-12,1.775,1423626000,-105413000,338045000,-180297000,-127817000,0,29931000,268842000,268842000,0,71828000,71513000,-315000,0,-2310000.0,0,0,0,0,0,0,0,0,0,0,-74884000.0,-105413000,-105413000,0,-11175000,10623000,0,-28513000,-154328000,5907000,25537000,-4977000,-3222000,21156000,FY2010,2010
4,0,2012-02-27,2011-12,1.904,1567955000,-184226000,446000000,-162258000,-128034000,0,155708000,231468000,231468000,0,204423000,204007000,-416000,0,10525000.0,0,0,0,0,0,0,0,-24952000,-64952000,40000000,46920000.0,-184226000,-184226000,0,75228000,16919000,0,-13638000,-254411000,4811000,91943000,-248000,-2829000,29419000,FY2011,2011
5,0,2013-03-07,2012-12,2.258,1713214000,-239228000,419635000,-206930000,-263815000,-2266000,-53376000,221496000,221496000,0,188796000,173254000,-15542000,0,24885000.0,0,0,0,0,0,0,0,25008000,-14992000,40000000,7290000.0,-239228000,-239228000,0,44942000,28825000,0,-194726000,-396213000,8486000,255850000,1121000,-17303000,50145000,FY2012,2012
6,0,2014-02-26,2013-12,10.029,1846365000,-264224000,635422000,-249417000,264804000,-6810000,643999000,415000000,415000000,0,660000000,199238000,-460762000,0,21184000.0,0,0,0,0,0,0,0,0,0,0,14807000.0,-264224000,-264224000,0,148958000,106083000,0,-460561000,-74014000,3040000,648757000,-17533000,-21705000,80737000,FY2013,2013
7,0,2015-02-26,2014-12,14.827,1885314000,-969885000,2143130000,-990444000,-57337000,-35525000,1059824000,0,0,0,2303271000,2292092000,-11179000,0,-148962000.0,0,0,0,0,0,0,0,-16710000,-205841000,189131000,-3848999.9999999,-969885000,-969885000,0,-256825000,231931000,0,-1050264000,-294040000,105101000,1037734000,-60637000,-183658000,156496000,FY2014,2014
8,0,2016-02-24,2015-12,16.001,1971375000,-1634850000,1523523000,-1673551000,-524499000,-34278000,-708805000,750000000,750000000,0,887717000,683937000,-203780000,0,89586000.0,0,0,0,-12260000,-12260000,0,0,0,0,0,-26441000.0,-1634850000,-1634850000,0,-493289000,422590000,0,-369364000,-888663000,236864000,-140597000,-29595000,46267000,197999000,FY2015,2015
9,0,2017-03-01,2016-12,14.246,2423415000,-1440471000,3743976000,-1081085000,-123829000,-6553000,2532509000,1701734000,1701734000,0,3622673000,1718190000,-1904483000,0,324052000.0,0,0,0,0,0,0,0,16667000,0,16667000,342719000.0,-1440471000,-1440471000,0,-693861000,947099000,0,-632867000,-773046000,61754000,98765000,56806000,-216565000,334225000,FY2016,2016
10,0,2018-02-23,2017-12,20.757,2531955000,-4081000000,4415000000,-4196000000,-61000000,40000000,198000000,400000000,400000000,0,7649000000,3385000000,-4264000000,0,630000000.0,0,0,0,-115000000,-115000000,0,0,0,0,0,0.0,-4081000000,-4081000000,0,-497000000,1636000000,0,-179000000,-2241000000,574000000,-221000000,-72000000,-25000000,467000000,FY2017,2017
