,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_year_key,fiscal_year_number
0,0,2010-01-29,2007-12,0.0,1169607000,-0.2956,NA,-117846000,-0.1007,0.0,0.0,0.0,0.0,0.4348,0.0005,NA,-0.0001,NA,0,0,-77038000,0.0,-1055.315,-0.0658,-17211000,0.146,0.2202,0.272,0.2205,-235.7671,0.146,0,0.0,-3.3827,-63271000.0,0.0,0.0,-866.726,NA,-0.054,0.8767,NA,0.0,0.0,0,-17211000,0.0,-1070.6438,-59949750,0.0,NA,-0.0683,-1094.9726,0,0,0.0,0.0,-0.0667,-1069.1369,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,NA,0.0,0.0,NA,0.0,0.15278610272345,0.0,NA,0.0,0.0,0,0.0,-0.1007,-117846000,0.0,0.0,0.0,0.0,FY2007,2007
1,0,2010-01-29,2008-12,0.0,1169607000,-0.2588,NA,-199714000,-0.1707,-0.0844,-0.4609,0.0,0.0197,0.3573,1.0718,NA,-0.2774,NA,0,0,-74347000,0.0349,-5.0432,-0.0635,45251000,-0.2265,-0.5466,-0.7177,-0.5472,3.0695,-0.2265,0,-0.0597,-3.863,-63042000.0,0.0,0.0036,-4.2763,NA,-0.0539,-0.0773,NA,-18.8281,0.0,0,45251000,-0.0591,-5.6153,-58878000,0.0178,NA,-0.0671,-5.3251,0,0,0.5663,-0.0594,-0.0706,-5.6088,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.9452,0.0126,-1.9132,NA,2.9795,0.5213,NA,0.6316,0.15278610272345,0.5736,NA,2.9795,0.0,0,0.0,-0.1707,-199714000,0.0,0.484,0.0,-0.6947,FY2008,2008
2,0,2010-06-29,2009-12,0.0,1396641000,-0.5144,NA,-253523000,-0.2167,-0.1179,6.5053,0.0,-0.5421,1.7491,0.0061,NA,-0.0031,NA,0,0,-44957000,0.3953,-0.4016,-0.0384,-69627000,0.2746,1.2491,0.751,1.2497,-0.6219,0.2746,0,0.3239,-1.9438,-92709000.0,0.0,-0.4705,-0.8281,NA,-0.0792,0.0851,NA,9.3567,0.0,0,-69627000,0.3266,-0.4979,-38922750,0.3389,NA,-0.0443,-0.4636,0,0,0.2523,0.3261,-0.0476,-0.4976,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5934,0.0957,-0.6121,NA,-2.8282,0.2459,NA,0.2807,0.15278610272345,0.2342,NA,-2.8282,0.0,227034000,0.1941,-0.2167,-253523000,0.0,1.5227,0.0,-0.2694,FY2009,2009
3,0,2011-03-03,2010-12,1.775,1423626000,1.8646,NA,207048000,0.2721,-7.8701,0.4298,0.0,-0.5814,2.7568,0.1873,NA,0.3493,NA,0,0,-136215000,-2.0298,-1.1667,-0.179,2499206150,12.0706,-16.1941,-10.7156,-16.2122,21.4075,12.0706,0,-3.2291,0.5362,-233230000.0,0.0,-1.5157,-1.9977,NA,-0.3065,0.2632,NA,2.2229,0.0,2526936150,-27730000,-1.7687,-1.3219,-110128500,-1.8294,NA,-0.193,-1.2577,0,0,4.2092,-1.7668,-0.2026,-1.3204,NA,12.2045,-16.3738,-10.8345,-16.3921,21.6451,12.2045,0.0,0.0428,0.1534,-0.5975,NA,-0.7863,6.6413,NA,-11.5822,0.15278610272345,2.1654,NA,-0.7863,-0.3495,26985000,0.0193,0.2721,207048000,0.0,1.9602,0.0,1.8166,FY2010,2010
4,0,2012-02-27,2011-12,1.904,1567955000,3.1843,NA,224045000,0.1487,-0.7476,1.5639,0.0,-0.0016,1.9485,0.3911,NA,1.2456,NA,0,0,-234569000,-0.722,-1.1484,-0.1557,2973394320,13.2714,-11.6873,-9.5221,-11.7098,14.5581,14.1903,0,0.1674,0.314,-312260000.0,0.0,-0.3388,-1.5288,NA,-0.2073,0.3015,NA,1.0043,0.0,2985386320,20985000,-0.6485,-1.2456,-188616000,-0.7126,NA,-0.167,-1.2313,0,0,1.5299,-0.6471,-0.1686,-1.2432,NA,13.3249,-11.7345,-9.5605,-11.757,14.6169,14.2475,0.0,0.7494,0.1356,-0.4627,NA,-0.6055,-1.1803,NA,-0.6502,0.15278610272345,-1.1897,NA,-0.6163,0.9793,144329000,0.1013,0.1391,209537000,0.0,0.8479,0.0,0.082,FY2011,2011
5,0,2013-03-07,2012-12,2.258,1713214000,8.9349,NA,124700000,0.0774,-0.2985,-0.209,0.0,-1.0605,0.9734,0.4149,NA,3.7073,NA,0,0,-365458000,-0.5579,-0.8843,-0.2269,4068042212,32.6226,-10.2673,-8.0868,-10.2708,9.8438,36.8371,0,-0.4556,0.1119,-503043000.0,0.0,-0.6109,-1.2172,NA,-0.3124,0.0727,NA,-0.5118,0.0,3868437212,250446000,-0.5573,-0.9587,-295712250,-0.5678,NA,-0.2448,-0.954,0,0,0.8128,-0.5598,-0.2459,-0.9584,NA,31.0219,-9.7635,-7.69,-9.7668,9.3608,35.0297,0.0,1.0233,0.2566,-0.4335,NA,-0.6821,-2.2722,NA,-0.7269,0.15278610272345,-1.2519,NA,-0.6995,0.0693,145259000,0.0926,0.0685,110433000,0.0,0.5616,0.0,-0.4434,FY2012,2012
6,0,2014-02-26,2013-12,10.029,1846365000,3.6229,NA,667120000,0.3724,-0.1044,3.1898,0.0,2.0037,1.875,0.2478,NA,0.8981,NA,0,0,44800000,1.1225,0.0222,0.025,18254412585,27.363,-246.6345,31473.1251,-255.5709,9.066,27.363,0,0.8333,0.276,579999.99999997,0.0,1.0011,0.0002,NA,0.0003,0.2266,NA,14.1748,0.0,18517194585,-259588000,0.8131,-0.0367,-45962250,0.8445,NA,-0.0342,-0.0304,0,0,0.9934,0.8196,-0.0398,-0.0354,NA,27.7569,-250.185,31926.1975,-259.25,9.1965,27.7569,0.0,3.8722,1.124,-0.0419,NA,-0.0517,-0.1869,NA,-0.0798,0.15278610272345,-0.1837,NA,-0.052,0.1124,133151000,0.0777,0.3724,667120000,0.0,1.1692,0.0,4.3497,FY2013,2013
7,0,2015-02-26,2014-12,14.827,1885314000,6.3953,NA,911710000,0.488,-2.6706,1.2529,0.0,-1.2165,1.5091,0.4267,NA,2.729,NA,0,0,45242000,0.0098,0.0141,0.0242,27906871678,30.6093,-94.9084,-27.1673,-98.044,8.7253,30.6093,0,-2.8292,0.1563,-1027222000.0,0.0,-1772.0724,-0.3211,NA,-0.5498,0.2756,NA,0.9323,0.0,27953550678,582367000,-2.9727,-0.0919,-140016750,-2.0463,NA,-0.0999,-0.0583,0,0,1.3159,-2.985,-0.1523,-0.0889,NA,30.6605,-95.0671,-27.2127,-98.208,8.7399,30.6605,0.0,0.5884,1.7121,-0.0713,NA,-0.0614,-0.3724,NA,-0.126,0.15278610272345,-0.3071,NA,-0.0614,0.0428,38949000,0.021,0.488,911710000,0.0,1.4124,0.0,0.3666,FY2014,2014
8,0,2016-02-24,2015-12,16.001,1971375000,7.4447,NA,1083704000,0.5635,-0.6856,-0.3719,0.0,-8.1476,0.9896,0.3591,NA,2.6738,NA,0,0,-294039000,-7.4992,-0.0726,-0.1529,32415441375,29.9117,-36.4766,-15.0116,-37.0198,8.0116,30.2696,0,-1.9426,0.1343,-2159349000.0,0.0,-1.1021,-0.5336,NA,-1.1228,0.2282,NA,0.0474,0.0,31543971375,1499397000,-2.0222,-0.2196,-537471750,-2.8386,NA,-0.3726,-0.1771,0,0,0.998,-2.0762,-0.4553,-0.2164,NA,29.1075,-35.4959,-14.608,-36.0245,7.7962,29.4559,0.0,0.265,2.1039,-0.1278,NA,-0.1402,-0.8907,NA,-0.2407,0.15278610272345,-0.4154,NA,-0.1404,0.0294,86061000,0.0456,0.5568,1070888000,0.0,0.3837,0.0,0.1886,FY2015,2015
9,0,2017-03-01,2016-12,14.246,2423415000,3.838,3.4036,5905125000,2.7298,0.1188,1.8349,0.0,0.7639,1.0742,0.3766,0.3678,1.7959,1.0718,0,0,279759000,1.9514,0.0399,0.1293,37109038090,6.2842,-54.9833,-23.7224,-49.7208,5.3011,6.7117,0,0.3246,0.2605,-1564300000.0,0.0,0.2755,-0.2234,-1.0227,-0.7231,0.2284,0.2283,0.7317,0.0,34523970090,3735215000,0.2405,-0.0964,-500505000,0.0687,-0.7088,-0.3084,-0.0953,0,0,1.8983,0.1476,-0.345,-0.1066,-0.728,5.8464,-51.1531,-22.0699,-46.2572,4.9319,6.2441,0.0,0.7301,3.236,-0.0439,-0.2807,-0.0559,-0.2312,-0.2091,-0.0689,0.15278610272345,-0.09,-0.1029,-0.0568,0.1248,452040000,0.2293,2.5559,5528980000,0.0,1.8091,0.0,4.449,FY2016,2016
