,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,da_income_statement_supplemental,eps_basic,eps_diluted,gross_profit,income_allocated_to_minority_interest,income_tax,interest_expense,interest_income,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income_normal,operating_income,other_income_statement_items,other_nonoperating_income,other_opex,preferred_dividends,pretax_income,revenue,rnd,sga,shares_basic,shares_diluted,special_charges,total_opex,fiscal_year_key,fiscal_year_number
0,0,2010-01-29,2007-12,0.0,1169607000,9000,2895000,-0.06,-0.06,64000,0,-110000,0,1749000,-78157000,-78157000,-78157000,0,1749000,-79933000,0,137000,0,0,-78047000,73000,62753000,17244000,1169607000,1169607000,0,79997000,FY2007,2007
1,0,2010-01-29,2008-12,0.0,1169607000,15883000,4157000,-0.07,-0.07,-1141000,0,-97000,-3747000,529000,-82782000,-82782000,-82782000,0,-3218000,-78504000,0,-963000,0,0,-82685000,14742000,53714000,23649000,1169607000,1169607000,0,77363000,FY2008,2008
2,0,2010-06-29,2009-12,0.0,1396641000,102408000,6940000,-0.04,-0.04,9535000,0,-26000,-2531000,159000,-55740000,-55740000,-55740000,0,-2372000,-51897000,0,-1445000,0,0,-55714000,111943000,19282000,42150000,1169607000,1169607000,0,61432000,FY2009,2009
3,0,2011-03-03,2010-12,1.775,1423626000,86013000,10623000,-0.2,-0.2,30731000,0,-173000,-992000,258000,-154328000,-154328000,-154328000,0,-734000,-146838000,0,-6583000,0,0,-154155000,116744000,92996000,84573000,760775000,760775000,0,177569000,FY2010,2010
4,0,2012-02-27,2011-12,1.904,1567955000,142647000,16919000,-0.16,-0.16,61595000,0,-489000,-43000,255000,-254411000,-254411000,-254411000,0,212000,-251488000,0,-2646000,0,0,-253922000,204242000,208981000,104102000,1505832000,1505832000,0,313083000,FY2011,2011
5,0,2013-03-07,2012-12,2.258,1713214000,383189000,28825000,-0.24,-0.24,30067000,0,-136000,-254000,288000,-396213000,-396213000,-396213000,0,34000,-394283000,0,-1828000,0,0,-396077000,413256000,273978000,150372000,1610238000,1610238000,0,424350000,FY2012,2012
6,0,2014-02-26,2013-12,10.029,1846365000,1557234000,106083000,-0.04,-0.04,456262000,0,-2588000,-32934000,189000,-74014000,-74014000,-74014000,0,-32745000,-61283000,0,22602000,0,0,-71426000,2013496000,231976000,285569000,1791315000,1791315000,0,517545000,FY2013,2013
7,0,2015-02-26,2014-12,14.827,1885314000,2316685000,231931000,-0.15,-0.15,881671000,0,-9404000,-100886000,1126000,-294040000,-294040000,-294040000,0,-99760000,-186689000,0,1813000,0,0,-284636000,3198356000,464700000,603660000,1868085000,1868085000,0,1068360000,FY2014,2014
8,0,2016-02-24,2015-12,16.001,1971375000,3122522000,422590000,-0.46,-0.46,923503000,0,-13039000,-118851000,1508000,-888663000,-888663000,-888663000,0,-117343000,-716629000,0,-41652000,0,0,-875624000,4046025000,717900000,922232000,1923030000,1923030000,0,1640132000,FY2015,2015
9,0,2017-03-01,2016-12,14.246,2423415000,5400875000,947099000,-0.31,-0.31,1599257000,98132000,-26698000,-198810000,8530000,-674914000,-674914000,-773046000,0,-190280000,-667340000,0,111272000,0,0,-746348000,7000132000,834408000,1432189000,2163180000,2163180000,0,2266597000,FY2016,2016
10,0,2018-02-23,2017-12,20.757,2531955000,9536000000,1636000000,-0.78,-0.78,2223000000,279000000,-32000000,-471000000,19000000,-1962000000,-1962000000,-2241000000,0,-452000000,-1632000000,0,-125000000,0,0,-2209000000,11759000000,1378000000,2477000000,2490000000,2490000000,0,3855000000,FY2017,2017
11,0,2019-02-19,2018-12,22.187,2589039000,17419000000,1901000000,-0.38,-0.38,4042000000,87000000,-58000000,-663000000,24000000,-976000000,-976000000,-1063000000,0,-639000000,-253000000,0,-113000000,0,0,-1005000000,21461000000,1460000000,2835000000,2559000000,2559000000,0,4295000000,FY2018,2018
12,0,2020-02-13,2019-12,27.889,2715931000,20509000000,2154000000,-0.32,-0.32,4069000000,-87000000,-110000000,-685000000,44000000,-862000000,-862000000,-775000000,0,-641000000,80000000,0,-104000000,0,0,-665000000,24578000000,1343000000,2646000000,2661000000,2661000000,0,3989000000,FY2019,2019
13,0,2021-02-08,2020-12,235.223,2880000000,24906000000,2322000000,0.24,0.21,6630000000,-141000000,-292000000,-748000000,30000000,721000000,721000000,862000000,0,-718000000,1994000000,0,-122000000,0,0,1154000000,31536000000,1491000000,3145000000,2799000000,3249000000,0,4636000000,FY2020,2020
14,0,2022-02-07,2021-12,352.26,3099000000,40217000000,2911000000,1.87,1.63,13606000000,-120000000,-699000000,-371000000,56000000,5524000000,5524000000,5644000000,0,-315000000,6496000000,0,162000000,0,0,6343000000,53823000000,2593000000,4517000000,2959000000,3386000000,0,7110000000,FY2021,2021
