,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_year_key,fiscal_year_number
0,0,2010-01-29,2007-12,0.0,1169607000,FY2007,2007
1,0,2010-01-29,2008-12,0.0,1169607000,FY2008,2008
2,0,2010-06-29,2009-12,0.0,1396641000,FY2009,2009
3,0,2011-03-03,2010-12,1.775,1423626000,FY2010,2010
4,0,2012-02-27,2011-12,1.904,1567955000,FY2011,2011
5,0,2013-03-07,2012-12,2.258,1713214000,FY2012,2012
6,0,2014-02-26,2013-12,10.029,1846365000,FY2013,2013
7,0,2015-02-26,2014-12,14.827,1885314000,FY2014,2014
8,0,2016-02-24,2015-12,16.001,1971375000,FY2015,2015
9,0,2017-03-01,2016-12,14.246,2423415000,FY2016,2016
10,0,2018-02-23,2017-12,20.757,2531955000,FY2017,2017
11,0,2019-02-19,2018-12,22.187,2589039000,FY2018,2018
12,0,2020-02-13,2019-12,27.889,2715931000,FY2019,2019
13,0,2021-02-08,2020-12,235.223,2880000000,FY2020,2020
14,0,2022-02-07,2021-12,352.26,3099000000,FY2021,2021
15,0,2023-01-31,2022-12,123.18,3164000000,FY2022,2022
16,0,2024-01-29,2023-12,248.48,3185000000,FY2023,2023
17,0,2025-01-30,2024-12,403.84,3216000000,FY2024,2024
