,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_quarter_key,fiscal_quarter_number
0,0,2010-01-29,2008-12,0.0,1169607000,-1144000,15752000,-2144000,-22354000,0,-8746000,-21000,-21000,0,15532000,15459000,-73000,0,314000.0,0,0,0,0,0,0,0,0.0,0,0,-1000000.0,-1144000,-1144000,0,-4440000,1294000,0,-7302000,-25498000,6071000,5982000,-45000,-3075000,219000,FY2008.FQ4,4
1,0,2010-06-29,2009-03,0.0,1169607000,-902000,19533000,-902000,-16163000,0,2468000,0,0,0,19622000,19501000,-121000,0,32000.0,0,0,0,0,0,0,0,0.0,0,0,0.0,-902000,-902000,0,-1875000,1372000,0,-4943000,-16016000,266000,508000,-229000,2789000,90000,FY2009.FQ1,1
2,0,2010-08-13,2009-06,0.0,1169607000,-2527000,55229000,-4108000,-12166000,0,38955000,0,0,0,5846000,5752000,-94000,0,32999.999999994,49444000,49444000,0,0,0,0,0,0.0,0,0,-1581000.0,-2527000,-2527000,0,-4902000,1685000,0,-3820000,-10867000,1765000,4828000,-1895000,-4015000,153000,FY2009.FQ2,2
3,0,2010-01-29,2009-09,0.0,1169607000,-2256000,82371000,-3035000,-23489000,0,55847000,0,0,0,0,-60000,-60000,0,52999.999999997,82378000,82378000,0,0,0,0,0,0.0,0,0,-779000.0,-2256000,-2256000,0,-21648000,1948000,0,4731000,-4615000,620000,-29479000,-60000,3160000,206000,FY2009.FQ3,3
4,0,2010-06-29,2009-12,0.0,1396641000,-6199000,-1714000,-6199000,-29007000,0,-36920000,0,0,0,0,-47000,-47000,0,-1667000.0,0,0,0,0,0,0,0,0.0,0,0,0.0,-6199000,-6199000,0,-9118000,1935000,0,-3893000,-24242000,1433000,-3265000,142000,-2102000,985000,FY2009.FQ4,4
5,0,2010-06-29,2010-03,0.0,1396641000,-5472000,28627000,-9379000,-27329000,0,-8081000,0,0,0,29920000,29843000,-77000,0,-1216000.0,0,0,0,0,0,0,0,0.0,0,0,-3907000.0,-5472000,-5472000,0,-5811000,2141000,0,-5507000,-29519000,2473000,2455000,-316000,-2443000,3387000,FY2010.FQ1,1
6,0,2010-08-13,2010-06,1.589,1396641000,-9815000,13694000,-7689000,-20247000,0,-14242000,0,0,0,15499000,15421000,-78000,0,-1727000.0,0,0,0,0,0,0,0,0.0,0,0,2126000.0,-9815000,-9815000,0,3112000,2483000,0,-3525000,-38517000,6560000,7712000,-540000,-535000,6115000,FY2010.FQ2,2
7,0,2010-11-12,2010-09,1.36,1398801000,-7768000,249895000,-154679000,-45957000,0,49259000,0,0,0,11138000,11060000,-78000,0,238835000.0,0,0,0,0,0,0,0,0.0,0,0,-146911000.0,-7768000,-7768000,0,-15172000,3109000,0,-13837000,-34934000,-2771000,2515000,-2253000,-1597000,3811000,FY2010.FQ3,3
8,0,2011-03-03,2010-12,1.775,1423626000,-82358000,45829000,-8550000,-34284000,0,2995000,0,0,0,15271000,15189000,-82000,0,30640000.0,0,0,0,0,0,0,0,0.0,0,0,73808000.0,-82358000,-82358000,0,6696000,2890000,0,-5644000,-51358000,-355000,12855000,-1868000,1353000,7843000,FY2010.FQ4,4
9,0,2011-05-13,2011-03,1.85,1433323000,-20476000,34283000,10111000,-43297000,0,1097000,0,0,0,30656000,30577000,-79000,0,3706000.0,0,0,0,0,0,0,0,0.0,0,0,30587000.0,-20476000,-20476000,0,-5614000,3517000,0,-6963000,-48941000,1815000,16322000,-1423000,-13550000,5926000,FY2011.FQ1,1
