,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_quarter_key,fiscal_quarter_number
0,0,2010-01-29,2008-12,0.0,1169607000,-0.2588,NA,-199714000,-0.1707,0.0,-0.4609,0.0,0.0,0.3573,1.0718,NA,-0.2774,NA,0,0,-21930000,0.0,-1.5485,-0.0187,45251000,-0.2265,-0.4436,-0.4814,-0.444,0.7988,-0.2265,0.0,0.0,-3.863,-23498000,0.0,0.0,-1.6592,NA,-0.02,-0.1201,NA,0.0,0.0,0,45251000,0.0,-1.8004,-17418000,0.0,NA,-0.0198,-1.6398,0,0.0,0.5663,0.0,-0.0217,-1.7987,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0121,-2.3572,NA,3.5257,0.6423,NA,0.7781,0.13406904736548,0.7067,NA,3.5257,0.0,0,0.0,-0.1707,-199714000,0.0,0.484,0.0,-0.6947,FY2008.FQ4,4
1,0,2010-06-29,2009-03,0.0,1169607000,0.0,NA,0,0.0,0.2115,-1.0,0.0,0.2769,0.0,0.0,NA,0.0,NA,0,0,-15222000,0.3058,-0.7288,-0.013,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636,0.0,-17065000,0.0,0.2737,-0.817,NA,-0.0145,-0.0979,NA,-0.2021,0.0,0,0,0.3718,-0.7668,-12445500,0.2854,NA,-0.0141,-0.7945,0,0.0,-1.0,0.3715,-0.0136,-0.7664,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4747,0.0178,-2.4783,NA,3.6635,0.6415,NA,0.8879,0.13406904736548,0.8343,NA,3.6635,0.0,0,0.0,0.0,0,0.0,-1.0,0.0,1.0,FY2009.FQ1,1
2,0,2010-08-13,2009-06,0.0,1169607000,0.0,NA,0,0.0,-1.8015,0.0,0.0,0.2472,0.0,0.0,NA,0.0,NA,0,0,-6402000,0.5794,-0.2375,-0.0054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571,0.0,-14693000,0.0,0.1389,-0.5452,NA,-0.0125,0.0779,NA,2.0268,0.0,0,0,0.3214,-0.4033,-6065250,0.5126,NA,-0.0069,-0.3001,0,0.0,0.0,0.3216,-0.0092,-0.403,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.023,0.0,NA,0.0,0.0,NA,0.0,0.13406904736548,0.0,NA,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,FY2009.FQ2,2
3,0,2010-01-29,2009-09,0.0,1169607000,-0.6759,NA,-230645000,-0.1971,0.0,5.1906,0.0,0.0,2.1631,0.0045,NA,-0.003,NA,0,0,-2343000,0.0,-0.0514,-0.002,-106547000,0.4619,1.8693,1.3153,1.8635,-0.9909,0.4619,0.0,0.0,-1.4792,-25745000,0.0,0.0,-0.5654,NA,-0.022,0.1691,NA,0.0,0.0,0,-106547000,0.0,-0.1013,-3218250,0.0,NA,-0.0036,-0.0942,0,0.0,0.623,0.0,-0.0041,-0.1061,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0389,-0.7311,NA,-1.0998,0.4942,NA,0.4957,0.13406904736548,0.3387,NA,-1.0998,0.0,0,0.0,-0.1971,-230645000,0.0,3.4755,0.0,-0.9571,FY2009.FQ3,3
4,0,2010-06-29,2009-12,0.0,1396641000,-0.5144,NA,-253523000,-0.2167,-4.4187,6.5053,0.0,-0.2976,1.7491,0.0061,NA,-0.0031,NA,0,0,-20990000,0.0428,-1.1294,-0.0179,-69627000,0.2746,1.2491,0.751,1.2497,-0.6219,0.2746,0.0,0.0454,-1.9438,-35206000,0.0,-0.4982,-1.8943,NA,-0.0301,0.0958,NA,2.0464,0.0,0,-69627000,0.0492,-1.3043,-17193750,0.0128,NA,-0.0196,-1.2335,0,0.0,0.2523,0.0573,-0.0205,-1.292,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3123,0.0158,-0.3893,NA,-0.6183,0.2302,NA,0.2309,0.13406904736548,0.1692,NA,-0.6183,0.0,227034000,0.1941,-0.2167,-253523000,0.0,1.5227,0.0,-0.2694,FY2009.FQ4,4
5,0,2010-06-29,2010-03,0.0,1396641000,3.2893,NA,44179000,0.0316,-5.0665,0.0,0.0,-0.6908,1.702,0.2108,NA,0.6935,NA,0,0,-23857000,-0.5672,-1.1463,-0.017,-31626000,-0.7158,0.4567,0.2916,0.4576,-0.2827,-0.7158,0.0,-0.5,0.304,-32801000,0.0,-0.9221,-1.576,NA,-0.0234,0.185,NA,2.8826,0.0,0,-31626000,-0.843,-1.4183,-19498500,-0.5667,NA,-0.0186,-1.2491,0,0.0,0.0,-0.8366,-0.021,-1.4126,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035,0.0149,-0.5022,NA,-0.7703,0.6615,NA,0.7784,0.13406904736548,0.448,NA,-0.7703,0.1941,0,0.0,0.0316,44179000,0.0,0.0,0.0,0.0,FY2010.FQ1,1
6,0,2010-08-13,2010-06,1.589,1396641000,-0.4776,NA,-309775000,-2.7018,-2.884,0.0,0.0,-0.6642,1.3117,0.3112,NA,-0.1486,NA,0,0,-28879000,-3.5109,-1.0166,-0.2518,2217377549,-7.158,-22.8848,-17.9089,-22.9172,19.5658,-7.158,0.0,-36.3333,-2.0934,-30062000,0.0,-1.046,-1.0583,NA,-0.2622,0.2204,NA,1.98,0.0,2219262549,-1885000,-2.5444,-1.3559,-23521500,-2.878,NA,-0.2735,-1.1041,0,0.0,0.0,-2.5461,-0.3358,-1.3556,NA,-7.1641,-22.9042,-17.9241,-22.9366,19.5824,-7.1641,0.0,0.0541,0.2477,-0.6607,NA,-1.0217,0.7296,NA,1.0258,0.13406904736548,0.6508,NA,-1.0217,-0.9019,0,0.0,-2.7018,-309775000,0.0,0.0,0.0,0.0,FY2010.FQ2,2
7,0,2010-11-12,2010-09,1.36,1398801000,1.6443,NA,219923000,0.1588,-2.4432,-0.0937,0.0,-0.9565,3.4781,0.1579,NA,0.2597,NA,0,0,-34725000,-13.8207,-1.1115,-0.025,1862363360,8.4682,-14.6397,-12.269,-14.6904,18.8035,8.4682,0.0,-5.25,0.6081,-53725000,0.0,-1.0868,-1.7196,NA,-0.0388,0.2975,NA,0.2074,0.0,1902369360,-40006000,-6.5698,-1.1182,-28375500,-7.817,NA,-0.0273,-1.211,0,0.0,1.2028,-6.2097,-0.0251,-1.1155,NA,8.6501,-14.9542,-12.5325,-15.0059,19.2075,8.6501,0.0,-0.3137,0.0225,-0.4992,NA,-0.6356,2.8316,NA,-19.0881,0.13406904736548,1.949,NA,-0.6356,0.1833,2160000,0.0015,0.1588,219923000,0.0,1.3193,0.0,1.9535,FY2010.FQ3,3
8,0,2011-03-03,2010-12,1.775,1423626000,1.8646,-0.1294,207048000,0.1454,-12.2856,0.4298,0.0,-0.1819,2.7568,0.1873,0.082,0.3493,-0.0001,0,0,-48755000,-1.3227,-1.3436,-0.0342,2499206150,12.0706,-16.194,-10.7156,-16.2121,21.4075,12.0706,0.0,-0.7142,0.5362,-116642000,0.0,-2.3131,-3.2145,-1.3171,-0.0819,0.3119,0.1324,5.3565,0.0,2526936150,-27730000,-1.1185,-1.4153,-38733750,-1.2527,-1.1575,-0.0362,-1.4232,0,0.0,4.2092,-1.1402,-0.0361,-1.4163,-1.2038,12.2045,-16.3736,-10.8345,-16.392,21.6451,12.2045,0.0,0.9524,0.0254,-0.4128,-0.5007,-0.4953,-0.7229,0.5678,-0.5547,0.13406904736548,-0.8566,0.3633,-0.4953,0.2171,24825000,0.0177,0.1454,207048000,0.0,1.9602,0.0,1.8166,FY2010.FQ4,4
9,0,2011-05-13,2011-03,1.85,1433323000,2.4281,0,167738000,0.1174,-2.7419,0.6354,0.0,-0.5842,2.0084,0.2526,0.1726,0.6134,0,0,0,-43829000,-0.8371,-0.8939,-0.0306,2653476550,15.8191,-15.2717,-10.0433,-15.2897,18.3046,15.8191,0.0,-0.619,0.4118,-63773000,0.0,-0.9442,-1.3006,-1.4383,-0.0446,0.3676,0.177,3.6801,0.0,2651647550,1829000,-0.6579,-0.9981,-35509500,-0.8211,-1.1575,-0.0331,-0.9656,0,0.0,4.6768,-0.6595,-0.0341,-0.9951,-1.2038,15.8082,-15.2611,-10.0364,-15.2792,18.292,15.8082,0.0,1.3558,0.0343,-0.438,-0.5007,-0.5654,-0.9272,0.5678,-0.6318,0.13406904736548,-0.9934,0.3633,-0.5654,0.0223,9697000,0.0068,0.1174,167738000,0.2787,1.8027,0.0,2.7967,FY2011.FQ1,1
