,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,da_income_statement_supplemental,eps_basic,eps_diluted,gross_profit,income_allocated_to_minority_interest,income_tax,interest_expense,interest_income,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income_normal,operating_income,other_income_statement_items,other_nonoperating_income,other_opex,preferred_dividends,pretax_income,revenue,rnd,sga,shares_basic,shares_diluted,special_charges,total_opex,fiscal_quarter_key,fiscal_quarter_number
0,0,2010-01-29,2008-12,0.0,1169607000,15864000,1294000,-0.02,-0.02,-1702000,0,-24000,-1099000,43000,-25498000,-25498000,-25498000,0,-1056000,-23224000,0,-1194000,0,0,-25474000,14162000,11826000,9696000,1169607000,1169607000,0,21522000,FY2008.FQ4,4
1,0,2010-06-29,2009-03,0.0,1169607000,22932000,1372000,-0.01,-0.01,-2046000,0,-8000,-1402000,16000,-16016000,-16016000,-16016000,0,-1386000,-16594000,0,1972000,0,0,-16008000,20886000,7941000,6607000,1169607000,1169607000,0,14548000,FY2009.FQ1,1
2,0,2010-08-13,2009-06,0.0,1169607000,24844000,1685000,0.0,0.0,2101000,0,-8000,-1086000,29000,-10867000,-10867000,-10867000,0,-1057000,-8087000,0,-1715000,0,0,-10859000,26945000,1941000,8247000,1169607000,1169607000,0,10188000,FY2009.FQ2,2
3,0,2010-01-29,2009-09,0.0,1169607000,37828000,1948000,0.0,0.0,7699000,0,219000,-18000,52000,-4615000,-4615000,-4615000,0,34000,-4291000,0,-577000,0,0,-4834000,45527000,1257000,10733000,1169607000,1169607000,0,11990000,FY2009.FQ3,3
4,0,2010-06-29,2009-12,0.0,1396641000,16804000,1935000,-0.02,-0.02,1781000,0,-229000,-25000,62000,-24242000,-24242000,-24242000,0,37000,-22925000,0,-1125000,0,0,-24013000,18585000,8143000,16563000,1169607000,1169607000,0,24706000,FY2009.FQ4,4
5,0,2010-06-29,2010-03,0.0,1396641000,16960000,2141000,-0.02,-0.02,3852000,0,-118000,-230000,48000,-29519000,-29519000,-29519000,0,-182000,-25998000,0,-3221000,0,0,-29401000,20812000,13265000,16585000,1396641000,1396641000,0,29850000,FY2010.FQ1,1
6,0,2010-08-13,2010-06,1.589,1396641000,22144000,2483000,-0.33,-0.33,6261000,0,-9000,-464000,47000,-38517000,-38517000,-38517000,0,-417000,-31362000,0,-6729000,0,0,-38508000,28405000,15416000,22207000,114652000,114652000,0,37623000,FY2010.FQ2,2
7,0,2010-11-12,2010-09,1.36,1398801000,21945000,3109000,-0.02,-0.02,9296000,0,-83000,-298000,100000,-34935000,-34935000,-34935000,0,-198000,-37834000,0,3180000,0,0,-34852000,31241000,26698000,20432000,1384061000,1384061000,0,47130000,FY2010.FQ3,3
8,0,2011-03-03,2010-12,1.775,1423626000,24965000,2890000,-0.03,-0.03,11321000,0,37000,0,63000,-51358000,-51358000,-51358000,0,63000,-51645000,0,187000,0,0,-51395000,36286000,37617000,25349000,1423626000,1423626000,0,62966000,FY2010.FQ4,4
9,0,2011-05-13,2011-03,1.85,1433323000,31002000,3517000,-0.03,-0.03,18028000,0,-150000,0,40000,-48941000,-48941000,-48941000,0,40000,-47346000,0,-1485000,0,0,-48791000,49030000,41162000,24212000,1427810000,1427810000,0,65374000,FY2011.FQ1,1
10,0,2011-08-12,2011-06,1.942,1559715000,39663000,4318000,-0.04,-0.04,18508000,0,-139000,0,46000,-58903000,-58903000,-58903000,0,46000,-58739000,0,-71000,0,0,-58764000,58171000,52531000,24716000,1466359000,1466359000,0,77247000,FY2011.FQ2,2
11,0,2011-11-14,2011-09,1.626,1562832000,40442000,4280000,-0.04,-0.04,17224000,0,-87000,0,80000,-65078000,-65078000,-65078000,0,80000,-64477000,0,-594000,0,0,-64991000,57666000,54083000,27618000,1561152000,1561152000,0,81701000,FY2011.FQ3,3
12,0,2012-02-27,2011-12,1.904,1567955000,31540000,4804000,-0.05,-0.05,7835000,0,-112000,-43000,89000,-81489000,-81489000,-81489000,0,46000,-80927000,0,-496000,0,0,-81377000,39375000,61205000,27557000,1566542000,1566542000,0,88762000,FY2011.FQ4,4
13,0,2012-05-10,2012-03,2.483,1577472000,19957000,4163000,-0.05,-0.05,10210000,0,-59000,-65000,90000,-89873000,-89873000,-89873000,0,25000,-88763000,0,-1076000,0,0,-89814000,30167000,68391000,30582000,1571765000,1571765000,0,98973000,FY2012.FQ1,1
