,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_quarter_key,fiscal_quarter_number
0,0,2010-01-29,2008-12,0.0,1169607000,FY2008.FQ4,4
1,0,2010-06-29,2009-03,0.0,1169607000,FY2009.FQ1,1
2,0,2010-08-13,2009-06,0.0,1169607000,FY2009.FQ2,2
3,0,2010-01-29,2009-09,0.0,1169607000,FY2009.FQ3,3
4,0,2010-06-29,2009-12,0.0,1396641000,FY2009.FQ4,4
5,0,2010-06-29,2010-03,0.0,1396641000,FY2010.FQ1,1
6,0,2010-08-13,2010-06,1.589,1396641000,FY2010.FQ2,2
7,0,2010-11-12,2010-09,1.36,1398801000,FY2010.FQ3,3
8,0,2011-03-03,2010-12,1.775,1423626000,FY2010.FQ4,4
9,0,2011-05-13,2011-03,1.85,1433323000,FY2011.FQ1,1
10,0,2011-08-12,2011-06,1.942,1559715000,FY2011.FQ2,2
11,0,2011-11-14,2011-09,1.626,1562832000,FY2011.FQ3,3
12,0,2012-02-27,2011-12,1.904,1567955000,FY2011.FQ4,4
13,0,2012-05-10,2012-03,2.483,1577472000,FY2012.FQ1,1
14,0,2012-08-02,2012-06,2.086,1579850000,FY2012.FQ2,2
15,0,2012-11-07,2012-09,1.952,1586586000,FY2012.FQ3,3
16,0,2013-03-07,2012-12,2.258,1713214000,FY2012.FQ4,4
17,0,2013-05-10,2013-03,2.526,1727416000,FY2013.FQ1,1
18,0,2013-08-09,2013-06,7.157,1821445000,FY2013.FQ2,2
19,0,2013-11-08,2013-09,12.891,1838491000,FY2013.FQ3,3
20,0,2014-02-26,2013-12,10.029,1846365000,FY2013.FQ4,4
21,0,2014-05-09,2014-03,13.897,1860611000,FY2014.FQ1,1
22,0,2014-08-08,2014-06,16.004,1868823000,FY2014.FQ2,2
23,0,2014-11-07,2014-09,16.179,1880493000,FY2014.FQ3,3
24,0,2015-02-26,2014-12,14.827,1885314000,FY2014.FQ4,4
25,0,2015-05-11,2015-03,12.585,1895435000,FY2015.FQ1,1
26,0,2015-08-07,2015-06,17.884,1906514000,FY2015.FQ2,2
27,0,2015-11-05,2015-09,16.56,1963515000,FY2015.FQ3,3
28,0,2016-02-24,2015-12,16.001,1971375000,FY2015.FQ4,4
29,0,2016-05-10,2016-03,15.318,2007870000,FY2016.FQ1,1
30,0,2016-08-05,2016-06,14.152,2220225000,FY2016.FQ2,2
31,0,2016-11-02,2016-09,13.602,2247375000,FY2016.FQ3,3
32,0,2017-03-01,2016-12,14.246,2423415000,FY2016.FQ4,4
33,0,2017-05-10,2017-03,18.553,2462460000,FY2017.FQ1,1
34,0,2017-08-04,2017-06,24.107,2502945000,FY2017.FQ2,2
35,0,2017-11-03,2017-09,22.74,2520255000,FY2017.FQ3,3
36,0,2018-02-23,2017-12,20.757,2531955000,FY2017.FQ4,4
37,0,2018-05-07,2018-03,17.742,2546250000,FY2018.FQ1,1
38,0,2018-08-06,2018-06,22.863,2557740000,FY2018.FQ2,2
39,0,2018-11-02,2018-09,17.651,2573670000,FY2018.FQ3,3
40,0,2019-02-19,2018-12,22.187,2589039000,FY2018.FQ4,4
41,0,2019-04-29,2019-03,18.657,2605230000,FY2019.FQ1,1
42,0,2019-07-29,2019-06,14.897,2686770000,FY2019.FQ2,2
43,0,2019-10-29,2019-09,16.058,2700000000,FY2019.FQ3,3
44,0,2020-02-13,2019-12,27.889,2715931000,FY2019.FQ4,4
45,0,2020-04-30,2020-03,34.933,2775000000,FY2020.FQ1,1
46,0,2020-07-28,2020-06,71.987,2794789000,FY2020.FQ2,2
47,0,2020-10-26,2020-09,143.003,2843561000,FY2020.FQ3,3
48,0,2021-02-08,2020-12,235.223,2880000000,FY2020.FQ4,4
49,0,2021-04-28,2021-03,222.643,2889000000,FY2021.FQ1,1
50,0,2021-07-27,2021-06,226.567,2952000000,FY2021.FQ2,2
51,0,2021-10-25,2021-09,258.493,3012000000,FY2021.FQ3,3
52,0,2022-02-07,2021-12,352.26,3099000000,FY2021.FQ4,4
53,0,2022-04-25,2022-03,359.2,3108000000,FY2022.FQ1,1
54,0,2022-07-25,2022-06,224.473,3123000000,FY2022.FQ2,2
55,0,2022-10-24,2022-09,265.25,3158000000,FY2022.FQ3,3
56,0,2023-01-31,2022-12,123.18,3164000000,FY2022.FQ4,4
57,0,2023-04-24,2023-03,207.46,3169000000,FY2023.FQ1,1
58,0,2023-07-24,2023-06,261.77,3174000000,FY2023.FQ2,2
59,0,2023-10-23,2023-09,250.22,3179000000,FY2023.FQ3,3
60,0,2024-01-29,2023-12,248.48,3185000000,FY2023.FQ4,4
61,0,2024-04-24,2024-03,175.79,3188966000,FY2024.FQ1,1
62,0,2024-07-24,2024-06,197.88,3194640000,FY2024.FQ2,2
63,0,2024-10-24,2024-09,261.63,3207000000,FY2024.FQ3,3
64,0,2025-01-30,2024-12,403.84,3216000000,FY2024.FQ4,4
65,0,2025-04-23,2025-03,259.16,3220000000,FY2025.FQ1,1
