,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_year_key,fiscal_year_number
0,0.008,2002-04-01,2001-12,17.69,1234504000,-425000000,-585000000,-1138000000,1844000000,0,121000000,178000000,-951000000,-1129000000,525000000,375000000,-150000000,-9000000,0,0,0,0,-92000000,-92000000,0,0,-621000000,-2088000000,1467000000,0,-425000000,-425000000,0,626000000,265000000,40000000,0,913000000,0,619000000,0,7000000,0,FY2001,2001
1,0.008,2003-03-19,2002-12,20.88,1197832000,-419000000,-1442000000,-1391000000,2423000000,0,-410000000,205000000,-1610000000,-1815000000,400000000,177000000,-223000000,-9000000,0,0,0,0,-302000000,-302000000,0,0,-670000000,-3246000000,2576000000,0,-419000000,-419000000,0,662000000,255000000,154000000,0,1352000000,0,579000000,0,83000000,0,FY2002,2002
2,0.008,2004-03-15,2003-12,29.09,1166000000,-352000000,-1126000000,-745000000,3003000000,0,1132000000,268000000,-1339000000,-1607000000,950000000,218000000,-732000000,-9000000,4000000,0,0,0,-590000000,-590000000,0,0,197000000,-2583000000,2780000000,0,-352000000,-352000000,0,788000000,299000000,91000000,0,1825000000,0,834000000,0,-46000000,0,FY2003,2003
3,0.015,2005-03-01,2004-12,44.02,1286000000,-350000000,-550000000,-1644000000,3923000000,0,1729000000,583000000,-2863000000,-3446000000,2194000000,2044000000,-150000000,-18000000,287000000,0,0,0,-2225000000,-2225000000,0,0,931000000,-3190000000,4121000000,0,-350000000,-356000000,6000000,1126000000,374000000,-232000000,0,2411000000,0,1096000000,0,30000000,244000000,FY2004,2004
4,0.015,2006-02-24,2005-12,62.14,1358000000,-509000000,836000000,-3489000000,4083000000,0,1430000000,423000000,-2134000000,-2557000000,3056000000,2656000000,-400000000,-19000000,333000000,0,0,0,-2562000000,-2925000000,-363000000,0,-55000000,-5876000000,5821000000,0,-509000000,-509000000,0,412000000,453000000,-171000000,0,3083000000,0,498000000,0,-86000000,306000000,FY2005,2005
5,0.03,2007-03-06,2006-12,53.73,1345000000,-676000000,474000000,-2101000000,6526000000,0,4899000000,397000000,-1948000000,-2345000000,3000000000,577000000,-2423000000,-41000000,1886000000,0,0,0,-670000000,-670000000,0,0,-755000000,-4851000000,4096000000,0,-676000000,-728000000,52000000,1560000000,670000000,-96000000,0,4159000000,-171000000,1588000000,0,-28000000,404000000,FY2006,2006
6,0.03,2008-02-21,2007-12,58.2,1253000000,-871000000,-3185000000,-4147000000,5877000000,0,-1455000000,712000000,-5887000000,-6599000000,4529000000,3569000000,-960000000,-40000000,-827000000,0,0,0,-270000000,-262000000,8000000,0,-3014000000,-6379000000,3365000000,0,-871000000,-871000000,0,49000000,796000000,86000000,0,4654000000,-213000000,243000000,0,-194000000,505000000,FY2007,2007
7,0.03,2009-02-11,2008-12,26.6,1215616000,-407000000,-605000000,-5072000000,4238000000,0,-1439000000,299000000,-2385000000,-2684000000,2981000000,1135000000,-1846000000,-37000000,682000000,0,0,0,-4012000000,-3813000000,199000000,0,-653000000,-9251000000,8598000000,-199000000,-407000000,-791000000,384000000,263000000,981000000,-166000000,0,2977000000,-122000000,482000000,0,-219000000,305000000,FY2008,2008
8,0.03,2010-02-10,2009-12,30.48,1147000000,-739000000,-2275000000,-976000000,5625000000,0,2374000000,282000000,-1519000000,-1801000000,0,-1449000000,-1449000000,-36000000,729000000,0,0,0,-486000000,-486000000,0,0,249000000,-6466000000,6715000000,0,-739000000,-739000000,0,471000000,991000000,-16000000,0,3822000000,23000000,371000000,0,100000000,334000000,FY2009,2009
9,0.405,2011-02-10,2010-12,36.11,1086000000,-878000000,-1611000000,-5339000000,6273000000,0,-677000000,272000000,-2245000000,-2517000000,1677000000,94000000,-1583000000,-449000000,989000000,0,0,0,-2323000000,-2323000000,0,0,-2157000000,-7855000000,5698000000,19000000,-878000000,-878000000,0,1000000,1064000000,45000000,0,4634000000,203000000,17000000,0,-16000000,326000000,FY2010,2010
10,0.613,2012-02-09,2011-12,50.68,1039000000,-1018000000,-2490000000,-4172000000,6968000000,0,306000000,381000000,-2613000000,-2994000000,2234000000,346000000,-1888000000,-651000000,428000000,0,0,0,-1844000000,-1844000000,0,0,-1695000000,-9895000000,8200000000,385000000,-1018000000,-1067000000,49000000,309000000,1124000000,59000000,0,5142000000,-67000000,576000000,0,-267000000,401000000,FY2011,2011
11,0.8,2013-02-07,2012-12,54.24,1019000000,-1070000000,471000000,-8649000000,7155000000,0,-1023000000,1078000000,-2006000000,-3084000000,5553000000,4567000000,-986000000,-820000000,-1270000000,0,0,0,-6280000000,-6280000000,0,0,-1299000000,-9903000000,8604000000,0,-1070000000,-1070000000,0,-178000000,1309000000,308000000,0,5526000000,-231000000,-48000000,0,-130000000,421000000,FY2012,2012
12,1.053,2014-02-12,2013-12,75.3,988000000,-1161000000,-4946000000,-3089000000,6991000000,-86000000,-1130000000,598000000,-2572000000,-3170000000,2235000000,152000000,-2083000000,-1056000000,-1470000000,0,0,0,-362000000,-362000000,0,0,-1611000000,-12176000000,10565000000,45000000,-1161000000,-1307000000,146000000,-306000000,1375000000,1000000,0,5673000000,-83000000,11000000,0,-317000000,331000000,FY2013,2013
13,1.405,2015-02-10,2014-12,101.09,954000000,-1447000000,-5293000000,-2534000000,8051000000,-5000000,219000000,462000000,-3546000000,-4008000000,1997000000,391000000,-1606000000,-1362000000,-776000000,0,0,0,-1923000000,-1923000000,0,0,799000000,-9928000000,10727000000,37000000,-1447000000,-1525000000,78000000,1005000000,1478000000,-117000000,0,5619000000,-298000000,1916000000,0,-911000000,364000000,FY2014,2014
14,1.875,2016-02-09,2015-12,117.64,953000000,-1556000000,12239000000,-18395000000,9740000000,-156000000,3428000000,402000000,-798000000,-1200000000,15648000000,14607000000,-1041000000,-1786000000,216000000,0,0,0,-16164000000,-16164000000,0,0,-531000000,-9939000000,9408000000,-144000000,-1556000000,-1556000000,0,2081000000,1693000000,-73000000,0,5868000000,-235000000,2672000000,0,-591000000,406000000,FY2015,2015
15,2.375,2017-02-08,2016-12,160.04,952000000,-1705000000,-1011000000,-9355000000,9795000000,78000000,-493000000,429000000,-851000000,-1280000000,3968000000,990000000,-2978000000,-2261000000,1111000000,0,0,0,-1760000000,-1760000000,0,0,-5927000000,-17547000000,11620000000,37000000,-1705000000,-1705000000,0,183000000,2055000000,81000000,0,7073000000,-82000000,1540000000,0,-1357000000,485000000,FY2016,2016
