,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_year_key,fiscal_year_number
0,0.008,2002-04-01,2001-12,17.69,1234504000,3.2089,1.8813,3891000000,2.9832,-0.824,0.0852,0.3068,0.2123,0.6602,0.1268,0.0066,0.407,0.0104,0.2311,1.0,1550000000,0.0711,0.0668,1.1883,20928375760,5.3786,22.9226,14.7486,14.2176,0.9031,18.3421,0.2502,0.2773,0.3116,1419000000,0.2893,0.1017,0.0612,0.0591,1.0879,0.2385,0.2815,0.1131,0.3797,21838375760,44000000,0.2404,0.0393,963750000,0.0708,0.0856,0.9852,0.0554,0.0114,0.9557,1.7953,0.2744,1.1285,0.0635,0.0632,5.6125,23.9193,15.3899,14.8358,0.9424,19.1396,0.3922,0.0971,17.7668,0.0775,0.0659,0.2397,0.2409,0.1693,0.176,0.12763054198554,0.2463,0.1346,0.5079,-0.0309,-34436000,-0.0271,0.8748,1141000000,0.3606,0.1296,0.2839,0.055,FY2001,2001
1,0.008,2003-03-19,2002-12,20.88,1197832000,3.1987,2.1642,4428000000,3.488,0.0141,-0.2662,0.2905,0.3139,0.6174,0.1243,0.04,0.3976,0.0937,0.2311,0.0,2221000000,0.4329,0.0895,1.7495,24129732160,5.4493,17.8474,12.0407,11.5122,0.9729,25.5882,0.2607,0.5214,0.3126,2004000000,0.2823,0.4122,0.0808,0.0591,1.5785,0.2664,0.271,0.1951,0.3549,25010732160,631000000,0.4808,0.0545,1474500000,0.5299,0.071,1.5486,0.0792,0.0075,0.7095,0.1275,0.4239,1.651,0.0845,0.0632,5.6483,18.499,12.4804,11.9326,1.0084,26.5225,0.329,0.0702,19.5354,0.1014,0.0659,0.3203,0.325,0.1693,0.2318,0.12763054198554,0.3006,0.1346,0.6509,-0.0266,-36672000,-0.0297,0.7428,943000000,0.3043,0.1343,0.2102,0.138,FY2002,2002
2,0.008,2004-03-15,2003-12,29.09,1166000000,3.3743,2.5276,5236000000,4.2394,0.1599,-1.0,0.2683,0.2393,0.0,0.0,0.04,0.0,0.0937,0.1486,0.0,29995000000,12.5051,1.01,24.2859,33918940000,6.478,20.4948,12.7947,11.9432,1.1422,6.478,0.2407,0.2582,0.2963,2651000000,0.2805,0.3228,0.0892,0.0591,2.1464,0.2644,0.2654,0.1882,0.3573,33918940000,0,0.2241,0.0557,22272000000,14.1047,0.071,24.0438,1.0,0.0059,0.8513,-1.0,0.3549,2.2994,0.0956,0.0632,6.478,20.4948,12.7947,11.9432,1.1422,6.478,0.2793,0.1974,24.0438,0.1039,0.0659,2.4477,0.3425,0.1693,0.2897,0.12763054198554,0.3215,0.1346,2.8582,-0.0271,-31832000,-0.0265,4.2394,5236000000,0.2802,0.2473,0.1847,0.1824,FY2003,2003
3,0.015,2005-03-01,2004-12,44.02,1286000000,2.6013,2.6303,10717000000,8.1436,0.0056,0.0,0.2823,0.3063,0.7274,0.1443,0.0848,0.3753,0.2159,0.1413,0.875,3819000000,-0.8726,0.101,2.9019,55454720000,5.1744,23.0007,15.5204,14.8672,1.4669,1320.3504,0.0441,0.3656,0.3844,3573000000,0.3064,0.3477,0.0945,0.0591,2.715,0.2616,0.263,0.2598,0.3536,56609720000,32000000,0.4567,0.0637,2583750000,-0.8839,0.071,2.6177,0.0911,0.0081,5.318,0.0,0.3133,2.8343,0.0986,0.0632,5.2822,23.4797,15.8437,15.1768,1.4974,1347.8504,0.2593,0.273,28.7264,0.1058,0.0659,0.1974,0.3022,0.1693,0.2413,0.12763054198554,0.3016,0.1346,0.2845,0.0655,120000000,0.1029,0.0319,42000000,0.2309,0.5779,0.1436,1.0467,FY2004,2004
4,0.015,2006-02-24,2005-12,62.14,1358000000,2.3175,2.6303,17815000000,13.3645,-0.4542,0.3583,0.2511,0.0407,0.6333,0.1718,0.1029,0.3982,0.2921,0.1413,0.0,5028000000,0.3165,0.1094,3.7719,82209120000,4.6146,26.6653,23.0019,16.9888,1.7902,-185.5736,0.2797,0.2622,0.4314,3574000000,0.2709,0.0002,0.0778,0.0611,2.6811,0.2648,0.263,0.2294,0.3628,84386120000,1674000000,0.2787,0.0671,3431250000,0.328,0.071,3.4321,0.0996,0.0064,0.9783,0.446,0.2973,3.6301,0.1053,0.0632,4.7368,27.3714,23.6111,17.4387,1.8376,-190.4878,0.2326,0.2146,34.4486,0.0891,0.0732,0.2027,0.2161,0.2055,0.1555,0.12763054198554,0.2039,0.1532,0.5653,0.0129,72000000,0.0559,-0.3323,-443000000,0.2095,0.4809,0.1877,0.6623,FY2005,2005
5,0.03,2007-03-06,2006-12,53.73,1345000000,2.3219,2.6303,20810000000,14.843,-0.328,0.9037,0.2778,0.5983,0.8673,0.1543,0.1168,0.3582,0.343,0.2232,1.0,6783000000,0.349,0.0959,4.838,67299850000,3.234,16.1817,11.5042,10.3094,0.9522,32.2935,0.2972,0.2857,0.4306,5850000000,0.3086,0.6368,0.0827,0.0695,4.1726,0.2372,0.2501,0.3783,0.3628,72266850000,-2864000000,0.349,0.0588,4584750000,0.3361,0.0828,4.3601,0.0864,0.0101,0.5845,0.1499,0.349,4.6562,0.0923,0.074,3.4726,17.376,12.3533,11.0702,1.0225,34.6769,0.215,0.539,50.4072,0.0928,0.0833,0.2065,0.2153,0.2157,0.1564,0.12763054198554,0.2221,0.1559,0.5502,0.0517,-13000000,-0.0095,1.4864,2084000000,0.2131,0.1703,0.1846,0.1681,FY2006,2006
6,0.03,2008-02-21,2007-12,58.2,1253000000,2.5369,2.6303,20063000000,14.7413,-0.2884,-0.1409,0.2401,-0.0994,0.8405,0.2162,0.1255,0.5487,0.3668,0.2232,0.0,7501000000,0.1058,0.1009,5.5113,72368600000,3.607,15.5497,14.4563,9.9067,0.9741,49.1634,0.2829,0.1515,0.3941,5006000000,0.26,-0.1442,0.0673,0.0726,3.6781,0.2434,0.241,0.0787,0.3629,72924600000,2144000000,0.119,0.0626,5028750000,0.0968,0.0883,4.9265,0.0902,0.0087,0.5536,0.1198,0.119,5.3673,0.0983,0.0884,3.6347,15.6692,14.5674,9.9828,0.9816,49.5411,0.202,0.0511,54.5826,0.0938,0.0909,0.2042,0.2277,0.2219,0.1568,0.12763054198554,0.2318,0.1566,0.4731,-0.0292,-92000000,-0.0684,1.0815,1472000000,0.209,0.0533,0.1603,-0.0358,FY2007,2007
7,0.03,2009-02-11,2008-12,26.6,1215616000,2.6859,2.6726,20780000000,16.7445,0.5327,-0.1623,0.1474,-0.2788,0.7585,0.2292,0.1355,0.6156,0.3865,0.2232,0.0,5473000000,-0.2703,0.068,4.4101,35464385600,1.7066,11.9127,9.2572,7.6696,0.441,-21.6642,0.0,-0.2982,0.3723,3831000000,0.1533,-0.2347,0.0476,0.0726,3.087,0.231,0.241,0.0272,0.3561,32335385600,5368000000,-0.3603,0.037,3369000000,-0.33,0.0883,3.6196,0.0558,0.0125,0.0,0.0282,-0.367,3.726,0.0575,0.0884,1.556,10.8617,8.4404,6.9929,0.4021,-19.7528,0.1657,0.0824,64.7985,0.0557,0.0909,0.125,0.1457,0.2219,0.0921,0.12763054198554,0.1231,0.1566,0.2911,-0.0881,-37384000,-0.0298,-1.319,-1637000000,0.1915,0.0965,0.178,0.0357,FY2008,2008
8,0.03,2010-02-10,2009-12,30.48,1147000000,2.5012,2.6436,23606000000,20.022,-0.8157,0.3196,0.1681,0.3272,0.8211,0.2286,0.1493,0.5718,0.3979,0.2232,0.0,6758000000,0.2347,0.078,5.7319,35255560000,1.4934,9.2243,7.2156,6.0701,0.4073,70.7942,0.2326,0.35,0.3997,4886000000,0.1668,0.2753,0.0564,0.0726,4.1441,0.2252,0.241,0.0493,0.3419,34960560000,3698000000,0.2838,0.0441,4325250000,0.2838,0.0828,4.8914,0.0666,0.0092,0.3931,-0.0187,0.256,4.9262,0.0671,0.0884,1.481,9.1471,7.1552,6.0193,0.4039,70.2019,0.1603,0.0762,73.4062,0.0665,0.0909,0.1506,0.1722,0.2219,0.1081,0.12763054198554,0.143,0.1566,0.3716,-0.0499,-68616000,-0.0564,0.4223,498000000,0.1911,0.0578,0.1984,0.1359,FY2009,2009
9,0.405,2011-02-10,2010-12,36.11,1086000000,2.4419,2.5691,25825000000,22.8337,-0.188,-0.069,0.1522,0.1152,0.776,0.2141,0.163,0.5228,0.4026,0.5868,12.5,8928000000,0.3211,0.0948,7.8938,39043460000,1.5118,8.4254,7.2369,5.2882,0.4146,229.6674,0.2229,0.2654,0.4095,5395000000,0.154,0.1041,0.0572,0.0726,4.7701,0.2463,0.2449,0.1901,0.3723,39215460000,4380000000,0.2124,0.0492,5898000000,0.3636,0.085,6.9531,0.0835,0.0987,0.3796,0.028,0.2711,6.5278,0.0784,0.0884,1.5185,8.4625,7.2688,5.3115,0.4164,230.6791,0.1612,0.0879,83.2493,0.0759,0.0909,0.1944,0.1874,0.2219,0.1212,0.12763054198554,0.1611,0.1566,0.4895,-0.0407,-61000000,-0.0531,0.1503,170000000,0.1902,0.068,0.2148,0.094,FY2010,2010
