,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,cogs,da_income_statement_supplemental,eps_basic,eps_diluted,gross_profit,income_allocated_to_minority_interest,income_tax,interest_expense,interest_income,net_income,net_income_available_to_shareholders,net_income_continuing,net_income_discontinued,net_interest_income_normal,operating_income,other_income_statement_items,other_nonoperating_income,other_opex,preferred_dividends,pretax_income,revenue,rnd,sga,shares_basic,shares_diluted,special_charges,total_opex,fiscal_year_key,fiscal_year_number
0,0.008,2002-04-01,2001-12,17.69,1234504000,17644000000,265000000,0.73,0.7,5529000000,0,-559000000,-94000000,0,913000000,913000000,913000000,0,-94000000,1285000000,0,281000000,265000000,0,1472000000,23173000000,0,3979000000,1250000000,1304286000,0,4244000000,FY2001,2001
1,0.008,2003-03-19,2002-12,20.88,1197832000,18192000000,255000000,1.11,1.06,6608000000,0,-744000000,-90000000,0,1352000000,1352000000,1352000000,0,-90000000,1966000000,0,220000000,4642000000,0,2096000000,24800000000,0,0,1214000000,1269484000,0,4642000000,FY2002,2002
2,0.008,2004-03-15,2003-12,29.09,1166000000,21844000000,299000000,1.4,1.34,7852000000,0,-1015000000,-95000000,0,1655000000,1655000000,1825000000,0,-95000000,29696000000,-170000000,-26761000000,-26719000000,0,2840000000,29696000000,0,4875000000,1182143000,1235075000,0,-21844000000,FY2003,2003
3,0.015,2005-03-01,2004-12,44.02,1286000000,27912000000,374000000,1.93,1.83,9892000000,0,-1319000000,-128000000,0,2411000000,2411000000,2411000000,0,-128000000,3445000000,0,413000000,374000000,0,3730000000,37804000000,0,6073000000,1252000000,1316000000,0,6447000000,FY2004,2004
4,0.015,2006-02-24,2005-12,62.14,1358000000,33758000000,453000000,2.44,2.31,12162000000,0,-1756000000,-241000000,0,3083000000,3083000000,3083000000,0,-241000000,4575000000,0,505000000,453000000,0,4839000000,45920000000,0,7134000000,1265000000,1333000000,0,7587000000,FY2005,2005
5,0.03,2007-03-06,2006-12,53.73,1345000000,53907000000,670000000,3.09,2.97,16764000000,0,-2369000000,-456000000,0,4159000000,4159000000,4159000000,0,-456000000,6113000000,0,871000000,670000000,0,6528000000,70671000000,0,9981000000,1344000000,1402000000,0,10651000000,FY2006,2006
6,0.03,2008-02-21,2007-12,58.2,1253000000,56203000000,796000000,3.55,3.42,18084000000,0,-2651000000,-544000000,0,4654000000,4654000000,4654000000,0,-544000000,6705000000,0,1144000000,796000000,0,7305000000,74287000000,0,10583000000,1312000000,1361000000,0,11379000000,FY2007,2007
7,0.03,2009-02-11,2008-12,26.6,1215616000,61839000000,981000000,2.45,2.4,18576000000,0,-1647000000,-639000000,0,2977000000,2977000000,2977000000,0,-639000000,4492000000,0,771000000,981000000,0,4624000000,80415000000,0,13103000000,1214000000,1241000000,0,14084000000,FY2008,2008
8,0.03,2010-02-10,2009-12,30.48,1147000000,67054000000,991000000,3.27,3.24,19492000000,0,-1986000000,-551000000,0,3822000000,3822000000,3822000000,0,-551000000,5767000000,0,592000000,991000000,0,5808000000,86546000000,0,12734000000,1168000000,1179000000,0,13725000000,FY2009,2009
9,0.405,2011-02-10,2010-12,36.11,1086000000,70957000000,1064000000,4.14,4.1,23198000000,0,-2749000000,-481000000,0,4634000000,4634000000,4634000000,0,-481000000,7864000000,0,0,1064000000,0,7383000000,94155000000,0,14270000000,1120000000,1131000000,0,15334000000,FY2010,2010
