,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,fiscal_year_key,fiscal_year_number
0,0.008,2002-04-01,2001-12,17.69,1234504000,FY2001,2001
1,0.008,2003-03-19,2002-12,20.88,1197832000,FY2002,2002
2,0.008,2004-03-15,2003-12,29.09,1166000000,FY2003,2003
3,0.015,2005-03-01,2004-12,44.02,1286000000,FY2004,2004
4,0.015,2006-02-24,2005-12,62.14,1358000000,FY2005,2005
5,0.03,2007-03-06,2006-12,53.73,1345000000,FY2006,2006
6,0.03,2008-02-21,2007-12,58.2,1253000000,FY2007,2007
7,0.03,2009-02-11,2008-12,26.6,1215616000,FY2008,2008
8,0.03,2010-02-10,2009-12,30.48,1147000000,FY2009,2009
9,0.405,2011-02-10,2010-12,36.11,1086000000,FY2010,2010
10,0.613,2012-02-09,2011-12,50.68,1039000000,FY2011,2011
11,0.8,2013-02-07,2012-12,54.24,1019000000,FY2012,2012
12,1.053,2014-02-12,2013-12,75.3,988000000,FY2013,2013
13,1.405,2015-02-10,2014-12,101.09,954000000,FY2014,2014
14,1.875,2016-02-09,2015-12,117.64,953000000,FY2015,2015
15,2.375,2017-02-08,2016-12,160.04,952000000,FY2016,2016
16,2.875,2018-02-13,2017-12,220.46,969000000,FY2017,2017
17,3.45,2019-02-12,2018-12,249.12,960000000,FY2018,2018
18,4.14,2020-02-14,2019-12,293.98,948000000,FY2019,2019
19,4.83,2021-03-01,2020-12,350.68,946000000,FY2020,2020
20,5.6,2022-02-15,2021-12,502.14,941000000,FY2021,2021
21,6.4,2023-02-24,2022-12,530.18,934000000,FY2022,2022
22,7.29,2024-02-28,2023-12,526.47,924000000,FY2023,2023
23,8.18,2025-02-27,2024-12,505.86,915000000,FY2024,2024
