,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,capex,cf_cff,cf_cfi,cf_cfo,cf_forex,cf_net_change_in_cash,cff_common_stock_issued,cff_common_stock_net,cff_common_stock_repurchased,cff_debt_issued,cff_debt_net,cff_debt_repaid,cff_dividend_paid,cff_other,cff_pfd_issued,cff_pfd_net,cff_pfd_repurchased,cfi_acquisitions,cfi_acquisitions_net,cfi_divestitures,cfi_intangibles_net,cfi_investment_net,cfi_investment_purchases,cfi_investment_sales,cfi_other,cfi_ppe_net,cfi_ppe_purchases,cfi_ppe_sales,cfo_change_in_working_capital,cfo_da,cfo_deferred_tax,cfo_inventory,cfo_net_income,cfo_other_noncash_items,cfo_other_working_capital,cfo_prepaid_expenses,cfo_receivables,cfo_stock_comp,fiscal_quarter_key,fiscal_quarter_number
0,0.008,2002-05-14,2002-03,19.11,1221224000,-128000000,-460000000,-3000000,370000000,0,-93000000,64000000,-386000000,-450000000,400000000,-74000000,-474000000,0,0,0,0,0,-8000000,-8000000,0,0,133000000,-568000000,701000000,0,-128000000,-128000000,0,-2000000,56000000,20000000,0,295000000,1000000,-6000000,0,4000000,0,FY2002.FQ1,1
1,0.0,2002-08-13,2002-06,22.89,1209596000,-88000000,-315000000,-96000000,660000000,0,249000000,50000000,-326000000,-376000000,474000000,474000000,0,0,-463000000,0,0,0,-37000000,-37000000,0,0,29000000,-785000000,814000000,0,-88000000,-88000000,0,224000000,0,50000000,0,325000000,61000000,224000000,0,0,0,FY2002.FQ2,2
2,0.0,2002-11-14,2002-09,21.81,1208964000,-79000000,-420000000,-843000000,633000000,0,-630000000,55000000,-564000000,-619000000,0,-310000000,-310000000,0,454000000,0,0,0,-103000000,-103000000,0,0,-661000000,-1213000000,552000000,0,-79000000,-79000000,0,470000000,66000000,90000000,0,353000000,-346000000,470000000,0,0,0,FY2002.FQ3,3
3,0.0,2003-03-19,2002-12,20.88,1197832000,-124000000,-247000000,-449000000,760000000,0,64000000,36000000,-334000000,-370000000,87000000,87000000,0,0,0,0,0,0,-154000000,-154000000,0,0,-171000000,-680000000,509000000,0,-124000000,-124000000,0,-30000000,71000000,-6000000,0,379000000,346000000,-30000000,0,0,0,FY2002.FQ4,4
4,0.008,2003-05-15,2003-03,22.92,1185316000,-92000000,-382000000,329000000,725000000,0,672000000,73000000,-423000000,-496000000,450000000,41000000,-409000000,0,0,0,0,0,-6000000,-6000000,0,0,427000000,-685000000,1112000000,0,-92000000,-92000000,0,241000000,73000000,8000000,0,403000000,0,224000000,0,17000000,0,FY2003.FQ1,1
5,0.0,2003-08-13,2003-06,25.13,1180000000,-89000000,-352000000,38000000,765000000,0,451000000,72000000,-291000000,-363000000,0,-52000000,-52000000,0,-9000000,0,0,0,-50000000,-50000000,0,0,177000000,-360000000,537000000,0,-89000000,-89000000,0,265000000,74000000,-13000000,0,439000000,0,257000000,0,8000000,0,FY2003.FQ2,2
6,0.0,2003-11-14,2003-09,25.16,1168000000,-100000000,-434000000,-395000000,643000000,0,-186000000,69000000,-434000000,-503000000,0,0,0,0,0,0,0,0,-31000000,-31000000,0,0,-264000000,-882000000,618000000,0,-100000000,-100000000,0,59000000,75000000,33000000,0,476000000,0,101000000,0,-42000000,0,FY2003.FQ3,3
7,0.0,2004-03-15,2003-12,29.09,1166000000,-71000000,42000000,-717000000,870000000,0,195000000,54000000,-191000000,-245000000,500000000,229000000,-271000000,0,4000000,0,0,0,-503000000,-503000000,0,0,-143000000,-656000000,513000000,0,-71000000,-71000000,0,223000000,77000000,63000000,0,507000000,0,252000000,0,-29000000,0,FY2003.FQ4,4
8,0.015,2004-05-07,2004-03,32.25,1228000000,-83000000,-65000000,-393000000,910000000,0,452000000,125000000,-502000000,-627000000,500000000,421000000,-79000000,0,16000000,0,0,0,-527000000,-527000000,0,0,217000000,-521000000,738000000,0,-83000000,-83000000,0,252000000,82000000,22000000,0,554000000,0,213000000,0,39000000,0,FY2004.FQ1,1
9,0.0,2004-08-09,2004-06,31.13,1214000000,-76000000,-575000000,-56000000,1017000000,0,386000000,57000000,-569000000,-626000000,0,0,0,0,-6000000,0,0,0,-111000000,-111000000,0,0,131000000,-612000000,743000000,0,-76000000,-76000000,0,329000000,87000000,5000000,0,596000000,0,359000000,0,-30000000,0,FY2004.FQ2,2
10,0.0,2004-11-09,2004-09,36.87,1308000000,-81000000,936000000,-1359000000,958000000,0,535000000,258000000,-587000000,-845000000,1500000000,1500000000,0,0,23000000,0,0,0,-1274000000,-1274000000,0,0,-4000000,-943000000,939000000,0,-81000000,-81000000,0,163000000,99000000,-2000000,0,698000000,0,203000000,0,-40000000,0,FY2004.FQ3,3
11,0.0,2005-03-01,2004-12,44.02,1286000000,-116000000,-846000000,164000000,1038000000,0,356000000,143000000,-1205000000,-1348000000,123000000,123000000,0,0,236000000,0,0,0,-313000000,-313000000,0,0,587000000,-1114000000,1701000000,6000000,-116000000,-116000000,0,382000000,106000000,-257000000,0,563000000,244000000,321000000,0,61000000,0,FY2004.FQ4,4
